from_node,to_node,transport_mode,cost,capacity
1,697,road,1.431627046,144000
2,142,road,0.37783065,144000
3,203,road,0.748801709,144000
4,332,road,0.636270383,144000
5,393,road,3.044944663,144000
6,1093,road,0.885593586,144000
7,1096,road,0.124531121,144000
8,300,road,0.528734338,144000
9,298,road,0.456127175,144000
10,1084,road,4.502438895,144000
11,688,rail,0.193941357,10000
13,203,road,0.350565258,144000
14,454,road,0.126649122,144000
15,1096,road,0.058821765,144000
16,639,road,0.49614514,144000
17,1041,road,1.768494275,144000
18,180,road,0.404460134,144000
19,1091,road,0.34805172,144000
20,207,road,0.222800359,144000
21,178,road,1.254574031,144000
22,158,road,1.42050836,144000
23,208,road,2.818728791,144000
24,1080,road,17.79864669,144000
25,139,road,11.46081219,144000
25,1154,road,0.993325727,144000
25,1177,road,2.092115676,144000
35,62,rail,6.90907302,10000
35,139,road,5.403156485,144000
35,1088,road,29.84876044,144000
35,1148,road,9.37173986,144000
51,69,road,3.490068767,144000
51,80,road,1.753137758,144000
51,105,road,1.644578973,144000
62,161,road,22.43358099,144000
62,163,road,27.73401334,144000
69,80,road,1.980727139,144000
69,161,road,1.041892509,144000
69,1085,road,56.76035863,144000
80,84,road,0.645368112,144000
80,89,road,0.525212338,144000
84,89,road,0.479069932,144000
84,105,road,1.557603287,144000
84,124,road,0.793659877,144000
89,99,rail,0.028301943,10000
99,127,road,0.786559597,144000
99,161,rail,0.428289913,10000
105,124,road,1.58337614,144000
105,140,road,23.05467666,144000
120,127,road,1.515193717,144000
120,161,road,0.383317101,144000
120,177,road,46.56430813,144000
124,127,road,0.79649231,144000
124,234,road,53.50700186,144000
127,266,road,63.03924651,144000
139,163,road,13.8952661,144000
140,142,road,1.250177587,144000
140,143,road,6.599704842,144000
141,152,road,14.49063836,144000
141,156,road,15.35410369,144000
141,160,road,7.960450741,144000
142,144,road,2.0725424,144000
143,144,road,3.705651899,144000
143,147,road,10.50453178,144000
144,170,road,20.18660823,144000
145,146,road,0.118962179,144000
145,154,road,5.216113879,144000
145,1100,road,22.38178125,144000
146,155,rail,0.971228217,10000
146,159,road,6.037226184,144000
147,148,road,3.046112933,144000
147,149,road,2.574817275,144000
148,149,road,0.480599625,144000
148,150,road,22.81574281,144000
149,171,road,12.14484203,144000
150,156,road,18.17106029,144000
150,193,road,23.09620965,144000
151,154,road,19.72586383,144000
151,162,road,53.44800569,144000
151,199,road,28.30879164,144000
151,1097,road,31.08907364,144000
152,153,road,0,144000
152,158,rail,3.294578122,10000
153,160,road,15.36659962,144000
153,226,road,45.17771065,144000
154,155,road,1.760658968,144000
154,159,road,3.749697588,144000
155,157,road,0.599332963,144000
156,160,road,12.70528851,144000
157,159,road,2.249979555,144000
157,1180,road,0.897812898,144000
158,165,road,19.92108682,144000
159,181,road,13.64360451,144000
160,218,road,36.36477554,144000
