from_node,to_node,transport_mode,cost,capacity,penalty
1,697,road,1.431627046,144000,95.924229924
2,142,road,0.37783065,144000,95.924229924
3,203,road,0.748801709,144000,95.924229924
4,332,road,0.636270383,144000,95.924229924
5,393,road,3.044944663,144000,95.924229924
6,1093,road,0.885593586,144000,95.924229924
7,1096,road,0.124531121,144000,95.924229924
8,300,road,0.528734338,144000,95.924229924
9,298,road,0.456127175,144000,95.924229924
10,1084,road,4.502438895,144000,95.924229924
11,688,rail,0.193941357,10000,95.924229924
13,203,road,0.350565258,144000,95.924229924
14,454,road,0.126649122,144000,95.924229924
15,1096,road,0.058821765,144000,95.924229924
16,639,road,0.49614514,144000,95.924229924
17,1041,road,1.768494275,144000,95.924229924
18,180,road,0.404460134,144000,95.924229924
19,1091,road,0.34805172,144000,95.924229924
20,207,road,0.222800359,144000,95.924229924
21,178,road,1.254574031,144000,95.924229924
22,158,road,1.42050836,144000,95.924229924
23,208,road,2.818728791,144000,95.924229924
24,1080,road,17.79864669,144000,95.924229924
25,139,road,11.46081219,144000,5.113729917999999
25,1154,road,0.993325727,144000,6.0139452559999995
25,1177,road,2.092115676,144000,3.816365358
35,62,rail,6.90907302,10000,40.123362905
35,139,road,5.403156485,144000,17.229041328
35,1088,road,29.84876044,144000,7.181222341999998
35,1148,road,9.37173986,144000,9.291874578
51,69,road,3.490068767,144000,1.0
51,80,road,1.753137758,144000,2.0944126139999995
51,105,road,1.644578973,144000,2.3115301840000004
62,161,road,22.43358099,144000,64.13103030100001
62,163,road,27.73401334,144000,1.0
69,80,road,1.980727139,144000,1.0
69,161,road,1.041892509,144000,1.9206388240000003
69,1085,road,56.76035863,144000,9.139874480000003
80,84,road,0.645368112,144000,1.0
80,89,road,0.525212338,144000,1.0
84,89,road,0.479069932,144000,1.0
84,105,road,1.557603287,144000,1.0
84,124,road,0.793659877,144000,1.2967639050000002
89,99,rail,0.028301943,10000,2.827479773
99,127,road,0.786559597,144000,1.310964465
99,161,rail,0.428289913,10000,2.256780502
105,124,road,1.58337614,144000,1.0
105,140,road,23.05467666,144000,101.091673007
120,127,road,1.515193717,144000,1.0
120,161,road,0.383317101,144000,2.346726126
120,177,road,46.56430813,144000,15.869576021
124,127,road,0.79649231,144000,1.2910990389999997
124,234,road,53.50700186,144000,40.187022607
127,266,road,63.03924651,144000,4.980382848999994
139,163,road,13.8952661,144000,26.150976745
140,142,road,1.250177587,144000,11.127721554
140,143,road,6.599704842,144000,1.0
141,152,road,14.49063836,144000,8.836412001000001
141,156,road,15.35410369,144000,5.311635561000001
141,160,road,7.960450741,144000,20.098941459000002
142,144,road,2.0725424,144000,9.482991928
143,144,road,3.705651899,144000,6.216772930000001
143,147,road,10.50453178,144000,28.461410252
144,170,road,20.18660823,144000,9.097257352
145,146,road,0.118962179,144000,7.829038884999999
145,154,road,5.216113879,144000,1.0
145,1100,road,22.38178125,144000,50.075223607
146,155,rail,0.971228217,10000,6.124506809
146,159,road,6.037226184,144000,1.0
147,148,road,3.046112933,144000,1.0
147,149,road,2.574817275,144000,1.0
148,149,road,0.480599625,144000,5.140330583
148,150,road,22.81574281,144000,18.031742256999994
149,171,road,12.14484203,144000,25.180789752000003
150,156,road,18.17106029,144000,160.80237075599996
150,193,road,23.09620965,144000,17.470808577
151,154,road,19.72586383,144000,55.387058446999994
151,162,road,53.44800569,144000,13.573053688000002
151,199,road,28.30879164,144000,48.484226687
151,1097,road,31.08907364,144000,32.660638827
152,153,road,0.0,144000,37.817688721
152,158,rail,3.294578122,10000,101.301755241
153,160,road,15.36659962,144000,7.084489481
153,226,road,45.17771065,144000,17.535490185
154,155,road,1.760658968,144000,4.545645307000001
154,159,road,3.749697588,144000,1.0
155,157,road,0.599332963,144000,7.161003147999999
156,160,road,12.70528851,144000,10.609265921
157,159,road,2.249979555,144000,3.859709964
157,1180,road,0.897812898,144000,95.924229924
158,165,road,19.92108682,144000,68.048737845
159,181,road,13.64360451,144000,77.81460094699999
160,218,road,36.36477554,144000,53.024630533999996
162,166,road,53.14522447,144000,14.442546574000005
162,182,road,8.764681169,144000,102.93970273
163,167,road,3.761550744,144000,71.58738421399998
164,176,road,68.94380488,144000,63.48614524900002
164,214,road,37.45564956,144000,51.940449153
164,1169,road,47.17922106,144000,32.49330615299999
165,166,road,1.994103307,144000,2.3405508209999994
165,168,road,2.267641065,144000,1.7934753049999999
166,169,road,1.704963343,144000,2.9188307489999996
167,174,road,7.829692203,144000,5.656296807000001
167,178,road,7.454052589,144000,6.407576035
168,169,road,0.36204972,144000,5.604657995
168,230,road,34.51675495,144000,38.857401585
169,195,road,25.52023864,144000,61.221790565999996
170,171,road,0.354022598,144000,1.0
170,172,road,0.026,144000,1.0
171,172,road,0.354682957,144000,1.0
172,193,rail,4.771150805,10000,15.260887350999997
173,176,road,15.51422895,144000,233.898760647
173,201,road,35.47066737,144000,194.75498998700002
173,1110,road,85.63245639,144000,93.66230576699998
174,177,road,1.818247508,144000,94.27705483700001
174,179,road,5.755382177,144000,9.804916858999999
175,180,road,8.3599122,144000,62.390661302
175,214,rail,9.827375807,10000,78.258798239
175,1177,road,31.32275914,144000,16.464967421999997
176,235,road,76.06308269,144000,49.247589629000004
177,209,rail,5.040798052,10000,87.83195374900001
178,179,rail,0.276554244,10000,20.762572725000002
179,180,road,0.487462819,144000,78.13556006399999
181,183,road,15.30307629,144000,22.91236505
181,202,road,13.40252887,144000,26.713459890000003
182,186,road,1.041085971,144000,1.9121773020000001
182,187,road,0.974221741,144000,2.0459057620000003
183,184,road,0.486411349,144000,1.0
183,185,road,0.392045916,144000,1.0
184,185,road,0.136821051,144000,1.0
184,199,road,23.88436476,144000,57.333080447
185,204,road,20.13222621,144000,13.25406521
186,189,road,0.833241862,144000,2.3278655200000005
186,200,road,25.93963824,144000,10.257725005000005
187,188,road,4.071638982,144000,6.3483184139999995
187,190,road,0.437268796,144000,3.119811652
188,191,road,4.085662737,144000,1.0
188,1094,rail,0.443205652,10000,6.1031410820000005
189,190,road,0.708530874,144000,2.5772874960000003
189,238,road,25.21815029,144000,11.700700905000001
190,198,road,6.135902542,144000,2.2197912939999984
191,195,road,23.64813752,144000,11.796901655
191,1095,road,1.842525441,144000,3.304501503999999
192,833,road,6.000474648,144000,11.329232876999999
192,856,road,4.936435151,144000,1.0
192,860,road,3.945326349,144000,2.811470227
193,233,road,33.7969614,144000,79.607103527
194,198,road,1.562097308,144000,11.367401761999998
194,1094,road,1.841483098,144000,1.0
194,1095,road,1.718982257,144000,1.0
195,223,rail,5.573400129,10000,47.946376437
196,272,rail,0.082855296,10000,1.0
196,273,road,0.067230945,144000,1.0
196,277,road,0.867089384,144000,1.743728378
197,451,road,41.33272994,144000,10.005272111000004
197,485,road,6.131346671,144000,118.830059495
197,516,road,14.10435876,144000,64.462014471
198,228,road,21.40778709,144000,16.277602514999998
199,200,rail,2.966862358,10000,41.091746164
199,225,road,18.35408587,144000,10.317299140000003
200,224,rail,5.061617232,10000,36.902236415999994
201,203,road,1.102072593,144000,95.924229924
201,217,road,11.33998113,144000,243.016362467
202,204,road,4.288640344,144000,6.941769207000001
202,206,road,3.768893737,144000,7.981262420999999
204,205,road,1.227552036,144000,13.063945823000001
205,207,road,0.703295102,144000,14.112459691
205,211,road,4.98057065,144000,8.676576572000002
206,207,road,5.530668676,144000,4.457712543
206,208,road,1.275733514,144000,16.086250844000002
208,210,road,1.579297312,144000,15.479123247999999
209,263,road,12.92600232,144000,8.896737519
209,267,road,13.0569413,144000,8.634859559
210,213,rail,1.198085556,10000,16.241546760000002
210,262,road,13.23229761,144000,75.337714859
210,1199,road,2.385866719,144000,95.924229924
211,213,road,3.370067062,144000,4.893678659999999
211,216,road,3.002002665,144000,5.629807454000001
212,797,rail,0.465258262,10000,27.342723439
212,800,road,0.428266272,144000,74.00908899500001
212,805,road,9.346231112,144000,9.580777739
213,216,road,5.261743057,144000,1.1103266699999992
214,236,road,4.532284192,144000,88.848981469
215,735,road,40.74449686,144000,28.05913117499999
215,775,road,0.672502788,144000,59.661511683
215,797,road,15.90822492,144000,29.190067418999995
215,907,road,30.38438362,144000,21.120917300000002
216,222,road,3.381945594,144000,95.03841889099999
217,220,road,3.00796609,144000,1.0
217,227,road,1.821087587,144000,1.8323405469999998
218,219,road,0.602332134,144000,6.287374314
218,221,road,0.889865158,144000,5.712308266
219,226,road,28.24276367,144000,39.01500642800001
219,232,road,2.800300698,144000,1.891437186
220,227,rail,0.645462044,10000,4.183591633
220,289,road,96.64792422,144000,112.22412663700001
221,232,road,3.199540592,144000,1.0929573980000002
221,250,road,67.82639728,144000,61.49169677599998
222,249,road,25.55916744,144000,62.871390856000005
222,313,road,21.5610483,144000,58.680213479
223,229,road,1.166699619,144000,56.759777457
223,237,road,41.19512049,144000,20.514119643999997
224,225,road,20.64290542,144000,5.739660039999997
224,231,road,3.086285794,144000,44.974340301
225,249,road,13.33098946,144000,1.3128591850000007
225,254,road,4.216725744,144000,19.541386617
226,230,road,2.713139878,144000,90.07425401200001
227,435,road,110.7953649,144000,44.105594926999984
227,445,road,55.23752036,144000,155.42929177700003
228,229,road,2.173547331,144000,46.794876974
228,244,road,11.80864649,144000,27.524678656000006
229,311,road,22.521091,144000,6.099789636000001
230,237,road,5.094703917,144000,85.31112593399999
231,238,road,1.998068067,144000,2.965295253
231,247,road,2.088739333,144000,2.783952721000001
232,323,road,22.80091831,144000,49.898697148
233,239,road,2.034888695,144000,1.0
233,246,road,1.566311591,144000,1.0
234,239,rail,4.91764255,10000,108.10054800800002
234,270,road,36.3837417,144000,45.168349707999994
235,241,road,13.13457361,144000,116.65141159899996
235,435,rail,14.6919121,10000,113.53673461900001
236,241,road,1.244360077,144000,1.0882447909999997
236,243,road,0.696252828,144000,2.184459289
237,305,road,5.569356875,144000,84.361820018
238,242,road,0.557207322,144000,5.847016743
239,240,road,0.0,144000,4.0715262370000005
240,246,rail,0.470325951,10000,1.099965269
240,252,rail,0.498943885,10000,1.042729401
241,243,road,1.63635204,144000,1.0
242,244,road,12.12837483,144000,1.717268765
242,245,road,0.2697851,144000,6.421861187
243,271,road,44.24941604,144000,9.414717773
243,352,road,38.10410634,144000,42.502196217999995
244,260,road,5.355697527,144000,15.262623371
245,253,road,1.847084189,144000,3.2672630089999997
245,264,road,7.096764333,144000,11.780489759000002
246,248,road,0.441352467,144000,1.1579122370000001
247,251,road,1.706470041,144000,1.0
247,253,rail,0.200547376,10000,1.95254135
248,250,road,2.28626945,144000,1.0184141440000003
248,255,rail,0.293899643,10000,1.452817885
249,261,road,5.096700894,144000,17.781436317
250,255,road,3.010783951,144000,1.0
251,253,rail,0.446618685,10000,1.460398732
251,256,road,19.76338928,144000,11.620133329000005
