Searching | n=100, m=200, rep=0 | attempt=10
Searching | n=100, m=200, rep=0 | attempt=20
Searching | n=100, m=200, rep=0 | attempt=30
Searching | n=100, m=200, rep=0 | attempt=40
Searching | n=100, m=200, rep=0 | attempt=50
Searching | n=100, m=200, rep=0 | attempt=60
Searching | n=100, m=200, rep=0 | attempt=70
Searching | n=100, m=200, rep=0 | attempt=80
Searching | n=100, m=200, rep=0 | attempt=90
Searching | n=100, m=200, rep=0 | attempt=100
Searching | n=100, m=200, rep=0 | attempt=110
Searching | n=100, m=200, rep=0 | attempt=120
Searching | n=100, m=200, rep=0 | attempt=130
Searching | n=100, m=200, rep=0 | attempt=140
Searching | n=100, m=200, rep=0 | attempt=150
Searching | n=100, m=200, rep=0 | attempt=160
Searching | n=100, m=200, rep=0 | attempt=170
Searching | n=100, m=200, rep=0 | attempt=180
Searching | n=100, m=200, rep=0 | attempt=190
Searching | n=100, m=200, rep=0 | attempt=200
Searching | n=100, m=200, rep=0 | attempt=210
Searching | n=100, m=200, rep=0 | attempt=220
Searching | n=100, m=200, rep=0 | attempt=230
Searching | n=100, m=200, rep=0 | attempt=240
Searching | n=100, m=200, rep=0 | attempt=250
Searching | n=100, m=200, rep=0 | attempt=260
Searching | n=100, m=200, rep=0 | attempt=270
Searching | n=100, m=200, rep=0 | attempt=280
Searching | n=100, m=200, rep=0 | attempt=290
Searching | n=100, m=200, rep=0 | attempt=300
Searching | n=100, m=200, rep=0 | attempt=310
Searching | n=100, m=200, rep=0 | attempt=320
Searching | n=100, m=200, rep=0 | attempt=330
Searching | n=100, m=200, rep=0 | attempt=340
Searching | n=100, m=200, rep=0 | attempt=350
Searching | n=100, m=200, rep=0 | attempt=360
Searching | n=100, m=200, rep=0 | attempt=370
Searching | n=100, m=200, rep=0 | attempt=380
Searching | n=100, m=200, rep=0 | attempt=390
Searching | n=100, m=200, rep=0 | attempt=400
Searching | n=100, m=200, rep=0 | attempt=410
Searching | n=100, m=200, rep=0 | attempt=420
Searching | n=100, m=200, rep=0 | attempt=430
Searching | n=100, m=200, rep=0 | attempt=440
Searching | n=100, m=200, rep=0 | attempt=450
Searching | n=100, m=200, rep=0 | attempt=460
Searching | n=100, m=200, rep=0 | attempt=470
Searching | n=100, m=200, rep=0 | attempt=480
Searching | n=100, m=200, rep=0 | attempt=490
Searching | n=100, m=200, rep=0 | attempt=500
Searching | n=100, m=200, rep=0 | attempt=510
Searching | n=100, m=200, rep=0 | attempt=520
Searching | n=100, m=200, rep=0 | attempt=530
Searching | n=100, m=200, rep=0 | attempt=540
Searching | n=100, m=200, rep=0 | attempt=550
Searching | n=100, m=200, rep=0 | attempt=560
Searching | n=100, m=200, rep=0 | attempt=570
Searching | n=100, m=200, rep=0 | attempt=580
Searching | n=100, m=200, rep=0 | attempt=590
Searching | n=100, m=200, rep=0 | attempt=600
Searching | n=100, m=200, rep=0 | attempt=610
Searching | n=100, m=200, rep=0 | attempt=620
Searching | n=100, m=200, rep=0 | attempt=630
Searching | n=100, m=200, rep=0 | attempt=640
Searching | n=100, m=200, rep=0 | attempt=650
Searching | n=100, m=200, rep=0 | attempt=660
Searching | n=100, m=200, rep=0 | attempt=670
Searching | n=100, m=200, rep=0 | attempt=680
Searching | n=100, m=200, rep=0 | attempt=690
Searching | n=100, m=200, rep=0 | attempt=700
Searching | n=100, m=200, rep=0 | attempt=710
Searching | n=100, m=200, rep=0 | attempt=720
Searching | n=100, m=200, rep=0 | attempt=730
Searching | n=100, m=200, rep=0 | attempt=740
Searching | n=100, m=200, rep=0 | attempt=750
Searching | n=100, m=200, rep=0 | attempt=760
Searching | n=100, m=200, rep=0 | attempt=770
Searching | n=100, m=200, rep=0 | attempt=780
Searching | n=100, m=200, rep=0 | attempt=790
Searching | n=100, m=200, rep=0 | attempt=800
Searching | n=100, m=200, rep=0 | attempt=810
Searching | n=100, m=200, rep=0 | attempt=820
Searching | n=100, m=200, rep=0 | attempt=830
Searching | n=100, m=200, rep=0 | attempt=840
Searching | n=100, m=200, rep=0 | attempt=850
Searching | n=100, m=200, rep=0 | attempt=860
Searching | n=100, m=200, rep=0 | attempt=870
Searching | n=100, m=200, rep=0 | attempt=880
Searching | n=100, m=200, rep=0 | attempt=890
Searching | n=100, m=200, rep=0 | attempt=900
Searching | n=100, m=200, rep=0 | attempt=910
Searching | n=100, m=200, rep=0 | attempt=920
Searching | n=100, m=200, rep=0 | attempt=930
Searching | n=100, m=200, rep=0 | attempt=940
Searching | n=100, m=200, rep=0 | attempt=950
Searching | n=100, m=200, rep=0 | attempt=960
Searching | n=100, m=200, rep=0 | attempt=970
Searching | n=100, m=200, rep=0 | attempt=980
Searching | n=100, m=200, rep=0 | attempt=990
Searching | n=100, m=200, rep=0 | attempt=1000
Searching | n=100, m=200, rep=0 | attempt=1010
Searching | n=100, m=200, rep=0 | attempt=1020
Searching | n=100, m=200, rep=0 | attempt=1030
Searching | n=100, m=200, rep=0 | attempt=1040
Searching | n=100, m=200, rep=0 | attempt=1050
Searching | n=100, m=200, rep=0 | attempt=1060
Searching | n=100, m=200, rep=0 | attempt=1070
Searching | n=100, m=200, rep=0 | attempt=1080
Searching | n=100, m=200, rep=0 | attempt=1090
Searching | n=100, m=200, rep=0 | attempt=1100
Searching | n=100, m=200, rep=0 | attempt=1110
Searching | n=100, m=200, rep=0 | attempt=1120
Searching | n=100, m=200, rep=0 | attempt=1130
Searching | n=100, m=200, rep=0 | attempt=1140
Searching | n=100, m=200, rep=0 | attempt=1150
Searching | n=100, m=200, rep=0 | attempt=1160
Searching | n=100, m=200, rep=0 | attempt=1170
Searching | n=100, m=200, rep=0 | attempt=1180
Searching | n=100, m=200, rep=0 | attempt=1190
Searching | n=100, m=200, rep=0 | attempt=1200
Searching | n=100, m=200, rep=0 | attempt=1210
Searching | n=100, m=200, rep=0 | attempt=1220
Searching | n=100, m=200, rep=0 | attempt=1230
Searching | n=100, m=200, rep=0 | attempt=1240
Searching | n=100, m=200, rep=0 | attempt=1250
Searching | n=100, m=200, rep=0 | attempt=1260
Searching | n=100, m=200, rep=0 | attempt=1270
Searching | n=100, m=200, rep=0 | attempt=1280
Searching | n=100, m=200, rep=0 | attempt=1290
