Solved n=30, m=75, budget=1, density=2.50, rep=2, flow_demand=1, objective=29.00, mip_solve_time=0.3396
Solved n=30, m=75, budget=1, density=2.50, rep=5, flow_demand=1, objective=36.00, mip_solve_time=0.0180
Solved n=30, m=75, budget=1, density=2.50, rep=9, flow_demand=1, objective=19.00, mip_solve_time=0.0178
Solved n=30, m=75, budget=1, density=2.50, rep=10, flow_demand=1, objective=40.00, mip_solve_time=0.0173
Solved n=30, m=75, budget=1, density=2.50, rep=16, flow_demand=1, objective=40.00, mip_solve_time=0.0180
Solved n=30, m=75, budget=1, density=2.50, rep=21, flow_demand=1, objective=15.00, mip_solve_time=0.0185
Solved n=30, m=75, budget=1, density=2.50, rep=25, flow_demand=1, objective=26.00, mip_solve_time=0.0189
Solved n=30, m=75, budget=1, density=2.50, rep=41, flow_demand=1, objective=21.00, mip_solve_time=0.0456
Solved n=30, m=120, budget=1, density=4.00, rep=0, flow_demand=1, objective=42.00, mip_solve_time=0.0245
Solved n=30, m=120, budget=1, density=4.00, rep=1, flow_demand=1, objective=32.00, mip_solve_time=0.0300
Solved n=30, m=120, budget=1, density=4.00, rep=2, flow_demand=1, objective=30.00, mip_solve_time=0.0230
Solved n=30, m=120, budget=1, density=4.00, rep=3, flow_demand=1, objective=33.00, mip_solve_time=0.0290
Solved n=30, m=120, budget=1, density=4.00, rep=4, flow_demand=1, objective=31.00, mip_solve_time=0.0236
Solved n=30, m=120, budget=1, density=4.00, rep=5, flow_demand=1, objective=53.00, mip_solve_time=0.0227
Solved n=30, m=120, budget=1, density=4.00, rep=6, flow_demand=1, objective=46.00, mip_solve_time=0.0225
Solved n=30, m=120, budget=1, density=4.00, rep=7, flow_demand=1, objective=18.00, mip_solve_time=0.0232
Solved n=30, m=120, budget=1, density=4.00, rep=8, flow_demand=1, objective=28.00, mip_solve_time=0.0229
Solved n=30, m=120, budget=1, density=4.00, rep=9, flow_demand=1, objective=32.00, mip_solve_time=0.0228
Solved n=30, m=120, budget=1, density=4.00, rep=10, flow_demand=1, objective=29.00, mip_solve_time=0.0227
Solved n=30, m=120, budget=1, density=4.00, rep=11, flow_demand=1, objective=57.00, mip_solve_time=0.0228
Solved n=30, m=120, budget=1, density=4.00, rep=12, flow_demand=1, objective=47.00, mip_solve_time=0.0230
Solved n=30, m=120, budget=1, density=4.00, rep=13, flow_demand=1, objective=46.00, mip_solve_time=0.0298
Solved n=30, m=120, budget=1, density=4.00, rep=14, flow_demand=1, objective=45.00, mip_solve_time=0.0233
Solved n=30, m=120, budget=1, density=4.00, rep=15, flow_demand=1, objective=33.00, mip_solve_time=0.0229
Solved n=30, m=120, budget=1, density=4.00, rep=16, flow_demand=1, objective=56.00, mip_solve_time=0.0229
Solved n=30, m=120, budget=1, density=4.00, rep=17, flow_demand=1, objective=41.00, mip_solve_time=0.0230
Solved n=30, m=120, budget=1, density=4.00, rep=18, flow_demand=1, objective=28.00, mip_solve_time=0.0230
Solved n=30, m=120, budget=1, density=4.00, rep=19, flow_demand=1, objective=36.00, mip_solve_time=0.0227
Solved n=30, m=120, budget=1, density=4.00, rep=20, flow_demand=1, objective=28.00, mip_solve_time=0.0228
Solved n=30, m=120, budget=1, density=4.00, rep=21, flow_demand=1, objective=28.00, mip_solve_time=0.0234
Solved n=30, m=120, budget=1, density=4.00, rep=22, flow_demand=1, objective=43.00, mip_solve_time=0.0232
Solved n=30, m=120, budget=1, density=4.00, rep=23, flow_demand=1, objective=78.00, mip_solve_time=0.0294
Solved n=30, m=120, budget=1, density=4.00, rep=24, flow_demand=1, objective=37.00, mip_solve_time=0.0229
Solved n=30, m=120, budget=1, density=4.00, rep=25, flow_demand=1, objective=31.00, mip_solve_time=0.0240
Solved n=30, m=120, budget=1, density=4.00, rep=26, flow_demand=1, objective=73.00, mip_solve_time=0.0228
Solved n=30, m=120, budget=1, density=4.00, rep=27, flow_demand=1, objective=29.00, mip_solve_time=0.0228
Solved n=30, m=120, budget=1, density=4.00, rep=28, flow_demand=1, objective=38.00, mip_solve_time=0.0226
Solved n=30, m=120, budget=1, density=4.00, rep=29, flow_demand=1, objective=25.00, mip_solve_time=0.0227
Solved n=30, m=120, budget=1, density=4.00, rep=30, flow_demand=1, objective=31.00, mip_solve_time=0.0293
Solved n=30, m=120, budget=1, density=4.00, rep=31, flow_demand=1, objective=33.00, mip_solve_time=0.0290
Solved n=30, m=120, budget=1, density=4.00, rep=32, flow_demand=1, objective=29.00, mip_solve_time=0.0290
Solved n=30, m=120, budget=1, density=4.00, rep=33, flow_demand=1, objective=28.00, mip_solve_time=0.0230
Solved n=30, m=120, budget=1, density=4.00, rep=34, flow_demand=1, objective=48.00, mip_solve_time=0.0234
Solved n=30, m=120, budget=1, density=4.00, rep=35, flow_demand=1, objective=35.00, mip_solve_time=0.0239
Solved n=30, m=120, budget=1, density=4.00, rep=36, flow_demand=1, objective=42.00, mip_solve_time=0.0235
Solved n=30, m=120, budget=1, density=4.00, rep=37, flow_demand=1, objective=57.00, mip_solve_time=0.0225
Solved n=30, m=120, budget=1, density=4.00, rep=38, flow_demand=1, objective=29.00, mip_solve_time=0.0239
Solved n=30, m=120, budget=1, density=4.00, rep=39, flow_demand=1, objective=61.00, mip_solve_time=0.0228
Solved n=30, m=120, budget=1, density=4.00, rep=40, flow_demand=1, objective=58.00, mip_solve_time=0.0290
Solved n=30, m=120, budget=1, density=4.00, rep=41, flow_demand=1, objective=44.00, mip_solve_time=0.0227
Solved n=30, m=120, budget=1, density=4.00, rep=42, flow_demand=1, objective=53.00, mip_solve_time=0.0280
Solved n=30, m=120, budget=1, density=4.00, rep=43, flow_demand=1, objective=42.00, mip_solve_time=0.0499
Solved n=30, m=120, budget=1, density=4.00, rep=44, flow_demand=1, objective=41.00, mip_solve_time=0.0293
Solved n=30, m=120, budget=1, density=4.00, rep=45, flow_demand=1, objective=39.00, mip_solve_time=0.0231
Solved n=30, m=120, budget=1, density=4.00, rep=46, flow_demand=1, objective=33.00, mip_solve_time=0.0286
