model_type,problem_type,eval_mode,graph_seed,n_nodes,n_edges,density,replication,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time
edge_transformer,min_cost_flow,ood_size,10020005,100,200,2.0,0,1,171.0,141,0.17543859649122806,2,0,0,1,1,0.1642937920987606,0.17821325547993183,0.18852313328534365
edge_transformer,min_cost_flow,ood_size,10020006,100,200,2.0,1,1,194.0,166,0.14432989690721648,2,0,0,1,1,0.03727895114570856,0.050725982524454594,0.001847168430685997
edge_transformer,min_cost_flow,ood_size,10020007,100,200,2.0,2,1,70.0,68,0.02857142857142857,2,0,0,1,1,0.0408106567338109,0.054202388040721416,0.00172346830368042
edge_transformer,min_cost_flow,ood_size,10020008,100,200,2.0,3,1,76.0,58,0.23684210526315788,2,0,0,1,1,0.03730427008122206,0.04822252970188856,0.0016990182921290398
edge_transformer,min_cost_flow,ood_size,10020009,100,200,2.0,4,1,28.0,28,0.0,0,1,1,1,1,0.03771869372576475,0.04874497279524803,0.0016887877136468887
edge_transformer,min_cost_flow,ood_size,10020010,100,200,2.0,5,1,138.00000000000006,119,0.13768115942029022,2,0,0,1,1,0.0486462926492095,0.060226564295589924,0.0017537381500005722
edge_transformer,min_cost_flow,ood_size,10020011,100,200,2.0,6,1,33.0,23,0.30303030303030304,2,0,0,1,1,0.034635347314178944,0.045539247803390026,0.001706077717244625
edge_transformer,min_cost_flow,ood_size,10020012,100,200,2.0,7,1,76.0,72,0.05263157894736842,2,0,0,1,1,0.03656506724655628,0.0486006923019886,0.0016979174688458443
edge_transformer,min_cost_flow,ood_size,10020013,100,200,2.0,8,1,94.0,94,0.0,2,0,0,1,1,0.0425578448921442,0.054076957516372204,0.0017171381041407585
edge_transformer,min_cost_flow,ood_size,10020014,100,200,2.0,9,1,299.0,249,0.16722408026755853,2,0,0,1,1,0.04129710886627436,0.05519277323037386,0.0017160680145025253
edge_transformer,min_cost_flow,ood_size,10020015,100,200,2.0,10,1,21.0,21,0.0,0,1,1,1,1,0.036849528551101685,0.04743818752467632,0.0017075277864933014
edge_transformer,min_cost_flow,ood_size,10020016,100,200,2.0,11,1,205.0,205,0.0,0,1,1,1,1,0.03593174461275339,0.050772542133927345,0.0017003873363137245
edge_transformer,min_cost_flow,ood_size,10020017,100,200,2.0,12,1,40.0,37,0.075,2,0,0,1,1,0.03804280422627926,0.0485822819173336,0.0016897479072213173
edge_transformer,min_cost_flow,ood_size,10020018,100,200,2.0,13,1,137.0,137,0.0,0,1,1,1,1,0.03761755209416151,0.04904714412987232,0.001701507717370987
edge_transformer,min_cost_flow,ood_size,10020019,100,200,2.0,14,1,126.0,111,0.11904761904761904,2,0,0,1,1,0.036199524998664856,0.049412455409765244,0.0016925577074289322
edge_transformer,min_cost_flow,ood_size,10020020,100,200,2.0,15,1,52.0,52,0.0,2,0,0,1,1,0.038524527102708817,0.0494556063786149,0.0017080679535865784
edge_transformer,min_cost_flow,ood_size,10020021,100,200,2.0,16,1,132.00000000000003,114,0.13636363636363655,2,0,0,1,1,0.04137513041496277,0.05533677339553833,0.001715727150440216
edge_transformer,min_cost_flow,ood_size,10020022,100,200,2.0,17,1,10.0,4,0.6,2,0,0,1,1,0.03531789220869541,0.04630015138536692,0.0017293980345129967
edge_transformer,min_cost_flow,ood_size,10020023,100,200,2.0,18,1,93.0,91,0.021505376344086023,2,0,0,1,1,0.038544606417417526,0.05069543141871691,0.0017054080963134766
edge_transformer,min_cost_flow,ood_size,10020024,100,200,2.0,19,1,40.0,30,0.25,2,0,0,1,1,0.037867624312639236,0.049891077913343906,0.0016845883801579475
edge_transformer,min_cost_flow,ood_size,10025005,100,250,2.5,0,1,39.0,39,0.0,0,1,1,1,1,0.044735804200172424,0.056822008453309536,0.0023278091102838516
edge_transformer,min_cost_flow,ood_size,10025006,100,250,2.5,1,1,236.0,204,0.13559322033898305,2,0,0,1,1,0.051495724357664585,0.0637103607878089,0.0017498275265097618
edge_transformer,min_cost_flow,ood_size,10025007,100,250,2.5,2,1,296.0,254,0.14189189189189189,2,0,0,1,1,0.052488090470433235,0.06880628503859043,0.0017491783946752548
edge_transformer,min_cost_flow,ood_size,10025008,100,250,2.5,3,1,218.0,218,0.0,0,1,1,1,1,0.046632662415504456,0.06153261102735996,0.0017251474782824516
edge_transformer,min_cost_flow,ood_size,10025009,100,250,2.5,4,1,137.0,133,0.029197080291970802,2,0,0,1,1,0.05011308938264847,0.06231848523020744,0.0017571775242686272
edge_transformer,min_cost_flow,ood_size,10025010,100,250,2.5,5,1,78.0,66,0.15384615384615385,2,0,0,1,1,0.05858698766678572,0.07047858275473118,0.0017597181722521782
edge_transformer,min_cost_flow,ood_size,10025011,100,250,2.5,6,1,348.0,348,0.0,0,1,1,1,1,0.049453165382146835,0.06380905210971832,0.0017365384846925735
edge_transformer,min_cost_flow,ood_size,10025012,100,250,2.5,7,1,173.0,173,0.0,0,1,1,1,1,0.04733703751116991,0.059426622465252876,0.0017399685457348824
edge_transformer,min_cost_flow,ood_size,10025013,100,250,2.5,8,1,188.0,188,0.0,0,1,1,1,1,0.048835462890565395,0.0651472182944417,0.0017493478953838348
edge_transformer,min_cost_flow,ood_size,10025014,100,250,2.5,9,1,272.0,265,0.025735294117647058,2,0,0,1,1,0.045585389249026775,0.058460596948862076,0.001748998649418354
edge_transformer,min_cost_flow,ood_size,10025015,100,250,2.5,10,1,266.0,256,0.03759398496240601,2,0,0,1,1,0.046405792236328125,0.06295381672680378,0.0017569884657859802
edge_transformer,min_cost_flow,ood_size,10025016,100,250,2.5,11,1,56.0,36,0.35714285714285715,2,0,0,1,1,0.04567700903862715,0.05781163554638624,0.001721288077533245
edge_transformer,min_cost_flow,ood_size,10025017,100,250,2.5,12,1,152.0,112,0.2631578947368421,2,0,0,1,1,0.06746643874794245,0.35151923820376396,0.0019301986321806908
edge_transformer,min_cost_flow,ood_size,10025018,100,250,2.5,13,1,443.0,443,0.0,0,1,1,1,1,0.05045447964221239,0.06362165044993162,0.0017499588429927826
edge_transformer,min_cost_flow,ood_size,10025019,100,250,2.5,14,1,92.0,84,0.08695652173913043,2,0,0,1,1,0.05162527598440647,0.06397301144897938,0.0017392784357070923
edge_transformer,min_cost_flow,ood_size,10025020,100,250,2.5,15,1,381.0,328,0.13910761154855644,2,0,0,1,1,0.05476850084960461,0.06634367257356644,0.0018031084910035133
edge_transformer,min_cost_flow,ood_size,10025021,100,250,2.5,16,1,421.0,378,0.1021377672209026,2,0,0,1,1,0.04551608767360449,0.057494303211569786,0.0017278380692005157
edge_transformer,min_cost_flow,ood_size,10025022,100,250,2.5,17,1,87.0,68,0.21839080459770116,2,0,0,1,1,0.05384932644665241,0.06589768081903458,0.0017514172941446304
edge_transformer,min_cost_flow,ood_size,10025023,100,250,2.5,18,1,144.0,124,0.1388888888888889,2,0,0,1,1,0.047578148543834686,0.05964266322553158,0.001725657843053341
edge_transformer,min_cost_flow,ood_size,10025024,100,250,2.5,19,1,31.0,22,0.2903225806451613,2,0,0,1,1,0.04889585357159376,0.06078491825610399,0.0017496077343821526
edge_transformer,min_cost_flow,ood_size,10030005,100,300,3.0,0,1,404.0,344,0.1485148514851485,2,0,0,1,1,0.06385849229991436,0.08144622202962637,0.002193850465118885
edge_transformer,min_cost_flow,ood_size,10030006,100,300,3.0,1,1,129.0,105,0.18604651162790697,2,0,0,1,1,0.05704869143664837,0.07326811458915472,0.0017834678292274475
edge_transformer,min_cost_flow,ood_size,10030007,100,300,3.0,2,1,447.0,402,0.10067114093959731,2,0,0,1,1,0.07839008886367083,0.09370027855038643,0.0018136277794837952
edge_transformer,min_cost_flow,ood_size,10030008,100,300,3.0,3,1,299.0,214,0.2842809364548495,2,0,0,1,1,0.06286570709198713,0.07878911029547453,0.001794298179447651
edge_transformer,min_cost_flow,ood_size,10030009,100,300,3.0,4,1,196.0,187,0.04591836734693878,2,0,0,1,1,0.05731152277439833,0.07099221553653479,0.001774149015545845
edge_transformer,min_cost_flow,ood_size,10030010,100,300,3.0,5,1,284.0,187,0.3415492957746479,2,0,0,1,1,0.06550062913447618,0.07888530101627111,0.0017935577780008316
edge_transformer,min_cost_flow,ood_size,10030011,100,300,3.0,6,1,412.0,325,0.2111650485436893,2,0,0,1,1,0.0536511754617095,0.06859567295759916,0.0017561279237270355
