model_type,problem_type,eval_mode,wood_problem,network_name,graph_seed,n_nodes,n_edges,density,replication,source,sink,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time,candidate_objective,candidate_objective_gap,candidate_pool_size,num_candidates,candidate_search_time,hybrid_total_time,candidate_exact_match,candidate_hamming_distance,candidate_correct_edges
edge_transformer,shortest_path,id_new,,,3006005,30,60,2.0,0,0,29,1,11.0,10,0.09090909090909091,2,0,0,1,1,0.14114989154040813,0.14608980994671583,0.1606946624815464,11,0.0,5,5,0.012618131935596466,0.17331279441714287,1,0,1
edge_transformer,shortest_path,id_new,,,3006006,30,60,2.0,1,0,29,1,32.0,23,0.28125,2,0,0,1,1,0.01845980528742075,0.021813820116221905,0.001679942011833191,32,0.0,5,5,0.0016619917005300522,0.003341933712363243,1,0,1
edge_transformer,shortest_path,id_new,,,3006007,30,60,2.0,2,0,29,1,35.0,35,0.0,0,1,1,1,1,0.014356634579598904,0.017056581564247608,0.001469762995839119,35,0.0,5,5,0.0006520170718431473,0.0021217800676822662,1,0,1
edge_transformer,shortest_path,id_new,,,3006008,30,60,2.0,3,0,29,1,36.0,30,0.16666666666666666,2,0,0,1,1,0.01551233883947134,0.01823968719691038,0.0014440026134252548,34,0.05555555555555555,5,5,0.0006642471998929977,0.0021082498133182526,0,2,0
edge_transformer,shortest_path,id_new,,,3006009,30,60,2.0,4,0,29,1,56.0,47,0.16071428571428573,2,0,0,1,1,0.016384514048695564,0.01914068218320608,0.0014158040285110474,56,0.0,5,5,0.0006553567945957184,0.0020711608231067657,1,0,1
edge_transformer,shortest_path,id_new,,,3006010,30,60,2.0,5,0,29,1,49.0,40,0.1836734693877551,2,0,0,1,1,0.014567792415618896,0.017296360805630684,0.0014128237962722778,49,0.0,5,5,0.0006720777601003647,0.0020849015563726425,1,0,1
edge_transformer,shortest_path,id_new,,,3006011,30,60,2.0,6,0,29,1,14.000000000000004,14,2.537652627714643e-16,0,1,1,1,1,0.01897942367941141,0.02173335012048483,0.0014299731701612473,14,2.537652627714643e-16,5,5,0.0005300473421812057,0.001960020512342453,1,0,1
edge_transformer,shortest_path,id_new,,,3006012,30,60,2.0,7,0,29,1,15.000000000000005,13,0.13333333333333364,2,0,0,1,1,0.025679531507194042,0.028416388668119907,0.001426144503057003,14,0.066666666666667,5,5,0.000681697390973568,0.002107841894030571,0,2,0
edge_transformer,shortest_path,id_new,,,3006013,30,60,2.0,8,0,29,1,11.0,11,0.0,0,1,1,1,1,0.01752850040793419,0.02020406723022461,0.0014042332768440247,11,0.0,5,5,0.0005663372576236725,0.001970570534467697,1,0,1
edge_transformer,shortest_path,id_new,,,3006014,30,60,2.0,9,0,29,1,34.0,31,0.08823529411764706,2,0,0,1,1,0.025418673641979694,0.02816057950258255,0.0014295028522610664,34,0.0,5,5,0.000666007399559021,0.0020955102518200874,0,2,0
edge_transformer,shortest_path,id_new,,,3006015,30,60,2.0,10,0,29,1,18.0,12,0.3333333333333333,2,0,0,1,1,0.018559914082288742,0.02135464269667864,0.0014010844752192497,18,0.0,5,5,0.0006007272750139236,0.0020018117502331734,1,0,1
edge_transformer,shortest_path,id_new,,,3006016,30,60,2.0,11,0,29,1,19.0,19,0.0,0,1,1,1,1,0.017752178944647312,0.020536906085908413,0.0014499742537736893,19,0.0,5,5,0.000544106587767601,0.0019940808415412903,1,0,1
edge_transformer,shortest_path,id_new,,,3006017,30,60,2.0,12,0,29,1,30.0,22,0.26666666666666666,2,0,0,1,1,0.01655990444123745,0.019299271516501904,0.0013995226472616196,30,0.0,5,5,0.000594237819314003,0.0019937604665756226,0,2,0
edge_transformer,shortest_path,id_new,,,3006018,30,60,2.0,13,0,29,1,48.0,38,0.20833333333333334,2,0,0,1,1,0.01394276600331068,0.0166576923802495,0.0014013126492500305,48,0.0,5,5,0.000651397742331028,0.0020527103915810585,1,0,1
edge_transformer,shortest_path,id_new,,,3006019,30,60,2.0,14,0,29,1,20.0,20,0.0,0,1,1,1,1,0.01683843322098255,0.019544750452041626,0.0013930946588516235,20,0.0,5,5,0.0005631167441606522,0.0019562114030122757,1,0,1
edge_transformer,shortest_path,id_new,,,3006020,30,60,2.0,15,0,29,1,27.0,24,0.1111111111111111,2,0,0,1,1,0.018139776773750782,0.020828234031796455,0.0014118524268269539,27,0.0,5,5,0.0007072566077113152,0.002119109034538269,1,0,1
edge_transformer,shortest_path,id_new,,,3006021,30,60,2.0,16,0,29,1,38.0,31,0.18421052631578946,2,0,0,1,1,0.016727433539927006,0.01945457048714161,0.0014049122110009193,38,0.0,5,5,0.0027102986350655556,0.004115210846066475,1,0,1
edge_transformer,shortest_path,id_new,,,3006022,30,60,2.0,17,0,29,1,15.0,15,0.0,0,1,1,1,1,0.017528698779642582,0.020128917880356312,0.0014336928725242615,15,0.0,5,5,0.0005320683121681213,0.001965761184692383,1,0,1
edge_transformer,shortest_path,id_new,,,3006023,30,60,2.0,18,0,29,1,17.0,17,0.0,2,0,0,1,1,0.016810902394354343,0.019498661160469055,0.001410854049026966,17,0.0,5,5,0.0005841366946697235,0.0019949907436966896,0,2,0
edge_transformer,shortest_path,id_new,,,3006024,30,60,2.0,19,0,29,1,18.0,18,0.0,0,1,1,1,1,0.01714797131717205,0.019891219213604927,0.001409422606229782,18,0.0,5,5,0.0005240486934781075,0.0019334712997078896,1,0,1
edge_transformer,shortest_path,id_new,,,3009005,30,90,3.0,0,0,29,1,19.0,19,0.0,0,1,1,1,1,0.02185035962611437,0.025305313989520073,0.0015893233940005302,19,0.0,5,5,0.0007329769432544708,0.002322300337255001,1,0,1
edge_transformer,shortest_path,id_new,,,3009006,30,90,3.0,1,0,29,1,20.0,19,0.05,2,0,0,1,1,0.032767790369689465,0.03626147471368313,0.0014522736892104149,20,0.0,5,5,0.0008144453167915344,0.0022667190060019493,1,0,1
edge_transformer,shortest_path,id_new,,,3009007,30,90,3.0,2,0,29,1,26.0,26,0.0,0,1,1,1,1,0.02196416910737753,0.025494582951068878,0.0014199335128068924,26,0.0,5,5,0.0008695460855960846,0.002289479598402977,1,0,1
edge_transformer,shortest_path,id_new,,,3009008,30,90,3.0,3,0,29,1,17.0,15,0.11764705882352941,2,0,0,1,1,0.03489657025784254,0.038331144489347935,0.0014600129798054695,17,0.0,5,5,0.0008659763261675835,0.002325989305973053,1,0,1
edge_transformer,shortest_path,id_new,,,3009009,30,90,3.0,4,0,29,1,17.0,16,0.058823529411764705,2,0,0,1,1,0.029426375404000282,0.032937489449977875,0.0014218846336007118,17,0.0,5,5,0.00080848578363657,0.002230370417237282,0,2,0
edge_transformer,shortest_path,id_new,,,3009010,30,90,3.0,5,0,29,1,16.0,13,0.1875,2,0,0,1,1,0.022351386956870556,0.027615772560238838,0.0014487728476524353,16,0.0,5,5,0.000821676105260849,0.0022704489529132843,0,2,0
edge_transformer,shortest_path,id_new,,,3009011,30,90,3.0,6,0,29,1,21.0,17,0.19047619047619047,2,0,0,1,1,0.02240740694105625,0.025868250988423824,0.0014301128685474396,21,0.0,5,5,0.000764976255595684,0.0021950891241431236,1,0,1
edge_transformer,shortest_path,id_new,,,3009012,30,90,3.0,7,0,29,1,18.000000000000004,14,0.22222222222222238,2,0,0,1,1,0.022353067062795162,0.025831911712884903,0.0014359131455421448,17,0.05555555555555574,5,5,0.0007745362818241119,0.0022104494273662567,0,2,0
edge_transformer,shortest_path,id_new,,,3009013,30,90,3.0,8,0,29,1,12.0,12,0.0,0,1,1,1,1,0.02311053406447172,0.026731987483799458,0.00143460463732481,12,0.0,5,5,0.0008204570040106773,0.0022550616413354874,1,0,1
edge_transformer,shortest_path,id_new,,,3009014,30,90,3.0,9,0,29,1,16.0,16,0.0,0,1,1,1,1,0.022357366979122162,0.02766957227140665,0.0014843028038740158,16,0.0,5,5,0.0007489072158932686,0.0022332100197672844,1,0,1
edge_transformer,shortest_path,id_new,,,3009015,30,90,3.0,10,0,29,1,13.0,13,0.0,0,1,1,1,1,0.022491185925900936,0.026015881448984146,0.0014444729313254356,13,0.0,5,5,0.0007547270506620407,0.0021991999819874763,1,0,1
edge_transformer,shortest_path,id_new,,,3009016,30,90,3.0,11,0,29,1,15.0,15,0.0,0,1,1,1,1,0.020901253446936607,0.02436243835836649,0.001408332958817482,15,0.0,5,5,0.0007684370502829552,0.002176770009100437,1,0,1
edge_transformer,shortest_path,id_new,,,3009017,30,90,3.0,12,0,29,1,2.0,2,0.0,0,1,1,1,1,0.01953849010169506,0.023038183338940144,0.0013962537050247192,2,0.0,5,5,0.0006696069613099098,0.002065860666334629,1,0,1
edge_transformer,shortest_path,id_new,,,3009018,30,90,3.0,13,0,29,1,21.0,21,0.0,0,1,1,1,1,0.02145989052951336,0.02671782672405243,0.0014446228742599487,21,0.0,5,5,0.0007826760411262512,0.0022272989153862,1,0,1
edge_transformer,shortest_path,id_new,,,3009019,30,90,3.0,14,0,29,1,24.0,24,0.0,2,0,0,1,1,0.02251689601689577,0.025947260670363903,0.001435442827641964,24,0.0,5,5,0.0008518854156136513,0.0022873282432556152,0,2,0
edge_transformer,shortest_path,id_new,,,3009020,30,90,3.0,15,0,29,1,18.0,16,0.1111111111111111,2,0,0,1,1,0.024151919409632683,0.027575704269111156,0.00141893420368433,18,0.0,5,5,0.0008085668087005615,0.0022275010123848915,1,0,1
edge_transformer,shortest_path,id_new,,,3009021,30,90,3.0,16,0,29,1,18.000000000000025,18,1.3816108750890817e-15,2,0,0,1,1,0.046812294982373714,0.050290399231016636,0.0014627929776906967,18,1.3816108750890817e-15,5,5,0.0008182059973478317,0.0022809989750385284,0,2,0
edge_transformer,shortest_path,id_new,,,3009022,30,90,3.0,17,0,29,1,31.0,31,0.0,0,1,1,1,1,0.023884059861302376,0.027404344640672207,0.001439402811229229,31,0.0,5,5,0.0008134059607982635,0.0022528087720274925,1,0,1
edge_transformer,shortest_path,id_new,,,3009023,30,90,3.0,18,0,29,1,12.0,12,0.0,2,0,0,1,1,0.02267912682145834,0.026122121140360832,0.001429673284292221,12,0.0,5,5,0.000699157826602459,0.00212883111089468,0,2,0
edge_transformer,shortest_path,id_new,,,3009024,30,90,3.0,19,0,29,1,18.0,15,0.16666666666666666,2,0,0,1,1,0.023997030220925808,0.02744775451719761,0.0014268327504396439,18,0.0,5,5,0.0007923757657408714,0.0022192085161805153,1,0,1
edge_transformer,shortest_path,id_new,,,3012005,30,120,4.0,0,0,29,1,22.0,22,0.0,0,1,1,1,1,0.025061464868485928,0.031038408167660236,0.0015556728467345238,22,0.0,5,5,0.0010423148050904274,0.002597987651824951,1,0,1
edge_transformer,shortest_path,id_new,,,3012006,30,120,4.0,1,0,29,1,19.000000000000007,14,0.26315789473684237,2,0,0,1,1,0.027987311594188213,0.03211504314094782,0.0014361627399921417,19,3.739698609263684e-16,5,5,0.000965106301009655,0.0024012690410017967,1,0,1
edge_transformer,shortest_path,id_new,,,3012007,30,120,4.0,2,0,29,1,11.0,11,0.0,0,1,1,1,1,0.027726133354008198,0.031966413371264935,0.0014587529003620148,11,0.0,5,5,0.0008608261123299599,0.0023195790126919746,1,0,1
edge_transformer,shortest_path,id_new,,,3012008,30,120,4.0,3,0,29,1,14.0,14,0.0,0,1,1,1,1,0.02733205445110798,0.033253188244998455,0.0014749029651284218,14,0.0,5,5,0.0009366543963551521,0.002411557361483574,1,0,1
edge_transformer,shortest_path,id_new,,,3012009,30,120,4.0,4,0,29,1,31.0,26,0.16129032258064516,2,0,0,1,1,0.026016280986368656,0.030212540179491043,0.0014179227873682976,26,0.16129032258064516,5,5,0.00100665632635355,0.0024245791137218475,0,2,0
edge_transformer,shortest_path,id_new,,,3012010,30,120,4.0,5,0,29,1,27.0,27,0.0,0,1,1,1,1,0.024908185936510563,0.0291243065148592,0.0014302534982562065,27,0.0,5,5,0.00098490621894598,0.0024151597172021866,1,0,1
edge_transformer,shortest_path,id_new,,,3012011,30,120,4.0,6,0,29,1,16.0,16,0.0,0,1,1,1,1,0.024341877549886703,0.03028063103556633,0.001445113681256771,16,0.0,5,5,0.0008623655885457993,0.0023074792698025703,1,0,1
edge_transformer,shortest_path,id_new,,,3012012,30,120,4.0,7,0,29,1,8.0,5,0.375,2,0,0,1,1,0.025310853496193886,0.02948796469718218,0.001427183859050274,5,0.375,5,5,0.0008317669853568077,0.0022589508444070816,0,2,0
edge_transformer,shortest_path,id_new,,,3012013,30,120,4.0,8,0,29,1,13.0,12,0.07692307692307693,2,0,0,1,1,0.02655722852796316,0.03071144875138998,0.0014347638934850693,13,0.0,5,5,0.0009803660213947296,0.002415129914879799,0,2,0
edge_transformer,shortest_path,id_new,,,3012014,30,120,4.0,9,0,29,1,17.0,17,0.0,0,1,1,1,1,0.02513546496629715,0.029352715238928795,0.0014620842412114143,17,0.0,5,5,0.0009101042523980141,0.0023721884936094284,1,0,1
edge_transformer,shortest_path,id_new,,,3012015,30,120,4.0,10,0,29,1,13.0,9,0.3076923076923077,2,0,0,1,1,0.02792938146740198,0.03213720303028822,0.0014558425173163414,13,0.0,5,5,0.001041904091835022,0.0024977466091513634,1,0,1
edge_transformer,shortest_path,id_new,,,3012016,30,120,4.0,11,0,29,1,16.0,15,0.0625,2,0,0,1,1,0.02799067087471485,0.03217227291315794,0.0014334628358483315,16,0.0,5,5,0.0010001445189118385,0.00243360735476017,1,0,1
edge_transformer,shortest_path,id_new,,,3012017,30,120,4.0,12,0,29,1,18.0,17,0.05555555555555555,2,0,0,1,1,0.028538988903164864,0.03281744010746479,0.0015003429725766182,18,0.0,5,5,0.0009579658508300781,0.0024583088234066963,1,0,1
edge_transformer,shortest_path,id_new,,,3012018,30,120,4.0,13,0,29,1,19.0,19,0.0,2,0,0,1,1,0.03755057789385319,0.04184065852314234,0.0014727041125297546,19,0.0,5,5,0.001042255200445652,0.0025149593129754066,0,2,0
edge_transformer,shortest_path,id_new,,,3012019,30,120,4.0,14,0,29,1,23.0,23,0.0,0,1,1,1,1,0.028469709679484367,0.032670630142092705,0.0014446927234530449,23,0.0,5,5,0.0010502347722649574,0.0024949274957180023,1,0,1
edge_transformer,shortest_path,id_new,,,3012020,30,120,4.0,15,0,29,1,14.0,14,0.0,0,1,1,1,1,0.02977308351546526,0.034019364044070244,0.0014651324599981308,14,0.0,5,5,0.0009304061532020569,0.0023955386132001877,1,0,1
