model_type,problem_type,eval_mode,wood_problem,wood_rows,wood_cols,network_name,graph_seed,n_nodes,n_edges,density,replication,source,sink,source_original,sink_original,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time,candidate_objective,candidate_objective_gap,candidate_pool_size,num_candidates,candidate_search_time,hybrid_total_time,candidate_exact_match,candidate_hamming_distance,candidate_correct_edges
edge_transformer,shortest_path,id_new,,,,,3006005,30,60,2.0,0,0,29,,,1,11.0,10,0.09090909090909091,2,0,0,1,1,0.10863476619124413,0.11365766916424036,0.17001662869006395,11,0.0,5,5,0.014090050011873245,0.1841066787019372,1,0,1
edge_transformer,shortest_path,id_new,,,,,3006006,30,60,2.0,1,0,29,,,1,32.0,32,0.0,0,1,1,1,1,0.01900180336087942,0.022306056693196297,0.0018478808924555779,32,0.0,5,5,0.0019994517788290977,0.0038473326712846756,1,0,1
edge_transformer,shortest_path,id_new,,,,,3006007,30,60,2.0,2,0,29,,,1,35.0,35,0.0,0,1,1,1,1,0.014516389928758144,0.01742178201675415,0.0016137203201651573,35,0.0,5,5,0.0007521798834204674,0.0023659002035856247,1,0,1
edge_transformer,shortest_path,id_new,,,,,3006008,30,60,2.0,3,0,29,,,1,36.0,30,0.16666666666666666,2,0,0,1,1,0.0174012528732419,0.020577694289386272,0.0015484411269426346,33,0.08333333333333333,5,5,0.000769561156630516,0.0023180022835731506,0,2,0
edge_transformer,shortest_path,id_new,,,,,3006009,30,60,2.0,4,0,29,,,1,56.0,56,0.0,0,1,1,1,1,0.016861862502992153,0.02004772424697876,0.0015388214960694313,56,0.0,5,5,0.0007658610120415688,0.002304682508111,1,0,1
edge_transformer,shortest_path,id_new,,,,,3006010,30,60,2.0,5,0,29,,,1,49.0,43,0.12244897959183673,2,0,0,1,1,0.014813841320574284,0.017994183115661144,0.0015370910987257957,49,0.0,5,5,0.0007717413827776909,0.0023088324815034866,1,0,1
edge_transformer,shortest_path,id_new,,,,,3006011,30,60,2.0,6,0,29,,,1,14.000000000000004,11,0.2142857142857145,2,0,0,1,1,0.02019441407173872,0.02335189562290907,0.0015828721225261688,14,2.537652627714643e-16,5,5,0.0006230594590306282,0.002205931581556797,1,0,1
edge_transformer,shortest_path,id_new,,,,,3006012,30,60,2.0,7,0,29,,,1,15.000000000000005,13,0.13333333333333364,2,0,0,1,1,0.028944890946149826,0.03213651292026043,0.0016591418534517288,14,0.066666666666667,5,5,0.000799461267888546,0.002458603121340275,0,2,0
edge_transformer,shortest_path,id_new,,,,,3006013,30,60,2.0,8,0,29,,,1,11.0,11,0.0,0,1,1,1,1,0.017825422808527946,0.020867385901510715,0.0015013711526989937,11,0.0,5,5,0.000601351261138916,0.0021027224138379097,1,0,1
edge_transformer,shortest_path,id_new,,,,,3006014,30,60,2.0,9,0,29,,,1,34.0,31,0.08823529411764706,2,0,0,1,1,0.025580868124961853,0.028353089466691017,0.001498531550168991,34,0.0,5,5,0.0006731497123837471,0.002171681262552738,0,2,0
edge_transformer,shortest_path,id_new,,,,,3006015,30,60,2.0,10,0,29,,,1,18.0,18,0.0,0,1,1,1,1,0.01841429341584444,0.021177174523472786,0.001427721232175827,18,0.0,5,5,0.0006116395816206932,0.0020393608137965202,1,0,1
edge_transformer,shortest_path,id_new,,,,,3006016,30,60,2.0,11,0,29,,,1,19.0,19,0.0,0,1,1,1,1,0.018656402826309204,0.021441864781081676,0.0014467211440205574,19,0.0,5,5,0.0005478095263242722,0.0019945306703448296,1,0,1
edge_transformer,shortest_path,id_new,,,,,3006017,30,60,2.0,12,0,29,,,1,30.0,30,0.0,2,0,0,1,1,0.01661420240998268,0.019436893984675407,0.0014175912365317345,30,0.0,5,5,0.00063296128064394,0.0020505525171756744,0,2,0
edge_transformer,shortest_path,id_new,,,,,3006018,30,60,2.0,13,0,29,,,1,48.0,48,0.0,0,1,1,1,1,0.014801201410591602,0.017605062574148178,0.001490010879933834,48,0.0,5,5,0.0007088715210556984,0.0021988824009895325,1,0,1
edge_transformer,shortest_path,id_new,,,,,3006019,30,60,2.0,14,0,29,,,1,20.0,20,0.0,0,1,1,1,1,0.017253221943974495,0.019988643936812878,0.001419740729033947,20,0.0,5,5,0.000567571260035038,0.001987311989068985,1,0,1
