model_type,problem_type,eval_mode,graph_seed,n_nodes,n_edges,density,replication,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time
edge_transformer,shortest_path,ood_size,10020005,100,200,2.0,0,1,57.0,50,0.12280701754385964,2,0,0,1,1,0.1925006709061563,0.1988613409921527,0.02261074911803007
edge_transformer,shortest_path,ood_size,10020006,100,200,2.0,1,1,18.0,14,0.2222222222222222,2,0,0,1,1,0.032872200943529606,0.038095895666629076,0.0020902659744024277
edge_transformer,shortest_path,ood_size,10020007,100,200,2.0,2,1,35.0,34,0.02857142857142857,2,0,0,1,1,0.03792179701849818,0.042948901653289795,0.001992246136069298
edge_transformer,shortest_path,ood_size,10020008,100,200,2.0,3,1,38.0,29,0.23684210526315788,2,0,0,1,1,0.03554290859028697,0.04073364520445466,0.002318616956472397
edge_transformer,shortest_path,ood_size,10020009,100,200,2.0,4,1,28.0,28,0.0,0,1,1,1,1,0.037981466855853796,0.0432366831228137,0.0021407660096883774
edge_transformer,shortest_path,ood_size,10020010,100,200,2.0,5,1,34.0,25,0.2647058823529412,2,0,0,1,1,0.04680531332269311,0.051891479175537825,0.0022058659233152866
edge_transformer,shortest_path,ood_size,10020011,100,200,2.0,6,1,33.0,32,0.030303030303030304,2,0,0,1,1,0.032295629382133484,0.03751195501536131,0.0019921259954571724
edge_transformer,shortest_path,ood_size,10020012,100,200,2.0,7,1,19.0,18,0.05263157894736842,2,0,0,1,1,0.036202832125127316,0.041366897989064455,0.0018169861286878586
edge_transformer,shortest_path,ood_size,10020013,100,200,2.0,8,1,47.0,39,0.1702127659574468,2,0,0,1,1,0.036273651756346226,0.04159496817737818,0.0018245060928165913
edge_transformer,shortest_path,ood_size,10020014,100,200,2.0,9,1,29.0,21,0.27586206896551724,2,0,0,1,1,0.03482660697773099,0.039841212797909975,0.0018362859264016151
edge_transformer,shortest_path,ood_size,10020015,100,200,2.0,10,1,21.0,21,0.0,0,1,1,1,1,0.0355063290335238,0.04082432575523853,0.0018177651800215244
edge_transformer,shortest_path,ood_size,10020016,100,200,2.0,11,1,41.0,37,0.0975609756097561,2,0,0,1,1,0.03201761795207858,0.037167883943766356,0.001828834880143404
edge_transformer,shortest_path,ood_size,10020017,100,200,2.0,12,1,40.0,30,0.25,2,0,0,1,1,0.03585988003760576,0.041030365973711014,0.0018173758871853352
edge_transformer,shortest_path,ood_size,10020018,100,200,2.0,13,1,40.0,40,0.0,0,1,1,1,1,0.0367916040122509,0.04201009031385183,0.0018196050077676773
edge_transformer,shortest_path,ood_size,10020019,100,200,2.0,14,1,31.0,25,0.1935483870967742,2,0,0,1,1,0.035607149824500084,0.040793345775455236,0.001815995667129755
edge_transformer,shortest_path,ood_size,10020020,100,200,2.0,15,1,52.0,52,0.0,2,0,0,1,1,0.03636167058721185,0.0416441080160439,0.0019021052867174149
edge_transformer,shortest_path,ood_size,10020021,100,200,2.0,16,1,20.0,17,0.15,2,0,0,1,1,0.04661589302122593,0.0517702791839838,0.0021077170968055725
edge_transformer,shortest_path,ood_size,10020022,100,200,2.0,17,1,5.0,5,0.0,0,1,1,1,1,0.03444143570959568,0.039716152008622885,0.0020073959603905678
edge_transformer,shortest_path,ood_size,10020023,100,200,2.0,18,1,17.0,14,0.17647058823529413,2,0,0,1,1,0.0335292830131948,0.03867306932806969,0.0018384060822427273
edge_transformer,shortest_path,ood_size,10020024,100,200,2.0,19,1,40.0,36,0.1,2,0,0,1,1,0.035637888591736555,0.04090927494689822,0.0019263760186731815
edge_transformer,shortest_path,ood_size,10025005,100,250,2.5,0,1,13.0,13,0.0,0,1,1,1,1,0.03878578916192055,0.044724907260388136,0.008731756825000048
edge_transformer,shortest_path,ood_size,10025006,100,250,2.5,1,1,33.0,31,0.06060606060606061,2,0,0,1,1,0.04412952624261379,0.05021698400378227,0.0026248376816511154
edge_transformer,shortest_path,ood_size,10025007,100,250,2.5,2,1,22.000000000000004,20,0.09090909090909105,2,0,0,1,1,0.04551645880565047,0.05151916900649667,0.0026642880402505398
edge_transformer,shortest_path,ood_size,10025008,100,250,2.5,3,1,20.0,20,0.0,0,1,1,1,1,0.04594084061682224,0.05180698027834296,0.0025804778560996056
edge_transformer,shortest_path,ood_size,10025009,100,250,2.5,4,1,34.0,27,0.20588235294117646,2,0,0,1,1,0.04136593732982874,0.0472208047285676,0.0021498664282262325
edge_transformer,shortest_path,ood_size,10025010,100,250,2.5,5,1,26.000000000000004,26,1.3664283380001925e-16,0,1,1,1,1,0.06166663905605674,0.06781061924993992,0.00267166830599308
edge_transformer,shortest_path,ood_size,10025011,100,250,2.5,6,1,15.0,15,0.0,0,1,1,1,1,0.05167583888396621,0.057728536892682314,0.0025375578552484512
edge_transformer,shortest_path,ood_size,10025012,100,250,2.5,7,1,11.0,8,0.2727272727272727,2,0,0,1,1,0.0473443060182035,0.053355113603174686,0.002816258929669857
edge_transformer,shortest_path,ood_size,10025013,100,250,2.5,8,1,22.0,20,0.09090909090909091,2,0,0,1,1,0.06943092308938503,0.0754185919649899,0.0032160403206944466
edge_transformer,shortest_path,ood_size,10025014,100,250,2.5,9,1,29.0,27,0.06896551724137931,2,0,0,1,1,0.12692057993263006,0.13281282782554626,0.002261197194457054
edge_transformer,shortest_path,ood_size,10025015,100,250,2.5,10,1,24.0,24,0.0,2,0,0,1,1,0.047446486074477434,0.0536354947835207,0.0022136569023132324
edge_transformer,shortest_path,ood_size,10025016,100,250,2.5,11,1,14.0,9,0.35714285714285715,2,0,0,1,1,0.04211251903325319,0.04806205676868558,0.0020935959182679653
edge_transformer,shortest_path,ood_size,10025017,100,250,2.5,12,1,38.0,38,0.0,0,1,1,1,1,0.06042089592665434,0.0666327546350658,0.0021426063030958176
edge_transformer,shortest_path,ood_size,10025018,100,250,2.5,13,1,30.0,30,0.0,0,1,1,1,1,0.06304041296243668,0.0689805019646883,0.002159216906875372
edge_transformer,shortest_path,ood_size,10025019,100,250,2.5,14,1,45.0,41,0.08888888888888889,2,0,0,1,1,0.0483793281018734,0.054529108107089996,0.002123697195202112
edge_transformer,shortest_path,ood_size,10025020,100,250,2.5,15,1,24.0,24,0.0,0,1,1,1,1,0.052429321222007275,0.0585249001160264,0.002067157067358494
edge_transformer,shortest_path,ood_size,10025021,100,250,2.5,16,1,20.0,17,0.15,2,0,0,1,1,0.044800558127462864,0.05070194602012634,0.002113455906510353
edge_transformer,shortest_path,ood_size,10025022,100,250,2.5,17,1,43.0,38,0.11627906976744186,2,0,0,1,1,0.04922690102830529,0.05531157972291112,0.0021141069009900093
edge_transformer,shortest_path,ood_size,10025023,100,250,2.5,18,1,36.0,27,0.25,2,0,0,1,1,0.04107556585222483,0.04700589505955577,0.002110726200044155
