model_type,problem_type,eval_mode,wood_problem,network_name,graph_seed,n_nodes,n_edges,density,replication,source,sink,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time,candidate_objective,candidate_objective_gap,candidate_pool_size,num_candidates,candidate_search_time,hybrid_total_time,candidate_exact_match,candidate_hamming_distance,candidate_correct_edges
edge_transformer,shortest_path,ood_size,,,10020005,100,200,2.0,0,0,99,1,57.0,47,0.17543859649122806,2,0,0,1,1,0.17580245435237885,0.18466301262378693,0.15763147547841072,50,0.12280701754385964,5,5,0.0138027872890234,0.17143426276743412,0,2,0
edge_transformer,shortest_path,ood_size,,,10020006,100,200,2.0,1,0,99,1,18.0,14,0.2222222222222222,2,0,0,1,1,0.0429466450586915,0.04997924342751503,0.0018328716978430748,18,0.0,5,5,0.0018457723781466484,0.003678644075989723,1,0,1
edge_transformer,shortest_path,ood_size,,,10020007,100,200,2.0,2,0,99,1,35.0,34,0.02857142857142857,2,0,0,1,1,0.047099387273192406,0.05397365428507328,0.0016642017289996147,34,0.02857142857142857,5,5,0.003055136650800705,0.00471933837980032,0,2,0
edge_transformer,shortest_path,ood_size,,,10020008,100,200,2.0,3,0,99,1,38.0,29,0.23684210526315788,2,0,0,1,1,0.042205928824841976,0.048764439299702644,0.0016493825241923332,36,0.05263157894736842,5,5,0.002013520337641239,0.0036629028618335724,0,2,0
edge_transformer,shortest_path,ood_size,,,10020009,100,200,2.0,4,0,99,1,28.0,28,0.0,0,1,1,1,1,0.043690621852874756,0.05051212105900049,0.0016490127891302109,28,0.0,5,5,0.0017578816041350365,0.0034068943932652473,1,0,1
edge_transformer,shortest_path,ood_size,,,10020010,100,200,2.0,5,0,99,1,34.0,25,0.2647058823529412,2,0,0,1,1,0.05909036286175251,0.0659091416746378,0.0016649328172206879,34,0.0,5,5,0.002135169692337513,0.003800102509558201,1,0,1
edge_transformer,shortest_path,ood_size,,,10020011,100,200,2.0,6,0,99,1,33.0,32,0.030303030303030304,2,0,0,1,1,0.041707600466907024,0.0494324155151844,0.0016624815762043,32,0.030303030303030304,5,5,0.0017993617802858353,0.003461843356490135,0,2,0
edge_transformer,shortest_path,ood_size,,,10020012,100,200,2.0,7,0,99,1,19.0,18,0.05263157894736842,2,0,0,1,1,0.04200330004096031,0.04879517946392298,0.00165606290102005,19,0.0,5,5,0.001681002788245678,0.003337065689265728,1,0,1
edge_transformer,shortest_path,ood_size,,,10020013,100,200,2.0,8,0,99,1,47.0,41,0.1276595744680851,2,0,0,1,1,0.045151056721806526,0.05311870854347944,0.0016714222729206085,47,0.0,5,5,0.0022006500512361526,0.003872072324156761,0,2,0
edge_transformer,shortest_path,ood_size,,,10020014,100,200,2.0,9,0,99,1,29.0,21,0.27586206896551724,2,0,0,1,1,0.04271926637738943,0.04975248500704765,0.0016450826078653336,27,0.06896551724137931,5,5,0.0018638819456100464,0.00350896455347538,0,2,0
edge_transformer,shortest_path,ood_size,,,10020015,100,200,2.0,10,0,99,1,21.0,21,0.0,0,1,1,1,1,0.043753672391176224,0.05061800964176655,0.0016423016786575317,21,0.0,5,5,0.0017049415037035942,0.003347243182361126,1,0,1
edge_transformer,shortest_path,ood_size,,,10020016,100,200,2.0,11,0,99,1,41.0,37,0.0975609756097561,2,0,0,1,1,0.04150889068841934,0.04928464535623789,0.0016476521268486977,41,0.0,5,5,0.002116401679813862,0.0037640538066625595,1,0,1
edge_transformer,shortest_path,ood_size,,,10020017,100,200,2.0,12,0,99,1,40.0,30,0.25,2,0,0,1,1,0.0438954709097743,0.05064920987933874,0.0016404129564762115,37,0.075,5,5,0.00186070054769516,0.0035011135041713715,0,2,0
edge_transformer,shortest_path,ood_size,,,10020018,100,200,2.0,13,0,99,1,40.0,40,0.0,0,1,1,1,1,0.04265766590833664,0.050575180910527706,0.00166352279484272,40,0.0,5,5,0.0018248911947011948,0.003488413989543915,1,0,1
edge_transformer,shortest_path,ood_size,,,10020019,100,200,2.0,14,0,99,1,31.0,25,0.1935483870967742,2,0,0,1,1,0.04579517152160406,0.052564382553100586,0.001674002967774868,31,0.0,5,5,0.0019759712740778923,0.0036499742418527603,1,0,1
edge_transformer,shortest_path,ood_size,,,10020020,100,200,2.0,15,0,99,1,52.0,52,0.0,2,0,0,1,1,0.04536420572549105,0.05274448078125715,0.0016364539042115211,52,0.0,5,5,0.0020152712240815163,0.0036517251282930374,0,2,0
edge_transformer,shortest_path,ood_size,,,10020021,100,200,2.0,16,0,99,1,20.0,17,0.15,2,0,0,1,1,0.05678663309663534,0.06472401693463326,0.0016912715509533882,20,0.0,5,5,0.002106419764459133,0.0037976913154125214,1,0,1
edge_transformer,shortest_path,ood_size,,,10020022,100,200,2.0,17,0,99,1,5.0,5,0.0,0,1,1,1,1,0.04331123270094395,0.05002842377871275,0.0016436027362942696,5,0.0,5,5,0.0016607614234089851,0.0033043641597032547,1,0,1
edge_transformer,shortest_path,ood_size,,,10020023,100,200,2.0,18,0,99,1,17.0,14,0.17647058823529413,2,0,0,1,1,0.04094523470848799,0.048876368440687656,0.0016658036038279533,17,0.0,5,5,0.0017768023535609245,0.003442605957388878,1,0,1
edge_transformer,shortest_path,ood_size,,,10020024,100,200,2.0,19,0,99,1,40.0,30,0.25,2,0,0,1,1,0.04359233286231756,0.05038369260728359,0.0016557220369577408,36,0.1,5,5,0.002128319814801216,0.003784041851758957,0,2,0
edge_transformer,shortest_path,ood_size,,,10025005,100,250,2.5,0,0,99,1,13.0,13,0.0,0,1,1,1,1,0.04906775802373886,0.057162550278007984,0.002241610549390316,13,0.0,5,5,0.0019354308024048805,0.0041770413517951965,1,0,1
edge_transformer,shortest_path,ood_size,,,10025006,100,250,2.5,1,0,99,1,33.0,31,0.06060606060606061,2,0,0,1,1,0.05561783816665411,0.06440520938485861,0.0016899630427360535,31,0.06060606060606061,5,5,0.0025610392913222313,0.004251002334058285,0,2,0
edge_transformer,shortest_path,ood_size,,,10025007,100,250,2.5,2,0,99,1,22.0,22,0.0,0,1,1,1,1,0.057217229157686234,0.06561564188450575,0.001701842062175274,22,0.0,5,5,0.0022683097049593925,0.0039701517671346664,1,0,1
edge_transformer,shortest_path,ood_size,,,10025008,100,250,2.5,3,0,99,1,20.0,20,0.0,2,0,0,1,1,0.05612663645297289,0.06455822847783566,0.0016947118565440178,20,0.0,5,5,0.0023545492440462112,0.004049261100590229,0,2,0
edge_transformer,shortest_path,ood_size,,,10025009,100,250,2.5,4,0,99,1,34.0,31,0.08823529411764706,2,0,0,1,1,0.04948396608233452,0.05826066620647907,0.0016908422112464905,31,0.08823529411764706,5,5,0.002242359332740307,0.003933201543986797,0,2,0
