model_type,problem_type,eval_mode,wood_problem,network_name,graph_seed,n_nodes,n_edges,density,replication,source,sink,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time,candidate_objective,candidate_objective_gap,candidate_pool_size,num_candidates,candidate_search_time,hybrid_total_time,candidate_exact_match,candidate_hamming_distance,candidate_correct_edges
edge_transformer,shortest_path,ood_size,,,10020005,100,200,2.0,0,0,99,1,57.0,47,0.17543859649122806,2,0,0,1,1,0.16590084228664637,0.17475376278162003,0.16016157809644938,50,0.12280701754385964,5,5,0.013409909792244434,0.1735714878886938,0,2,0
edge_transformer,shortest_path,ood_size,,,10020006,100,200,2.0,1,0,99,1,18.0,14,0.2222222222222222,2,0,0,1,1,0.04328021500259638,0.05035448353737593,0.0018417919054627419,18,0.0,5,5,0.0019637206569314003,0.003805512562394142,1,0,1
edge_transformer,shortest_path,ood_size,,,10020007,100,200,2.0,2,0,99,1,35.0,34,0.02857142857142857,2,0,0,1,1,0.04730037692934275,0.05422877613455057,0.0016685621812939644,34,0.02857142857142857,5,5,0.0031554661691188812,0.004824028350412846,0,2,0
edge_transformer,shortest_path,ood_size,,,10020008,100,200,2.0,3,0,99,1,38.0,29,0.23684210526315788,2,0,0,1,1,0.04284434672445059,0.049353246577084064,0.0016544125974178314,36,0.05263157894736842,5,5,0.002133941277861595,0.0037883538752794266,0,2,0
edge_transformer,shortest_path,ood_size,,,10020009,100,200,2.0,4,0,99,1,28.0,28,0.0,0,1,1,1,1,0.04369587264955044,0.05046836379915476,0.0016362229362130165,28,0.0,5,5,0.0018621915951371193,0.003498414531350136,1,0,1
edge_transformer,shortest_path,ood_size,,,10020010,100,200,2.0,5,0,99,1,34.0,25,0.2647058823529412,2,0,0,1,1,0.059318543411791325,0.06607409194111824,0.0016755731776356697,34,0.0,5,5,0.0022568991407752037,0.003932472318410873,1,0,1
edge_transformer,shortest_path,ood_size,,,10020011,100,200,2.0,6,0,99,1,33.0,32,0.030303030303030304,2,0,0,1,1,0.0419357605278492,0.04961869586259127,0.0016487427055835724,32,0.030303030303030304,5,5,0.0019058305770158768,0.003554573282599449,0,2,0
edge_transformer,shortest_path,ood_size,,,10020012,100,200,2.0,7,0,99,1,19.0,18,0.05263157894736842,2,0,0,1,1,0.043086156249046326,0.04984212573617697,0.0016484623774886131,19,0.0,5,5,0.0017936425283551216,0.0034421049058437347,1,0,1
edge_transformer,shortest_path,ood_size,,,10020013,100,200,2.0,8,0,99,1,47.0,41,0.1276595744680851,2,0,0,1,1,0.045752293430268764,0.053667918778955936,0.0016840631142258644,47,0.0,5,5,0.0023146308958530426,0.003998694010078907,0,2,0
edge_transformer,shortest_path,ood_size,,,10020014,100,200,2.0,9,0,99,1,29.0,21,0.27586206896551724,2,0,0,1,1,0.04313775524497032,0.049687386490404606,0.0016539022326469421,27,0.06896551724137931,5,5,0.0019750911742448807,0.003628993406891823,0,2,0
