model_type,problem_type,eval_mode,wood_problem,network_name,graph_seed,n_nodes,n_edges,density,replication,source,sink,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time
edge_transformer,shortest_path,ood_size,,,10020005,100,200,2.0,0,0,99,1,57.0,50,0.12280701754385964,2,0,0,1,1,0.16867924481630325,0.17739315796643496,0.17102378513664007
edge_transformer,shortest_path,ood_size,,,10020006,100,200,2.0,1,0,99,1,18.0,14,0.2222222222222222,2,0,0,1,1,0.04377974942326546,0.05105435196310282,0.0018289107829332352
edge_transformer,shortest_path,ood_size,,,10020007,100,200,2.0,2,0,99,1,35.0,34,0.02857142857142857,2,0,0,1,1,0.04640890099108219,0.05356990359723568,0.0017380909994244576
edge_transformer,shortest_path,ood_size,,,10020008,100,200,2.0,3,0,99,1,38.0,29,0.23684210526315788,2,0,0,1,1,0.04256152920424938,0.04940582159906626,0.0016647009178996086
edge_transformer,shortest_path,ood_size,,,10020009,100,200,2.0,4,0,99,1,28.0,28,0.0,0,1,1,1,1,0.04392274934798479,0.05111886281520128,0.0016108518466353416
edge_transformer,shortest_path,ood_size,,,10020010,100,200,2.0,5,0,99,1,34.0,25,0.2647058823529412,2,0,0,1,1,0.05711390636861324,0.06421972904354334,0.0017127608880400658
edge_transformer,shortest_path,ood_size,,,10020011,100,200,2.0,6,0,99,1,33.0,32,0.030303030303030304,2,0,0,1,1,0.0420093173161149,0.0501261530444026,0.001653800718486309
edge_transformer,shortest_path,ood_size,,,10020012,100,200,2.0,7,0,99,1,19.0,18,0.05263157894736842,2,0,0,1,1,0.042274149134755135,0.04929449129849672,0.0016561010852456093
edge_transformer,shortest_path,ood_size,,,10020013,100,200,2.0,8,0,99,1,47.0,39,0.1702127659574468,2,0,0,1,1,0.04442246071994305,0.052686442621052265,0.0016456609591841698
edge_transformer,shortest_path,ood_size,,,10020014,100,200,2.0,9,0,99,1,29.0,21,0.27586206896551724,2,0,0,1,1,0.04270770959556103,0.04977059364318848,0.0016447510570287704
edge_transformer,shortest_path,ood_size,,,10020015,100,200,2.0,10,0,99,1,21.0,21,0.0,0,1,1,1,1,0.04352018889039755,0.05068392213433981,0.001700790598988533
edge_transformer,shortest_path,ood_size,,,10020016,100,200,2.0,11,0,99,1,41.0,37,0.0975609756097561,2,0,0,1,1,0.041167108342051506,0.04903558176010847,0.0016262810677289963
edge_transformer,shortest_path,ood_size,,,10020017,100,200,2.0,12,0,99,1,40.0,30,0.25,2,0,0,1,1,0.04415005072951317,0.051245552487671375,0.0016320310533046722
edge_transformer,shortest_path,ood_size,,,10020018,100,200,2.0,13,0,99,1,40.0,40,0.0,0,1,1,1,1,0.04268019925802946,0.0508753526955843,0.0017045317217707634
edge_transformer,shortest_path,ood_size,,,10020019,100,200,2.0,14,0,99,1,31.0,25,0.1935483870967742,2,0,0,1,1,0.04436497949063778,0.051312172785401344,0.001742829568684101
edge_transformer,shortest_path,ood_size,,,10020020,100,200,2.0,15,0,99,1,52.0,52,0.0,2,0,0,1,1,0.0433316882699728,0.050580792129039764,0.0016971006989479065
edge_transformer,shortest_path,ood_size,,,10020021,100,200,2.0,16,0,99,1,20.0,17,0.15,2,0,0,1,1,0.05429019406437874,0.062284707091748714,0.001756800338625908
edge_transformer,shortest_path,ood_size,,,10020022,100,200,2.0,17,0,99,1,5.0,5,0.0,0,1,1,1,1,0.04395915940403938,0.05106503237038851,0.001600910909473896
edge_transformer,shortest_path,ood_size,,,10020023,100,200,2.0,18,0,99,1,17.0,14,0.17647058823529413,2,0,0,1,1,0.04085192829370499,0.04918125178664923,0.0016120504587888718
edge_transformer,shortest_path,ood_size,,,10020024,100,200,2.0,19,0,99,1,40.0,36,0.1,2,0,0,1,1,0.0440873596817255,0.0511636333540082,0.0016490304842591286
edge_transformer,shortest_path,ood_size,,,10025005,100,250,2.5,0,0,99,1,13.0,13,0.0,0,1,1,1,1,0.049014922231435776,0.05747364554554224,0.0022200513631105423
edge_transformer,shortest_path,ood_size,,,10025006,100,250,2.5,1,0,99,1,33.0,31,0.06060606060606061,2,0,0,1,1,0.05519817490130663,0.0642267381772399,0.001789991743862629
