model_type,problem_type,eval_mode,wood_problem,network_name,graph_seed,n_nodes,n_edges,density,replication,source,sink,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time,candidate_objective,candidate_objective_gap,candidate_pool_size,num_candidates,candidate_search_time,hybrid_total_time,candidate_exact_match,candidate_hamming_distance,candidate_correct_edges
edge_transformer,shortest_path,ood_size,,,10020005,100,200,2.0,0,0,99,1,57.0,47,0.17543859649122806,2,0,0,1,1,0.22193446196615696,0.23078311327844858,0.1617095423862338,50,0.12280701754385964,4,4,0.013196270912885666,0.17490581329911947,0,2,0
edge_transformer,shortest_path,ood_size,,,10020006,100,200,2.0,1,0,99,1,18.0,14,0.2222222222222222,2,0,0,1,1,0.04314178600907326,0.050095184706151485,0.0018821824342012405,18,0.0,4,4,0.0015595322474837303,0.003441714681684971,1,0,1
edge_transformer,shortest_path,ood_size,,,10020007,100,200,2.0,2,0,99,1,35.0,34,0.02857142857142857,2,0,0,1,1,0.045730335637927055,0.05249219387769699,0.0016779527068138123,34,0.02857142857142857,4,4,0.0026579685509204865,0.004335921257734299,0,2,0
edge_transformer,shortest_path,ood_size,,,10020008,100,200,2.0,3,0,99,1,38.0,29,0.23684210526315788,2,0,0,1,1,0.04206868167966604,0.04862191155552864,0.001664312556385994,36,0.05263157894736842,4,4,0.0016995426267385483,0.0033638551831245422,0,2,0
edge_transformer,shortest_path,ood_size,,,10020009,100,200,2.0,4,0,99,1,28.0,28,0.0,0,1,1,1,1,0.04310641624033451,0.04993073549121618,0.0016602426767349243,28,0.0,4,4,0.001454903744161129,0.0031151464208960533,1,0,1
edge_transformer,shortest_path,ood_size,,,10020010,100,200,2.0,5,0,99,1,34.0,25,0.2647058823529412,2,0,0,1,1,0.056570506654679775,0.06331203505396843,0.0017026923596858978,34,0.0,4,4,0.001803351566195488,0.003506043925881386,1,0,1
edge_transformer,shortest_path,ood_size,,,10020011,100,200,2.0,6,0,99,1,33.0,32,0.030303030303030304,2,0,0,1,1,0.041595433838665485,0.049371988512575626,0.001660563051700592,32,0.030303030303030304,4,4,0.0015254439786076546,0.0031860070303082466,0,2,0
edge_transformer,shortest_path,ood_size,,,10020012,100,200,2.0,7,0,99,1,19.0,18,0.05263157894736842,2,0,0,1,1,0.041863721795380116,0.048590091057121754,0.0016419729217886925,19,0.0,4,4,0.0014177542179822922,0.0030597271397709846,1,0,1
edge_transformer,shortest_path,ood_size,,,10020013,100,200,2.0,8,0,99,1,47.0,39,0.1702127659574468,2,0,0,1,1,0.04425473138689995,0.05217385571449995,0.0016881925985217094,47,0.0,4,4,0.0018429011106491089,0.0035310937091708183,0,2,0
edge_transformer,shortest_path,ood_size,,,10020014,100,200,2.0,9,0,99,1,29.0,21,0.27586206896551724,2,0,0,1,1,0.04232985991984606,0.04900741018354893,0.0016591837629675865,27,0.06896551724137931,4,4,0.0015248032286763191,0.0031839869916439056,0,2,0
