model_type,problem_type,eval_mode,wood_problem,network_name,graph_seed,n_nodes,n_edges,density,replication,source,sink,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time,candidate_objective,candidate_objective_gap,candidate_pool_size,num_candidates,candidate_search_time,hybrid_total_time,candidate_exact_match,candidate_hamming_distance,candidate_correct_edges
edge_transformer,shortest_path,ood_size,,,10020005,100,200,2.0,0,0,99,1,57.0,47,0.17543859649122806,2,0,0,1,1,0.16856323182582855,0.17741968762129545,0.1580356638878584,50,0.12280701754385964,5,5,0.0138869509100914,0.1719226147979498,0,2,0
edge_transformer,shortest_path,ood_size,,,10020006,100,200,2.0,1,0,99,1,18.0,14,0.2222222222222222,2,0,0,1,1,0.04294643551111221,0.049977630376815796,0.0018622595816850662,18,0.0,5,5,0.0018855901435017586,0.003747849725186825,1,0,1
edge_transformer,shortest_path,ood_size,,,10020007,100,200,2.0,2,0,99,1,35.0,34,0.02857142857142857,2,0,0,1,1,0.04573498293757439,0.05253637954592705,0.0017024120315909386,34,0.02857142857142857,5,5,0.0032009435817599297,0.004903355613350868,0,2,0
edge_transformer,shortest_path,ood_size,,,10020008,100,200,2.0,3,0,99,1,38.0,29,0.23684210526315788,2,0,0,1,1,0.04239544924348593,0.04890422709286213,0.001738881692290306,36,0.05263157894736842,5,5,0.002054930664598942,0.003793812356889248,0,2,0
edge_transformer,shortest_path,ood_size,,,10020009,100,200,2.0,4,0,99,1,28.0,28,0.0,0,1,1,1,1,0.043410373851656914,0.050388199277222157,0.001694992184638977,28,0.0,5,5,0.0017600422725081444,0.0034550344571471214,1,0,1
edge_transformer,shortest_path,ood_size,,,10020010,100,200,2.0,5,0,99,1,34.0,25,0.2647058823529412,2,0,0,1,1,0.056639738380908966,0.06339709460735321,0.0016785115003585815,34,0.0,5,5,0.0021718190982937813,0.003850330598652363,1,0,1
edge_transformer,shortest_path,ood_size,,,10020011,100,200,2.0,6,0,99,1,33.0,32,0.030303030303030304,2,0,0,1,1,0.041820780374109745,0.04958453308790922,0.0016526412218809128,32,0.030303030303030304,5,5,0.001803291030228138,0.0034559322521090508,0,2,0
edge_transformer,shortest_path,ood_size,,,10020012,100,200,2.0,7,0,99,1,19.0,18,0.05263157894736842,2,0,0,1,1,0.041665442287921906,0.048410968855023384,0.001653541810810566,19,0.0,5,5,0.00170237198472023,0.003355913795530796,1,0,1
edge_transformer,shortest_path,ood_size,,,10020013,100,200,2.0,8,0,99,1,47.0,39,0.1702127659574468,2,0,0,1,1,0.04437466897070408,0.0524353189393878,0.0017062211409211159,47,0.0,5,5,0.0022192392498254776,0.0039254603907465935,0,2,0
edge_transformer,shortest_path,ood_size,,,10020014,100,200,2.0,9,0,99,1,29.0,21,0.27586206896551724,2,0,0,1,1,0.042805906385183334,0.049501064233481884,0.0016765911132097244,27,0.06896551724137931,5,5,0.0018795216456055641,0.0035561127588152885,0,2,0
