model_type,problem_type,eval_mode,wood_problem,wood_rows,wood_cols,network_name,graph_seed,n_nodes,n_edges,density,replication,source,sink,source_original,sink_original,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time,candidate_objective,candidate_objective_gap,candidate_pool_size,num_candidates,candidate_search_time,hybrid_total_time,candidate_exact_match,candidate_hamming_distance,candidate_correct_edges
edge_transformer,shortest_path,ood_size,,,,,10020005,100,200,2.0,0,0,99,,,1,57.0,47,0.17543859649122806,2,0,0,1,1,0.17511638160794973,0.18448498845100403,0.17081901896744967,50,0.12280701754385964,5,5,0.014957410283386707,0.18577642925083637,0,2,0
edge_transformer,shortest_path,ood_size,,,,,10020006,100,200,2.0,1,0,99,,,1,18.0,14,0.2222222222222222,2,0,0,1,1,0.0423405971378088,0.050153021700680256,0.001852470450103283,18,0.0,5,5,0.0018246611580252647,0.0036771316081285477,1,0,1
edge_transformer,shortest_path,ood_size,,,,,10020007,100,200,2.0,2,0,99,,,1,35.0,34,0.02857142857142857,2,0,0,1,1,0.048426500521600246,0.055234395898878574,0.0017091119661927223,34,0.02857142857142857,5,5,0.002253781072795391,0.003962893038988113,0,2,0
edge_transformer,shortest_path,ood_size,,,,,10020008,100,200,2.0,3,0,99,,,1,38.0,29,0.23684210526315788,2,0,0,1,1,0.04252713732421398,0.049345141276717186,0.0016461210325360298,36,0.05263157894736842,5,5,0.0020215902477502823,0.003667711280286312,0,2,0
edge_transformer,shortest_path,ood_size,,,,,10020009,100,200,2.0,4,0,99,,,1,28.0,28,0.0,0,1,1,1,1,0.04207335691899061,0.049572670832276344,0.0016535203903913498,28,0.0,5,5,0.0017451513558626175,0.0033986717462539673,1,0,1
edge_transformer,shortest_path,ood_size,,,,,10020010,100,200,2.0,5,0,99,,,1,34.0,25,0.2647058823529412,2,0,0,1,1,0.05652125645428896,0.06332588009536266,0.0016922615468502045,34,0.0,5,5,0.002126171253621578,0.0038184328004717827,1,0,1
edge_transformer,shortest_path,ood_size,,,,,10020011,100,200,2.0,6,0,99,,,1,33.0,32,0.030303030303030304,2,0,0,1,1,0.04168223589658737,0.049373211339116096,0.001673511229455471,32,0.030303030303030304,5,5,0.0017943112179636955,0.0034678224474191666,0,2,0
edge_transformer,shortest_path,ood_size,,,,,10020012,100,200,2.0,7,0,99,,,1,19.0,18,0.05263157894736842,2,0,0,1,1,0.04298838693648577,0.049812051467597485,0.001647280529141426,19,0.0,5,5,0.0016585513949394226,0.0033058319240808487,1,0,1
edge_transformer,shortest_path,ood_size,,,,,10020013,100,200,2.0,8,0,99,,,1,47.0,47,0.0,2,0,0,1,1,0.044480388052761555,0.05129580292850733,0.001847861334681511,47,0.0,5,5,0.0021897125989198685,0.004037573933601379,0,2,0
edge_transformer,shortest_path,ood_size,,,,,10020014,100,200,2.0,9,0,99,,,1,29.0,21,0.27586206896551724,2,0,0,1,1,0.04147931654006243,0.04896151088178158,0.0016371412202715874,29,0.0,5,5,0.0019593313336372375,0.003596472553908825,1,0,1
edge_transformer,shortest_path,ood_size,,,,,10020015,100,200,2.0,10,0,99,,,1,21.0,21,0.0,0,1,1,1,1,0.04343924764543772,0.050086501985788345,0.0016699321568012238,21,0.0,5,5,0.001725860871374607,0.003395793028175831,1,0,1
edge_transformer,shortest_path,ood_size,,,,,10020016,100,200,2.0,11,0,99,,,1,41.0,37,0.0975609756097561,2,0,0,1,1,0.04180437605828047,0.04964973218739033,0.0017241211608052254,41,0.0,5,5,0.002171502448618412,0.0038956236094236374,1,0,1
edge_transformer,shortest_path,ood_size,,,,,10020017,100,200,2.0,12,0,99,,,1,40.0,30,0.25,2,0,0,1,1,0.04444814845919609,0.050940011627972126,0.0016443012282252312,37,0.075,5,5,0.001849801279604435,0.003494102507829666,0,2,0
edge_transformer,shortest_path,ood_size,,,,,10020018,100,200,2.0,13,0,99,,,1,40.0,40,0.0,0,1,1,1,1,0.04275071620941162,0.04964157193899155,0.001669071614742279,40,0.0,5,5,0.001896420493721962,0.003565492108464241,1,0,1
edge_transformer,shortest_path,ood_size,,,,,10020019,100,200,2.0,14,0,99,,,1,31.0,25,0.1935483870967742,2,0,0,1,1,0.04488456901162863,0.05279296450316906,0.0017743511125445366,31,0.0,5,5,0.0021429210901260376,0.003917272202670574,1,0,1
edge_transformer,shortest_path,ood_size,,,,,10020020,100,200,2.0,15,0,99,,,1,52.0,52,0.0,2,0,0,1,1,0.043972947634756565,0.050942311994731426,0.001699741929769516,52,0.0,5,5,0.002057841047644615,0.003757582977414131,0,2,0
edge_transformer,shortest_path,ood_size,,,,,10020021,100,200,2.0,16,0,99,,,1,20.0,17,0.15,2,0,0,1,1,0.05404412467032671,0.06188671011477709,0.0017081405967473984,20,0.0,5,5,0.0021142810583114624,0.0038224216550588608,1,0,1
edge_transformer,shortest_path,ood_size,,,,,10020022,100,200,2.0,17,0,99,,,1,5.0,5,0.0,0,1,1,1,1,0.04985584132373333,0.05648765619844198,0.0021416814997792244,5,0.0,5,5,0.0017732204869389534,0.003914901986718178,1,0,1
edge_transformer,shortest_path,ood_size,,,,,10020023,100,200,2.0,18,0,99,,,1,17.0,14,0.17647058823529413,2,0,0,1,1,0.042549027130007744,0.049566980451345444,0.0016935411840677261,17,0.0,5,5,0.001862131990492344,0.00355567317456007,1,0,1
edge_transformer,shortest_path,ood_size,,,,,10020024,100,200,2.0,19,0,99,,,1,40.0,30,0.25,2,0,0,1,1,0.04221028741449118,0.0501973619684577,0.001695500686764717,36,0.1,5,5,0.0022581620141863823,0.003953662700951099,0,2,0
edge_transformer,shortest_path,ood_size,,,,,10025005,100,250,2.5,0,0,99,,,1,13.0,13,0.0,0,1,1,1,1,0.04967945069074631,0.0575557267293334,0.0023737316951155663,13,0.0,5,5,0.0019833119586110115,0.004357043653726578,1,0,1
edge_transformer,shortest_path,ood_size,,,,,10025006,100,250,2.5,1,0,99,,,1,33.0,31,0.06060606060606061,2,0,0,1,1,0.05384534504264593,0.06170976907014847,0.0017485106363892555,31,0.06060606060606061,5,5,0.002574210986495018,0.0043227216228842735,0,2,0
edge_transformer,shortest_path,ood_size,,,,,10025007,100,250,2.5,2,0,99,,,1,22.0,20,0.09090909090909091,2,0,0,1,1,0.05492015555500984,0.06346196960657835,0.0017446009442210197,22,0.0,5,5,0.0023990413174033165,0.004143642261624336,1,0,1
edge_transformer,shortest_path,ood_size,,,,,10025008,100,250,2.5,3,0,99,,,1,20.0,20,0.0,2,0,0,1,1,0.055429316125810146,0.06325108092278242,0.0017416812479496002,20,0.0,5,5,0.0024549011141061783,0.0041965823620557785,0,2,0
edge_transformer,shortest_path,ood_size,,,,,10025009,100,250,2.5,4,0,99,,,1,34.0,27,0.20588235294117646,2,0,0,1,1,0.05067529249936342,0.0586281968280673,0.0017283810302615166,31,0.08823529411764706,5,5,0.002226712182164192,0.003955093212425709,0,2,0
edge_transformer,shortest_path,ood_size,,,,,10025010,100,250,2.5,5,0,99,,,1,26.0,26,0.0,2,0,0,1,1,0.07112247496843338,0.07898289989680052,0.0017614616081118584,26,0.0,5,5,0.0022631408646702766,0.004024602472782135,0,2,0
edge_transformer,shortest_path,ood_size,,,,,10025011,100,250,2.5,6,0,99,,,1,15.000000000000002,15,1.1842378929335e-16,0,1,1,1,1,0.059587668627500534,0.06774837244302034,0.0017186906188726425,15,1.1842378929335e-16,5,5,0.0021551409736275673,0.00387383159250021,1,0,1
edge_transformer,shortest_path,ood_size,,,,,10025012,100,250,2.5,7,0,99,,,1,11.0,8,0.2727272727272727,2,0,0,1,1,0.056924186646938324,0.06478657200932503,0.0017275810241699219,11,0.0,5,5,0.003188611939549446,0.004916192963719368,1,0,1
edge_transformer,shortest_path,ood_size,,,,,10025013,100,250,2.5,8,0,99,,,1,22.0,20,0.09090909090909091,2,0,0,1,1,0.0585053376853466,0.06616990175098181,0.0017193006351590157,22,0.0,5,5,0.002512611448764801,0.004231912083923817,0,2,0
edge_transformer,shortest_path,ood_size,,,,,10025014,100,250,2.5,9,0,99,,,1,29.0,26,0.10344827586206896,2,0,0,1,1,0.06362362019717693,0.07247694581747055,0.0017531709745526314,29,0.0,5,5,0.002518552355468273,0.0042717233300209045,1,0,1
edge_transformer,shortest_path,ood_size,,,,,10025015,100,250,2.5,10,0,99,,,1,24.0,24,0.0,2,0,0,1,1,0.06092121824622154,0.06874820403754711,0.0017368411645293236,24,0.0,5,5,0.002425011247396469,0.004161852411925793,0,2,0
edge_transformer,shortest_path,ood_size,,,,,10025016,100,250,2.5,11,0,99,,,1,14.0,9,0.35714285714285715,2,0,0,1,1,0.049844641238451004,0.05772027745842934,0.0016948804259300232,11,0.21428571428571427,5,5,0.0030240118503570557,0.004718892276287079,0,2,0
edge_transformer,shortest_path,ood_size,,,,,10025017,100,250,2.5,12,0,99,,,1,38.0,38,0.0,0,1,1,1,1,0.06882555317133665,0.07667766883969307,0.0017399806529283524,38,0.0,5,5,0.002328891307115555,0.004068871960043907,1,0,1
edge_transformer,shortest_path,ood_size,,,,,10025018,100,250,2.5,13,0,99,,,1,30.0,30,0.0,0,1,1,1,1,0.07119528576731682,0.08026913087815046,0.0017510615289211273,30,0.0,5,5,0.0025623012334108353,0.004313362762331963,1,0,1
edge_transformer,shortest_path,ood_size,,,,,10025019,100,250,2.5,14,0,99,,,1,45.0,41,0.08888888888888889,2,0,0,1,1,0.3269426189363003,0.33473477326333523,0.0018692007288336754,45,0.0,5,5,0.002587001770734787,0.004456202499568462,1,0,1
edge_transformer,shortest_path,ood_size,,,,,10025020,100,250,2.5,15,0,99,,,1,24.0,22,0.08333333333333333,2,0,0,1,1,0.059013898484408855,0.0667168628424406,0.001726771704852581,24,0.0,5,5,0.003349902108311653,0.005076673813164234,0,2,0
edge_transformer,shortest_path,ood_size,,,,,10025021,100,250,2.5,16,0,99,,,1,20.0,17,0.15,2,0,0,1,1,0.05623291525989771,0.06387865077704191,0.0017320811748504639,20,0.0,5,5,0.002187240868806839,0.003919322043657303,1,0,1
edge_transformer,shortest_path,ood_size,,,,,10025022,100,250,2.5,17,0,99,,,1,43.0,38,0.11627906976744186,2,0,0,1,1,0.058640806935727596,0.06748522352427244,0.0017286110669374466,38,0.11627906976744186,5,5,0.0020914925262331963,0.003820103593170643,0,2,0
edge_transformer,shortest_path,ood_size,,,,,10025023,100,250,2.5,18,0,99,,,1,36.0,27,0.25,2,0,0,1,1,0.05134526267647743,0.05915434751659632,0.0017290711402893066,31,0.1388888888888889,5,5,0.002296942286193371,0.0040260134264826775,0,2,0
edge_transformer,shortest_path,ood_size,,,,,10025024,100,250,2.5,19,0,99,,,1,31.0,31,0.0,0,1,1,1,1,0.05406217463314533,0.06179653946310282,0.0018097711727023125,31,0.0,5,5,0.0032684514299035072,0.00507822260260582,1,0,1
edge_transformer,shortest_path,ood_size,,,,,10030005,100,300,3.0,0,0,99,,,1,22.0,17,0.22727272727272727,2,0,0,1,1,0.06531219184398651,0.07405952736735344,0.0019645607098937035,22,0.0,5,5,0.0027548419311642647,0.004719402641057968,1,0,1
edge_transformer,shortest_path,ood_size,,,,,10030006,100,300,3.0,1,0,99,,,1,24.0,18,0.25,2,0,0,1,1,0.06655818223953247,0.07660634908825159,0.0018973909318447113,24,0.0,5,5,0.002813861705362797,0.004711252637207508,0,2,0
edge_transformer,shortest_path,ood_size,,,,,10030007,100,300,3.0,2,0,99,,,1,31.0,25,0.1935483870967742,2,0,0,1,1,0.09672603197395802,0.10651509743183851,0.0017828010022640228,31,0.0,5,5,0.002903372049331665,0.004686173051595688,1,0,1
edge_transformer,shortest_path,ood_size,,,,,10030008,100,300,3.0,3,0,99,,,1,19.0,15,0.21052631578947367,2,0,0,1,1,0.07122878450900316,0.08104378264397383,0.001759410835802555,19,0.0,5,5,0.0025949422270059586,0.004354353062808514,1,0,1
edge_transformer,shortest_path,ood_size,,,,,10030009,100,300,3.0,4,0,99,,,1,50.0,49,0.02,2,0,0,1,1,0.06298871152102947,0.07296276651322842,0.0017937123775482178,49,0.02,5,5,0.0028585419058799744,0.004652254283428192,0,2,0
edge_transformer,shortest_path,ood_size,,,,,10030010,100,300,3.0,5,0,99,,,1,23.0,17,0.2608695652173913,2,0,0,1,1,0.06931585446000099,0.07891826052218676,0.0017713019624352455,23,0.0,5,5,0.0026415325701236725,0.004412834532558918,1,0,1
edge_transformer,shortest_path,ood_size,,,,,10030011,100,300,3.0,6,0,99,,,1,18.0,18,0.0,0,1,1,1,1,0.06679573189467192,0.07638437952846289,0.0017658118158578873,18,0.0,5,5,0.002500021830201149,0.004265833646059036,1,0,1
edge_transformer,shortest_path,ood_size,,,,,10030012,100,300,3.0,7,0,99,,,1,26.0,20,0.23076923076923078,2,0,0,1,1,0.06896680407226086,0.07868457958102226,0.001750921830534935,26,0.0,5,5,0.0028166119009256363,0.004567533731460571,1,0,1
edge_transformer,shortest_path,ood_size,,,,,10030013,100,300,3.0,8,0,99,,,1,17.0,17,0.0,0,1,1,1,1,0.06415579095482826,0.07374030724167824,0.0017457818612456322,17,0.0,5,5,0.002526121214032173,0.004271903075277805,1,0,1
edge_transformer,shortest_path,ood_size,,,,,10030014,100,300,3.0,9,0,99,,,1,40.00000000000001,40,1.77635683940025e-16,2,0,0,1,1,0.10566906724125147,0.11520689260214567,0.0018924716860055923,40,1.77635683940025e-16,5,5,0.0029342621564865112,0.004826733842492104,0,2,0
edge_transformer,shortest_path,ood_size,,,,,10030015,100,300,3.0,10,0,99,,,1,21.0,15,0.2857142857142857,2,0,0,1,1,0.06913342420011759,0.07893732935190201,0.0017722109332680702,21,0.0,5,5,0.002723091281950474,0.004495302215218544,0,2,0
edge_transformer,shortest_path,ood_size,,,,,10030016,100,300,3.0,11,0,99,,,1,31.0,25,0.1935483870967742,2,0,0,1,1,0.07728375867009163,0.08692829590290785,0.0017770910635590553,31,0.0,5,5,0.002943752333521843,0.004720843397080898,1,0,1
edge_transformer,shortest_path,ood_size,,,,,10030017,100,300,3.0,12,0,99,,,1,25.0,20,0.2,2,0,0,1,1,0.08948740735650063,0.09902269300073385,0.0018187910318374634,25,0.0,5,5,0.00294607225805521,0.0047648632898926735,0,2,0
edge_transformer,shortest_path,ood_size,,,,,10030018,100,300,3.0,13,0,99,,,1,51.0,47,0.0784313725490196,2,0,0,1,1,0.06664278265088797,0.07620452903211117,0.0017314804717898369,48,0.058823529411764705,5,5,0.002730380743741989,0.004461861215531826,0,2,0
edge_transformer,shortest_path,ood_size,,,,,10030019,100,300,3.0,14,0,99,,,1,18.0,18,0.0,0,1,1,1,1,0.06027735862880945,0.0697602741420269,0.0018160510808229446,18,0.0,5,5,0.00254985224455595,0.004365903325378895,1,0,1
