model_type,problem_type,eval_mode,wood_problem,network_name,graph_seed,n_nodes,n_edges,density,replication,source,sink,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time
edge_transformer,shortest_path,ood_size,,,10020005,100,200,2.0,0,0,99,1,57.0,50,0.12280701754385964,2,0,0,1,1,0.1662017498165369,0.1750909797847271,0.1747680101543665
edge_transformer,shortest_path,ood_size,,,10020006,100,200,2.0,1,0,99,1,18.0,14,0.2222222222222222,2,0,0,1,1,0.04374090861529112,0.0510340565815568,0.0022239387035369873
edge_transformer,shortest_path,ood_size,,,10020007,100,200,2.0,2,0,99,1,35.0,34,0.02857142857142857,2,0,0,1,1,0.045792157761752605,0.052876027300953865,0.0017219297587871552
edge_transformer,shortest_path,ood_size,,,10020008,100,200,2.0,3,0,99,1,38.0,29,0.23684210526315788,2,0,0,1,1,0.04210757743567228,0.048891606740653515,0.0016711894422769547
edge_transformer,shortest_path,ood_size,,,10020009,100,200,2.0,4,0,99,1,28.0,28,0.0,0,1,1,1,1,0.04357355833053589,0.05069871712476015,0.0016549807041883469
edge_transformer,shortest_path,ood_size,,,10020010,100,200,2.0,5,0,99,1,34.0,25,0.2647058823529412,2,0,0,1,1,0.056618647649884224,0.06377213634550571,0.0016639884561300278
edge_transformer,shortest_path,ood_size,,,10020011,100,200,2.0,6,0,99,1,33.0,32,0.030303030303030304,2,0,0,1,1,0.041883207857608795,0.05015095788985491,0.0016534002497792244
edge_transformer,shortest_path,ood_size,,,10020012,100,200,2.0,7,0,99,1,19.0,18,0.05263157894736842,2,0,0,1,1,0.042248706333339214,0.04915867745876312,0.001638040877878666
edge_transformer,shortest_path,ood_size,,,10020013,100,200,2.0,8,0,99,1,47.0,39,0.1702127659574468,2,0,0,1,1,0.044695448130369186,0.052825577557086945,0.0016763107851147652
edge_transformer,shortest_path,ood_size,,,10020014,100,200,2.0,9,0,99,1,29.0,21,0.27586206896551724,2,0,0,1,1,0.043073288165032864,0.05005893763154745,0.0016398197039961815
edge_transformer,shortest_path,ood_size,,,10020015,100,200,2.0,10,0,99,1,21.0,21,0.0,0,1,1,1,1,0.043546306900680065,0.05096616689115763,0.001657949760556221
edge_transformer,shortest_path,ood_size,,,10020016,100,200,2.0,11,0,99,1,41.0,37,0.0975609756097561,2,0,0,1,1,0.041282447054982185,0.049307296983897686,0.0016169100999832153
edge_transformer,shortest_path,ood_size,,,10020017,100,200,2.0,12,0,99,1,40.0,30,0.25,2,0,0,1,1,0.04372927825897932,0.05079489666968584,0.0016300585120916367
edge_transformer,shortest_path,ood_size,,,10020018,100,200,2.0,13,0,99,1,40.0,40,0.0,0,1,1,1,1,0.04257200751453638,0.05084480810910463,0.0016480702906847
edge_transformer,shortest_path,ood_size,,,10020019,100,200,2.0,14,0,99,1,31.0,25,0.1935483870967742,2,0,0,1,1,0.04474653676152229,0.05176129750907421,0.0016818102449178696
edge_transformer,shortest_path,ood_size,,,10020020,100,200,2.0,15,0,99,1,52.0,52,0.0,2,0,0,1,1,0.04343150835484266,0.05063958652317524,0.0016316892579197884
edge_transformer,shortest_path,ood_size,,,10020021,100,200,2.0,16,0,99,1,20.0,17,0.15,2,0,0,1,1,0.05417764652520418,0.06228792667388916,0.001696709543466568
edge_transformer,shortest_path,ood_size,,,10020022,100,200,2.0,17,0,99,1,5.0,5,0.0,0,1,1,1,1,0.04370158724486828,0.050734817050397396,0.0016538603231310844
edge_transformer,shortest_path,ood_size,,,10020023,100,200,2.0,18,0,99,1,17.0,14,0.17647058823529413,2,0,0,1,1,0.04103587754070759,0.049143617041409016,0.0016495799645781517
edge_transformer,shortest_path,ood_size,,,10020024,100,200,2.0,19,0,99,1,40.0,36,0.1,2,0,0,1,1,0.04356895759701729,0.050589616410434246,0.0016553904861211777
edge_transformer,shortest_path,ood_size,,,10025005,100,250,2.5,0,0,99,1,13.0,13,0.0,0,1,1,1,1,0.04899574723094702,0.05740110669285059,0.0023475494235754013
edge_transformer,shortest_path,ood_size,,,10025006,100,250,2.5,1,0,99,1,33.0,31,0.06060606060606061,2,0,0,1,1,0.053736536763608456,0.06263643596321344,0.0017351796850562096
edge_transformer,shortest_path,ood_size,,,10025007,100,250,2.5,2,0,99,1,22.0,20,0.09090909090909091,2,0,0,1,1,0.05603591725230217,0.06430847570300102,0.0017001200467348099
edge_transformer,shortest_path,ood_size,,,10025008,100,250,2.5,3,0,99,1,20.0,20,0.0,2,0,0,1,1,0.055109926499426365,0.06334858667105436,0.0017148898914456367
edge_transformer,shortest_path,ood_size,,,10025009,100,250,2.5,4,0,99,1,34.0,27,0.20588235294117646,2,0,0,1,1,0.050181376747787,0.05926733650267124,0.0017037801444530487
edge_transformer,shortest_path,ood_size,,,10025010,100,250,2.5,5,0,99,1,26.0,26,0.0,2,0,0,1,1,0.07172205671668053,0.08006600476801395,0.0017661098390817642
