model_type,problem_type,eval_mode,wood_problem,wood_rows,wood_cols,network_name,graph_seed,n_nodes,n_edges,density,replication,source,sink,source_original,sink_original,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time,candidate_objective,candidate_objective_gap,candidate_pool_size,num_candidates,candidate_search_time,hybrid_total_time,candidate_exact_match,candidate_hamming_distance,candidate_correct_edges
edge_transformer,shortest_path,wood,13,7,7,,13005,51,188,3.6862745098039214,0,0,50,,,5,18.000000000000398,14,0.22222222222223942,8,0,1,5,5,0.9109136024489999,0.919175062328577,0.16266078129410744,14,0.22222222222223942,9,126,0.03430945333093405,0.19697023462504148,0,8,1
edge_transformer,shortest_path,wood,13,7,7,,13006,51,188,3.6862745098039214,1,0,50,,,5,17.000000000000004,11,0.35294117647058837,8,0,1,5,5,0.20141897350549698,0.20813697017729282,0.0018369322642683983,11,0.35294117647058837,9,126,0.03253580164164305,0.034372733905911446,0,8,1
edge_transformer,shortest_path,wood,13,7,7,,13007,51,188,3.6862745098039214,2,0,50,,,5,19.00000000000119,14,0.2631578947368883,9,0,0,5,4,0.8750207358971238,0.8822591118514538,0.001832650974392891,14,0.2631578947368883,9,126,0.03338216803967953,0.03521481901407242,0,9,0
edge_transformer,shortest_path,wood,13,7,7,,13008,51,188,3.6862745098039214,3,0,50,,,5,19.0,12,0.3684210526315789,10,0,0,5,5,0.05382246896624565,0.06008000858128071,0.0016967523843050003,12,0.3684210526315789,9,126,0.03431690391153097,0.03601365629583597,0,10,0
edge_transformer,shortest_path,wood,13,7,7,,13009,51,188,3.6862745098039214,4,0,50,,,5,17.000000000000618,10,0.41176470588237435,5,0,2,5,4,0.6771362163126469,0.6831870255991817,0.0022287387400865555,10,0.41176470588237435,9,126,0.03279348090291023,0.03502221964299679,0,5,2
edge_transformer,shortest_path,wood,13,7,7,,13010,51,188,3.6862745098039214,5,0,50,,,5,20.000000000000377,12,0.4000000000000113,8,0,1,5,5,0.9865650748834014,0.9931345544755459,0.001808391883969307,12,0.4000000000000113,9,126,0.033482098020613194,0.0352904899045825,0,8,1
edge_transformer,shortest_path,wood,13,7,7,,13011,51,188,3.6862745098039214,6,0,50,,,5,17.00000000000006,16,0.05882352941176805,8,0,1,5,5,0.8987816711887717,0.9049820611253381,0.0018316712230443954,16,0.05882352941176805,9,126,0.03347310796380043,0.035304779186844826,0,8,1
edge_transformer,shortest_path,wood,13,7,7,,13012,51,188,3.6862745098039214,7,0,50,,,5,18.00000000000011,11,0.3888888888888926,10,0,0,5,5,0.6336732665076852,0.6399001972749829,0.0019289897754788399,11,0.3888888888888926,9,126,0.03233541455119848,0.03426440432667732,0,10,0
edge_transformer,shortest_path,wood,13,7,7,,13013,51,188,3.6862745098039214,8,0,50,,,5,19.00000000000021,15,0.2105263157894824,6,0,2,5,5,0.5517541337758303,0.5580213330686092,0.0018204012885689735,15,0.2105263157894824,9,126,0.033410606905817986,0.03523100819438696,0,6,2
edge_transformer,shortest_path,wood,13,7,7,,13014,51,188,3.6862745098039214,9,0,50,,,5,20.000000000001112,18,0.10000000000005003,5,0,2,5,4,0.9267132058739662,0.9348217863589525,0.0018337108194828033,18,0.10000000000005003,9,126,0.03334135841578245,0.035175069235265255,0,5,2
