n_nodes,n_edges,density,replication,attack_limit,interdiction_penalty,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time
30,75,2.5,0,1,1,24.0,24,0.0,2,0,73,1,1,0.021664046682417393,0.04199628159403801,0.157083073630929
30,75,2.5,1,1,1,27.0,27,0.0,2,0,73,1,1,0.00785359088331461,0.010352428071200848,0.0009938022121787071
30,75,2.5,2,1,1,15.0,15,0.0,2,0,73,1,1,0.009350774809718132,0.011543460190296173,0.0008881418034434319
30,75,2.5,3,1,1,17.0,17,0.0,0,1,75,1,1,0.010709197260439396,0.013886276632547379,0.0009196624159812927
30,75,2.5,4,1,1,14.0,14,0.0,2,0,73,1,1,0.009658575057983398,0.011902832426130772,0.000911172479391098
30,75,2.5,5,1,1,17.0,16,0.058823529411764705,2,0,73,1,1,0.008654062636196613,0.010878468863666058,0.000910402275621891
30,75,2.5,6,1,1,14.0,14,0.0,2,0,73,1,1,0.009653015993535519,0.011878740973770618,0.0009004827588796616
30,75,2.5,7,1,1,12.0,12,0.0,0,1,75,1,1,0.008192252367734909,0.010370876640081406,0.000880751758813858
30,75,2.5,8,1,1,11.0,11,0.0,0,1,75,1,1,0.009195455349981785,0.0113855404779315,0.0008899318054318428
30,75,2.5,9,1,1,20.0,20,0.0,2,0,73,1,1,0.006799737922847271,0.00888451375067234,0.0008326712995767593
30,75,2.5,10,1,1,33.0,33,0.0,2,0,73,1,1,0.00923769362270832,0.011347919702529907,0.000922592356801033
30,75,2.5,11,1,1,27.0,27,0.0,0,1,75,1,1,0.013748765923082829,0.01594691164791584,0.0009409021586179733
30,75,2.5,12,1,1,22.0,22,0.0,2,0,73,1,1,0.009527645073831081,0.011724241077899933,0.0009145932272076607
30,75,2.5,13,1,1,6.0,6,0.0,0,1,75,1,1,0.007032428868114948,0.009200183674693108,0.0008584819734096527
30,75,2.5,14,1,1,14.0,13,0.07142857142857142,2,0,73,1,1,0.00943620502948761,0.011504980735480785,0.0009391624480485916
30,75,2.5,15,1,1,13.0,13,0.0,0,1,75,1,1,0.00913777481764555,0.011323150247335434,0.0009067226201295853
30,75,2.5,16,1,1,21.0,21,0.0,2,0,73,1,1,0.008599183522164822,0.010771327652037144,0.0008989227935671806
30,75,2.5,17,1,1,19.0,19,0.0,2,0,73,1,1,0.00824648141860962,0.011844451539218426,0.0010137520730495453
30,75,2.5,18,1,1,22.0,22,0.0,2,0,73,1,1,0.009804845787584782,0.011987111531198025,0.0009082835167646408
30,75,2.5,19,1,1,8.0,8,0.0,0,1,75,1,1,0.009511586278676987,0.01288091391324997,0.0008682524785399437
30,120,4.0,0,1,1,10.0,9,0.1,2,0,118,1,1,0.015548480674624443,0.018492238596081734,0.0030171088874340057
30,120,4.0,1,1,1,17.0,17,0.0,2,0,118,1,1,0.009350853972136974,0.012377963401377201,0.000893712043762207
30,120,4.0,2,1,1,16.0,15,0.0625,2,0,118,1,1,0.009050603955984116,0.011882711201906204,0.0007930919528007507
30,120,4.0,3,1,1,13.0,13,0.0,2,0,118,1,1,0.016527273692190647,0.0193228917196393,0.0009080320596694946
30,120,4.0,4,1,1,10.0,10,0.0,2,0,118,1,1,0.013218404725193977,0.016141502186655998,0.0009414516389369965
30,120,4.0,5,1,1,14.0,14,0.0,2,0,118,1,1,0.011667821556329727,0.01468189712613821,0.0009337421506643295
30,120,4.0,6,1,1,13.0,12,0.07692307692307693,2,0,118,1,1,0.018863510340452194,0.0217801071703434,0.0009200237691402435
30,120,4.0,7,1,1,8.0,8,0.0,0,1,120,1,1,0.014877468347549438,0.0179176963865757,0.0009288927540183067
30,120,4.0,8,1,1,17.0,16,0.058823529411764705,2,0,118,1,1,0.009129883721470833,0.012016312219202518,0.0008016424253582954
30,120,4.0,9,1,1,8.0,8,0.0,0,1,120,1,1,0.009613165631890297,0.012483763508498669,0.0008418727666139603
30,120,4.0,10,1,1,8.0,8,0.0,0,1,120,1,1,0.014300238341093063,0.017145984806120396,0.0009181927889585495
30,120,4.0,11,1,1,6.0,6,0.0,0,1,120,1,1,0.015785930678248405,0.01873293984681368,0.0009308932349085808
30,120,4.0,12,1,1,11.0,10,0.09090909090909091,2,0,118,1,1,0.010753628797829151,0.013688475824892521,0.000902772881090641
