model_type,problem_type,eval_mode,graph_seed,n_nodes,n_edges,density,replication,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time
gnn,min_cost_flow,ood_size,10020005,100,200,2.0,0,1,171.0,141,0.17543859649122806,2,0,0,1,1,0.15470313280820847,0.16682646982371807,0.2076150355860591
gnn,min_cost_flow,ood_size,10020006,100,200,2.0,1,1,194.0,158,0.18556701030927836,2,0,0,1,1,0.03815851267427206,0.05212384182959795,0.0010969508439302444
gnn,min_cost_flow,ood_size,10020007,100,200,2.0,2,1,70.0,54,0.22857142857142856,2,0,0,1,1,0.041245765052735806,0.055877113714814186,0.0009681703522801399
gnn,min_cost_flow,ood_size,10020008,100,200,2.0,3,1,76.0,58,0.23684210526315788,2,0,0,1,1,0.037271381355822086,0.04842578899115324,0.0009978516027331352
gnn,min_cost_flow,ood_size,10020009,100,200,2.0,4,1,28.0,28,0.0,0,1,1,1,1,0.038214352913200855,0.049487270414829254,0.0009979810565710068
gnn,min_cost_flow,ood_size,10020010,100,200,2.0,5,1,138.00000000000006,119,0.13768115942029022,2,0,0,1,1,0.04880825988948345,0.06053852569311857,0.001012059859931469
gnn,min_cost_flow,ood_size,10020011,100,200,2.0,6,1,33.0,23,0.30303030303030304,2,0,0,1,1,0.035043250769376755,0.04627374839037657,0.0009470600634813309
gnn,min_cost_flow,ood_size,10020012,100,200,2.0,7,1,76.0,76,0.0,0,1,1,1,1,0.037232523784041405,0.04960898030549288,0.000957900658249855
gnn,min_cost_flow,ood_size,10020013,100,200,2.0,8,1,94.0,94,0.0,2,0,0,1,1,0.04247717559337616,0.05400545243173838,0.0010067308321595192
gnn,min_cost_flow,ood_size,10020014,100,200,2.0,9,1,299.0,291,0.026755852842809364,2,0,0,1,1,0.04149450454860926,0.055375734344124794,0.0009483704343438148
gnn,min_cost_flow,ood_size,10020015,100,200,2.0,10,1,21.0,12,0.42857142857142855,2,0,0,1,1,0.037029911763966084,0.04757636785507202,0.0009474009275436401
gnn,min_cost_flow,ood_size,10020016,100,200,2.0,11,1,205.0,205,0.0,0,1,1,1,1,0.03637312073260546,0.051681761629879475,0.0010062707588076591
gnn,min_cost_flow,ood_size,10020017,100,200,2.0,12,1,40.0,37,0.075,2,0,0,1,1,0.038531272672116756,0.04940174985677004,0.0009569898247718811
gnn,min_cost_flow,ood_size,10020018,100,200,2.0,13,1,137.0,137,0.0,0,1,1,1,1,0.03798412252217531,0.04987205006182194,0.0009848205372691154
gnn,min_cost_flow,ood_size,10020019,100,200,2.0,14,1,126.0,126,0.0,0,1,1,1,1,0.037523492239415646,0.05077262129634619,0.0010132305324077606
gnn,min_cost_flow,ood_size,10020020,100,200,2.0,15,1,52.0,52,0.0,2,0,0,1,1,0.039226544089615345,0.050691249780356884,0.0009673601016402245
gnn,min_cost_flow,ood_size,10020021,100,200,2.0,16,1,132.00000000000003,102,0.22727272727272743,2,0,0,1,1,0.0418227044865489,0.056433853693306446,0.0009673405438661575
gnn,min_cost_flow,ood_size,10020022,100,200,2.0,17,1,10.0,10,0.0,0,1,1,1,1,0.0356845622882247,0.04650623630732298,0.000958041287958622
gnn,min_cost_flow,ood_size,10020023,100,200,2.0,18,1,93.0,91,0.021505376344086023,2,0,0,1,1,0.03777184244245291,0.049403680488467216,0.0009932201355695724
gnn,min_cost_flow,ood_size,10020024,100,200,2.0,19,1,40.0,30,0.25,2,0,0,1,1,0.03924418333917856,0.051301450468599796,0.0009603695943951607
gnn,min_cost_flow,ood_size,10025005,100,250,2.5,0,1,39.0,39,0.0,0,1,1,1,1,0.044467356987297535,0.05691768415272236,0.0010208003222942352
gnn,min_cost_flow,ood_size,10025006,100,250,2.5,1,1,236.0,204,0.13559322033898305,2,0,0,1,1,0.052443111315369606,0.0640462888404727,0.0009970013052225113
gnn,min_cost_flow,ood_size,10025007,100,250,2.5,2,1,296.0,296,0.0,0,1,1,1,1,0.05274964217096567,0.06783760152757168,0.0009957998991012573
gnn,min_cost_flow,ood_size,10025008,100,250,2.5,3,1,218.0,218,0.0,0,1,1,1,1,0.04748835787177086,0.06252759788185358,0.001037711277604103
gnn,min_cost_flow,ood_size,10025009,100,250,2.5,4,1,137.0,133,0.029197080291970802,2,0,0,1,1,0.05124892108142376,0.06392105761915445,0.0010365098714828491
gnn,min_cost_flow,ood_size,10025010,100,250,2.5,5,1,78.0,66,0.15384615384615385,2,0,0,1,1,0.05928846448659897,0.07126853335648775,0.0010026516392827034
gnn,min_cost_flow,ood_size,10025011,100,250,2.5,6,1,348.0,348,0.0,0,1,1,1,1,0.04941223934292793,0.06516841892153025,0.001026771031320095
gnn,min_cost_flow,ood_size,10025012,100,250,2.5,7,1,173.0,173,0.0,0,1,1,1,1,0.04782674927264452,0.05985573586076498,0.0010252809152007103
gnn,min_cost_flow,ood_size,10025013,100,250,2.5,8,1,188.0,188,0.0,0,1,1,1,1,0.05014842934906483,0.06631004996597767,0.0009814202785491943
gnn,min_cost_flow,ood_size,10025014,100,250,2.5,9,1,272.0,265,0.025735294117647058,2,0,0,1,1,0.04609743691980839,0.05910065583884716,0.0009815497323870659
