model_type,problem_type,eval_mode,wood_problem,wood_rows,wood_cols,network_name,graph_seed,n_nodes,n_edges,density,replication,source,sink,source_original,sink_original,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time,candidate_objective,candidate_objective_gap,candidate_pool_size,num_candidates,candidate_search_time,hybrid_total_time,candidate_exact_match,candidate_hamming_distance,candidate_correct_edges
gnn,shortest_path,external,,,,rail_road_transportation_network,,1054,3250,3.0834914611005693,,0,5,1,6,1,789.9782540400003,694.0540241159998,0.12142641830131104,2,0,0,1,1,3.227063606493175,3.403401372022927,0.15649091266095638,694.0540241159998,0.12142641830131104,5,5,0.04129453003406525,0.19778544269502163,0,2,0
gnn,shortest_path,external,,,,rail_road_transportation_network,,1054,3250,3.0834914611005693,,0,6,1,7,1,280.08370324500004,184.159473321,0.342484153175065,2,0,0,1,1,3.3843310037627816,3.5823937449604273,0.0019222507253289223,184.159473321,0.342484153175065,5,5,0.02514506783336401,0.027067318558692932,0,2,0
gnn,shortest_path,external,,,,rail_road_transportation_network,,1054,3250,3.0834914611005693,,0,7,1,8,1,255.830073369,159.905843445,0.3749529078453665,2,0,0,1,1,2.5124879591166973,2.702145429328084,0.0021450594067573547,159.905843445,0.3749529078453665,5,5,0.025033279322087765,0.02717833872884512,0,2,0
gnn,shortest_path,external,,,,rail_road_transportation_network,,1054,3250,3.0834914611005693,,0,8,1,9,1,256.58074938100003,160.656519457,0.3738559114641953,2,0,0,1,1,2.5103864977136254,2.735844456590712,0.0019437307491898537,160.656519457,0.3738559114641953,5,5,0.024729919619858265,0.02667365036904812,0,2,0
gnn,shortest_path,external,,,,rail_road_transportation_network,,1054,3250,3.0834914611005693,,0,974,1,1077,1,899.1750408960002,803.2508109719998,0.10668026308694555,2,0,0,1,1,3.774075297638774,3.965521168895066,0.002146560698747635,803.2508109719998,0.10668026308694555,5,5,0.0301749836653471,0.032321544364094734,0,2,0
gnn,shortest_path,external,,,,rail_road_transportation_network,,1054,3250,3.0834914611005693,,1,5,2,6,1,514.9089634040001,418.98473348000005,0.18629357176044625,2,0,0,1,1,2.610132015310228,2.837063985876739,0.0019467202946543694,418.98473348000005,0.18629357176044625,5,5,0.028925670310854912,0.03087239060550928,0,2,0
gnn,shortest_path,external,,,,rail_road_transportation_network,,1054,3250,3.0834914611005693,,1,6,2,7,1,297.811966938,201.887737014,0.32209662664082933,2,0,0,1,1,3.409303124062717,3.600482327863574,0.0020678313449025154,201.887737014,0.32209662664082933,5,5,0.024529860354959965,0.02659769169986248,0,2,0
gnn,shortest_path,external,,,,rail_road_transportation_network,,1054,3250,3.0834914611005693,,1,7,2,8,1,370.4465909210001,274.522360997,0.2589421316727854,2,0,0,1,1,3.0632465789094567,3.2808184465393424,0.002017989754676819,274.522360997,0.2589421316727854,5,5,0.025545376352965832,0.02756336610764265,0,2,0
gnn,shortest_path,external,,,,rail_road_transportation_network,,1054,3250,3.0834914611005693,,1,8,2,9,1,370.83665136100007,274.912421437,0.25866976624869875,2,0,0,1,1,3.077402020804584,3.278221709653735,0.002047410234808922,274.912421437,0.25866976624869875,5,5,0.025983303785324097,0.02803071402013302,0,2,0
gnn,shortest_path,external,,,,rail_road_transportation_network,,1054,3250,3.0834914611005693,,1,974,2,1077,1,670.4066383000004,574.482408376,0.14308365168823892,2,0,0,1,1,2.7514005415141582,2.9667715579271317,0.00193686131387949,574.482408376,0.14308365168823892,5,5,0.029829684644937515,0.031766545958817005,0,2,0
