model_type,problem_type,eval_mode,wood_problem,wood_rows,wood_cols,network_name,graph_seed,n_nodes,n_edges,density,replication,source,sink,source_original,sink_original,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time,candidate_objective,candidate_objective_gap,candidate_pool_size,num_candidates,candidate_search_time,hybrid_total_time,candidate_exact_match,candidate_hamming_distance,candidate_correct_edges
gnn,shortest_path,id_new,,,,,3006005,30,60,2.0,0,0,29,,,1,11.0,10,0.09090909090909091,2,0,0,1,1,0.13983834441751242,0.14482313953340054,0.17765607871115208,11,0.0,5,5,0.014142129570245743,0.19179820828139782,1,0,1
gnn,shortest_path,id_new,,,,,3006006,30,60,2.0,1,0,29,,,1,32.0,22,0.3125,2,0,0,1,1,0.018773922696709633,0.022130093537271023,0.0009897509589791298,22,0.3125,5,5,0.0006301393732428551,0.0016198903322219849,0,2,0
gnn,shortest_path,id_new,,,,,3006007,30,60,2.0,2,0,29,,,1,35.0,35,0.0,0,1,1,1,1,0.01493951864540577,0.01891798246651888,0.0008463310077786446,35,0.0,5,5,0.0006544599309563637,0.0015007909387350082,1,0,1
gnn,shortest_path,id_new,,,,,3006008,30,60,2.0,3,0,29,,,1,36.0,33,0.08333333333333333,2,0,0,1,1,0.015550308860838413,0.01835912186652422,0.00082365982234478,36,0.0,5,5,0.0007060309872031212,0.0015296908095479012,1,0,1
gnn,shortest_path,id_new,,,,,3006009,30,60,2.0,4,0,29,,,1,56.0,56,0.0,0,1,1,1,1,0.016764221712946892,0.01956999208778143,0.0007734410464763641,56,0.0,5,5,0.0006676791235804558,0.00144112017005682,1,0,1
gnn,shortest_path,id_new,,,,,3006010,30,60,2.0,5,0,29,,,1,49.0,49,0.0,0,1,1,1,1,0.014642538502812386,0.017302670516073704,0.0008087707683444023,49,0.0,5,5,0.0006732195615768433,0.0014819903299212456,1,0,1
gnn,shortest_path,id_new,,,,,3006011,30,60,2.0,6,0,29,,,1,14.000000000000004,14,2.537652627714643e-16,0,1,1,1,1,0.019520682282745838,0.022241324186325073,0.0007981099188327789,14,2.537652627714643e-16,5,5,0.0005368608981370926,0.0013349708169698715,1,0,1
gnn,shortest_path,id_new,,,,,3006012,30,60,2.0,7,0,29,,,1,15.000000000000005,13,0.13333333333333364,2,0,0,1,1,0.026002786122262478,0.028604797087609768,0.0007898705080151558,15,3.5527136788004996e-16,5,5,0.0006316313520073891,0.0014215018600225449,1,0,1
gnn,shortest_path,id_new,,,,,3006013,30,60,2.0,8,0,29,,,1,11.0,11,0.0,0,1,1,1,1,0.018022851087152958,0.020754951983690262,0.0007649902254343033,11,0.0,5,5,0.0005954103544354439,0.0013604005798697472,1,0,1
gnn,shortest_path,id_new,,,,,3006014,30,60,2.0,9,0,29,,,1,34.0,34,0.0,2,0,0,1,1,0.025714376010000706,0.028455786406993866,0.0007806206122040749,34,0.0,5,5,0.0006732698529958725,0.0014538904651999474,0,2,0
gnn,shortest_path,id_new,,,,,3006015,30,60,2.0,10,0,29,,,1,18.0,12,0.3333333333333333,2,0,0,1,1,0.01871998142451048,0.021437854506075382,0.0007696598768234253,18,0.0,5,5,0.0006817709654569626,0.0014514308422803879,1,0,1
gnn,shortest_path,id_new,,,,,3006016,30,60,2.0,11,0,29,,,1,19.0,12,0.3684210526315789,2,0,0,1,1,0.018279372714459896,0.021059023216366768,0.0008023902773857117,19,0.0,5,5,0.0005524195730686188,0.0013548098504543304,1,0,1
gnn,shortest_path,id_new,,,,,3006017,30,60,2.0,12,0,29,,,1,30.0,22,0.26666666666666666,2,0,0,1,1,0.01741144061088562,0.02000265195965767,0.0007634107023477554,30,0.0,5,5,0.0006036898121237755,0.001367100514471531,0,2,0
gnn,shortest_path,id_new,,,,,3006018,30,60,2.0,13,0,29,,,1,48.0,48,0.0,0,1,1,1,1,0.014516329392790794,0.01719991024583578,0.0007968107238411903,48,0.0,5,5,0.000664309598505497,0.0014611203223466873,1,0,1
gnn,shortest_path,id_new,,,,,3006019,30,60,2.0,14,0,29,,,1,20.0,20,0.0,0,1,1,1,1,0.01779849175363779,0.020484142936766148,0.0007577212527394295,20,0.0,5,5,0.0005702301859855652,0.0013279514387249947,1,0,1
gnn,shortest_path,id_new,,,,,3006020,30,60,2.0,15,0,29,,,1,27.0,27,0.0,0,1,1,1,1,0.018373350612819195,0.021035542711615562,0.0007642311975359917,27,0.0,5,5,0.0006698500365018845,0.0014340812340378761,1,0,1
gnn,shortest_path,id_new,,,,,3006021,30,60,2.0,16,0,29,,,1,38.0,38,0.0,0,1,1,1,1,0.017467130906879902,0.020266053266823292,0.0007631294429302216,38,0.0,5,5,0.0006885500624775887,0.0014516795054078102,1,0,1
gnn,shortest_path,id_new,,,,,3006022,30,60,2.0,17,0,29,,,1,15.0,15,0.0,0,1,1,1,1,0.018182741478085518,0.022942724637687206,0.0008231811225414276,15,0.0,5,5,0.0005400003865361214,0.001363181509077549,1,0,1
gnn,shortest_path,id_new,,,,,3006023,30,60,2.0,18,0,29,,,1,17.0,17,0.0,2,0,0,1,1,0.017777460627257824,0.020476692356169224,0.0007634609937667847,17,0.0,5,5,0.0006495704874396324,0.001413031481206417,0,2,0
gnn,shortest_path,id_new,,,,,3006024,30,60,2.0,19,0,29,,,1,18.0,18,0.0,0,1,1,1,1,0.017790280282497406,0.020357852801680565,0.0007619000971317291,18,0.0,5,5,0.0005432311445474625,0.0013051312416791916,1,0,1
gnn,shortest_path,id_new,,,,,3009005,30,90,3.0,0,0,29,,,1,19.0,12,0.3684210526315789,2,0,0,1,1,0.022213352844119072,0.025661015883088112,0.0008753100410103798,19,0.0,5,5,0.000740530900657177,0.0016158409416675568,1,0,1
gnn,shortest_path,id_new,,,,,3009006,30,90,3.0,1,0,29,,,1,20.0,19,0.05,2,0,0,1,1,0.033693671226501465,0.037105453200638294,0.0008196095004677773,20,0.0,5,5,0.0008332906290888786,0.0016529001295566559,1,0,1
gnn,shortest_path,id_new,,,,,3009007,30,90,3.0,2,0,29,,,1,26.0,26,0.0,0,1,1,1,1,0.0226419847458601,0.02610867563635111,0.0008265012875199318,26,0.0,5,5,0.0008764909580349922,0.001702992245554924,1,0,1
gnn,shortest_path,id_new,,,,,3009008,30,90,3.0,3,0,29,,,1,17.0,15,0.11764705882352941,2,0,0,1,1,0.0362636623904109,0.039796614088118076,0.0008289208635687828,17,0.0,5,5,0.0008356012403964996,0.0016645221039652824,1,0,1
gnn,shortest_path,id_new,,,,,3009009,30,90,3.0,4,0,29,,,1,17.0,17,0.0,2,0,0,1,1,0.02986207790672779,0.03337694052606821,0.0008027711883187294,17,0.0,5,5,0.0008709998801350594,0.0016737710684537888,0,2,0
gnn,shortest_path,id_new,,,,,3009010,30,90,3.0,5,0,29,,,1,16.0,16,0.0,0,1,1,1,1,0.023054543882608414,0.02837870828807354,0.0008169710636138916,16,0.0,5,5,0.0008444301784038544,0.001661401242017746,1,0,1
gnn,shortest_path,id_new,,,,,3009011,30,90,3.0,6,0,29,,,1,21.0,21,0.0,0,1,1,1,1,0.0230077737942338,0.026566706597805023,0.0008258596062660217,21,0.0,5,5,0.0007720310240983963,0.001597890630364418,1,0,1
gnn,shortest_path,id_new,,,,,3009012,30,90,3.0,7,0,29,,,1,18.000000000000004,14,0.22222222222222238,2,0,0,1,1,0.022697044536471367,0.02614502515643835,0.0007831910625100136,17,0.05555555555555574,5,5,0.0007956400513648987,0.0015788311138749123,0,2,0
gnn,shortest_path,id_new,,,,,3009013,30,90,3.0,8,0,29,,,1,12.0,11,0.08333333333333333,2,0,0,1,1,0.02376101352274418,0.027201905846595764,0.0007891617715358734,12,0.0,5,5,0.0008175307884812355,0.001606692560017109,1,0,1
gnn,shortest_path,id_new,,,,,3009014,30,90,3.0,9,0,29,,,1,16.0,16,0.0,0,1,1,1,1,0.022692334838211536,0.028314086608588696,0.0008399114012718201,16,0.0,5,5,0.0007931804284453392,0.0016330918297171593,1,0,1
gnn,shortest_path,id_new,,,,,3009015,30,90,3.0,10,0,29,,,1,13.0,13,0.0,0,1,1,1,1,0.023076404817402363,0.026597467251121998,0.0008022105321288109,13,0.0,5,5,0.0008279792964458466,0.0016301898285746574,1,0,1
gnn,shortest_path,id_new,,,,,3009016,30,90,3.0,11,0,29,,,1,15.0,15,0.0,0,1,1,1,1,0.02191193401813507,0.025420065969228745,0.0008225506171584129,15,0.0,5,5,0.0008271206170320511,0.001649671234190464,1,0,1
gnn,shortest_path,id_new,,,,,3009017,30,90,3.0,12,0,29,,,1,2.0,2,0.0,0,1,1,1,1,0.020386933349072933,0.023908275179564953,0.0008168816566467285,2,0.0,5,5,0.0007309000939130783,0.0015477817505598068,1,0,1
gnn,shortest_path,id_new,,,,,3009018,30,90,3.0,13,0,29,,,1,21.0,21,0.0,0,1,1,1,1,0.02226298302412033,0.02778834756463766,0.0008544214069843292,21,0.0,5,5,0.0007731718942523003,0.0016275933012366295,1,0,1
gnn,shortest_path,id_new,,,,,3009019,30,90,3.0,14,0,29,,,1,24.0,16,0.3333333333333333,2,0,0,1,1,0.022933044470846653,0.026438826695084572,0.0008231010288000107,24,0.0,5,5,0.0008104601874947548,0.0016335612162947655,0,2,0
gnn,shortest_path,id_new,,,,,3009020,30,90,3.0,15,0,29,,,1,18.0,18,0.0,0,1,1,1,1,0.024772144854068756,0.028222037479281425,0.0008316496387124062,18,0.0,5,5,0.0007700202986598015,0.0016016699373722076,1,0,1
gnn,shortest_path,id_new,,,,,3009021,30,90,3.0,16,0,29,,,1,18.000000000000025,16,0.11111111111111234,2,0,0,1,1,0.04646740946918726,0.049946101382374763,0.0008376892656087875,18,1.3816108750890817e-15,5,5,0.0029601510614156723,0.00379784032702446,0,2,0
gnn,shortest_path,id_new,,,,,3009022,30,90,3.0,17,0,29,,,1,31.0,24,0.22580645161290322,2,0,0,1,1,0.02476553525775671,0.028311286121606827,0.0008351607248187065,31,0.0,5,5,0.0008731698617339134,0.00170833058655262,1,0,1
gnn,shortest_path,id_new,,,,,3009023,30,90,3.0,18,0,29,,,1,12.0,12,0.0,2,0,0,1,1,0.023258835077285767,0.02671856712549925,0.0007821498438715935,12,0.0,5,5,0.0008045407012104988,0.0015866905450820923,0,2,0
gnn,shortest_path,id_new,,,,,3009024,30,90,3.0,19,0,29,,,1,18.0,15,0.16666666666666666,2,0,0,1,1,0.025487836450338364,0.028960167430341244,0.0008355714380741119,18,0.0,5,5,0.0008600400760769844,0.0016956115141510963,1,0,1
