model_type,problem_type,eval_mode,wood_problem,network_name,graph_seed,n_nodes,n_edges,density,replication,source,sink,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time,candidate_objective,candidate_objective_gap,candidate_pool_size,num_candidates,candidate_search_time,hybrid_total_time,candidate_exact_match,candidate_hamming_distance,candidate_correct_edges
gnn,shortest_path,id_new,,,3006005,30,60,2.0,0,0,29,1,11.0,10,0.09090909090909091,2,0,0,1,1,0.1467747250571847,0.15170994214713573,0.1706946874037385,11,0.0,4,4,0.012688602320849895,0.1833832897245884,1,0,1
gnn,shortest_path,id_new,,,3006006,30,60,2.0,1,0,29,1,32.0,22,0.3125,2,0,0,1,1,0.01866291742771864,0.022056211717426777,0.0010793358087539673,22,0.3125,4,4,0.0005853073671460152,0.0016646431758999825,0,2,0
gnn,shortest_path,id_new,,,3006007,30,60,2.0,2,0,29,1,35.0,35,0.0,0,1,1,1,1,0.01428675651550293,0.0187621358782053,0.0008644862100481987,35,0.0,4,4,0.0006423573940992355,0.0015068436041474342,1,0,1
gnn,shortest_path,id_new,,,3006008,30,60,2.0,3,0,29,1,36.0,33,0.08333333333333333,2,0,0,1,1,0.016216028481721878,0.019451153464615345,0.0008308254182338715,34,0.05555555555555555,4,4,0.0006579170003533363,0.0014887424185872078,0,2,0
gnn,shortest_path,id_new,,,3006009,30,60,2.0,4,0,29,1,56.0,56,0.0,0,1,1,1,1,0.016562946140766144,0.019791902042925358,0.0008269567042589188,56,0.0,4,4,0.0006371168419718742,0.001464073546230793,1,0,1
gnn,shortest_path,id_new,,,3006010,30,60,2.0,5,0,29,1,49.0,40,0.1836734693877551,2,0,0,1,1,0.014728124253451824,0.017939118668437004,0.0008303364738821983,49,0.0,4,4,0.000656837597489357,0.0014871740713715553,1,0,1
gnn,shortest_path,id_new,,,3006011,30,60,2.0,6,0,29,1,14.000000000000004,11,0.2142857142857145,2,0,0,1,1,0.020670996978878975,0.02393240388482809,0.0008538663387298584,14,2.537652627714643e-16,4,4,0.0005282377824187279,0.0013821041211485863,1,0,1
gnn,shortest_path,id_new,,,3006012,30,60,2.0,7,0,29,1,15.000000000000005,13,0.13333333333333364,2,0,0,1,1,0.02810660470277071,0.031074310652911663,0.0008465265855193138,14,0.066666666666667,4,4,0.0006026774644851685,0.0014492040500044823,0,2,0
gnn,shortest_path,id_new,,,3006013,30,60,2.0,8,0,29,1,11.0,11,0.0,0,1,1,1,1,0.017779650166630745,0.021014575846493244,0.0008331658318638802,11,0.0,4,4,0.000558147206902504,0.0013913130387663841,1,0,1
gnn,shortest_path,id_new,,,3006014,30,60,2.0,9,0,29,1,34.0,34,0.0,2,0,0,1,1,0.028063365258276463,0.03128836955875158,0.000834176316857338,34,0.0,4,4,0.00065663643181324,0.001490812748670578,0,2,0
