model_type,problem_type,eval_mode,wood_problem,network_name,graph_seed,n_nodes,n_edges,density,replication,source,sink,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time,candidate_objective,candidate_objective_gap,candidate_pool_size,num_candidates,candidate_search_time,hybrid_total_time,candidate_exact_match,candidate_hamming_distance,candidate_correct_edges
gnn,shortest_path,id_new,,,3006005,30,60,2.0,0,0,29,1,11.0,10,0.09090909090909091,2,0,0,1,1,0.15019582957029343,0.15516714844852686,0.1664634868502617,11,0.0,5,5,0.013295589946210384,0.17975907679647207,1,0,1
gnn,shortest_path,id_new,,,3006006,30,60,2.0,1,0,29,1,32.0,22,0.3125,2,0,0,1,1,0.018333137966692448,0.021657053381204605,0.000984884798526764,22,0.3125,5,5,0.0005791569128632545,0.0015640417113900185,0,2,0
gnn,shortest_path,id_new,,,3006007,30,60,2.0,2,0,29,1,35.0,35,0.0,0,1,1,1,1,0.014226236380636692,0.018151569180190563,0.0008053872734308243,35,0.0,5,5,0.0006599966436624527,0.001465383917093277,1,0,1
gnn,shortest_path,id_new,,,3006008,30,60,2.0,3,0,29,1,36.0,33,0.08333333333333333,2,0,0,1,1,0.015297960489988327,0.018037009984254837,0.0007724463939666748,34,0.05555555555555555,5,5,0.0006730472669005394,0.0014454936608672142,0,2,0
gnn,shortest_path,id_new,,,3006009,30,60,2.0,4,0,29,1,56.0,56,0.0,0,1,1,1,1,0.016379166394472122,0.019122685305774212,0.0007499568164348602,56,0.0,5,5,0.0006598373875021935,0.0014097942039370537,1,0,1
gnn,shortest_path,id_new,,,3006010,30,60,2.0,5,0,29,1,49.0,40,0.1836734693877551,2,0,0,1,1,0.014471025206148624,0.017192273400723934,0.0007527070119976997,49,0.0,5,5,0.0006676977500319481,0.0014204047620296478,1,0,1
gnn,shortest_path,id_new,,,3006011,30,60,2.0,6,0,29,1,14.000000000000004,11,0.2142857142857145,2,0,0,1,1,0.019079974852502346,0.021803053095936775,0.0007894067093729973,14,2.537652627714643e-16,5,5,0.000529327429831028,0.0013187341392040253,1,0,1
gnn,shortest_path,id_new,,,3006012,30,60,2.0,7,0,29,1,15.000000000000005,13,0.13333333333333364,2,0,0,1,1,0.02556463610380888,0.02818309422582388,0.0007661376148462296,14,0.066666666666667,5,5,0.0006259670481085777,0.0013921046629548073,0,2,0
gnn,shortest_path,id_new,,,3006013,30,60,2.0,8,0,29,1,11.0,11,0.0,0,1,1,1,1,0.01735900342464447,0.020097670145332813,0.000761786475777626,11,0.0,5,5,0.0005763471126556396,0.0013381335884332657,1,0,1
gnn,shortest_path,id_new,,,3006014,30,60,2.0,9,0,29,1,34.0,34,0.0,2,0,0,1,1,0.02527156751602888,0.027996644377708435,0.0007691662758588791,34,0.0,5,5,0.0006773965433239937,0.0014465628191828728,0,2,0
gnn,shortest_path,id_new,,,3006015,30,60,2.0,10,0,29,1,18.0,12,0.3333333333333333,2,0,0,1,1,0.01821550913155079,0.02098400704562664,0.0007548965513706207,18,0.0,5,5,0.0006242776289582253,0.001379174180328846,1,0,1
gnn,shortest_path,id_new,,,3006016,30,60,2.0,11,0,29,1,19.0,12,0.3684210526315789,2,0,0,1,1,0.017886821180582047,0.020595207810401917,0.0007757470011711121,19,0.0,5,5,0.0005560964345932007,0.0013318434357643127,1,0,1
gnn,shortest_path,id_new,,,3006017,30,60,2.0,12,0,29,1,30.0,30,0.0,2,0,0,1,1,0.01659972593188286,0.019313644617795944,0.0007585063576698303,30,0.0,5,5,0.0006045065820217133,0.0013630129396915436,0,2,0
gnn,shortest_path,id_new,,,3006018,30,60,2.0,13,0,29,1,48.0,48,0.0,0,1,1,1,1,0.01399378664791584,0.01673369575291872,0.0007521472871303558,48,0.0,5,5,0.0006641866639256477,0.0014163339510560036,1,0,1
gnn,shortest_path,id_new,,,3006019,30,60,2.0,14,0,29,1,20.0,20,0.0,0,1,1,1,1,0.01702469401061535,0.01973842177540064,0.0007453365251421928,20,0.0,5,5,0.000574757345020771,0.0013200938701629639,1,0,1
gnn,shortest_path,id_new,,,3006020,30,60,2.0,15,0,29,1,27.0,27,0.0,0,1,1,1,1,0.018079519271850586,0.02079004794359207,0.000754237174987793,27,0.0,5,5,0.0006570667028427124,0.0014113038778305054,1,0,1
gnn,shortest_path,id_new,,,3006021,30,60,2.0,16,0,29,1,38.0,33,0.13157894736842105,2,0,0,1,1,0.016825653612613678,0.019604932516813278,0.0007422678172588348,38,0.0,5,5,0.0006788671016693115,0.0014211349189281464,1,0,1
gnn,shortest_path,id_new,,,3006022,30,60,2.0,17,0,29,1,15.0,15,0.0,0,1,1,1,1,0.017244283109903336,0.021898843348026276,0.0007619764655828476,15,0.0,5,5,0.0005334774032235146,0.0012954538688063622,1,0,1
gnn,shortest_path,id_new,,,3006023,30,60,2.0,18,0,29,1,17.0,17,0.0,2,0,0,1,1,0.016991115175187588,0.019700421951711178,0.0007567061111330986,17,0.0,5,5,0.0006524771451950073,0.001409183256328106,0,2,0
gnn,shortest_path,id_new,,,3006024,30,60,2.0,19,0,29,1,18.0,18,0.0,0,1,1,1,1,0.017233163118362427,0.019846221432089806,0.0007519861683249474,18,0.0,5,5,0.0005379579961299896,0.001289944164454937,1,0,1
gnn,shortest_path,id_new,,,3009005,30,90,3.0,0,0,29,1,19.0,12,0.3684210526315789,2,0,0,1,1,0.02181279193609953,0.02526034787297249,0.000870916061103344,19,0.0,5,5,0.000737006776034832,0.001607922837138176,1,0,1
gnn,shortest_path,id_new,,,3009006,30,90,3.0,1,0,29,1,20.0,20,0.0,0,1,1,1,1,0.0332114826887846,0.03670965600758791,0.0007902663201093674,20,0.0,5,5,0.0008167456835508347,0.001607012003660202,1,0,1
gnn,shortest_path,id_new,,,3009007,30,90,3.0,2,0,29,1,26.0,21,0.19230769230769232,2,0,0,1,1,0.02248768974095583,0.02595206443220377,0.0007676864042878151,26,0.0,5,5,0.0008618971332907677,0.0016295835375785828,0,2,0
gnn,shortest_path,id_new,,,3009008,30,90,3.0,3,0,29,1,17.0,15,0.11764705882352941,2,0,0,1,1,0.03525364212691784,0.03871933650225401,0.0008008955046534538,17,0.0,5,5,0.0008161561563611031,0.0016170516610145569,1,0,1
gnn,shortest_path,id_new,,,3009009,30,90,3.0,4,0,29,1,17.0,17,0.0,2,0,0,1,1,0.029953647404909134,0.033469321206212044,0.0007961969822645187,17,0.0,5,5,0.0008589858189225197,0.0016551828011870384,0,2,0
gnn,shortest_path,id_new,,,3009010,30,90,3.0,5,0,29,1,16.0,16,0.0,0,1,1,1,1,0.022572549991309643,0.02786213532090187,0.000809655524790287,16,0.0,5,5,0.0008298270404338837,0.0016394825652241707,1,0,1
gnn,shortest_path,id_new,,,3009011,30,90,3.0,6,0,29,1,21.0,17,0.19047619047619047,2,0,0,1,1,0.02228166162967682,0.02573156449943781,0.0007753362879157066,21,0.0,5,5,0.0007778257131576538,0.0015531620010733604,1,0,1
gnn,shortest_path,id_new,,,3009012,30,90,3.0,7,0,29,1,18.000000000000004,14,0.22222222222222238,2,0,0,1,1,0.02248481009155512,0.025999474339187145,0.0007680868729948997,17,0.05555555555555574,5,5,0.0007916158065199852,0.001559702679514885,0,2,0
gnn,shortest_path,id_new,,,3009013,30,90,3.0,8,0,29,1,12.0,11,0.08333333333333333,2,0,0,1,1,0.02315741591155529,0.026661090552806854,0.0007726466283202171,12,0.0,5,5,0.0007839575409889221,0.0015566041693091393,1,0,1
gnn,shortest_path,id_new,,,3009014,30,90,3.0,9,0,29,1,16.0,16,0.0,0,1,1,1,1,0.02239163964986801,0.02781510539352894,0.0007980968803167343,16,0.0,5,5,0.0007879361510276794,0.0015860330313444138,1,0,1
gnn,shortest_path,id_new,,,3009015,30,90,3.0,10,0,29,1,13.0,13,0.0,0,1,1,1,1,0.02362163458019495,0.02709553949534893,0.0008300654590129852,13,0.0,5,5,0.0007873568683862686,0.0016174223273992538,1,0,1
gnn,shortest_path,id_new,,,3009016,30,90,3.0,11,0,29,1,15.0,15,0.0,0,1,1,1,1,0.022233150899410248,0.026000414043664932,0.0007960470393300056,15,0.0,5,5,0.0008121868595480919,0.0016082338988780975,1,0,1
gnn,shortest_path,id_new,,,3009017,30,90,3.0,12,0,29,1,2.0,2,0.0,0,1,1,1,1,0.02063689846545458,0.02428717166185379,0.0007876167073845863,2,0.0,5,5,0.0007274067029356956,0.001515023410320282,1,0,1
gnn,shortest_path,id_new,,,3009018,30,90,3.0,13,0,29,1,21.0,21,0.0,0,1,1,1,1,0.022514360025525093,0.02814711444079876,0.00080837681889534,21,0.0,5,5,0.0007757255807518959,0.0015841023996472359,1,0,1
gnn,shortest_path,id_new,,,3009019,30,90,3.0,14,0,29,1,24.0,24,0.0,2,0,0,1,1,0.023872053250670433,0.027534807100892067,0.0007949555292725563,24,0.0,5,5,0.000828905962407589,0.0016238614916801453,0,2,0
gnn,shortest_path,id_new,,,3009020,30,90,3.0,15,0,29,1,18.0,16,0.1111111111111111,2,0,0,1,1,0.025457306765019894,0.029138381592929363,0.000822075642645359,18,0.0,5,5,0.0008196067065000534,0.0016416823491454124,1,0,1
gnn,shortest_path,id_new,,,3009021,30,90,3.0,16,0,29,1,18.000000000000025,16,0.11111111111111234,2,0,0,1,1,0.04783377703279257,0.051557949744164944,0.0007851570844650269,18,1.3816108750890817e-15,5,5,0.0029282066971063614,0.0037133637815713882,0,2,0
gnn,shortest_path,id_new,,,3009022,30,90,3.0,17,0,29,1,31.0,24,0.22580645161290322,2,0,0,1,1,0.02511518821120262,0.028798891231417656,0.0008316375315189362,31,0.0,5,5,0.0009615262970328331,0.0017931638285517693,1,0,1
gnn,shortest_path,id_new,,,3009023,30,90,3.0,18,0,29,1,12.0,11,0.08333333333333333,2,0,0,1,1,0.02374087367206812,0.027418848127126694,0.0007788762450218201,12,0.0,5,5,0.0008214572444558144,0.0016003334894776344,1,0,1
gnn,shortest_path,id_new,,,3009024,30,90,3.0,19,0,29,1,18.0,15,0.16666666666666666,2,0,0,1,1,0.024959257803857327,0.02862248197197914,0.0007957955822348595,18,0.0,5,5,0.0008197957649827003,0.0016155913472175598,1,0,1
gnn,shortest_path,id_new,,,3012005,30,120,4.0,0,0,29,1,22.0,22,0.0,0,1,1,1,1,0.026550782844424248,0.032958191819489,0.0008716564625501633,22,0.0,5,5,0.0011228444054722786,0.001994500868022442,1,0,1
