model_type,problem_type,eval_mode,wood_problem,network_name,graph_seed,n_nodes,n_edges,density,replication,source,sink,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time,candidate_objective,candidate_objective_gap,candidate_pool_size,num_candidates,candidate_search_time,hybrid_total_time,candidate_exact_match,candidate_hamming_distance,candidate_correct_edges
gnn,shortest_path,id_new,,,3006005,30,60,2.0,0,0,29,1,11.0,10,0.09090909090909091,2,0,0,1,1,0.14577094465494156,0.15074222814291716,0.1657907199114561,11,0.0,5,5,0.013194400817155838,0.17898512072861195,1,0,1
gnn,shortest_path,id_new,,,3006006,30,60,2.0,1,0,29,1,32.0,22,0.3125,2,0,0,1,1,0.018396705389022827,0.021695097908377647,0.0009758351370692253,29,0.09375,5,5,0.0005778968334197998,0.0015537319704890251,0,2,0
gnn,shortest_path,id_new,,,3006007,30,60,2.0,2,0,29,1,35.0,35,0.0,0,1,1,1,1,0.01432186458259821,0.018264004960656166,0.0008034342899918556,35,0.0,5,5,0.0006599472835659981,0.0014633815735578537,1,0,1
gnn,shortest_path,id_new,,,3006008,30,60,2.0,3,0,29,1,36.0,33,0.08333333333333333,2,0,0,1,1,0.015217381529510021,0.017933037132024765,0.0007649064064025879,34,0.05555555555555555,5,5,0.0006734868511557579,0.0014383932575583458,0,2,0
gnn,shortest_path,id_new,,,3006009,30,60,2.0,4,0,29,1,56.0,49,0.125,2,0,0,1,1,0.01642950437963009,0.01917150989174843,0.0007564155384898186,56,0.0,5,5,0.0006658677011728287,0.0014222832396626472,1,0,1
gnn,shortest_path,id_new,,,3006010,30,60,2.0,5,0,29,1,49.0,40,0.1836734693877551,2,0,0,1,1,0.014643574133515358,0.017368669621646404,0.000754096545279026,49,0.0,5,5,0.000666426494717598,0.001420523039996624,1,0,1
gnn,shortest_path,id_new,,,3006011,30,60,2.0,6,0,29,1,14.000000000000004,14,2.537652627714643e-16,0,1,1,1,1,0.019031601026654243,0.021746057085692883,0.000782686285674572,14,2.537652627714643e-16,5,5,0.0005351370200514793,0.0013178233057260513,1,0,1
gnn,shortest_path,id_new,,,3006012,30,60,2.0,7,0,29,1,15.000000000000005,13,0.13333333333333364,2,0,0,1,1,0.025769907049834728,0.028421223163604736,0.0007659159600734711,14,0.066666666666667,5,5,0.0006192866712808609,0.001385202631354332,0,2,0
gnn,shortest_path,id_new,,,3006013,30,60,2.0,8,0,29,1,11.0,11,0.0,0,1,1,1,1,0.017390509136021137,0.020134225487709045,0.000752096064388752,11,0.0,5,5,0.0005751270800828934,0.0013272231444716454,1,0,1
gnn,shortest_path,id_new,,,3006014,30,60,2.0,9,0,29,1,34.0,34,0.0,2,0,0,1,1,0.02563868649303913,0.0283844331279397,0.0007722759619355202,34,0.0,5,5,0.0006801560521125793,0.0014524320140480995,0,2,0
