model_type,problem_type,eval_mode,wood_problem,network_name,graph_seed,n_nodes,n_edges,density,replication,source,sink,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time,candidate_objective,candidate_objective_gap,candidate_pool_size,num_candidates,candidate_search_time,hybrid_total_time,candidate_exact_match,candidate_hamming_distance,candidate_correct_edges
gnn,shortest_path,id_new,,,3006005,30,60,2.0,0,0,29,1,11.0,10,0.09090909090909091,2,0,0,1,1,0.16107225324958563,0.16598255652934313,0.16594695672392845,11,0.0,4,4,0.013245333917438984,0.17919229064136744,1,0,1
gnn,shortest_path,id_new,,,3006006,30,60,2.0,1,0,29,1,32.0,22,0.3125,2,0,0,1,1,0.018488976173102856,0.021859033964574337,0.0010175062343478203,29,0.09375,4,4,0.0005124080926179886,0.0015299143269658089,0,2,0
gnn,shortest_path,id_new,,,3006007,30,60,2.0,2,0,29,1,35.0,35,0.0,0,1,1,1,1,0.01432322058826685,0.018208537250757217,0.0007884874939918518,35,0.0,4,4,0.00055649783462286,0.0013449853286147118,1,0,1
gnn,shortest_path,id_new,,,3006008,30,60,2.0,3,0,29,1,36.0,33,0.08333333333333333,2,0,0,1,1,0.01528099738061428,0.01807417720556259,0.0007791677489876747,34,0.05555555555555555,4,4,0.0005696676671504974,0.0013488354161381721,0,2,0
gnn,shortest_path,id_new,,,3006009,30,60,2.0,4,0,29,1,56.0,56,0.0,0,1,1,1,1,0.016506602987647057,0.019313303753733635,0.0007751677185297012,56,0.0,4,4,0.0005668578669428825,0.0013420255854725838,1,0,1
gnn,shortest_path,id_new,,,3006010,30,60,2.0,5,0,29,1,49.0,43,0.12244897959183673,2,0,0,1,1,0.014551140367984772,0.017298161052167416,0.0007649073377251625,49,0.0,4,4,0.0005739880725741386,0.0013388954102993011,1,0,1
gnn,shortest_path,id_new,,,3006011,30,60,2.0,6,0,29,1,14.000000000000004,14,2.537652627714643e-16,0,1,1,1,1,0.01922324299812317,0.021994913928210735,0.0008642766624689102,14,2.537652627714643e-16,4,4,0.00046677887439727783,0.001331055536866188,1,0,1
gnn,shortest_path,id_new,,,3006012,30,60,2.0,7,0,29,1,15.000000000000005,13,0.13333333333333364,2,0,0,1,1,0.025897360406816006,0.0285904323682189,0.0007916772738099098,14,0.066666666666667,4,4,0.0005382373929023743,0.001329914666712284,0,2,0
gnn,shortest_path,id_new,,,3006013,30,60,2.0,8,0,29,1,11.0,11,0.0,0,1,1,1,1,0.017434310168027878,0.020214451476931572,0.0007613468915224075,11,0.0,4,4,0.0004901476204395294,0.001251494511961937,1,0,1
gnn,shortest_path,id_new,,,3006014,30,60,2.0,9,0,29,1,34.0,34,0.0,2,0,0,1,1,0.02539484202861786,0.028168142773211002,0.0007924782112240791,34,0.0,4,4,0.000563167966902256,0.0013556461781263351,0,2,0
gnn,shortest_path,id_new,,,3006015,30,60,2.0,10,0,29,1,18.0,18,0.0,0,1,1,1,1,0.018531955778598785,0.021345436573028564,0.0007784869521856308,18,0.0,4,4,0.0005318485200405121,0.0013103354722261429,1,0,1
gnn,shortest_path,id_new,,,3006016,30,60,2.0,11,0,29,1,19.0,12,0.3684210526315789,2,0,0,1,1,0.017957627773284912,0.020722998306155205,0.0008147070184350014,19,0.0,4,4,0.0004830779507756233,0.0012977849692106247,1,0,1
gnn,shortest_path,id_new,,,3006017,30,60,2.0,12,0,29,1,30.0,22,0.26666666666666666,2,0,0,1,1,0.01683226227760315,0.01950445305556059,0.0007761083543300629,30,0.0,4,4,0.0005269581452012062,0.001303066499531269,0,2,0
gnn,shortest_path,id_new,,,3006018,30,60,2.0,13,0,29,1,48.0,38,0.20833333333333334,2,0,0,1,1,0.01408936083316803,0.016881130635738373,0.0007722275331616402,48,0.0,4,4,0.0005645276978611946,0.0013367552310228348,1,0,1
gnn,shortest_path,id_new,,,3006019,30,60,2.0,14,0,29,1,20.0,20,0.0,0,1,1,1,1,0.017062961123883724,0.019813901744782925,0.0007664775475859642,20,0.0,4,4,0.0004977993667125702,0.0012642769142985344,1,0,1
gnn,shortest_path,id_new,,,3006020,30,60,2.0,15,0,29,1,27.0,24,0.1111111111111111,2,0,0,1,1,0.018492757342755795,0.021196067333221436,0.0008290372788906097,27,0.0,4,4,0.0005804775282740593,0.001409514807164669,1,0,1
gnn,shortest_path,id_new,,,3006021,30,60,2.0,16,0,29,1,38.0,34,0.10526315789473684,2,0,0,1,1,0.017138770781457424,0.020000130869448185,0.0008070282638072968,38,0.0,4,4,0.0005879178643226624,0.001394946128129959,1,0,1
gnn,shortest_path,id_new,,,3006022,30,60,2.0,17,0,29,1,15.0,15,0.0,0,1,1,1,1,0.017489389516413212,0.0220637833699584,0.0008014068007469177,15,0.0,4,4,0.00045561976730823517,0.001257026568055153,1,0,1
gnn,shortest_path,id_new,,,3006023,30,60,2.0,18,0,29,1,17.0,17,0.0,2,0,0,1,1,0.016977491788566113,0.019702741876244545,0.0007698368281126022,17,0.0,4,4,0.000560639426112175,0.0013304762542247772,0,2,0
gnn,shortest_path,id_new,,,3006024,30,60,2.0,19,0,29,1,18.0,18,0.0,0,1,1,1,1,0.01750425063073635,0.020177749916911125,0.000757378526031971,18,0.0,4,4,0.0004661986604332924,0.0012235771864652634,1,0,1
gnn,shortest_path,id_new,,,3009005,30,90,3.0,0,0,29,1,19.0,12,0.3684210526315789,2,0,0,1,1,0.02198482397943735,0.025473942048847675,0.0009702360257506371,19,0.0,4,4,0.0006311880424618721,0.0016014240682125092,1,0,1
gnn,shortest_path,id_new,,,3009006,30,90,3.0,1,0,29,1,20.0,20,0.0,0,1,1,1,1,0.03327936492860317,0.03685521241277456,0.0008793165907263756,20,0.0,4,4,0.0006977273151278496,0.0015770439058542252,1,0,1
gnn,shortest_path,id_new,,,3009007,30,90,3.0,2,0,29,1,26.0,26,0.0,0,1,1,1,1,0.022519041784107685,0.026083840057253838,0.0008509978652000427,26,0.0,4,4,0.0007131677120923996,0.0015641655772924423,1,0,1
gnn,shortest_path,id_new,,,3009008,30,90,3.0,3,0,29,1,17.0,15,0.11764705882352941,2,0,0,1,1,0.03561805747449398,0.039164844900369644,0.0008644871413707733,17,0.0,4,4,0.0006899973377585411,0.0015544844791293144,1,0,1
gnn,shortest_path,id_new,,,3009009,30,90,3.0,4,0,29,1,17.0,16,0.058823529411764705,2,0,0,1,1,0.03008167538791895,0.033676073886454105,0.0008518071845173836,17,0.0,4,4,0.0007638474926352501,0.0016156546771526337,0,2,0
gnn,shortest_path,id_new,,,3009010,30,90,3.0,5,0,29,1,16.0,16,0.0,0,1,1,1,1,0.022717411629855633,0.028113512322306633,0.0008719470351934433,16,0.0,4,4,0.0007128464058041573,0.0015847934409976006,1,0,1
gnn,shortest_path,id_new,,,3009011,30,90,3.0,6,0,29,1,21.0,21,0.0,0,1,1,1,1,0.022899340838193893,0.026457728818058968,0.0008492367342114449,21,0.0,4,4,0.0006548278033733368,0.0015040645375847816,1,0,1
gnn,shortest_path,id_new,,,3009012,30,90,3.0,7,0,29,1,18.000000000000004,14,0.22222222222222238,2,0,0,1,1,0.02271794155240059,0.026299308985471725,0.0008503664284944534,17,0.05555555555555574,4,4,0.000682508572936058,0.0015328750014305115,0,2,0
gnn,shortest_path,id_new,,,3009013,30,90,3.0,8,0,29,1,12.0,11,0.08333333333333333,2,0,0,1,1,0.023654437623918056,0.027213485911488533,0.0008614668622612953,12,0.0,4,4,0.0006734281778335571,0.0015348950400948524,1,0,1
gnn,shortest_path,id_new,,,3009014,30,90,3.0,9,0,29,1,16.0,11,0.3125,2,0,0,1,1,0.02298588026314974,0.02843296155333519,0.0008843773975968361,16,0.0,4,4,0.0006973883137106895,0.0015817657113075256,1,0,1
gnn,shortest_path,id_new,,,3009015,30,90,3.0,10,0,29,1,13.0,13,0.0,0,1,1,1,1,0.02313334960490465,0.026716157793998718,0.0008472772315144539,13,0.0,4,4,0.0006650080904364586,0.0015122853219509125,1,0,1
gnn,shortest_path,id_new,,,3009016,30,90,3.0,11,0,29,1,15.0,15,0.0,0,1,1,1,1,0.021348836831748486,0.02489855419844389,0.0007793763652443886,15,0.0,4,4,0.0006604082882404327,0.0014397846534848213,1,0,1
gnn,shortest_path,id_new,,,3009017,30,90,3.0,12,0,29,1,2.0,2,0.0,0,1,1,1,1,0.019819782115519047,0.023325050249695778,0.0007757870480418205,2,0.0,4,4,0.0005815671756863594,0.00135735422372818,1,0,1
gnn,shortest_path,id_new,,,3009018,30,90,3.0,13,0,29,1,21.0,21,0.0,0,1,1,1,1,0.0215588565915823,0.02683389652520418,0.0008109370246529579,21,0.0,4,4,0.0006173178553581238,0.0014282548800110817,1,0,1
gnn,shortest_path,id_new,,,3009019,30,90,3.0,14,0,29,1,24.0,24,0.0,2,0,0,1,1,0.02311913948506117,0.02663325797766447,0.0008569071069359779,24,0.0,4,4,0.0007111281156539917,0.0015680352225899696,0,2,0
gnn,shortest_path,id_new,,,3009020,30,90,3.0,15,0,29,1,18.0,18,0.0,0,1,1,1,1,0.02474773395806551,0.028329242020845413,0.0008421372622251511,18,0.0,4,4,0.0006666984409093857,0.0015088357031345367,1,0,1
gnn,shortest_path,id_new,,,3009021,30,90,3.0,16,0,29,1,18.000000000000025,16,0.11111111111111234,2,0,0,1,1,0.04591227229684591,0.049541909247636795,0.0008725570514798164,17,0.05555555555555686,4,4,0.0027825497090816498,0.0036551067605614662,0,2,0
gnn,shortest_path,id_new,,,3009022,30,90,3.0,17,0,29,1,31.0,24,0.22580645161290322,2,0,0,1,1,0.02418050728738308,0.0277099646627903,0.0008835354819893837,31,0.0,4,4,0.0007565068081021309,0.0016400422900915146,1,0,1
gnn,shortest_path,id_new,,,3009023,30,90,3.0,18,0,29,1,12.0,11,0.08333333333333333,2,0,0,1,1,0.023321018554270267,0.026878676377236843,0.0008510071784257889,12,0.0,4,4,0.0006775381043553352,0.0015285452827811241,1,0,1
gnn,shortest_path,id_new,,,3009024,30,90,3.0,19,0,29,1,18.0,15,0.16666666666666666,2,0,0,1,1,0.024321116507053375,0.027903594076633453,0.0008525867015123367,18,0.0,4,4,0.0006722370162606239,0.0015248237177729607,1,0,1
gnn,shortest_path,id_new,,,3012005,30,120,4.0,0,0,29,1,22.0,22,0.0,0,1,1,1,1,0.025669491849839687,0.03179496992379427,0.0009082658216357231,22,0.0,4,4,0.0009114164859056473,0.0018196823075413704,1,0,1
gnn,shortest_path,id_new,,,3012006,30,120,4.0,1,0,29,1,19.000000000000007,19,3.739698609263684e-16,0,1,1,1,1,0.02823042217642069,0.032495767809450626,0.0008609667420387268,19,3.739698609263684e-16,4,4,0.0008365372195839882,0.001697503961622715,1,0,1
gnn,shortest_path,id_new,,,3012007,30,120,4.0,2,0,29,1,11.0,6,0.45454545454545453,2,0,0,1,1,0.028123422525823116,0.03251996822655201,0.0008887676522135735,11,0.0,4,4,0.0007604369893670082,0.0016492046415805817,1,0,1
gnn,shortest_path,id_new,,,3012008,30,120,4.0,3,0,29,1,14.0,14,0.0,0,1,1,1,1,0.028070082888007164,0.03427471127361059,0.0008984068408608437,14,0.0,4,4,0.0007921066135168076,0.0016905134543776512,1,0,1
