model_type,problem_type,eval_mode,wood_problem,network_name,graph_seed,n_nodes,n_edges,density,replication,source,sink,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time,candidate_objective,candidate_objective_gap,candidate_pool_size,num_candidates,candidate_search_time,hybrid_total_time,candidate_exact_match,candidate_hamming_distance,candidate_correct_edges
gnn,shortest_path,id_new,,,3006005,30,60,2.0,0,0,29,1,11.0,10,0.09090909090909091,2,0,0,1,1,0.14348421152681112,0.14868120849132538,0.16668356489390135,11,0.0,5,5,0.013270959258079529,0.17995452415198088,1,0,1
gnn,shortest_path,id_new,,,3006006,30,60,2.0,1,0,29,1,32.0,22,0.3125,2,0,0,1,1,0.018533584661781788,0.021936909295618534,0.000989805907011032,29,0.09375,5,5,0.000590967945754528,0.0015807738527655602,0,2,0
gnn,shortest_path,id_new,,,3006007,30,60,2.0,2,0,29,1,35.0,35,0.0,0,1,1,1,1,0.014163564890623093,0.018145847134292126,0.0007842369377613068,35,0.0,5,5,0.0006472272798418999,0.0014314642176032066,1,0,1
gnn,shortest_path,id_new,,,3006008,30,60,2.0,3,0,29,1,36.0,33,0.08333333333333333,2,0,0,1,1,0.015294499695301056,0.018032587133347988,0.0007530562579631805,35,0.027777777777777776,5,5,0.0006690165027976036,0.0014220727607607841,0,2,0
gnn,shortest_path,id_new,,,3006009,30,60,2.0,4,0,29,1,56.0,56,0.0,0,1,1,1,1,0.016377324238419533,0.019137412309646606,0.0007578069344162941,56,0.0,5,5,0.0006595272570848465,0.0014173341915011406,1,0,1
gnn,shortest_path,id_new,,,3006010,30,60,2.0,5,0,29,1,49.0,43,0.12244897959183673,2,0,0,1,1,0.01437386404722929,0.017096891067922115,0.0007579457014799118,49,0.0,5,5,0.0006827674806118011,0.001440713182091713,1,0,1
gnn,shortest_path,id_new,,,3006011,30,60,2.0,6,0,29,1,14.000000000000004,14,2.537652627714643e-16,0,1,1,1,1,0.01904446166008711,0.021762621589004993,0.0007740659639239311,14,2.537652627714643e-16,5,5,0.0005396278575062752,0.0013136938214302063,1,0,1
gnn,shortest_path,id_new,,,3006012,30,60,2.0,7,0,29,1,15.000000000000005,13,0.13333333333333364,2,0,0,1,1,0.025569901801645756,0.028177361004054546,0.0007613375782966614,14,0.066666666666667,5,5,0.0006264075636863708,0.0013877451419830322,0,2,0
gnn,shortest_path,id_new,,,3006013,30,60,2.0,8,0,29,1,11.0,11,0.0,0,1,1,1,1,0.01755020022392273,0.020302587188780308,0.0007426254451274872,11,0.0,5,5,0.0005726171657443047,0.0013152426108717918,1,0,1
gnn,shortest_path,id_new,,,3006014,30,60,2.0,9,0,29,1,34.0,34,0.0,2,0,0,1,1,0.02543568331748247,0.028183340094983578,0.0007734261453151703,34,0.0,5,5,0.0006866967305541039,0.0014601228758692741,0,2,0
