model_type,problem_type,eval_mode,wood_problem,wood_rows,wood_cols,network_name,graph_seed,n_nodes,n_edges,density,replication,source,sink,source_original,sink_original,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time,candidate_objective,candidate_objective_gap,candidate_pool_size,num_candidates,candidate_search_time,hybrid_total_time,candidate_exact_match,candidate_hamming_distance,candidate_correct_edges
gnn,shortest_path,id_new,,,,,3006005,30,60,2.0,0,0,29,,,1,11.0,10,0.09090909090909091,2,0,0,1,1,0.1365581313148141,0.14176811277866364,0.18026215117424726,11,0.0,5,5,0.014421142637729645,0.1946832938119769,1,0,1
gnn,shortest_path,id_new,,,,,3006006,30,60,2.0,1,0,29,,,1,32.0,22,0.3125,2,0,0,1,1,0.02012916374951601,0.02362387627363205,0.0011568795889616013,29,0.09375,5,5,0.0006945300847291946,0.001851409673690796,0,2,0
gnn,shortest_path,id_new,,,,,3006007,30,60,2.0,2,0,29,,,1,35.0,35,0.0,0,1,1,1,1,0.015269423834979534,0.01986286509782076,0.0009251600131392479,35,0.0,5,5,0.0007777400314807892,0.001702900044620037,1,0,1
gnn,shortest_path,id_new,,,,,3006008,30,60,2.0,3,0,29,,,1,36.0,33,0.08333333333333333,2,0,0,1,1,0.017606263980269432,0.0209181047976017,0.0008542994037270546,35,0.027777777777777776,5,5,0.0007876399904489517,0.0016419393941760063,0,2,0
gnn,shortest_path,id_new,,,,,3006009,30,60,2.0,4,0,29,,,1,56.0,56,0.0,0,1,1,1,1,0.017684433609247208,0.02115726564079523,0.0008707810193300247,56,0.0,5,5,0.0007682796567678452,0.0016390606760978699,1,0,1
gnn,shortest_path,id_new,,,,,3006010,30,60,2.0,5,0,29,,,1,49.0,40,0.1836734693877551,2,0,0,1,1,0.014971492812037468,0.018162883818149567,0.000821470282971859,49,0.0,5,5,0.0007718801498413086,0.0015933504328131676,1,0,1
gnn,shortest_path,id_new,,,,,3006011,30,60,2.0,6,0,29,,,1,14.000000000000004,14,2.537652627714643e-16,0,1,1,1,1,0.020904215052723885,0.024128636345267296,0.0008622901514172554,14,2.537652627714643e-16,5,5,0.0006207814440131187,0.0014830715954303741,1,0,1
gnn,shortest_path,id_new,,,,,3006012,30,60,2.0,7,0,29,,,1,15.000000000000005,13,0.13333333333333364,2,0,0,1,1,0.02956976741552353,0.03254745714366436,0.0008519794791936874,14,0.066666666666667,5,5,0.0007225712761282921,0.0015745507553219795,0,2,0
gnn,shortest_path,id_new,,,,,3006013,30,60,2.0,8,0,29,,,1,11.0,11,0.0,0,1,1,1,1,0.017933733761310577,0.021270873956382275,0.0008461000397801399,11,0.0,5,5,0.0006754500791430473,0.0015215501189231873,1,0,1
gnn,shortest_path,id_new,,,,,3006014,30,60,2.0,9,0,29,,,1,34.0,34,0.0,2,0,0,1,1,0.02846879605203867,0.031702566891908646,0.0008352398872375488,34,0.0,5,5,0.0007613310590386391,0.001596570946276188,0,2,0
gnn,shortest_path,id_new,,,,,3006015,30,60,2.0,10,0,29,,,1,18.0,18,0.0,0,1,1,1,1,0.019416585564613342,0.022587754763662815,0.0008227797225117683,18,0.0,5,5,0.0006921393796801567,0.001514919102191925,1,0,1
gnn,shortest_path,id_new,,,,,3006016,30,60,2.0,11,0,29,,,1,19.0,12,0.3684210526315789,2,0,0,1,1,0.018405803479254246,0.02159680426120758,0.0008390210568904877,19,0.0,5,5,0.0006368495523929596,0.0014758706092834473,1,0,1
gnn,shortest_path,id_new,,,,,3006017,30,60,2.0,12,0,29,,,1,30.0,22,0.26666666666666666,2,0,0,1,1,0.017645972780883312,0.020542524755001068,0.0008355099707841873,30,0.0,5,5,0.0007090000435709953,0.0015445100143551826,0,2,0
gnn,shortest_path,id_new,,,,,3006018,30,60,2.0,13,0,29,,,1,48.0,48,0.0,0,1,1,1,1,0.014801032841205597,0.018128504045307636,0.0008324496448040009,48,0.0,5,5,0.0007663005962967873,0.0015987502411007881,1,0,1
gnn,shortest_path,id_new,,,,,3006019,30,60,2.0,14,0,29,,,1,20.0,20,0.0,0,1,1,1,1,0.017718994058668613,0.0210117744281888,0.0008264696225523949,20,0.0,5,5,0.0006603896617889404,0.0014868592843413353,1,0,1
gnn,shortest_path,id_new,,,,,3006020,30,60,2.0,15,0,29,,,1,27.0,24,0.1111111111111111,2,0,0,1,1,0.01957930438220501,0.022753145545721054,0.0008299099281430244,27,0.0,5,5,0.0007707402110099792,0.0016006501391530037,1,0,1
gnn,shortest_path,id_new,,,,,3006021,30,60,2.0,16,0,29,,,1,38.0,33,0.13157894736842105,2,0,0,1,1,0.017551333643496037,0.02091022487729788,0.0007586292922496796,38,0.0,5,5,0.0007087700068950653,0.0014673992991447449,1,0,1
gnn,shortest_path,id_new,,,,,3006022,30,60,2.0,17,0,29,,,1,15.0,15,0.0,0,1,1,1,1,0.017676944844424725,0.022213324904441833,0.0007929103448987007,15,0.0,5,5,0.0005276305601000786,0.0013205409049987793,1,0,1
gnn,shortest_path,id_new,,,,,3006023,30,60,2.0,18,0,29,,,1,17.0,17,0.0,2,0,0,1,1,0.017396974377334118,0.02014131471514702,0.0008038999512791634,17,0.0,5,5,0.0006777103990316391,0.0014816103503108025,0,2,0
gnn,shortest_path,id_new,,,,,3006024,30,60,2.0,19,0,29,,,1,18.0,18,0.0,0,1,1,1,1,0.01747430395334959,0.020113925449550152,0.0007668398320674896,18,0.0,5,5,0.0005406001582741737,0.0013074399903416634,1,0,1
gnn,shortest_path,id_new,,,,,3009005,30,90,3.0,0,0,29,,,1,19.0,12,0.3684210526315789,2,0,0,1,1,0.022464324720203876,0.025892995297908783,0.000918031670153141,19,0.0,5,5,0.0007694298401474953,0.0016874615103006363,1,0,1
gnn,shortest_path,id_new,,,,,3009006,30,90,3.0,1,0,29,,,1,20.0,20,0.0,0,1,1,1,1,0.0331540871411562,0.036629208363592625,0.0008372711017727852,20,0.0,5,5,0.0008365800604224205,0.0016738511621952057,1,0,1
gnn,shortest_path,id_new,,,,,3009007,30,90,3.0,2,0,29,,,1,26.0,26,0.0,0,1,1,1,1,0.02221810445189476,0.02570983674377203,0.0007667997851967812,26,0.0,5,5,0.0008260197937488556,0.0015928195789456367,1,0,1
gnn,shortest_path,id_new,,,,,3009008,30,90,3.0,3,0,29,,,1,17.0,15,0.11764705882352941,2,0,0,1,1,0.03537456784397364,0.03881138935685158,0.0008060494437813759,17,0.0,5,5,0.0008241711184382439,0.0016302205622196198,1,0,1
gnn,shortest_path,id_new,,,,,3009009,30,90,3.0,4,0,29,,,1,17.0,16,0.058823529411764705,2,0,0,1,1,0.030128076672554016,0.033701797015964985,0.0008236095309257507,17,0.0,5,5,0.0008688494563102722,0.001692458987236023,0,2,0
