model_type,problem_type,eval_mode,graph_seed,n_nodes,n_edges,density,replication,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time
gnn,shortest_path,ood_size,10020005,100,200,2.0,0,1,57.0,47,0.17543859649122806,2,0,0,1,1,0.18005517311394215,0.186293532140553,0.0039099217392504215
gnn,shortest_path,ood_size,10020006,100,200,2.0,1,1,18.0,14,0.2222222222222222,2,0,0,1,1,0.033757164143025875,0.03908631019294262,0.0010112929157912731
gnn,shortest_path,ood_size,10020007,100,200,2.0,2,1,35.0,34,0.02857142857142857,2,0,0,1,1,0.03875465923920274,0.0436646337620914,0.0009737429209053516
gnn,shortest_path,ood_size,10020008,100,200,2.0,3,1,38.0,29,0.23684210526315788,2,0,0,1,1,0.03582905000075698,0.041136296931654215,0.0009126728400588036
gnn,shortest_path,ood_size,10020009,100,200,2.0,4,1,28.0,28,0.0,0,1,1,1,1,0.037193413823843,0.04242455027997494,0.00080488296225667
gnn,shortest_path,ood_size,10020010,100,200,2.0,5,1,34.0,34,0.0,0,1,1,1,1,0.047381056006997824,0.05243999091908336,0.0009146630764007568
gnn,shortest_path,ood_size,10020011,100,200,2.0,6,1,33.0,32,0.030303030303030304,2,0,0,1,1,0.03253417043015361,0.03781420597806573,0.0008420431986451149
gnn,shortest_path,ood_size,10020012,100,200,2.0,7,1,19.0,19,0.0,0,1,1,1,1,0.03642317233607173,0.04168639797717333,0.0007986719720065594
gnn,shortest_path,ood_size,10020013,100,200,2.0,8,1,47.0,39,0.1702127659574468,2,0,0,1,1,0.036409150809049606,0.04179180786013603,0.0008888528682291508
gnn,shortest_path,ood_size,10020014,100,200,2.0,9,1,29.0,27,0.06896551724137931,2,0,0,1,1,0.03559376997873187,0.040525104850530624,0.000940083060413599
gnn,shortest_path,ood_size,10020015,100,200,2.0,10,1,21.0,21,0.0,0,1,1,1,1,0.03626290196552873,0.04163133818656206,0.0008940128609538078
gnn,shortest_path,ood_size,10020016,100,200,2.0,11,1,41.0,41,0.0,0,1,1,1,1,0.03369179321452975,0.039059780072420835,0.0008938228711485863
gnn,shortest_path,ood_size,10020017,100,200,2.0,12,1,40.0,30,0.25,2,0,0,1,1,0.037039763294160366,0.042416519951075315,0.0009013027884066105
gnn,shortest_path,ood_size,10020018,100,200,2.0,13,1,40.0,40,0.0,0,1,1,1,1,0.03806952713057399,0.04328680271282792,0.000860211905092001
gnn,shortest_path,ood_size,10020019,100,200,2.0,14,1,31.0,25,0.1935483870967742,2,0,0,1,1,0.035483378916978836,0.04082858515903354,0.0008620829321444035
gnn,shortest_path,ood_size,10020020,100,200,2.0,15,1,52.0,52,0.0,2,0,0,1,1,0.03639741241931915,0.04164913669228554,0.0009220931679010391
gnn,shortest_path,ood_size,10020021,100,200,2.0,16,1,20.0,17,0.15,2,0,0,1,1,0.04690014384686947,0.05197507981210947,0.0008261320181190968
gnn,shortest_path,ood_size,10020022,100,200,2.0,17,1,5.0,5,0.0,0,1,1,1,1,0.03485094662755728,0.04022053303197026,0.0009164828807115555
gnn,shortest_path,ood_size,10020023,100,200,2.0,18,1,17.0,14,0.17647058823529413,2,0,0,1,1,0.03423809492960572,0.03941050125285983,0.000809771940112114
gnn,shortest_path,ood_size,10020024,100,200,2.0,19,1,40.0,36,0.1,2,0,0,1,1,0.03556866943836212,0.04085910506546497,0.0008144620805978775
gnn,shortest_path,ood_size,10025005,100,250,2.5,0,1,13.0,13,0.0,0,1,1,1,1,0.03853593906387687,0.044524716679006815,0.001329443883150816
