model_type,problem_type,eval_mode,wood_problem,network_name,graph_seed,n_nodes,n_edges,density,replication,source,sink,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time
gnn,shortest_path,ood_size,,,10020005,100,200,2.0,0,0,99,1,57.0,47,0.17543859649122806,2,0,0,1,1,0.1809507543221116,0.1898063588887453,0.17102982476353645
gnn,shortest_path,ood_size,,,10020006,100,200,2.0,1,0,99,1,18.0,14,0.2222222222222222,2,0,0,1,1,0.042758216150105,0.04981894791126251,0.0010773362591862679
gnn,shortest_path,ood_size,,,10020007,100,200,2.0,2,0,99,1,35.0,34,0.02857142857142857,2,0,0,1,1,0.047065868973731995,0.05442261882126331,0.0009403564035892487
gnn,shortest_path,ood_size,,,10020008,100,200,2.0,3,0,99,1,38.0,36,0.05263157894736842,2,0,0,1,1,0.04217867739498615,0.050233205780386925,0.0008787261322140694
gnn,shortest_path,ood_size,,,10020009,100,200,2.0,4,0,99,1,28.0,28,0.0,0,1,1,1,1,0.04340851306915283,0.05071245413273573,0.0008762357756495476
gnn,shortest_path,ood_size,,,10020010,100,200,2.0,5,0,99,1,34.0,25,0.2647058823529412,2,0,0,1,1,0.059571326710283756,0.06688099820166826,0.0008946554735302925
gnn,shortest_path,ood_size,,,10020011,100,200,2.0,6,0,99,1,33.0,32,0.030303030303030304,2,0,0,1,1,0.04223288781940937,0.05046116467565298,0.0008894056081771851
gnn,shortest_path,ood_size,,,10020012,100,200,2.0,7,0,99,1,19.0,18,0.05263157894736842,2,0,0,1,1,0.043107605539262295,0.05044044554233551,0.0008821962401270866
gnn,shortest_path,ood_size,,,10020013,100,200,2.0,8,0,99,1,47.0,39,0.1702127659574468,2,0,0,1,1,0.045495026744902134,0.05290798470377922,0.0008788257837295532
gnn,shortest_path,ood_size,,,10020014,100,200,2.0,9,0,99,1,29.0,27,0.06896551724137931,2,0,0,1,1,0.041986819356679916,0.050376344472169876,0.0008850870653986931
gnn,shortest_path,ood_size,,,10020015,100,200,2.0,10,0,99,1,21.0,21,0.0,0,1,1,1,1,0.04400310106575489,0.051270402036607265,0.0009208358824253082
gnn,shortest_path,ood_size,,,10020016,100,200,2.0,11,0,99,1,41.0,41,0.0,0,1,1,1,1,0.041537461802363396,0.050153736025094986,0.0009208573028445244
gnn,shortest_path,ood_size,,,10020017,100,200,2.0,12,0,99,1,40.0,30,0.25,2,0,0,1,1,0.04484231770038605,0.05207538977265358,0.0008842963725328445
gnn,shortest_path,ood_size,,,10020018,100,200,2.0,13,0,99,1,40.0,40,0.0,0,1,1,1,1,0.0431652944535017,0.05053380411118269,0.0008732862770557404
gnn,shortest_path,ood_size,,,10020019,100,200,2.0,14,0,99,1,31.0,31,0.0,0,1,1,1,1,0.044817727990448475,0.05307040549814701,0.0009343260899186134
gnn,shortest_path,ood_size,,,10020020,100,200,2.0,15,0,99,1,52.0,52,0.0,2,0,0,1,1,0.04568753391504288,0.05326876323670149,0.0008998364210128784
gnn,shortest_path,ood_size,,,10020021,100,200,2.0,16,0,99,1,20.0,19,0.05,2,0,0,1,1,0.05698801949620247,0.06583728268742561,0.0009163869544863701
gnn,shortest_path,ood_size,,,10020022,100,200,2.0,17,0,99,1,5.0,5,0.0,0,1,1,1,1,0.04913708008825779,0.05646026041358709,0.0012162653729319572
gnn,shortest_path,ood_size,,,10020023,100,200,2.0,18,0,99,1,17.0,14,0.17647058823529413,2,0,0,1,1,0.04152800049632788,0.048923651687800884,0.0009001474827528
gnn,shortest_path,ood_size,,,10020024,100,200,2.0,19,0,99,1,40.0,30,0.25,2,0,0,1,1,0.0429795254021883,0.05115036200731993,0.0009061368182301521
