model_type,problem_type,eval_mode,wood_problem,wood_rows,wood_cols,network_name,graph_seed,n_nodes,n_edges,density,replication,source,sink,source_original,sink_original,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time,candidate_objective,candidate_objective_gap,candidate_pool_size,num_candidates,candidate_search_time,hybrid_total_time,candidate_exact_match,candidate_hamming_distance,candidate_correct_edges
gnn,shortest_path,ood_size,,,,,10020005,100,200,2.0,0,0,99,,,1,57.0,50,0.12280701754385964,2,0,0,1,1,0.17236789222806692,0.18176904506981373,0.17242436297237873,53,0.07017543859649122,5,5,0.014155672863125801,0.18658003583550453,0,2,0
gnn,shortest_path,ood_size,,,,,10020006,100,200,2.0,1,0,99,,,1,18.0,14,0.2222222222222222,2,0,0,1,1,0.04396003857254982,0.05089372955262661,0.0011354200541973114,18,0.0,5,5,0.0019345609471201897,0.003069981001317501,1,0,1
gnn,shortest_path,ood_size,,,,,10020007,100,200,2.0,2,0,99,,,1,35.0,34,0.02857142857142857,2,0,0,1,1,0.04694265965372324,0.05387530941516161,0.0009890403598546982,34,0.02857142857142857,5,5,0.002229209989309311,0.003218250349164009,0,2,0
gnn,shortest_path,ood_size,,,,,10020008,100,200,2.0,3,0,99,,,1,38.0,29,0.23684210526315788,2,0,0,1,1,0.043037569150328636,0.050028350204229355,0.0009587900713086128,36,0.05263157894736842,5,5,0.0020960699766874313,0.003054860047996044,0,2,0
gnn,shortest_path,ood_size,,,,,10020009,100,200,2.0,4,0,99,,,1,28.0,21,0.25,2,0,0,1,1,0.04284757748246193,0.05041868891566992,0.0009252708405256271,28,0.0,5,5,0.0017697904258966446,0.0026950612664222717,1,0,1
gnn,shortest_path,ood_size,,,,,10020010,100,200,2.0,5,0,99,,,1,34.0,31,0.08823529411764706,2,0,0,1,1,0.06895772460848093,0.0759757049381733,0.000987369567155838,34,0.0,5,5,0.00221042986959219,0.003197799436748028,1,0,1
gnn,shortest_path,ood_size,,,,,10020011,100,200,2.0,6,0,99,,,1,33.0,23,0.30303030303030304,2,0,0,1,1,0.042737637646496296,0.04959957022219896,0.0009372998028993607,33,0.0,5,5,0.0018066111952066422,0.002743910998106003,1,0,1
gnn,shortest_path,ood_size,,,,,10020012,100,200,2.0,7,0,99,,,1,19.0,19,0.0,0,1,1,1,1,0.04206286836415529,0.049909770488739014,0.0009351298213005066,19,0.0,5,5,0.0017656004056334496,0.002700730226933956,1,0,1
gnn,shortest_path,ood_size,,,,,10020013,100,200,2.0,8,0,99,,,1,47.0,39,0.1702127659574468,2,0,0,1,1,0.04517266806215048,0.05214585177600384,0.0009520500898361206,47,0.0,5,5,0.0022337697446346283,0.003185819834470749,0,2,0
gnn,shortest_path,ood_size,,,,,10020014,100,200,2.0,9,0,99,,,1,29.0,21,0.27586206896551724,2,0,0,1,1,0.04192345775663853,0.04983863979578018,0.0009689610451459885,29,0.0,5,5,0.0020293500274419785,0.002998311072587967,1,0,1
gnn,shortest_path,ood_size,,,,,10020015,100,200,2.0,10,0,99,,,1,21.0,12,0.42857142857142855,2,0,0,1,1,0.04481292888522148,0.05176451988518238,0.0009377412497997284,21,0.0,5,5,0.001753179356455803,0.0026909206062555313,1,0,1
gnn,shortest_path,ood_size,,,,,10020016,100,200,2.0,11,0,99,,,1,41.0,37,0.0975609756097561,2,0,0,1,1,0.042329058051109314,0.0493890605866909,0.0009710295125842094,41,0.0,5,5,0.002115079201757908,0.0030861087143421173,1,0,1
gnn,shortest_path,ood_size,,,,,10020017,100,200,2.0,12,0,99,,,1,40.0,30,0.25,2,0,0,1,1,0.043903497979044914,0.0517054395750165,0.0009341808035969734,37,0.075,5,5,0.0019116699695587158,0.0028458507731556892,0,2,0
gnn,shortest_path,ood_size,,,,,10020018,100,200,2.0,13,0,99,,,1,40.0,40,0.0,0,1,1,1,1,0.04387697856873274,0.05080751981586218,0.000933520495891571,40,0.0,5,5,0.0019653206691145897,0.0028988411650061607,1,0,1
