model_type,problem_type,eval_mode,wood_problem,network_name,graph_seed,n_nodes,n_edges,density,replication,source,sink,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time,candidate_objective,candidate_objective_gap,candidate_pool_size,num_candidates,candidate_search_time,hybrid_total_time,candidate_exact_match,candidate_hamming_distance,candidate_correct_edges
gnn,shortest_path,ood_size,,,10020005,100,200,2.0,0,0,99,1,57.0,50,0.12280701754385964,2,0,0,1,1,0.17518153320997953,0.18398474343121052,0.16542411781847477,53,0.07017543859649122,4,4,0.013068649917840958,0.17849276773631573,0,2,0
gnn,shortest_path,ood_size,,,10020006,100,200,2.0,1,0,99,1,18.0,18,0.0,0,1,1,1,1,0.04332952108234167,0.05047003738582134,0.0010822750627994537,18,0.0,4,4,0.001560852862894535,0.002643127925693989,1,0,1
gnn,shortest_path,ood_size,,,10020007,100,200,2.0,2,0,99,1,35.0,34,0.02857142857142857,2,0,0,1,1,0.04764294996857643,0.05466685816645622,0.0009382860735058784,35,0.0,4,4,0.0018437718972563744,0.002782057970762253,1,0,1
gnn,shortest_path,ood_size,,,10020008,100,200,2.0,3,0,99,1,38.0,29,0.23684210526315788,2,0,0,1,1,0.04355158004909754,0.0512627437710762,0.0009262356907129288,36,0.05263157894736842,4,4,0.001689382828772068,0.002615618519484997,0,2,0
gnn,shortest_path,ood_size,,,10020009,100,200,2.0,4,0,99,1,28.0,18,0.35714285714285715,2,0,0,1,1,0.04390990734100342,0.05089588463306427,0.0009305952116847038,28,0.0,4,4,0.0014035338535904884,0.0023341290652751923,1,0,1
gnn,shortest_path,ood_size,,,10020010,100,200,2.0,5,0,99,1,34.0,31,0.08823529411764706,2,0,0,1,1,0.05961908679455519,0.06673089135438204,0.0009309258311986923,34,0.0,4,4,0.001766282133758068,0.0026972079649567604,1,0,1
gnn,shortest_path,ood_size,,,10020011,100,200,2.0,6,0,99,1,33.0,23,0.30303030303030304,2,0,0,1,1,0.04232184588909149,0.050083158537745476,0.0009204261004924774,32,0.030303030303030304,4,4,0.0014915838837623596,0.002412009984254837,0,2,0
gnn,shortest_path,ood_size,,,10020012,100,200,2.0,7,0,99,1,19.0,19,0.0,0,1,1,1,1,0.04320546146482229,0.05021338909864426,0.0009277565404772758,19,0.0,4,4,0.0014151232317090034,0.0023428797721862793,1,0,1
gnn,shortest_path,ood_size,,,10020013,100,200,2.0,8,0,99,1,47.0,39,0.1702127659574468,2,0,0,1,1,0.04603293817490339,0.053089856170117855,0.0009137559682130814,47,0.0,4,4,0.0017968211323022842,0.0027105771005153656,0,2,0
gnn,shortest_path,ood_size,,,10020014,100,200,2.0,9,0,99,1,29.0,21,0.27586206896551724,2,0,0,1,1,0.04226955585181713,0.05031888838857412,0.0009234249591827393,27,0.06896551724137931,4,4,0.0015829931944608688,0.002506418153643608,0,2,0
gnn,shortest_path,ood_size,,,10020015,100,200,2.0,10,0,99,1,21.0,21,0.0,0,1,1,1,1,0.04440327640622854,0.05144065245985985,0.0009225262328982353,21,0.0,4,4,0.0014033438637852669,0.002325870096683502,1,0,1
gnn,shortest_path,ood_size,,,10020016,100,200,2.0,11,0,99,1,41.0,37,0.0975609756097561,2,0,0,1,1,0.0420169560238719,0.05016137845814228,0.0009385859593749046,41,0.0,4,4,0.0017550522461533546,0.0026936382055282593,1,0,1
gnn,shortest_path,ood_size,,,10020017,100,200,2.0,12,0,99,1,40.0,30,0.25,2,0,0,1,1,0.04538712091743946,0.05231444910168648,0.000922386534512043,37,0.075,4,4,0.0015005618333816528,0.002422948367893696,0,2,0
gnn,shortest_path,ood_size,,,10020018,100,200,2.0,13,0,99,1,40.0,40,0.0,0,1,1,1,1,0.04340205155313015,0.05049179680645466,0.0009220568463206291,40,0.0,4,4,0.0015256637707352638,0.002447720617055893,1,0,1
gnn,shortest_path,ood_size,,,10020019,100,200,2.0,14,0,99,1,31.0,25,0.1935483870967742,2,0,0,1,1,0.04551225993782282,0.05343590397387743,0.0009405463933944702,31,0.0,4,4,0.0017183618620038033,0.0026589082553982735,1,0,1
gnn,shortest_path,ood_size,,,10020020,100,200,2.0,15,0,99,1,52.0,52,0.0,2,0,0,1,1,0.045108841732144356,0.052504608407616615,0.0009411964565515518,52,0.0,4,4,0.0017059817910194397,0.0026471782475709915,0,2,0
gnn,shortest_path,ood_size,,,10020021,100,200,2.0,16,0,99,1,20.0,17,0.15,2,0,0,1,1,0.05732873547822237,0.06577188707888126,0.0009660050272941589,20,0.0,4,4,0.001768922433257103,0.002734927460551262,1,0,1
gnn,shortest_path,ood_size,,,10020022,100,200,2.0,17,0,99,1,5.0,5,0.0,0,1,1,1,1,0.044900923036038876,0.051818011328577995,0.0009229360148310661,5,0.0,4,4,0.0013329340144991875,0.0022558700293302536,1,0,1
gnn,shortest_path,ood_size,,,10020023,100,200,2.0,18,0,99,1,17.0,14,0.17647058823529413,2,0,0,1,1,0.041688947938382626,0.04878070577979088,0.0009187860414385796,17,0.0,4,4,0.0014424128457903862,0.0023611988872289658,1,0,1
gnn,shortest_path,ood_size,,,10020024,100,200,2.0,19,0,99,1,40.0,36,0.1,2,0,0,1,1,0.04318083077669144,0.051094635389745235,0.0009237360209226608,36,0.1,4,4,0.0018228525295853615,0.0027465885505080223,0,2,0
gnn,shortest_path,ood_size,,,10025005,100,250,2.5,0,0,99,1,13.0,13,0.0,0,1,1,1,1,0.05072809662669897,0.05889292899519205,0.00099913589656353,13,0.0,4,4,0.0016101626679301262,0.002609298564493656,1,0,1
gnn,shortest_path,ood_size,,,10025006,100,250,2.5,1,0,99,1,33.0,31,0.06060606060606061,2,0,0,1,1,0.056378940120339394,0.06467807199805975,0.0009559541940689087,31,0.06060606060606061,4,4,0.0021016597747802734,0.003057613968849182,0,2,0
gnn,shortest_path,ood_size,,,10025007,100,250,2.5,2,0,99,1,22.0,22,0.0,0,1,1,1,1,0.05445050913840532,0.06315371952950954,0.000966126099228859,22,0.0,4,4,0.0019801100715994835,0.0029462361708283424,1,0,1
