model_type,problem_type,eval_mode,wood_problem,network_name,graph_seed,n_nodes,n_edges,density,replication,source,sink,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time,candidate_objective,candidate_objective_gap,candidate_pool_size,num_candidates,candidate_search_time,hybrid_total_time,candidate_exact_match,candidate_hamming_distance,candidate_correct_edges
gnn,shortest_path,ood_size,,,10020005,100,200,2.0,0,0,99,1,57.0,50,0.12280701754385964,2,0,0,1,1,0.1782837314531207,0.18719162978231907,0.1647242335602641,53,0.07017543859649122,5,5,0.0140962740406394,0.1788205076009035,0,2,0
gnn,shortest_path,ood_size,,,10020006,100,200,2.0,1,0,99,1,18.0,18,0.0,0,1,1,1,1,0.04300137795507908,0.05016853380948305,0.001087014563381672,18,0.0,5,5,0.001916801556944847,0.003003816120326519,1,0,1
gnn,shortest_path,ood_size,,,10020007,100,200,2.0,2,0,99,1,35.0,34,0.02857142857142857,2,0,0,1,1,0.04712333902716637,0.054091635160148144,0.0009226351976394653,35,0.0,5,5,0.0022931192070245743,0.0032157544046640396,1,0,1
gnn,shortest_path,ood_size,,,10020008,100,200,2.0,3,0,99,1,38.0,29,0.23684210526315788,2,0,0,1,1,0.04211008083075285,0.0496555557474494,0.000917426310479641,36,0.05263157894736842,5,5,0.0020897500216960907,0.0030071763321757317,0,2,0
gnn,shortest_path,ood_size,,,10020009,100,200,2.0,4,0,99,1,28.0,18,0.35714285714285715,2,0,0,1,1,0.04340657498687506,0.050343163311481476,0.0009270748123526573,28,0.0,5,5,0.0017678812146186829,0.00269495602697134,1,0,1
gnn,shortest_path,ood_size,,,10020010,100,200,2.0,5,0,99,1,34.0,31,0.08823529411764706,2,0,0,1,1,0.059479519724845886,0.06653577648103237,0.0009533567354083061,34,0.0,5,5,0.002227639779448509,0.0031809965148568153,1,0,1
gnn,shortest_path,ood_size,,,10020011,100,200,2.0,6,0,99,1,33.0,23,0.30303030303030304,2,0,0,1,1,0.04182231333106756,0.049498687498271465,0.0009288061410188675,33,0.0,5,5,0.0018917517736554146,0.002820557914674282,1,0,1
gnn,shortest_path,ood_size,,,10020012,100,200,2.0,7,0,99,1,19.0,19,0.0,0,1,1,1,1,0.042707979679107666,0.04968312568962574,0.0009339144453406334,19,0.0,5,5,0.0017670411616563797,0.002700955606997013,1,0,1
gnn,shortest_path,ood_size,,,10020013,100,200,2.0,8,0,99,1,47.0,39,0.1702127659574468,2,0,0,1,1,0.04579039569944143,0.05279868096113205,0.0009443946182727814,47,0.0,5,5,0.002247130498290062,0.0031915251165628433,0,2,0
gnn,shortest_path,ood_size,,,10020014,100,200,2.0,9,0,99,1,29.0,21,0.27586206896551724,2,0,0,1,1,0.04187649209052324,0.04997682571411133,0.0009276056662201881,29,0.0,5,5,0.0020380597561597824,0.0029656654223799706,1,0,1
gnn,shortest_path,ood_size,,,10020015,100,200,2.0,10,0,99,1,21.0,21,0.0,0,1,1,1,1,0.0440182127058506,0.05096308048814535,0.0009298846125602722,21,0.0,5,5,0.0017823902890086174,0.0027122749015688896,1,0,1
gnn,shortest_path,ood_size,,,10020016,100,200,2.0,11,0,99,1,41.0,37,0.0975609756097561,2,0,0,1,1,0.04187403339892626,0.049992225132882595,0.0009408751502633095,41,0.0,5,5,0.0021759597584605217,0.003116834908723831,1,0,1
gnn,shortest_path,ood_size,,,10020017,100,200,2.0,12,0,99,1,40.0,30,0.25,2,0,0,1,1,0.045080697163939476,0.05188269633799791,0.0009346557781100273,37,0.075,5,5,0.0018879910930991173,0.0028226468712091446,0,2,0
gnn,shortest_path,ood_size,,,10020018,100,200,2.0,13,0,99,1,40.0,40,0.0,0,1,1,1,1,0.04292010795325041,0.04995703510940075,0.0009340057149529457,40,0.0,5,5,0.0018779914826154709,0.0028119971975684166,1,0,1
gnn,shortest_path,ood_size,,,10020019,100,200,2.0,14,0,99,1,31.0,25,0.1935483870967742,2,0,0,1,1,0.04495289921760559,0.05280636250972748,0.0009357864037156105,31,0.0,5,5,0.002112460322678089,0.0030482467263936996,1,0,1
gnn,shortest_path,ood_size,,,10020020,100,200,2.0,15,0,99,1,52.0,52,0.0,2,0,0,1,1,0.044624519534409046,0.05194896552711725,0.0009528649970889091,52,0.0,5,5,0.0021092407405376434,0.0030621057376265526,0,2,0
gnn,shortest_path,ood_size,,,10020021,100,200,2.0,16,0,99,1,20.0,17,0.15,2,0,0,1,1,0.057104301638901234,0.06546802166849375,0.0009686741977930069,20,0.0,5,5,0.002173089422285557,0.0031417636200785637,1,0,1
gnn,shortest_path,ood_size,,,10020022,100,200,2.0,17,0,99,1,5.0,5,0.0,0,1,1,1,1,0.04438073094934225,0.05125938728451729,0.0009390758350491524,5,0.0,5,5,0.0016928017139434814,0.002631877548992634,1,0,1
gnn,shortest_path,ood_size,,,10020023,100,200,2.0,18,0,99,1,17.0,14,0.17647058823529413,2,0,0,1,1,0.04126305505633354,0.048333712853491306,0.0009260047227144241,17,0.0,5,5,0.0018152408301830292,0.0027412455528974533,1,0,1
gnn,shortest_path,ood_size,,,10020024,100,200,2.0,19,0,99,1,40.0,36,0.1,2,0,0,1,1,0.0426532793790102,0.050519523210823536,0.0009375261142849922,36,0.1,5,5,0.002266739495098591,0.003204265609383583,0,2,0
gnn,shortest_path,ood_size,,,10025005,100,250,2.5,0,0,99,1,13.0,13,0.0,0,1,1,1,1,0.049904175102710724,0.05802382715046406,0.0010161949321627617,13,0.0,5,5,0.002048480324447155,0.0030646752566099167,1,0,1
gnn,shortest_path,ood_size,,,10025006,100,250,2.5,1,0,99,1,33.0,31,0.06060606060606061,2,0,0,1,1,0.05674208328127861,0.06499595381319523,0.0009653260931372643,31,0.06060606060606061,5,5,0.0026526078581809998,0.003617933951318264,0,2,0
gnn,shortest_path,ood_size,,,10025007,100,250,2.5,2,0,99,1,22.0,22,0.0,0,1,1,1,1,0.056059655733406544,0.06550009176135063,0.0009673247113823891,22,0.0,5,5,0.0024357978254556656,0.0034031225368380547,1,0,1
gnn,shortest_path,ood_size,,,10025008,100,250,2.5,3,0,99,1,20.0,20,0.0,2,0,0,1,1,0.056755103170871735,0.06544733140617609,0.000970316119492054,20,0.0,5,5,0.0024860380217432976,0.0034563541412353516,0,2,0
gnn,shortest_path,ood_size,,,10025009,100,250,2.5,4,0,99,1,34.0,31,0.08823529411764706,2,0,0,1,1,0.05136242788285017,0.05985763855278492,0.0009611668065190315,31,0.08823529411764706,5,5,0.0022818194702267647,0.003242986276745796,0,2,0
gnn,shortest_path,ood_size,,,10025010,100,250,2.5,5,0,99,1,26.0,22,0.15384615384615385,2,0,0,1,1,0.07801175303757191,0.08620170503854752,0.000996975228190422,25,0.038461538461538464,5,5,0.0023508789017796516,0.0033478541299700737,0,2,0
gnn,shortest_path,ood_size,,,10025011,100,250,2.5,6,0,99,1,15.000000000000002,15,1.1842378929335e-16,0,1,1,1,1,0.05911946203559637,0.06731356307864189,0.0009737256914377213,15,1.1842378929335e-16,5,5,0.002185770310461521,0.0031594960018992424,1,0,1
gnn,shortest_path,ood_size,,,10025012,100,250,2.5,7,0,99,1,11.0,8,0.2727272727272727,2,0,0,1,1,0.0562738748267293,0.06429669726639986,0.0009778346866369247,11,0.0,5,5,0.0031418250873684883,0.004119659774005413,1,0,1
gnn,shortest_path,ood_size,,,10025013,100,250,2.5,8,0,99,1,22.0,20,0.09090909090909091,2,0,0,1,1,0.05974030774086714,0.06752026174217463,0.0010183844715356827,22,0.0,5,5,0.002620636485517025,0.0036390209570527077,0,2,0
gnn,shortest_path,ood_size,,,10025014,100,250,2.5,9,0,99,1,29.0,26,0.10344827586206896,2,0,0,1,1,0.0630565732717514,0.0720670111477375,0.0009820647537708282,29,0.0,5,5,0.002542208880186081,0.003524273633956909,1,0,1
gnn,shortest_path,ood_size,,,10025015,100,250,2.5,10,0,99,1,24.0,24,0.0,0,1,1,1,1,0.060374786145985126,0.06826070882380009,0.000980284996330738,24,0.0,5,5,0.002491067163646221,0.0034713521599769592,1,0,1
gnn,shortest_path,ood_size,,,10025016,100,250,2.5,11,0,99,1,14.0,9,0.35714285714285715,2,0,0,1,1,0.049601295962929726,0.0575820691883564,0.0009360862895846367,11,0.21428571428571427,5,5,0.00308434572070837,0.004020432010293007,0,2,0
gnn,shortest_path,ood_size,,,10025017,100,250,2.5,12,0,99,1,38.0,28,0.2631578947368421,2,0,0,1,1,0.06847845762968063,0.07626624125987291,0.0010021449998021126,38,0.0,5,5,0.0023720888420939445,0.003374233841896057,1,0,1
gnn,shortest_path,ood_size,,,10025018,100,250,2.5,13,0,99,1,30.0,30,0.0,0,1,1,1,1,0.07074661739170551,0.07977499347180128,0.00099947489798069,30,0.0,5,5,0.0026384172961115837,0.0036378921940922737,1,0,1
gnn,shortest_path,ood_size,,,10025019,100,250,2.5,14,0,99,1,45.0,45,0.0,0,1,1,1,1,0.05841384455561638,0.06639533769339323,0.000983966514468193,45,0.0,5,5,0.0026867277920246124,0.0036706943064928055,1,0,1
gnn,shortest_path,ood_size,,,10025020,100,250,2.5,15,0,99,1,24.0,24,0.0,2,0,0,1,1,0.05753276962786913,0.0655626505613327,0.0009768446907401085,24,0.0,5,5,0.0034875329583883286,0.004464377649128437,0,2,0
gnn,shortest_path,ood_size,,,10025021,100,250,2.5,16,0,99,1,20.0,17,0.15,2,0,0,1,1,0.055831278674304485,0.06347768101841211,0.000976325012743473,20,0.0,5,5,0.0022928696125745773,0.0032691946253180504,1,0,1
gnn,shortest_path,ood_size,,,10025022,100,250,2.5,17,0,99,1,43.0,34,0.20930232558139536,2,0,0,1,1,0.059529329650104046,0.32594697643071413,0.0010838350281119347,38,0.11627906976744186,5,5,0.0021407706663012505,0.003224605694413185,0,2,0
gnn,shortest_path,ood_size,,,10025023,100,250,2.5,18,0,99,1,36.0,27,0.25,2,0,0,1,1,0.05116424988955259,0.05914116092026234,0.0009487448260188103,31,0.1388888888888889,5,5,0.0024086376652121544,0.0033573824912309647,0,2,0
gnn,shortest_path,ood_size,,,10025024,100,250,2.5,19,0,99,1,31.0,22,0.2903225806451613,2,0,0,1,1,0.054201154969632626,0.062152947299182415,0.0009855953976511955,31,0.0,5,5,0.0021533705294132233,0.003138965927064419,1,0,1
gnn,shortest_path,ood_size,,,10030005,100,300,3.0,0,0,99,1,22.0,17,0.22727272727272727,2,0,0,1,1,0.06541502196341753,0.07465907838195562,0.0010570446029305458,22,0.0,5,5,0.00282264593988657,0.003879690542817116,1,0,1
gnn,shortest_path,ood_size,,,10030006,100,300,3.0,1,0,99,1,24.0,24,0.0,0,1,1,1,1,0.062433166429400444,0.07144388370215893,0.0009751450270414352,24,0.0,5,5,0.0028189364820718765,0.0037940815091133118,1,0,1
gnn,shortest_path,ood_size,,,10030007,100,300,3.0,2,0,99,1,31.0,31,0.0,0,1,1,1,1,0.09574108012020588,0.10484491661190987,0.0010406645014882088,31,0.0,5,5,0.0029564565047621727,0.0039971210062503815,1,0,1
gnn,shortest_path,ood_size,,,10030008,100,300,3.0,3,0,99,1,19.0,15,0.21052631578947367,2,0,0,1,1,0.0743719395250082,0.08360660634934902,0.0012666238471865654,19,0.0,5,5,0.0027191080152988434,0.003985731862485409,1,0,1
gnn,shortest_path,ood_size,,,10030009,100,300,3.0,4,0,99,1,50.0,49,0.02,2,0,0,1,1,0.06251564621925354,0.07198180072009563,0.0009938348084688187,49,0.02,5,5,0.0028614671900868416,0.0038553019985556602,0,2,0
gnn,shortest_path,ood_size,,,10030010,100,300,3.0,5,0,99,1,23.0,17,0.2608695652173913,2,0,0,1,1,0.06893803551793098,0.07795604318380356,0.0009928559884428978,23,0.0,5,5,0.0026944484561681747,0.0036873044446110725,1,0,1
gnn,shortest_path,ood_size,,,10030011,100,300,3.0,6,0,99,1,18.0,18,0.0,0,1,1,1,1,0.06633528787642717,0.07545123528689146,0.000997784547507763,18,0.0,5,5,0.002536267973482609,0.0035340525209903717,1,0,1
gnn,shortest_path,ood_size,,,10030012,100,300,3.0,7,0,99,1,26.0,20,0.23076923076923078,2,0,0,1,1,0.06880571600049734,0.07791900355368853,0.0010004052892327309,26,0.0,5,5,0.0029478957876563072,0.003948301076889038,1,0,1
gnn,shortest_path,ood_size,,,10030013,100,300,3.0,8,0,99,1,17.0,17,0.0,0,1,1,1,1,0.06343615148216486,0.07243878860026598,0.000988614745438099,17,0.0,5,5,0.002640548162162304,0.003629162907600403,1,0,1
gnn,shortest_path,ood_size,,,10030014,100,300,3.0,9,0,99,1,40.00000000000001,40,1.77635683940025e-16,2,0,0,1,1,0.10152280144393444,0.11059249006211758,0.0010297559201717377,40,1.77635683940025e-16,5,5,0.002999185584485531,0.0040289415046572685,0,2,0
gnn,shortest_path,ood_size,,,10030015,100,300,3.0,10,0,99,1,21.0,21,0.0,2,0,0,1,1,0.06854888796806335,0.07758758496493101,0.000997675582766533,21,0.0,5,5,0.0028381971642374992,0.003835872747004032,0,2,0
gnn,shortest_path,ood_size,,,10030016,100,300,3.0,11,0,99,1,31.0,25,0.1935483870967742,2,0,0,1,1,0.0776461036875844,0.08678130153566599,0.001063656061887741,31,0.0,5,5,0.003096424974501133,0.004160081036388874,1,0,1
gnn,shortest_path,ood_size,,,10030017,100,300,3.0,12,0,99,1,25.0,20,0.2,2,0,0,1,1,0.08897179178893566,0.0980543689802289,0.001028895378112793,25,0.0,5,5,0.0029647257179021835,0.0039936210960149765,0,2,0
gnn,shortest_path,ood_size,,,10030018,100,300,3.0,13,0,99,1,51.0,47,0.0784313725490196,2,0,0,1,1,0.06568750087171793,0.07481828890740871,0.000987865962088108,48,0.058823529411764705,5,5,0.0028659971430897713,0.0038538631051778793,0,2,0
gnn,shortest_path,ood_size,,,10030019,100,300,3.0,14,0,99,1,18.0,18,0.0,0,1,1,1,1,0.059938328340649605,0.06908626481890678,0.000979684293270111,18,0.0,5,5,0.0026177987456321716,0.0035974830389022827,1,0,1
gnn,shortest_path,ood_size,,,10030020,100,300,3.0,15,0,99,1,16.0,8,0.5,2,0,0,1,1,0.0705779679119587,0.07978275511413813,0.0010083047673106194,16,0.0,5,5,0.00264795683324337,0.0036562616005539894,1,0,1
gnn,shortest_path,ood_size,,,10030021,100,300,3.0,16,0,99,1,27.0,25,0.07407407407407407,2,0,0,1,1,0.06764081213623285,0.07687804847955704,0.0010066749528050423,27,0.0,5,5,0.0029444359242916107,0.003951110877096653,1,0,1
gnn,shortest_path,ood_size,,,10030022,100,300,3.0,17,0,99,1,24.0,19,0.20833333333333334,2,0,0,1,1,0.09291795361787081,0.10208398010581732,0.0010132864117622375,24,0.0,5,5,0.0027685677632689476,0.003781854175031185,0,2,0
gnn,shortest_path,ood_size,,,10030023,100,300,3.0,18,0,99,1,20.0,12,0.4,2,0,0,1,1,0.06246189586818218,0.07170004304498434,0.000981796532869339,13,0.35,5,5,0.0025996575132012367,0.0035814540460705757,0,2,0
gnn,shortest_path,ood_size,,,10030024,100,300,3.0,19,0,99,1,19.0,12,0.3684210526315789,2,0,0,1,1,0.07043919805437326,0.0796306561678648,0.0010034162551164627,19,0.0,5,5,0.0025098873302340508,0.0035133035853505135,1,0,1
gnn,shortest_path,ood_size,,,10040005,100,400,4.0,0,0,99,1,22.0,16,0.2727272727272727,2,0,0,1,1,0.31845347210764885,0.3305902136489749,0.0016501331701874733,22,0.0,5,5,0.003932290710508823,0.005582423880696297,1,0,1
gnn,shortest_path,ood_size,,,10040006,100,400,4.0,1,0,99,1,15.0,15,0.0,2,0,0,1,1,0.09068980347365141,0.10225948877632618,0.0010535754263401031,15,0.0,5,5,0.0032443758100271225,0.004297951236367226,0,2,0
gnn,shortest_path,ood_size,,,10040007,100,400,4.0,2,0,99,1,19.000000000000004,16,0.15789473684210542,2,0,0,1,1,0.1367165269330144,0.14852103125303984,0.0010714251548051834,19,1.8698493046318422e-16,5,5,0.004714556969702244,0.005785982124507427,1,0,1
gnn,shortest_path,ood_size,,,10040008,100,400,4.0,3,0,99,1,18.0,18,0.0,0,1,1,1,1,0.0926307337358594,0.10425809025764465,0.0010550152510404587,18,0.0,5,5,0.004191320389509201,0.00524633564054966,1,0,1
gnn,shortest_path,ood_size,,,10040009,100,400,4.0,4,0,99,1,17.0,17,0.0,0,1,1,1,1,0.09908141382038593,0.11036631092429161,0.0010617151856422424,17,0.0,5,5,0.003612683154642582,0.004674398340284824,1,0,1
gnn,shortest_path,ood_size,,,10040010,100,400,4.0,5,0,99,1,29.000000000000007,23,0.20689655172413812,2,0,0,1,1,0.13139468245208263,0.14296462666243315,0.0010723350569605827,24,0.17241379310344848,5,5,0.0036558723077178,0.004728207364678383,0,2,0
gnn,shortest_path,ood_size,,,10040011,100,400,4.0,6,0,99,1,23.0,20,0.13043478260869565,2,0,0,1,1,0.12702368199825287,0.13856644742190838,0.0010716244578361511,23,0.0,5,5,0.004542527720332146,0.005614152178168297,1,0,1
gnn,shortest_path,ood_size,,,10040012,100,400,4.0,7,0,99,1,21.0,21,0.0,0,1,1,1,1,0.09211454726755619,0.10368116199970245,0.0010509947314858437,21,0.0,5,5,0.003908362239599228,0.0049593569710850716,1,0,1
gnn,shortest_path,ood_size,,,10040013,100,400,4.0,8,0,99,1,26.0,24,0.07692307692307693,2,0,0,1,1,0.0973575422540307,0.10917964670807123,0.001062365248799324,26,0.0,5,5,0.0038707926869392395,0.0049331579357385635,1,0,1
gnn,shortest_path,ood_size,,,10040014,100,400,4.0,9,0,99,1,17.0,10,0.4117647058823529,2,0,0,1,1,0.09281827416270971,0.10436342936009169,0.0010441942140460014,16,0.058823529411764705,5,5,0.004160190001130104,0.0052043842151761055,0,2,0
gnn,shortest_path,ood_size,,,10040015,100,400,4.0,10,0,99,1,34.0,29,0.14705882352941177,2,0,0,1,1,0.08808869682252407,0.0996226305142045,0.0010284660384058952,31,0.08823529411764706,5,5,0.003894232213497162,0.004922698251903057,0,2,0
gnn,shortest_path,ood_size,,,10040016,100,400,4.0,11,0,99,1,10.0,8,0.2,2,0,0,1,1,0.09616095665842295,0.10741153452545404,0.0010444950312376022,10,0.0,5,5,0.003272724337875843,0.004317219369113445,1,0,1
gnn,shortest_path,ood_size,,,10040017,100,400,4.0,12,0,99,1,19.0,18,0.05263157894736842,2,0,0,1,1,0.1304053869098425,0.14213009178638458,0.001318732276558876,19,0.0,5,5,0.004504408687353134,0.00582314096391201,1,0,1
gnn,shortest_path,ood_size,,,10040018,100,400,4.0,13,0,99,1,18.0,18,0.0,0,1,1,1,1,0.0854556867852807,0.09712796285748482,0.001036275178194046,18,0.0,5,5,0.004065191373229027,0.005101466551423073,1,0,1
gnn,shortest_path,ood_size,,,10040019,100,400,4.0,14,0,99,1,20.0,18,0.1,2,0,0,1,1,0.09501153323799372,0.10624775011092424,0.0010543754324316978,19,0.05,5,5,0.003720291890203953,0.004774667322635651,0,2,0
gnn,shortest_path,ood_size,,,10040020,100,400,4.0,15,0,99,1,19.0,11,0.42105263157894735,2,0,0,1,1,0.09517525136470795,0.10669722873717546,0.0010604355484247208,19,0.0,5,5,0.0035391636192798615,0.004599599167704582,1,0,1
gnn,shortest_path,ood_size,,,10040021,100,400,4.0,16,0,99,1,22.0,20,0.09090909090909091,2,0,0,1,1,0.11854570172727108,0.130134136416018,0.0010738950222730637,22,0.0,5,5,0.0043519604951143265,0.00542585551738739,0,2,0
gnn,shortest_path,ood_size,,,10040022,100,400,4.0,17,0,99,1,20.0,20,0.0,0,1,1,1,1,0.09612348768860102,0.10769516229629517,0.0010459758341312408,20,0.0,5,5,0.0036111027002334595,0.0046570785343647,1,0,1
gnn,shortest_path,ood_size,,,10040023,100,400,4.0,18,0,99,1,28.0,28,0.0,0,1,1,1,1,0.09004749730229378,0.1019255705177784,0.001030895859003067,28,0.0,5,5,0.003819892182946205,0.004850788041949272,1,0,1
gnn,shortest_path,ood_size,,,10040024,100,400,4.0,19,0,99,1,24.0,23,0.041666666666666664,2,0,0,1,1,0.09870988596230745,0.11018931027501822,0.0010518552735447884,24,0.0,5,5,0.004518899135291576,0.005570754408836365,1,0,1
gnn,shortest_path,ood_size,,,10050005,100,500,5.0,0,0,99,1,15.000000000000002,13,0.13333333333333344,2,0,0,1,1,0.16479309368878603,0.17870329041033983,0.0014641331508755684,15,1.1842378929335e-16,5,5,0.004839617758989334,0.0063037509098649025,1,0,1
gnn,shortest_path,ood_size,,,10050006,100,500,5.0,1,0,99,1,17.0,17,0.0,2,0,0,1,1,0.16231753677129745,0.17638766020536423,0.0010910052806138992,17,0.0,5,5,0.219366068020463,0.2204570733010769,0,2,0
gnn,shortest_path,ood_size,,,10050007,100,500,5.0,2,0,99,1,11.000000000000002,9,0.18181818181818196,2,0,0,1,1,0.15137985814362764,0.16556923184543848,0.0010993145406246185,11,1.6148698540002275e-16,5,5,0.005014456808567047,0.006113771349191666,1,0,1
gnn,shortest_path,ood_size,,,10050008,100,500,5.0,3,0,99,1,18.0,16,0.1111111111111111,2,0,0,1,1,0.1194288581609726,0.1333841234445572,0.001075824722647667,18,0.0,5,5,0.00523296557366848,0.006308790296316147,1,0,1
gnn,shortest_path,ood_size,,,10050009,100,500,5.0,4,0,99,1,14.0,14,0.0,0,1,1,1,1,0.11953064799308777,0.13350052200257778,0.0010797446593642235,14,0.0,5,5,0.004709177650511265,0.005788922309875488,1,0,1
