model_type,problem_type,eval_mode,wood_problem,network_name,graph_seed,n_nodes,n_edges,density,replication,source,sink,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time,candidate_objective,candidate_objective_gap,candidate_pool_size,num_candidates,candidate_search_time,hybrid_total_time,candidate_exact_match,candidate_hamming_distance,candidate_correct_edges
gnn,shortest_path,ood_size,,,10020005,100,200,2.0,0,0,99,1,57.0,50,0.12280701754385964,2,0,0,1,1,0.19804108701646328,0.20697281416505575,0.16820122487843037,53,0.07017543859649122,5,5,0.014051871374249458,0.18225309625267982,0,2,0
gnn,shortest_path,ood_size,,,10020006,100,200,2.0,1,0,99,1,18.0,18,0.0,0,1,1,1,1,0.0430365689098835,0.050209684297442436,0.001094563864171505,18,0.0,5,5,0.0018762098625302315,0.0029707737267017365,1,0,1
gnn,shortest_path,ood_size,,,10020007,100,200,2.0,2,0,99,1,35.0,34,0.02857142857142857,2,0,0,1,1,0.04692126903682947,0.05384716670960188,0.0009285146370530128,34,0.02857142857142857,5,5,0.0022270791232585907,0.0031555937603116035,0,2,0
gnn,shortest_path,ood_size,,,10020008,100,200,2.0,3,0,99,1,38.0,29,0.23684210526315788,2,0,0,1,1,0.04206808377057314,0.04996197484433651,0.0009350758045911789,36,0.05263157894736842,5,5,0.002047840505838394,0.002982916310429573,0,2,0
gnn,shortest_path,ood_size,,,10020009,100,200,2.0,4,0,99,1,28.0,28,0.0,0,1,1,1,1,0.04328842740505934,0.05016367323696613,0.0009396951645612717,28,0.0,5,5,0.0017295610159635544,0.002669256180524826,1,0,1
gnn,shortest_path,ood_size,,,10020010,100,200,2.0,5,0,99,1,34.0,31,0.08823529411764706,2,0,0,1,1,0.05908598005771637,0.06611999589949846,0.000935085117816925,34,0.0,5,5,0.0021502086892724037,0.0030852938070893288,1,0,1
gnn,shortest_path,ood_size,,,10020011,100,200,2.0,6,0,99,1,33.0,23,0.30303030303030304,2,0,0,1,1,0.04173573479056358,0.04941474739462137,0.0009217159822583199,33,0.0,5,5,0.0018342407420277596,0.0027559567242860794,1,0,1
gnn,shortest_path,ood_size,,,10020012,100,200,2.0,7,0,99,1,19.0,19,0.0,0,1,1,1,1,0.04259123094379902,0.04948413744568825,0.0009213155135512352,19,0.0,5,5,0.0017151320353150368,0.002636447548866272,1,0,1
gnn,shortest_path,ood_size,,,10020013,100,200,2.0,8,0,99,1,47.0,47,0.0,2,0,0,1,1,0.045485587790608406,0.05247317161411047,0.0009470060467720032,47,0.0,5,5,0.0022116992622613907,0.003158705309033394,0,2,0
gnn,shortest_path,ood_size,,,10020014,100,200,2.0,9,0,99,1,29.0,21,0.27586206896551724,2,0,0,1,1,0.04166069533675909,0.04972479585558176,0.0009347647428512573,29,0.0,5,5,0.0019710296764969826,0.00290579441934824,1,0,1
gnn,shortest_path,ood_size,,,10020015,100,200,2.0,10,0,99,1,21.0,21,0.0,0,1,1,1,1,0.04378104489296675,0.05068814102560282,0.000919475220143795,21,0.0,5,5,0.0017239116132259369,0.002643386833369732,1,0,1
gnn,shortest_path,ood_size,,,10020016,100,200,2.0,11,0,99,1,41.0,37,0.0975609756097561,2,0,0,1,1,0.04129859805107117,0.049347988329827785,0.0009387452155351639,41,0.0,5,5,0.0021183695644140244,0.0030571147799491882,1,0,1
gnn,shortest_path,ood_size,,,10020017,100,200,2.0,12,0,99,1,40.0,30,0.25,2,0,0,1,1,0.04455544054508209,0.05138373747467995,0.0009358460083603859,37,0.075,5,5,0.001833590678870678,0.002769436687231064,0,2,0
gnn,shortest_path,ood_size,,,10020018,100,200,2.0,13,0,99,1,40.0,40,0.0,0,1,1,1,1,0.04263717122375965,0.04962886590510607,0.000928645022213459,40,0.0,5,5,0.0018436005339026451,0.002772245556116104,1,0,1
gnn,shortest_path,ood_size,,,10020019,100,200,2.0,14,0,99,1,31.0,25,0.1935483870967742,2,0,0,1,1,0.04455624055117369,0.05239228252321482,0.0009431848302483559,31,0.0,5,5,0.002055100165307522,0.0029982849955558777,1,0,1
gnn,shortest_path,ood_size,,,10020020,100,200,2.0,15,0,99,1,52.0,52,0.0,2,0,0,1,1,0.04429976362735033,0.05163666699081659,0.0009464751929044724,52,0.0,5,5,0.0020641395822167397,0.003010614775121212,0,2,0
gnn,shortest_path,ood_size,,,10020021,100,200,2.0,16,0,99,1,20.0,17,0.15,2,0,0,1,1,0.05653075221925974,0.06484421249479055,0.0009584557265043259,20,0.0,5,5,0.0021143900230526924,0.0030728457495570183,1,0,1
gnn,shortest_path,ood_size,,,10020022,100,200,2.0,17,0,99,1,5.0,5,0.0,0,1,1,1,1,0.04408499412238598,0.05091487988829613,0.0009252950549125671,5,0.0,5,5,0.0016517210751771927,0.00257701613008976,1,0,1
gnn,shortest_path,ood_size,,,10020023,100,200,2.0,18,0,99,1,17.0,17,0.0,0,1,1,1,1,0.040960149839520454,0.04798578377813101,0.0009219152852892876,17,0.0,5,5,0.0017861509695649147,0.0027080662548542023,1,0,1
gnn,shortest_path,ood_size,,,10020024,100,200,2.0,19,0,99,1,40.0,36,0.1,2,0,0,1,1,0.04231306165456772,0.05014323350042105,0.0009394455701112747,36,0.1,5,5,0.0022342484444379807,0.0031736940145492554,0,2,0
