model_type,problem_type,eval_mode,wood_problem,network_name,graph_seed,n_nodes,n_edges,density,replication,source,sink,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time
gnn,shortest_path,ood_size,,,10020005,100,200,2.0,0,0,99,1,57.0,47,0.17543859649122806,2,0,0,1,1,0.1745516173541546,0.1835368713364005,0.17651915829628706
gnn,shortest_path,ood_size,,,10020006,100,200,2.0,1,0,99,1,18.0,14,0.2222222222222222,2,0,0,1,1,0.04421930015087128,0.05131909251213074,0.0011093998327851295
gnn,shortest_path,ood_size,,,10020007,100,200,2.0,2,0,99,1,35.0,34,0.02857142857142857,2,0,0,1,1,0.04869946092367172,0.055984944105148315,0.0009646909311413765
gnn,shortest_path,ood_size,,,10020008,100,200,2.0,3,0,99,1,38.0,29,0.23684210526315788,2,0,0,1,1,0.043073988519608974,0.051250643096864223,0.0009507108479738235
gnn,shortest_path,ood_size,,,10020009,100,200,2.0,4,0,99,1,28.0,28,0.0,0,1,1,1,1,0.04496174957603216,0.05225949361920357,0.0009327298030257225
gnn,shortest_path,ood_size,,,10020010,100,200,2.0,5,0,99,1,34.0,34,0.0,0,1,1,1,1,0.06100938655436039,0.06858780141919851,0.000962299294769764
gnn,shortest_path,ood_size,,,10020011,100,200,2.0,6,0,99,1,33.0,32,0.030303030303030304,2,0,0,1,1,0.04268364887684584,0.05090237129479647,0.0009575402364134789
gnn,shortest_path,ood_size,,,10020012,100,200,2.0,7,0,99,1,19.0,19,0.0,0,1,1,1,1,0.044211650267243385,0.051524702459573746,0.0009357891976833344
gnn,shortest_path,ood_size,,,10020013,100,200,2.0,8,0,99,1,47.0,39,0.1702127659574468,2,0,0,1,1,0.047141180373728275,0.05464865453541279,0.0009546400979161263
gnn,shortest_path,ood_size,,,10020014,100,200,2.0,9,0,99,1,29.0,27,0.06896551724137931,2,0,0,1,1,0.04271146934479475,0.05154251307249069,0.0009534098207950592
gnn,shortest_path,ood_size,,,10020015,100,200,2.0,10,0,99,1,21.0,21,0.0,0,1,1,1,1,0.045228530652821064,0.05259988363832235,0.0009119603782892227
gnn,shortest_path,ood_size,,,10020016,100,200,2.0,11,0,99,1,41.0,41,0.0,0,1,1,1,1,0.04312619846314192,0.051754782907664776,0.0009686397388577461
gnn,shortest_path,ood_size,,,10020017,100,200,2.0,12,0,99,1,40.0,30,0.25,2,0,0,1,1,0.04667160101234913,0.05417176429182291,0.0009915707632899284
gnn,shortest_path,ood_size,,,10020018,100,200,2.0,13,0,99,1,40.0,40,0.0,0,1,1,1,1,0.04383308906108141,0.051264883019030094,0.0009540896862745285
