model_type,problem_type,eval_mode,wood_problem,network_name,graph_seed,n_nodes,n_edges,density,replication,source,sink,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time,candidate_objective,candidate_objective_gap,candidate_pool_size,num_candidates,candidate_search_time,hybrid_total_time,candidate_exact_match,candidate_hamming_distance,candidate_correct_edges
gnn,shortest_path,ood_size,,,10020005,100,200,2.0,0,0,99,1,57.0,50,0.12280701754385964,2,0,0,1,1,0.17360699828714132,0.18250260408967733,0.16668014228343964,53,0.07017543859649122,5,5,0.013975489884614944,0.18065563216805458,0,2,0
gnn,shortest_path,ood_size,,,10020006,100,200,2.0,1,0,99,1,18.0,14,0.2222222222222222,2,0,0,1,1,0.04288731515407562,0.04998239874839783,0.0010945945978164673,18,0.0,5,5,0.0018613301217556,0.0029559247195720673,1,0,1
gnn,shortest_path,ood_size,,,10020007,100,200,2.0,2,0,99,1,35.0,34,0.02857142857142857,2,0,0,1,1,0.047299012541770935,0.054273017682135105,0.0009403461590409279,35,0.0,5,5,0.002230488695204258,0.003170834854245186,1,0,1
gnn,shortest_path,ood_size,,,10020008,100,200,2.0,3,0,99,1,38.0,29,0.23684210526315788,2,0,0,1,1,0.04232609644532204,0.049927959218621254,0.000936165452003479,36,0.05263157894736842,5,5,0.0020398395135998726,0.0029760049656033516,0,2,0
gnn,shortest_path,ood_size,,,10020009,100,200,2.0,4,0,99,1,28.0,28,0.0,0,1,1,1,1,0.04393546935170889,0.050819084979593754,0.0009328862652182579,28,0.0,5,5,0.0017132209613919258,0.0026461072266101837,1,0,1
gnn,shortest_path,ood_size,,,10020010,100,200,2.0,5,0,99,1,34.0,25,0.2647058823529412,2,0,0,1,1,0.059811629354953766,0.06683963444083929,0.0009402353316545486,34,0.0,5,5,0.002144269645214081,0.0030845049768686295,1,0,1
gnn,shortest_path,ood_size,,,10020011,100,200,2.0,6,0,99,1,33.0,23,0.30303030303030304,2,0,0,1,1,0.04232416860759258,0.049979900009930134,0.0009283153340220451,32,0.030303030303030304,5,5,0.0017926516011357307,0.002720966935157776,0,2,0
gnn,shortest_path,ood_size,,,10020012,100,200,2.0,7,0,99,1,19.0,19,0.0,0,1,1,1,1,0.04291011393070221,0.04981601983308792,0.0009166356176137924,19,0.0,5,5,0.0017140209674835205,0.002630656585097313,1,0,1
gnn,shortest_path,ood_size,,,10020013,100,200,2.0,8,0,99,1,47.0,47,0.0,2,0,0,1,1,0.04590236954391003,0.05292379483580589,0.000932835042476654,47,0.0,5,5,0.002168988808989525,0.003101823851466179,0,2,0
gnn,shortest_path,ood_size,,,10020014,100,200,2.0,9,0,99,1,29.0,21,0.27586206896551724,2,0,0,1,1,0.041837469674646854,0.04979323036968708,0.0009307954460382462,27,0.06896551724137931,5,5,0.0019521396607160568,0.002882935106754303,0,2,0
