model_type,problem_type,eval_mode,wood_problem,network_name,graph_seed,n_nodes,n_edges,density,replication,source,sink,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time
gnn,shortest_path,ood_size,,,10020005,100,200,2.0,0,0,99,1,57.0,47,0.17543859649122806,2,0,0,1,1,0.16589390020817518,0.17478514928370714,0.1803307393565774
gnn,shortest_path,ood_size,,,10020006,100,200,2.0,1,0,99,1,18.0,14,0.2222222222222222,2,0,0,1,1,0.04333669785410166,0.050407727248966694,0.0011085905134677887
gnn,shortest_path,ood_size,,,10020007,100,200,2.0,2,0,99,1,35.0,34,0.02857142857142857,2,0,0,1,1,0.05219127703458071,0.059775847010314465,0.001240590587258339
gnn,shortest_path,ood_size,,,10020008,100,200,2.0,3,0,99,1,38.0,29,0.23684210526315788,2,0,0,1,1,0.043245917186141014,0.05142184719443321,0.000916619785130024
gnn,shortest_path,ood_size,,,10020009,100,200,2.0,4,0,99,1,28.0,28,0.0,0,1,1,1,1,0.04322465695440769,0.050516076385974884,0.0009497106075286865
gnn,shortest_path,ood_size,,,10020010,100,200,2.0,5,0,99,1,34.0,34,0.0,0,1,1,1,1,0.05679683666676283,0.06406652648001909,0.0009917505085468292
gnn,shortest_path,ood_size,,,10020011,100,200,2.0,6,0,99,1,33.0,32,0.030303030303030304,2,0,0,1,1,0.041756018064916134,0.049706486985087395,0.000930439680814743
gnn,shortest_path,ood_size,,,10020012,100,200,2.0,7,0,99,1,19.0,19,0.0,0,1,1,1,1,0.0429510772228241,0.05006485804915428,0.0009210994467139244
gnn,shortest_path,ood_size,,,10020013,100,200,2.0,8,0,99,1,47.0,39,0.1702127659574468,2,0,0,1,1,0.04534516669809818,0.05254050623625517,0.0009278599172830582
gnn,shortest_path,ood_size,,,10020014,100,200,2.0,9,0,99,1,29.0,27,0.06896551724137931,2,0,0,1,1,0.04164087772369385,0.049730006605386734,0.0009242398664355278
gnn,shortest_path,ood_size,,,10020015,100,200,2.0,10,0,99,1,21.0,21,0.0,0,1,1,1,1,0.044305527582764626,0.051632038317620754,0.0009414199739694595
gnn,shortest_path,ood_size,,,10020016,100,200,2.0,11,0,99,1,41.0,41,0.0,0,1,1,1,1,0.041811796836555004,0.0501888170838356,0.0009306203573942184
gnn,shortest_path,ood_size,,,10020017,100,200,2.0,12,0,99,1,40.0,30,0.25,2,0,0,1,1,0.04499342758208513,0.052206297405064106,0.0009840102866292
gnn,shortest_path,ood_size,,,10020018,100,200,2.0,13,0,99,1,40.0,40,0.0,0,1,1,1,1,0.042852417565882206,0.050120278261601925,0.0009459396824240685
gnn,shortest_path,ood_size,,,10020019,100,200,2.0,14,0,99,1,31.0,25,0.1935483870967742,2,0,0,1,1,0.04351438768208027,0.051579827442765236,0.0009444700554013252
gnn,shortest_path,ood_size,,,10020020,100,200,2.0,15,0,99,1,52.0,52,0.0,2,0,0,1,1,0.04386163782328367,0.05110372696071863,0.000980929471552372
gnn,shortest_path,ood_size,,,10020021,100,200,2.0,16,0,99,1,20.0,17,0.15,2,0,0,1,1,0.0541194174438715,0.06253432668745518,0.0009599300101399422
gnn,shortest_path,ood_size,,,10020022,100,200,2.0,17,0,99,1,5.0,5,0.0,0,1,1,1,1,0.04515669774264097,0.052282567135989666,0.0009345393627882004
gnn,shortest_path,ood_size,,,10020023,100,200,2.0,18,0,99,1,17.0,14,0.17647058823529413,2,0,0,1,1,0.04127460811287165,0.04854127857834101,0.0009321598336100578
gnn,shortest_path,ood_size,,,10020024,100,200,2.0,19,0,99,1,40.0,36,0.1,2,0,0,1,1,0.043629047460854053,0.051683466881513596,0.0009199995547533035
gnn,shortest_path,ood_size,,,10025005,100,250,2.5,0,0,99,1,13.0,13,0.0,0,1,1,1,1,0.0496321776881814,0.05807974562048912,0.0010378500446677208
gnn,shortest_path,ood_size,,,10025006,100,250,2.5,1,0,99,1,33.0,26,0.21212121212121213,2,0,0,1,1,0.05380198638886213,0.062284586019814014,0.0010158699005842209
gnn,shortest_path,ood_size,,,10025007,100,250,2.5,2,0,99,1,22.0,20,0.09090909090909091,2,0,0,1,1,0.054426366463303566,0.06371044553816319,0.000985199585556984
gnn,shortest_path,ood_size,,,10025008,100,250,2.5,3,0,99,1,20.0,20,0.0,2,0,0,1,1,0.056124516762793064,0.0646165357902646,0.0009914198890328407
gnn,shortest_path,ood_size,,,10025009,100,250,2.5,4,0,99,1,34.0,27,0.20588235294117646,2,0,0,1,1,0.051199707202613354,0.059790076687932014,0.0009745601564645767
gnn,shortest_path,ood_size,,,10025010,100,250,2.5,5,0,99,1,26.0,22,0.15384615384615385,2,0,0,1,1,0.07165706623345613,0.08026921562850475,0.001015080139040947
gnn,shortest_path,ood_size,,,10025011,100,250,2.5,6,0,99,1,15.000000000000002,15,1.1842378929335e-16,0,1,1,1,1,0.059338406659662724,0.0678591663017869,0.000994579866528511
gnn,shortest_path,ood_size,,,10025012,100,250,2.5,7,0,99,1,11.0,8,0.2727272727272727,2,0,0,1,1,0.059060546569526196,0.06817949749529362,0.0009707296267151833
gnn,shortest_path,ood_size,,,10025013,100,250,2.5,8,0,99,1,22.0,20,0.09090909090909091,2,0,0,1,1,0.05876474641263485,0.06828844547271729,0.0009821997955441475
gnn,shortest_path,ood_size,,,10025014,100,250,2.5,9,0,99,1,29.0,26,0.10344827586206896,2,0,0,1,1,0.06432126555591822,0.07265898585319519,0.000986800529062748
gnn,shortest_path,ood_size,,,10025015,100,250,2.5,10,0,99,1,24.0,22,0.08333333333333333,2,0,0,1,1,0.05979498662054539,0.06937136594206095,0.0010124500840902328
gnn,shortest_path,ood_size,,,10025016,100,250,2.5,11,0,99,1,14.0,11,0.21428571428571427,2,0,0,1,1,0.05064605735242367,0.06017052661627531,0.0009847292676568031
gnn,shortest_path,ood_size,,,10025017,100,250,2.5,12,0,99,1,38.0,28,0.2631578947368421,2,0,0,1,1,0.07078413665294647,0.07944377604871988,0.0010502506047487259
gnn,shortest_path,ood_size,,,10025018,100,250,2.5,13,0,99,1,30.0,30,0.0,0,1,1,1,1,0.07567278668284416,0.08515509590506554,0.0012318091467022896
gnn,shortest_path,ood_size,,,10025019,100,250,2.5,14,0,99,1,45.0,41,0.08888888888888889,2,0,0,1,1,0.0592435859143734,0.06795424595475197,0.0009736595675349236
gnn,shortest_path,ood_size,,,10025020,100,250,2.5,15,0,99,1,24.0,22,0.08333333333333333,2,0,0,1,1,0.06052819639444351,0.06939979549497366,0.0009930301457643509
gnn,shortest_path,ood_size,,,10025021,100,250,2.5,16,0,99,1,20.0,17,0.15,2,0,0,1,1,0.05774345714598894,0.06638866662979126,0.0009914999827742577
gnn,shortest_path,ood_size,,,10025022,100,250,2.5,17,0,99,1,43.0,34,0.20930232558139536,2,0,0,1,1,0.0604485971853137,0.0683844368904829,0.0013131694868206978
gnn,shortest_path,ood_size,,,10025023,100,250,2.5,18,0,99,1,36.0,27,0.25,2,0,0,1,1,0.05074173677712679,0.06006799638271332,0.000945650041103363
gnn,shortest_path,ood_size,,,10025024,100,250,2.5,19,0,99,1,31.0,31,0.0,0,1,1,1,1,0.05466113705188036,0.0630143266171217,0.0009935703128576279
gnn,shortest_path,ood_size,,,10030005,100,300,3.0,0,0,99,1,22.0,17,0.22727272727272727,2,0,0,1,1,0.06608426570892334,0.0757402665913105,0.0011163195595145226
gnn,shortest_path,ood_size,,,10030006,100,300,3.0,1,0,99,1,24.0,24,0.0,0,1,1,1,1,0.06531998701393604,0.07488441653549671,0.001041170209646225
gnn,shortest_path,ood_size,,,10030007,100,300,3.0,2,0,99,1,31.0,31,0.0,0,1,1,1,1,0.09772234316915274,0.10748565383255482,0.0010987399145960808
gnn,shortest_path,ood_size,,,10030008,100,300,3.0,3,0,99,1,19.0,15,0.21052631578947367,2,0,0,1,1,0.07197158504277468,0.08171216491609812,0.0010584695264697075
gnn,shortest_path,ood_size,,,10030009,100,300,3.0,4,0,99,1,50.0,49,0.02,2,0,0,1,1,0.06342931557446718,0.07323658652603626,0.0010014399886131287
gnn,shortest_path,ood_size,,,10030010,100,300,3.0,5,0,99,1,23.0,17,0.2608695652173913,2,0,0,1,1,0.07022441551089287,0.07987564522773027,0.001007869839668274
gnn,shortest_path,ood_size,,,10030011,100,300,3.0,6,0,99,1,18.0,14,0.2222222222222222,2,0,0,1,1,0.06732811592519283,0.07704538479447365,0.0010069897398352623
gnn,shortest_path,ood_size,,,10030012,100,300,3.0,7,0,99,1,26.0,17,0.34615384615384615,2,0,0,1,1,0.0698385164141655,0.07936727534979582,0.0009982604533433914
gnn,shortest_path,ood_size,,,10030013,100,300,3.0,8,0,99,1,17.0,11,0.35294117647058826,2,0,0,1,1,0.06423994619399309,0.07391009666025639,0.0009863600134849548
gnn,shortest_path,ood_size,,,10030014,100,300,3.0,9,0,99,1,40.00000000000001,40,1.77635683940025e-16,2,0,0,1,1,0.1035285834223032,0.11310830246657133,0.001086140051484108
gnn,shortest_path,ood_size,,,10030015,100,300,3.0,10,0,99,1,21.0,21,0.0,2,0,0,1,1,0.0699766967445612,0.07970676571130753,0.001006600446999073
gnn,shortest_path,ood_size,,,10030016,100,300,3.0,11,0,99,1,31.0,25,0.1935483870967742,2,0,0,1,1,0.07765134517103434,0.08729710429906845,0.001037190668284893
gnn,shortest_path,ood_size,,,10030017,100,300,3.0,12,0,99,1,25.0,20,0.2,2,0,0,1,1,0.08998420462012291,0.09960780385881662,0.0010286597535014153
gnn,shortest_path,ood_size,,,10030018,100,300,3.0,13,0,99,1,51.0,43,0.1568627450980392,2,0,0,1,1,0.06707320734858513,0.07670003548264503,0.0010082796216011047
gnn,shortest_path,ood_size,,,10030019,100,300,3.0,14,0,99,1,18.0,18,0.0,0,1,1,1,1,0.061375806108117104,0.07115208636969328,0.0009762700647115707
gnn,shortest_path,ood_size,,,10030020,100,300,3.0,15,0,99,1,16.0,8,0.5,2,0,0,1,1,0.07207093667238951,0.08183006476610899,0.0010179905220866203
gnn,shortest_path,ood_size,,,10030021,100,300,3.0,16,0,99,1,27.0,25,0.07407407407407407,2,0,0,1,1,0.06843648571521044,0.07827342581003904,0.001013060100376606
gnn,shortest_path,ood_size,,,10030022,100,300,3.0,17,0,99,1,24.0,19,0.20833333333333334,2,0,0,1,1,0.09339556563645601,0.10337938461452723,0.0010379496961832047
gnn,shortest_path,ood_size,,,10030023,100,300,3.0,18,0,99,1,20.0,12,0.4,2,0,0,1,1,0.06283665634691715,0.07250361610203981,0.0009647300466895103
gnn,shortest_path,ood_size,,,10030024,100,300,3.0,19,0,99,1,19.0,12,0.3684210526315789,2,0,0,1,1,0.07091246638447046,0.08070893492549658,0.0010573696345090866
gnn,shortest_path,ood_size,,,10040005,100,400,4.0,0,0,99,1,22.0,16,0.2727272727272727,2,0,0,1,1,0.10485125333070755,0.3168429918587208,0.0017614997923374176
gnn,shortest_path,ood_size,,,10040006,100,400,4.0,1,0,99,1,15.0,15,0.0,2,0,0,1,1,0.09128356445580721,0.10408889409154654,0.001060659997165203
gnn,shortest_path,ood_size,,,10040007,100,400,4.0,2,0,99,1,19.000000000000004,16,0.15789473684210542,2,0,0,1,1,0.13908365182578564,0.15206091105937958,0.0010806899517774582
gnn,shortest_path,ood_size,,,10040008,100,400,4.0,3,0,99,1,18.0,18,0.0,0,1,1,1,1,0.09236506465822458,0.10450735408812761,0.0010523702949285507
gnn,shortest_path,ood_size,,,10040009,100,400,4.0,4,0,99,1,17.0,17,0.0,0,1,1,1,1,0.09927771426737309,0.11156974267214537,0.0010618502274155617
gnn,shortest_path,ood_size,,,10040010,100,400,4.0,5,0,99,1,29.000000000000007,29,2.45014736469e-16,0,1,1,1,1,0.13395338319242,0.14656993187963963,0.001094980165362358
gnn,shortest_path,ood_size,,,10040011,100,400,4.0,6,0,99,1,23.0,20,0.13043478260869565,2,0,0,1,1,0.1295571830123663,0.1413058415055275,0.001088939607143402
gnn,shortest_path,ood_size,,,10040012,100,400,4.0,7,0,99,1,21.0,21,0.0,0,1,1,1,1,0.09348785504698753,0.10593307390809059,0.001071370206773281
gnn,shortest_path,ood_size,,,10040013,100,400,4.0,8,0,99,1,26.0,24,0.07692307692307693,2,0,0,1,1,0.09857452381402254,0.11149469297379255,0.0010899994522333145
gnn,shortest_path,ood_size,,,10040014,100,400,4.0,9,0,99,1,17.0,11,0.35294117647058826,2,0,0,1,1,0.09500661492347717,0.10817217361181974,0.0010684402659535408
gnn,shortest_path,ood_size,,,10040015,100,400,4.0,10,0,99,1,34.0,29,0.14705882352941177,2,0,0,1,1,0.0891291256994009,0.10148786380887032,0.0010354593396186829
gnn,shortest_path,ood_size,,,10040016,100,400,4.0,11,0,99,1,10.0,8,0.2,2,0,0,1,1,0.09893445391207933,0.1115461140871048,0.009911228902637959
gnn,shortest_path,ood_size,,,10040017,100,400,4.0,12,0,99,1,19.0,18,0.05263157894736842,2,0,0,1,1,0.12888751178979874,0.14114271197468042,0.001090080477297306
gnn,shortest_path,ood_size,,,10040018,100,400,4.0,13,0,99,1,18.0,18,0.0,0,1,1,1,1,0.08710116520524025,0.0989903649315238,0.0010494301095604897
gnn,shortest_path,ood_size,,,10040019,100,400,4.0,14,0,99,1,20.0,20,0.0,0,1,1,1,1,0.09791673440486193,0.11039224453270435,0.0010668495669960976
gnn,shortest_path,ood_size,,,10040020,100,400,4.0,15,0,99,1,19.0,19,0.0,0,1,1,1,1,0.09614604525268078,0.10881998389959335,0.0010807402431964874
