model_type,problem_type,eval_mode,wood_problem,network_name,graph_seed,n_nodes,n_edges,density,replication,source,sink,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time,candidate_objective,candidate_objective_gap,candidate_pool_size,num_candidates,candidate_search_time,hybrid_total_time,candidate_exact_match,candidate_hamming_distance,candidate_correct_edges
gnn,shortest_path,value_ood,,,3006005,30,60,2.0,0,0,29,1,60.0,57,0.05,2,0,0,1,1,0.1592656821012497,0.16409385949373245,0.17060956824570894,60,0.0,5,5,0.013675104826688766,0.1842846730723977,1,0,1
gnn,shortest_path,value_ood,,,3006006,30,60,2.0,1,0,29,1,176.0,128,0.2727272727272727,2,0,0,1,1,0.01779139507561922,0.02109166979789734,0.0010112151503562927,142,0.19318181818181818,5,5,0.0005889469757676125,0.0016001621261239052,0,2,0
gnn,shortest_path,value_ood,,,3006007,30,60,2.0,2,0,29,1,214.0,214,0.0,0,1,1,1,1,0.015809735283255577,0.019694605842232704,0.0008218968287110329,214,0.0,5,5,0.0006869062781333923,0.0015088031068444252,1,0,1
gnn,shortest_path,value_ood,,,3006008,30,60,2.0,3,0,29,1,191.0,188,0.015706806282722512,2,0,0,1,1,0.01450981106609106,0.017289658077061176,0.0007871175184845924,188,0.015706806282722512,5,5,0.0006739068776369095,0.001461024396121502,0,2,0
gnn,shortest_path,value_ood,,,3006009,30,60,2.0,4,0,29,1,291.0,291,0.0,0,1,1,1,1,0.015194058418273926,0.017992274835705757,0.0007809465751051903,291,0.0,5,5,0.0006647268310189247,0.001445673406124115,1,0,1
gnn,shortest_path,value_ood,,,3006010,30,60,2.0,5,0,29,1,275.0,243,0.11636363636363636,2,0,0,1,1,0.017145858146250248,0.01990076620131731,0.0007895361632108688,273,0.007272727272727273,5,5,0.000677657313644886,0.0014671934768557549,0,2,0
gnn,shortest_path,value_ood,,,3006011,30,60,2.0,6,0,29,1,75.0,75,0.0,2,0,0,1,1,0.019811054691672325,0.022572803311049938,0.0008056564256548882,75,0.0,5,5,0.0005328375846147537,0.0013384940102696419,0,2,0
gnn,shortest_path,value_ood,,,3006012,30,60,2.0,7,0,29,1,84.0,84,0.0,0,1,1,1,1,0.025865917094051838,0.028513493947684765,0.0007883654907345772,84,0.0,5,5,0.0006333868950605392,0.0014217523857951164,1,0,1
gnn,shortest_path,value_ood,,,3006013,30,60,2.0,8,0,29,1,62.0,44,0.2903225806451613,2,0,0,1,1,0.017529216594994068,0.02031520288437605,0.0007586274296045303,62,0.0,5,5,0.0005805687978863716,0.001339196227490902,1,0,1
gnn,shortest_path,value_ood,,,3006014,30,60,2.0,9,0,29,1,191.0,191,0.0,0,1,1,1,1,0.019916126504540443,0.022706981748342514,0.0007879864424467087,191,0.0,5,5,0.0006932765245437622,0.0014812629669904709,1,0,1
gnn,shortest_path,value_ood,,,3006015,30,60,2.0,10,0,29,1,107.0,93,0.1308411214953271,2,0,0,1,1,0.018944048322737217,0.021754036657512188,0.000781375914812088,93,0.1308411214953271,5,5,0.0006124768406152725,0.0013938527554273605,0,2,0
gnn,shortest_path,value_ood,,,3006016,30,60,2.0,11,0,29,1,101.0,82,0.18811881188118812,2,0,0,1,1,0.018764921464025974,0.021528227254748344,0.0008205259218811989,82,0.18811881188118812,5,5,0.0005838964134454727,0.0014044223353266716,0,2,0
gnn,shortest_path,value_ood,,,3006017,30,60,2.0,12,0,29,1,163.0,136,0.1656441717791411,2,0,0,1,1,0.015339776873588562,0.01810440421104431,0.0007878774777054787,136,0.1656441717791411,5,5,0.0006064968183636665,0.0013943742960691452,0,2,0
