model_type,problem_type,eval_mode,wood_problem,wood_rows,wood_cols,network_name,graph_seed,n_nodes,n_edges,density,replication,source,sink,source_original,sink_original,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time,candidate_objective,candidate_objective_gap,candidate_pool_size,num_candidates,candidate_search_time,hybrid_total_time,candidate_exact_match,candidate_hamming_distance,candidate_correct_edges
gnn,shortest_path,wood,13,7,7,,13005,51,188,3.6862745098039214,0,0,50,,,5,18.000000000000398,13,0.2777777777777937,8,0,1,5,5,0.896522892639041,0.9047798197716475,0.17381713073700666,16,0.11111111111113076,9,126,0.033924964256584644,0.2077420949935913,0,8,1
gnn,shortest_path,wood,13,7,7,,13006,51,188,3.6862745098039214,1,0,50,,,5,17.000000000000004,14,0.1764705882352943,6,0,2,5,5,0.20029028598219156,0.20693182945251465,0.0010957149788737297,14,0.1764705882352943,9,126,0.034477162174880505,0.035572877153754234,0,6,2
gnn,shortest_path,wood,13,7,7,,13007,51,188,3.6862745098039214,2,0,50,,,5,19.00000000000119,16,0.15789473684215802,5,0,2,5,4,0.8735414268448949,0.8796314727514982,0.0010791756212711334,16,0.15789473684215802,9,126,0.03319387789815664,0.034273053519427776,0,5,2
gnn,shortest_path,wood,13,7,7,,13008,51,188,3.6862745098039214,3,0,50,,,5,19.0,11,0.42105263157894735,8,0,1,5,5,0.05486378259956837,0.061182036995887756,0.0009604766964912415,14,0.2631578947368421,9,126,0.03312289901077747,0.034083375707268715,0,6,2
gnn,shortest_path,wood,13,7,7,,13009,51,188,3.6862745098039214,4,0,50,,,5,17.000000000000618,12,0.2941176470588492,5,0,2,5,4,0.6845510639250278,0.6906700097024441,0.0013620853424072266,12,0.2941176470588492,9,126,0.03450617287307978,0.035868258215487,0,5,2
gnn,shortest_path,wood,13,7,7,,13010,51,188,3.6862745098039214,5,0,50,,,5,20.000000000000377,13,0.35000000000001225,8,0,1,5,5,1.0054119303822517,1.0120384944602847,0.0010686060413718224,18,0.10000000000001695,9,126,0.03380231559276581,0.03487092163413763,0,8,1
gnn,shortest_path,wood,13,7,7,,13011,51,188,3.6862745098039214,6,0,50,,,5,17.00000000000006,11,0.35294117647059053,10,0,0,5,5,0.9112580241635442,0.9174920385703444,0.0010746950283646584,11,0.35294117647059053,9,126,0.03318147733807564,0.034256172366440296,0,10,0
gnn,shortest_path,wood,13,7,7,,13012,51,188,3.6862745098039214,7,0,50,,,5,18.00000000000011,13,0.2777777777777822,6,0,2,5,5,0.6416447339579463,0.6479465886950493,0.0011563356965780258,13,0.2777777777777822,9,126,0.033190539106726646,0.03434687480330467,0,6,2
gnn,shortest_path,wood,13,7,7,,13013,51,188,3.6862745098039214,8,0,50,,,5,19.00000000000021,13,0.31578947368421806,8,0,1,5,5,0.5650348579511046,0.5718113016337156,0.0010674558579921722,13,0.31578947368421806,9,126,0.033322397619485855,0.03438985347747803,0,8,1
gnn,shortest_path,wood,13,7,7,,13014,51,188,3.6862745098039214,9,0,50,,,5,20.000000000001112,15,0.2500000000000417,9,0,0,5,4,0.934665841050446,0.9419667925685644,0.0010871347039937973,15,0.2500000000000417,9,126,0.033968474715948105,0.0350556094199419,0,9,0
gnn,shortest_path,wood,13,7,7,,13015,51,188,3.6862745098039214,10,0,50,,,5,15.000000000000018,10,0.33333333333333415,8,0,1,5,5,0.12384198885411024,0.13025964237749577,0.0010161148384213448,10,0.33333333333333415,9,126,0.03355490695685148,0.03457102179527283,0,8,1
gnn,shortest_path,wood,13,7,7,,13016,51,188,3.6862745098039214,11,0,50,,,5,20.00000000000065,18,0.10000000000002926,10,0,0,5,5,0.5848423102870584,0.5923550492152572,0.0010811863467097282,18,0.10000000000002926,9,126,0.033959354273974895,0.035040540620684624,0,10,0
gnn,shortest_path,wood,13,7,7,,13017,51,188,3.6862745098039214,12,0,50,,,5,18.000000000011784,13,0.27777777777825063,6,0,2,5,5,0.5476481970399618,0.5538550931960344,0.0010442258790135384,17,0.05555555555617387,9,126,0.03487970121204853,0.03592392709106207,0,4,3
gnn,shortest_path,wood,13,7,7,,13018,51,188,3.6862745098039214,13,0,50,,,5,17.000000000000394,13,0.23529411764707656,10,0,0,5,5,0.5329929850995541,0.5397747782990336,0.0010787565261125565,14,0.17647058823531322,9,126,0.03512893058359623,0.036207687109708786,0,10,0
gnn,shortest_path,wood,13,7,7,,13019,51,188,3.6862745098039214,14,0,50,,,5,16.0,9,0.4375,10,0,0,5,5,0.06467817351222038,0.07104879803955555,0.0009927162900567055,11,0.3125,9,126,0.03406096436083317,0.035053680650889874,0,8,1
gnn,shortest_path,wood,13,7,7,,13020,51,188,3.6862745098039214,15,0,50,,,5,16.00000000000117,12,0.2500000000000548,6,0,2,5,5,0.9671202525496483,0.9737696861848235,0.0013501737266778946,12,0.2500000000000548,9,126,0.03249830100685358,0.033848474733531475,0,6,2
