model_type,problem_type,eval_mode,wood_problem,wood_rows,wood_cols,network_name,graph_seed,n_nodes,n_edges,density,replication,source,sink,source_original,sink_original,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time,candidate_objective,candidate_objective_gap,candidate_pool_size,num_candidates,candidate_search_time,hybrid_total_time,candidate_exact_match,candidate_hamming_distance,candidate_correct_edges
gnn,shortest_path,wood,13,7,7,,13005,51,188,3.6862745098039214,0,0,50,,,5,18.000000000000398,14,0.22222222222223942,8,0,1,5,5,0.9028592864051461,0.9111703364178538,0.16854730434715748,14,0.22222222222223942,9,126,0.03412684425711632,0.2026741486042738,0,8,1
gnn,shortest_path,wood,13,7,7,,13006,51,188,3.6862745098039214,1,0,50,,,5,17.000000000000004,12,0.29411764705882365,10,0,0,5,5,0.20623022131621838,0.2128776190802455,0.0010922141373157501,12,0.29411764705882365,9,126,0.03416854329407215,0.0352607574313879,0,10,0
gnn,shortest_path,wood,13,7,7,,13007,51,188,3.6862745098039214,2,0,50,,,5,19.00000000000119,16,0.15789473684215802,7,0,1,5,4,0.8710852805525064,0.8772619105875492,0.0010820552706718445,16,0.15789473684215802,9,126,0.033563206903636456,0.0346452621743083,0,7,1
gnn,shortest_path,wood,13,7,7,,13008,51,188,3.6862745098039214,3,0,50,,,5,19.0,11,0.42105263157894735,10,0,0,5,5,0.05469941534101963,0.06106114387512207,0.0009555043652653694,12,0.3684210526315789,9,126,0.033877065405249596,0.034832569770514965,0,10,0
gnn,shortest_path,wood,13,7,7,,13009,51,188,3.6862745098039214,4,0,50,,,5,17.000000000000618,10,0.41176470588237435,7,0,1,5,4,0.6773360073566437,0.6834896095097065,0.00135023333132267,12,0.2941176470588492,9,126,0.03365328721702099,0.03500352054834366,0,7,1
gnn,shortest_path,wood,13,7,7,,13010,51,188,3.6862745098039214,5,0,50,,,5,20.000000000000377,15,0.2500000000000141,8,0,1,5,5,0.9842853220179677,0.9908027304336429,0.0010611750185489655,16,0.20000000000001505,9,126,0.03393285535275936,0.03499403037130833,0,8,1
gnn,shortest_path,wood,13,7,7,,13011,51,188,3.6862745098039214,6,0,50,,,5,17.00000000000006,15,0.11764705882353255,8,0,1,5,5,0.8975849915295839,0.9037792105227709,0.0010865451768040657,16,0.05882352941176805,9,126,0.03376589622348547,0.034852441400289536,0,8,1
gnn,shortest_path,wood,13,7,7,,13012,51,188,3.6862745098039214,7,0,50,,,5,18.00000000000011,13,0.2777777777777822,10,0,0,5,5,0.6336799701675773,0.6400614287704229,0.0011421339586377144,13,0.2777777777777822,9,126,0.033329298719763756,0.03447143267840147,0,10,0
gnn,shortest_path,wood,13,7,7,,13013,51,188,3.6862745098039214,8,0,50,,,5,19.00000000000021,15,0.2105263157894824,6,0,2,5,5,0.5490217404440045,0.5554592395201325,0.0010357052087783813,15,0.2105263157894824,9,126,0.03369056712836027,0.03472627233713865,0,6,2
gnn,shortest_path,wood,13,7,7,,13014,51,188,3.6862745098039214,9,0,50,,,5,20.000000000001112,18,0.10000000000005003,7,0,1,5,4,0.9221478719264269,0.9296647263690829,0.001089373603463173,18,0.10000000000005003,9,126,0.03382451646029949,0.034913890063762665,0,7,1
gnn,shortest_path,wood,13,7,7,,13015,51,188,3.6862745098039214,10,0,50,,,5,15.000000000000018,11,0.26666666666666755,10,0,0,5,5,0.12297648563981056,0.12932853307574987,0.0009961258620023727,13,0.13333333333333436,9,126,0.0336967371404171,0.03469286300241947,0,10,0
gnn,shortest_path,wood,13,7,7,,13016,51,188,3.6862745098039214,11,0,50,,,5,20.00000000000065,14,0.30000000000002275,10,0,0,5,5,0.5737557103857398,0.5813231039792299,0.0011577550321817398,16,0.20000000000002602,9,126,0.03464681189507246,0.0358045669272542,0,10,0
gnn,shortest_path,wood,13,7,7,,13017,51,188,3.6862745098039214,12,0,50,,,5,18.000000000011784,9,0.5000000000003273,8,0,1,5,5,0.5369274085387588,0.5432604979723692,0.001043735072016716,9,0.5000000000003273,9,126,0.03335658833384514,0.034400323405861855,0,8,1
gnn,shortest_path,wood,13,7,7,,13018,51,188,3.6862745098039214,13,0,50,,,5,17.000000000000394,14,0.17647058823531322,8,0,1,5,5,0.5205063186585903,0.5266484078019857,0.0010736547410488129,15,0.11764705882354988,9,126,0.03474868182092905,0.03582233656197786,0,8,1
