n_nodes,n_edges,density,replication,attack_limit,interdiction_penalty,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time
30,75,2.5,0,1,1,24.0,24,0.0,2,0,73,1,1,0.021659516729414463,0.04285955335944891,0.18996399268507957
30,75,2.5,1,1,1,27.0,27,0.0,2,0,73,1,1,0.007796330377459526,0.010271526873111725,0.002177596092224121
30,75,2.5,2,1,1,15.0,14,0.06666666666666667,2,0,73,1,1,0.009414713829755783,0.011566751636564732,0.00200770515948534
30,75,2.5,3,1,1,17.0,16,0.058823529411764705,2,0,73,1,1,0.01090644858777523,0.013056794181466103,0.0020939065143465996
30,75,2.5,4,1,1,14.0,13,0.07142857142857142,2,0,73,1,1,0.009601795114576817,0.011860290542244911,0.0020194444805383682
30,75,2.5,5,1,1,17.0,16,0.058823529411764705,2,0,73,1,1,0.0087507925927639,0.010986709035933018,0.002068965695798397
30,75,2.5,6,1,1,14.0,13,0.07142857142857142,2,0,73,1,1,0.009656616486608982,0.011857560835778713,0.002047646790742874
30,75,2.5,7,1,1,12.0,11,0.08333333333333333,2,0,73,1,1,0.008200891315937042,0.0104176364839077,0.0020253146067261696
30,75,2.5,8,1,1,11.0,10,0.09090909090909091,2,0,73,1,1,0.010497847571969032,0.012708653695881367,0.0020601749420166016
30,75,2.5,9,1,1,20.0,20,0.0,2,0,73,1,1,0.006693818606436253,0.008877404034137726,0.0018520345911383629
30,75,2.5,10,1,1,33.0,33,0.0,2,0,73,1,1,0.009248564951121807,0.011379200033843517,0.002013595774769783
30,75,2.5,11,1,1,27.0,27,0.0,0,1,75,1,1,0.013803317211568356,0.01606360264122486,0.0020681964233517647
30,75,2.5,12,1,1,22.0,21,0.045454545454545456,2,0,73,1,1,0.011116620153188705,0.013294044882059097,0.0021969666704535484
30,75,2.5,13,1,1,6.0,6,0.0,0,1,75,1,1,0.008284381590783596,0.01057586818933487,0.001995885744690895
30,75,2.5,14,1,1,14.0,13,0.07142857142857142,2,0,73,1,1,0.009426775388419628,0.011584360152482986,0.002034025266766548
30,75,2.5,15,1,1,13.0,13,0.0,0,1,75,1,1,0.009117125533521175,0.011330599896609783,0.0020586047321558
30,75,2.5,16,1,1,21.0,21,0.0,2,0,73,1,1,0.008550122380256653,0.010718238539993763,0.002041284926235676
30,75,2.5,17,1,1,19.0,19,0.0,2,0,73,1,1,0.008045870810747147,0.010271668434143066,0.002064545638859272
30,75,2.5,18,1,1,22.0,22,0.0,2,0,73,1,1,0.009947055950760841,0.012155821546912193,0.0020465748384594917
30,75,2.5,19,1,1,8.0,8,0.0,0,1,75,1,1,0.009591296315193176,0.011735040694475174,0.0020014652982354164
30,120,4.0,0,1,1,10.0,9,0.1,2,0,118,1,1,0.015514541417360306,0.01848003827035427,0.004046650603413582
30,120,4.0,1,1,1,17.0,17,0.0,2,0,118,1,1,0.009364075027406216,0.012421811930835247,0.0020234547555446625
30,120,4.0,2,1,1,16.0,15,0.0625,2,0,118,1,1,0.009177284315228462,0.012042402289807796,0.0018579550087451935
30,120,4.0,3,1,1,13.0,13,0.0,0,1,120,1,1,0.015218029730021954,0.018041886389255524,0.0020752456039190292
30,120,4.0,4,1,1,10.0,10,0.0,2,0,118,1,1,0.013341294601559639,0.016296083107590675,0.002097414806485176
30,120,4.0,5,1,1,14.0,13,0.07142857142857142,2,0,118,1,1,0.011724110692739487,0.014665288850665092,0.0020702360197901726
30,120,4.0,6,1,1,13.0,13,0.0,0,1,120,1,1,0.019054729491472244,0.02206673938781023,0.0020829951390624046
30,120,4.0,7,1,1,8.0,8,0.0,0,1,120,1,1,0.013669055886566639,0.01662688422948122,0.0021087955683469772
30,120,4.0,8,1,1,17.0,17,0.0,2,0,118,1,1,0.009216384030878544,0.012174642644822598,0.0018888553604483604
30,120,4.0,9,1,1,8.0,8,0.0,0,1,120,1,1,0.0097239650785923,0.012563003227114677,0.0019216649234294891
30,120,4.0,10,1,1,8.0,7,0.125,2,0,118,1,1,0.014225116930902004,0.017166145145893097,0.002039615996181965
30,120,4.0,11,1,1,6.0,6,0.0,2,0,118,1,1,0.014744198881089687,0.017637106589972973,0.002050955779850483
