model_type,problem_type,eval_mode,graph_seed,n_nodes,n_edges,density,replication,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time
transformer,min_cost_flow,ood_size,10020005,100,200,2.0,0,1,171.0,141,0.17543859649122806,2,0,0,1,1,0.1929014353081584,0.20551591273397207,0.25060013961046934
transformer,min_cost_flow,ood_size,10020006,100,200,2.0,1,1,194.0,166,0.14432989690721648,2,0,0,1,1,0.03763175290077925,0.05104138050228357,0.0023824404925107956
transformer,min_cost_flow,ood_size,10020007,100,200,2.0,2,1,70.0,68,0.02857142857142857,2,0,0,1,1,0.041036445647478104,0.0543957632035017,0.0022341618314385414
transformer,min_cost_flow,ood_size,10020008,100,200,2.0,3,1,76.0,58,0.23684210526315788,2,0,0,1,1,0.03719599172472954,0.04821644816547632,0.0021986709907650948
transformer,min_cost_flow,ood_size,10020009,100,200,2.0,4,1,28.0,28,0.0,0,1,1,1,1,0.038146463222801685,0.049205039627850056,0.002198072150349617
transformer,min_cost_flow,ood_size,10020010,100,200,2.0,5,1,138.00000000000006,119,0.13768115942029022,2,0,0,1,1,0.04873359855264425,0.06028720550239086,0.0022429218515753746
transformer,min_cost_flow,ood_size,10020011,100,200,2.0,6,1,33.0,32,0.030303030303030304,2,0,0,1,1,0.04103579558432102,0.052021730691194534,0.00247363094240427
transformer,min_cost_flow,ood_size,10020012,100,200,2.0,7,1,76.0,72,0.05263157894736842,2,0,0,1,1,0.03775440249592066,0.050225840881466866,0.002273610793054104
transformer,min_cost_flow,ood_size,10020013,100,200,2.0,8,1,94.0,94,0.0,2,0,0,1,1,0.04342026636004448,0.055346352979540825,0.002211851067841053
transformer,min_cost_flow,ood_size,10020014,100,200,2.0,9,1,299.0,249,0.16722408026755853,2,0,0,1,1,0.041392154060304165,0.055493373423814774,0.00222209095954895
transformer,min_cost_flow,ood_size,10020015,100,200,2.0,10,1,21.0,21,0.0,0,1,1,1,1,0.03697405196726322,0.04763968754559755,0.0022033322602510452
transformer,min_cost_flow,ood_size,10020016,100,200,2.0,11,1,205.0,205,0.0,0,1,1,1,1,0.036942302249372005,0.052031541243195534,0.002285011112689972
transformer,min_cost_flow,ood_size,10020017,100,200,2.0,12,1,40.0,37,0.075,2,0,0,1,1,0.039420293644070625,0.05033313017338514,0.002235330641269684
transformer,min_cost_flow,ood_size,10020018,100,200,2.0,13,1,137.0,137,0.0,0,1,1,1,1,0.03789973258972168,0.049361239187419415,0.0021904511377215385
transformer,min_cost_flow,ood_size,10020019,100,200,2.0,14,1,126.0,102,0.19047619047619047,2,0,0,1,1,0.036439341492950916,0.049587869085371494,0.002369302324950695
transformer,min_cost_flow,ood_size,10020020,100,200,2.0,15,1,52.0,52,0.0,2,0,0,1,1,0.038809782825410366,0.04974605981260538,0.002221710979938507
transformer,min_cost_flow,ood_size,10020021,100,200,2.0,16,1,132.00000000000003,114,0.13636363636363655,2,0,0,1,1,0.04123545438051224,0.055128742940723896,0.0022308705374598503
transformer,min_cost_flow,ood_size,10020022,100,200,2.0,17,1,10.0,4,0.6,2,0,0,1,1,0.035528372041881084,0.046630678698420525,0.002236580476164818
