n_nodes,n_edges,density,replication,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time
100,250,2.5,0,1,50.0,50,0.0,0,1,1,1,1,0.07898967096116394,0.10265486303251237,0.18457298900466412
100,250,2.5,1,1,24.0,24,0.0,0,1,1,1,1,0.04867591802030802,0.05447309208102524,0.002363959909416735
100,250,2.5,2,1,16.0,16,0.0,2,0,0,1,1,0.07315825705882162,0.07890006096567959,0.002497468958608806
100,250,2.5,3,1,40.0,37,0.075,2,0,0,1,1,0.06215761695057154,0.06795918999705464,0.002313039032742381
100,250,2.5,4,1,40.0,37,0.075,2,0,0,1,1,0.31327581393998116,0.3190197569783777,0.0024079489521682262
100,250,2.5,5,1,14.0,11,0.21428571428571427,2,0,0,1,1,0.052962439018301666,0.05879264196846634,0.0023160590790212154
100,250,2.5,6,1,30.0,30,0.0,2,0,0,1,1,0.3180357119999826,0.32385364500805736,0.0023604589514434338
100,250,2.5,7,1,24.0,24,0.0,2,0,0,1,1,0.0361040550051257,0.04184010997414589,0.002296699909493327
100,250,2.5,8,1,24.0,24,0.0,2,0,0,1,1,0.052201322047039866,0.05789066606666893,0.0022786399349570274
100,250,2.5,9,1,36.0,36,0.0,0,1,1,1,1,0.05014503200072795,0.055819595931097865,0.0023310889955610037
100,250,2.5,10,1,43.0,38,0.11627906976744186,2,0,0,1,1,0.04302447394002229,0.048758988035842776,0.0023088291054591537
100,250,2.5,11,1,38.0,36,0.05263157894736842,2,0,0,1,1,0.06688318506348878,0.07259554008487612,0.002327529015019536
100,250,2.5,12,1,46.0,39,0.15217391304347827,2,0,0,1,1,0.06889598595444113,0.07455611997283995,0.0023440090008080006
100,250,2.5,13,1,40.0,40,0.0,0,1,1,1,1,0.047942442004568875,0.053713985020294785,0.0023108089808374643
100,250,2.5,14,1,30.0,23,0.23333333333333334,2,0,0,1,1,0.04659574804827571,0.05226871196646243,0.0022987700067460537
100,250,2.5,15,1,42.0,37,0.11904761904761904,2,0,0,1,1,0.06334079196676612,0.06909361598081887,0.002338798949494958
100,250,2.5,16,1,14.0,10,0.2857142857142857,2,0,0,1,1,0.04612852004356682,0.05189309292472899,0.0022794699762016535
100,250,2.5,17,1,30.0,30,0.0,0,1,1,1,1,0.04807590099517256,0.0538961150450632,0.002318229991942644
100,250,2.5,18,1,30.0,30,0.0,0,1,1,1,1,0.07268516905605793,0.07843835302628577,0.0023391699651256204
100,250,2.5,19,1,27.0,22,0.18518518518518517,2,0,0,1,1,0.04020646691787988,0.045991781051270664,0.0022756700636819005
100,400,4.0,0,1,13.0,13,0.0,2,0,0,1,1,0.11890525801572949,0.12723519990686327,0.0024439689004793763
100,400,4.0,1,1,24.0,24,0.0,2,0,0,1,1,0.12033659196458757,0.12859815498813987,0.0023588190088048577
100,400,4.0,2,1,17.0,16,0.058823529411764705,2,0,0,1,1,0.11484329693485051,0.1935245190979913,0.002375059062615037
100,400,4.0,3,1,23.0,23,0.0,0,1,1,1,1,0.10926154197659343,0.11765927402302623,0.0023756789742037654
100,400,4.0,4,1,23.0,23,0.0,0,1,1,1,1,0.0788502610521391,0.08716550294775516,0.002327668946236372
100,400,4.0,5,1,28.0,28,0.0,0,1,1,1,1,0.11102733493316919,0.11935654701665044,0.0028040369506925344
100,400,4.0,6,1,22.0,22,0.0,0,1,1,1,1,0.07593825401272625,0.08426190703175962,0.0023382289800792933
100,400,4.0,7,1,18.0,17,0.05555555555555555,2,0,0,1,1,0.11813357204664499,0.12660076399333775,0.0023771889973431826
100,400,4.0,8,1,23.0,23,0.0,0,1,1,1,1,0.10974256100598723,0.11834694095887244,0.002378558972850442
100,400,4.0,9,1,16.0,16,0.0,0,1,1,1,1,0.11443664890248328,0.12276454106904566,0.0023565200390294194
100,400,4.0,10,1,16.0,13,0.1875,2,0,0,1,1,0.1142046699533239,0.12253817194141448,0.0023793689906597137
100,400,4.0,11,1,30.0,30,0.0,2,0,0,1,1,0.11713329690974206,0.12546990800183266,0.0023690490052103996
100,400,4.0,12,1,13.0,5,0.6153846153846154,2,0,0,1,1,0.06898732599802315,0.07720955810509622,0.0023382799699902534
100,400,4.0,13,1,17.0,17,0.0,0,1,1,1,1,0.0694878629874438,0.0779778549913317,0.002314849989488721
100,400,4.0,14,1,21.0,21,0.0,0,1,1,1,1,0.07791197497863322,0.08638820704072714,0.0023377001052722335
100,400,4.0,15,1,10.0,7,0.3,2,0,0,1,1,0.06399832898750901,0.07229715993162245,0.0023776099551469088
100,400,4.0,16,1,18.0,13,0.2777777777777778,2,0,0,1,1,0.0686865970492363,0.07700929895509034,0.002345339977182448
100,400,4.0,17,1,22.0,15,0.3181818181818182,2,0,0,1,1,0.11245953803882003,0.120806589955464,0.0023522289702668786
100,400,4.0,18,1,21.0,16,0.23809523809523808,2,0,0,1,1,0.0738198469625786,0.08225807908456773,0.0023562239948660135
100,400,4.0,19,1,22.0,16,0.2727272727272727,2,0,0,1,1,0.07021644501946867,0.078885582042858,0.002324964036233723
150,375,2.5,0,1,14.0,14,0.0,0,1,1,1,1,0.07560566102620214,0.08363829890731722,0.0027127231005579233
150,375,2.5,1,1,20.0,20,0.0,0,1,1,1,1,0.10639014898333699,0.11453415802679956,0.0023424739483743906
150,375,2.5,2,1,40.0,40,0.0,0,1,1,1,1,0.06824014009907842,0.07627079798839986,0.002331683994270861
150,375,2.5,3,1,27.0,27,0.0,2,0,0,1,1,0.0914911680156365,0.09970320702996105,0.0023698039585724473
150,375,2.5,4,1,40.0,38,0.05,2,0,0,1,1,0.49994913092814386,0.5080255300272256,0.0023684240877628326
150,375,2.5,5,1,26.0,26,0.0,0,1,1,1,1,0.10700712807010859,0.11528070503845811,0.0023695030249655247
150,375,2.5,6,1,36.0,32,0.1111111111111111,2,0,0,1,1,0.3753807790344581,0.3834460689686239,0.0023695339914411306
150,375,2.5,7,1,26.0,23,0.11538461538461539,2,0,0,1,1,0.11481964692939073,0.12298080592881888,0.0023730540415272117
150,375,2.5,8,1,18.0,18,0.0,0,1,1,1,1,0.07366608502343297,0.08179947489406914,0.0024820930557325482
150,375,2.5,9,1,25.0,18,0.28,2,0,0,1,1,0.10937343200203031,0.11743675998877734,0.0024095639819279313
150,375,2.5,10,1,19.0,11,0.42105263157894735,2,0,0,1,1,0.07886204204987735,0.08703144011087716,0.0024206930538639426
150,375,2.5,11,1,14.0,14,0.0,0,1,1,1,1,0.047975063091143966,0.05619451205711812,0.0023053940385580063
150,375,2.5,12,1,45.0,45,0.0,2,0,0,1,1,0.11703405098523945,0.125109410029836,0.0023788140388205647
150,375,2.5,13,1,20.0,13,0.35,2,0,0,1,1,0.04936066991649568,0.057583948015235364,0.002361494000069797
150,375,2.5,14,1,30.0,27,0.1,2,0,0,1,1,0.5468460269039497,0.5549202359979972,0.0023767040111124516
150,375,2.5,15,1,22.0,14,0.36363636363636365,2,0,0,1,1,0.07509393198415637,0.08333390997722745,0.002435344038531184
150,375,2.5,16,1,40.0,33,0.175,2,0,0,1,1,0.08188668300863355,0.09046627103816718,0.0023684040643274784
150,375,2.5,17,1,35.0,34,0.02857142857142857,2,0,0,1,1,0.07628399902023375,0.08434804796706885,0.002358763013035059
150,375,2.5,18,1,37.0,32,0.13513513513513514,2,0,0,1,1,0.07258414896205068,0.08059622696600854,0.0023471529129892588
150,375,2.5,19,1,44.0,44,0.0,0,1,1,1,1,0.10611316002905369,0.11421648797113448,0.0023520829854533076
150,600,4.0,0,1,27.0,26,0.037037037037037035,2,0,0,1,1,0.14842868805862963,0.16093301598448306,0.0025512640131637454
150,600,4.0,1,1,17.0,17,0.0,0,1,1,1,1,0.10118577291723341,0.11371358996257186,0.0026901529636234045
150,600,4.0,2,1,20.0,20,0.0,0,1,1,1,1,0.15949006902519614,0.17197865596972406,0.0023812029976397753
150,600,4.0,3,1,31.0,22,0.2903225806451613,2,0,0,1,1,0.14077992795500904,0.15292482695076615,0.0023796730674803257
150,600,4.0,4,1,24.0,16,0.3333333333333333,2,0,0,1,1,0.09907870891038328,0.11123042705003172,0.002378454082645476
150,600,4.0,5,1,22.0,17,0.22727272727272727,2,0,0,1,1,0.16461739502847195,0.17679767403751612,0.00238055398222059
150,600,4.0,6,1,26.0,26,0.0,0,1,1,1,1,0.14038722997065634,0.15267049695830792,0.002380243968218565
150,600,4.0,7,1,19.0,15,0.21052631578947367,2,0,0,1,1,0.14667207305319607,0.15886734100058675,0.002358183031901717
150,600,4.0,8,1,24.0,21,0.125,2,0,0,1,1,0.46412734605837613,0.4764910329831764,0.0024018039694055915
150,600,4.0,9,1,21.0,20,0.047619047619047616,2,0,0,1,1,0.16890189494006336,0.18158358102664351,0.0023633339442312717
150,600,4.0,10,1,18.0,14,0.2222222222222222,2,0,0,1,1,0.15708744595758617,0.16940162295941263,0.002835791907273233
150,600,4.0,11,1,16.0,10,0.375,2,0,0,1,1,0.15001012396533042,0.16274836100637913,0.0023758539464324713
150,600,4.0,12,1,14.0,14,0.0,0,1,1,1,1,0.0924954559886828,0.10519211203791201,0.0023758140159770846
150,600,4.0,13,1,25.0,23,0.08,2,0,0,1,1,0.2522514840820804,0.2649719410110265,0.0024472939549013972
150,600,4.0,14,1,20.0,18,0.1,2,0,0,1,1,0.17292431299574673,0.18514337192755193,0.0023758639581501484
150,600,4.0,15,1,16.0,12,0.25,2,0,0,1,1,0.15607976797036827,0.168315565912053,0.002490223036147654
150,600,4.0,16,1,25.0,21,0.16,2,0,0,1,1,0.15435454295948148,0.16653108096215874,0.002364502986893058
150,600,4.0,17,1,24.0,19,0.20833333333333334,2,0,0,1,1,0.14257861394435167,0.1548975920304656,0.002375604002736509
150,600,4.0,18,1,15.0,14,0.06666666666666667,2,0,0,1,1,0.09245102596469223,0.1047480630222708,0.0023854239843785763
150,600,4.0,19,1,10.0,3,0.7,2,0,0,1,1,0.09987129596993327,0.1837237150175497,0.0023792729480192065
200,500,2.5,0,1,25.0,25,0.0,2,0,0,1,1,0.15170203894376755,0.16241242096293718,0.0028393020620569587
200,500,2.5,1,1,34.0,28,0.17647058823529413,2,0,0,1,1,0.4527776460163295,0.4639255760703236,0.0023804940283298492
200,500,2.5,2,1,32.0,27,0.15625,2,0,0,1,1,0.38736497692298144,0.3979412500048056,0.0024079540744423866
200,500,2.5,3,1,24.0,19,0.20833333333333334,2,0,0,1,1,0.09564602794125676,0.10637409903574735,0.0023795830784365535
200,500,2.5,4,1,26.0,26,0.0,0,1,1,1,1,0.09343884291592985,0.10424332495313138,0.0023698239820078015
200,500,2.5,5,1,35.0,35,0.0,0,1,1,1,1,0.1360054910182953,0.1467717019841075,0.0023720039753243327
200,500,2.5,6,1,50.0,50,0.0,0,1,1,1,1,0.18422450392972678,0.19463543593883514,0.002400542958639562
200,500,2.5,7,1,23.0,17,0.2608695652173913,2,0,0,1,1,0.1417198460549116,0.15252387791406363,0.0028183519607409835
200,500,2.5,8,1,34.0,27,0.20588235294117646,2,0,0,1,1,0.1385855539701879,0.14959401509258896,0.002392363967373967
200,500,2.5,9,1,26.0,23,0.11538461538461539,2,0,0,1,1,0.133605467970483,0.14424136001616716,0.002389224013313651
200,500,2.5,10,1,39.0,34,0.1282051282051282,2,0,0,1,1,0.1462171640014276,0.15694922499824315,0.002376973978243768
200,500,2.5,11,1,24.0,24,0.0,2,0,0,1,1,0.15380024397745728,0.16444694600068033,0.002385802916251123
200,500,2.5,12,1,62.0,59,0.04838709677419355,2,0,0,1,1,0.09203885705210268,0.10298680793493986,0.0024255230091512203
200,500,2.5,13,1,28.0,18,0.35714285714285715,2,0,0,1,1,0.1399622909957543,0.15088117204140872,0.00240304390899837
200,500,2.5,14,1,32.0,28,0.125,2,0,0,1,1,0.124654631013982,0.1355342729948461,0.0024813628988340497
200,500,2.5,15,1,31.0,23,0.25806451612903225,2,0,0,1,1,0.1399994200328365,0.15084095194470137,0.0023718130541965365
200,500,2.5,16,1,37.0,31,0.16216216216216217,2,0,0,1,1,0.13885809294879436,0.14954326499719173,0.0023958130041137338
200,500,2.5,17,1,49.0,49,0.0,0,1,1,1,1,0.13964508194476366,0.1501211340073496,0.0023996540112420917
200,500,2.5,18,1,38.0,28,0.2631578947368421,2,0,0,1,1,0.09257225599139929,0.10329724801704288,0.002385623985901475
200,500,2.5,19,1,23.0,16,0.30434782608695654,2,0,0,1,1,0.12363409297540784,0.1346002450445667,0.0023951829643920064
200,800,4.0,0,1,24.0,24,0.0,0,1,1,1,1,0.17428119003307074,0.1905708770500496,0.0027216130401939154
200,800,4.0,1,1,21.0,19,0.09523809523809523,2,0,0,1,1,0.18882969196420163,0.20482530898880213,0.0024373530177399516
200,800,4.0,2,1,25.0,25,0.0,0,1,1,1,1,0.6691121850162745,0.6855345510412008,0.002386384061537683
200,800,4.0,3,1,16.0,15,0.0625,2,0,0,1,1,0.542168409912847,0.558258087025024,0.002390704001300037
200,800,4.0,4,1,23.0,21,0.08695652173913043,2,0,0,1,1,0.24103365396149457,0.25693172204773873,0.0024201839696615934
200,800,4.0,5,1,23.0,22,0.043478260869565216,2,0,0,1,1,0.09633256494998932,0.1833983160322532,0.0025335929822176695
200,800,4.0,6,1,22.0,18,0.18181818181818182,2,0,0,1,1,0.18224953894969076,0.1987277460284531,0.0024119740119203925
200,800,4.0,7,1,21.0,21,0.0,2,0,0,1,1,0.27598981198389083,0.2926656079944223,0.00241087400354445
200,800,4.0,8,1,16.0,16,0.0,2,0,0,1,1,0.18783788394648582,0.20419199101161212,0.002423832891508937
200,800,4.0,9,1,27.0,27,0.0,0,1,1,1,1,0.12342152500059456,0.1398764009354636,0.0023914739722386003
200,800,4.0,10,1,14.0,10,0.2857142857142857,2,0,0,1,1,0.12303807493299246,0.21278848801739514,0.002415172988548875
200,800,4.0,11,1,31.0,30,0.03225806451612903,2,0,0,1,1,0.17143178801052272,0.1877093849470839,0.002418273943476379
200,800,4.0,12,1,22.0,22,0.0,0,1,1,1,1,0.44400327804032713,0.46026537602301687,0.002850151970051229
200,800,4.0,13,1,35.0,35,0.0,0,1,1,1,1,0.17721858294680715,0.1937132489401847,0.0024233729345723987
200,800,4.0,14,1,35.0,28,0.2,2,0,0,1,1,0.12438455200754106,0.14029368001502007,0.0024114130064845085
200,800,4.0,15,1,26.0,20,0.23076923076923078,2,0,0,1,1,0.12367483298294246,0.21983511000871658,0.002404463943094015
200,800,4.0,16,1,17.0,15,0.11764705882352941,2,0,0,1,1,0.20432874094694853,0.22065692802425474,0.002379133948124945
200,800,4.0,17,1,13.0,13,0.0,0,1,1,1,1,0.2118596009677276,0.22826699796132743,0.002413243055343628
200,800,4.0,18,1,25.0,23,0.08,2,0,0,1,1,0.13088403502479196,0.14731429202947766,0.0025211230386048555
200,800,4.0,19,1,16.0,14,0.125,2,0,0,1,1,0.22415021900087595,0.24038659606594592,0.002434463007375598
100,250,2.5,0,2,55.0,50,0.09090909090909091,2,0,1,2,2,0.40982967894524336,0.4156438539503142,0.002386593958362937
100,250,2.5,1,2,26.0,24,0.07692307692307693,2,0,1,2,2,0.02082100510597229,0.026527270092628896,0.00236886297352612
100,250,2.5,2,2,22.0,22,0.0,2,0,1,2,2,0.030224060057662427,0.035910134902223945,0.002337194047868252
100,250,2.5,3,2,46.0,38,0.17391304347826086,2,0,1,2,2,0.030606889980845153,0.10910727304872125,0.0023719039745628834
100,250,2.5,4,2,42.0,42,0.0,2,0,1,2,2,0.6645052270032465,0.6703089820221066,0.002391273039393127
100,250,2.5,5,2,16.0,14,0.125,2,0,1,2,2,0.01804923207964748,0.023837047046981752,0.0022969039855524898
100,250,2.5,6,2,36.0,31,0.1388888888888889,4,0,0,2,2,0.027931435965001583,0.03364356199745089,0.00234314298722893
100,250,2.5,7,2,29.0,29,0.0,0,1,2,2,2,0.019291278906166553,0.025037503917701542,0.002297283965162933
100,250,2.5,8,2,30.0,24,0.2,4,0,0,2,2,0.01889601000584662,0.024620905052870512,0.002290264004841447
100,250,2.5,9,2,41.0,36,0.12195121951219512,2,0,1,2,2,0.2268732109805569,0.23259994597174227,0.0023891939781606197
100,250,2.5,10,2,48.0,43,0.10416666666666667,2,0,1,2,2,0.3379397080279887,0.34384450304787606,0.002399193006567657
100,250,2.5,11,2,40.0,38,0.05,4,0,0,2,2,0.2448304940480739,0.2506648290436715,0.0023492740001529455
100,250,2.5,12,2,50.0,46,0.08,2,0,1,2,2,0.4181039669783786,0.4239453610498458,0.0023544339928776026
100,250,2.5,13,2,43.0,43,0.0,2,0,1,2,2,0.46927440201397985,0.47512429708149284,0.002369462978094816
100,250,2.5,14,2,31.0,23,0.25806451612903225,4,0,0,2,2,0.3927927539916709,0.3985597280552611,0.002372574061155319
100,250,2.5,15,2,47.0,42,0.10638297872340426,2,0,1,2,2,0.03363624110352248,0.039589876076206565,0.0023431640584021807
100,250,2.5,16,2,18.0,10,0.4444444444444444,4,0,0,2,2,0.019095479976385832,0.024842175072990358,0.0023058339720591903
100,250,2.5,17,2,35.0,30,0.14285714285714285,2,0,1,2,2,0.018249531975015998,0.024057387025095522,0.0022776040714234114
100,250,2.5,18,2,33.0,30,0.09090909090909091,2,0,1,2,2,0.3284986939979717,0.33797281805891544,0.002728973049670458
100,250,2.5,19,2,36.0,31,0.1388888888888889,2,0,1,2,2,0.02095211495179683,0.02688505908008665,0.0023119630059227347
100,400,4.0,0,2,19.0,13,0.3157894736842105,2,0,1,2,2,0.04344478598795831,0.05174961395096034,0.0023709939559921622
100,400,4.0,1,2,27.0,26,0.037037037037037035,4,0,0,2,2,0.07046554493717849,0.0787693620659411,0.002369153080508113
100,400,4.0,2,2,21.0,21,0.0,2,0,1,2,2,0.06016674195416272,0.06868531904183328,0.002348333946429193
100,400,4.0,3,2,25.0,23,0.08,2,0,1,2,2,0.06309103290550411,0.07167587103322148,0.002370393951423466
100,400,4.0,4,2,23.0,23,0.0,1,0,1,2,1,0.06746755202766508,0.07586523005738854,0.0023661640007048845
100,400,4.0,5,2,32.0,28,0.125,2,0,1,2,2,0.3825870599830523,0.391216657939367,0.0023611830547451973
100,400,4.0,6,2,26.0,22,0.15384615384615385,2,0,1,2,2,0.3097457130206749,0.3182130609638989,0.0023527040611952543
100,400,4.0,7,2,20.0,17,0.15,4,0,0,2,2,0.08542626397684216,0.09409900207538158,0.002354994066990912
100,400,4.0,8,2,30.0,30,0.0,0,1,2,2,2,0.05565104307606816,0.06440784002188593,0.002398393931798637
100,400,4.0,9,2,18.0,16,0.1111111111111111,2,0,1,2,2,0.06077525997534394,0.06920218700543046,0.002366953995078802
100,400,4.0,10,2,19.0,19,0.0,0,1,2,2,2,0.3826975909760222,0.39104778796900064,0.0023760340409353375
100,400,4.0,11,2,34.0,30,0.11764705882352941,2,0,1,2,2,0.047994322958402336,0.05651165102608502,0.0023389740381389856
100,400,4.0,12,2,13.0,13,0.0,2,0,1,2,2,0.06248954497277737,0.07084465306252241,0.002563473070040345
100,400,4.0,13,2,19.0,17,0.10526315789473684,2,0,1,2,2,0.025798851973377168,0.03432408894877881,0.00229491398204118
100,400,4.0,14,2,24.0,21,0.125,2,0,1,2,2,0.0439130439190194,0.05251166096422821,0.0023453240282833576
100,400,4.0,15,2,13.0,9,0.3076923076923077,4,0,0,2,2,0.02628349105361849,0.03458203899208456,0.002308123977854848
100,400,4.0,16,2,19.0,14,0.2631578947368421,2,0,1,2,2,0.052107081981375813,0.06045306008309126,0.0023677729768678546
100,400,4.0,17,2,25.0,22,0.12,4,0,0,2,2,0.0652001480339095,0.07357568596489727,0.0023679040605202317
100,400,4.0,18,2,24.0,19,0.20833333333333334,2,0,1,2,2,0.05137010395992547,0.06002822099253535,0.002355193020775914
100,400,4.0,19,2,23.0,22,0.043478260869565216,2,0,1,2,2,0.40216984902508557,0.4108811460901052,0.0023721340112388134
150,375,2.5,0,2,14.0,14,0.0,2,0,1,2,2,0.0254972530528903,0.034067870932631195,0.002376102958805859
150,375,2.5,1,2,23.0,23,0.0,2,0,1,2,2,0.48728781496174634,0.49535796302370727,0.0023742140037938952
150,375,2.5,2,2,48.0,48,0.0,0,1,2,2,2,0.04348257591482252,0.05176794296130538,0.002363433944992721
150,375,2.5,3,2,34.0,31,0.08823529411764706,2,0,1,2,2,0.33810290799010545,0.34643694607075304,0.0023754939902573824
150,375,2.5,4,2,42.0,38,0.09523809523809523,4,0,0,2,2,0.5179541540564969,0.526250962051563,0.0028262529522180557
150,375,2.5,5,2,32.0,26,0.1875,2,0,1,2,2,0.026851809001527727,0.035129057010635734,0.0024506840854883194
150,375,2.5,6,2,41.0,35,0.14634146341463414,4,0,0,2,2,0.035565007012337446,0.043591254972852767,0.0023649840150028467
150,375,2.5,7,2,28.0,23,0.17857142857142858,4,0,0,2,2,0.0820160829462111,0.09007351193577051,0.002399844001047313
150,375,2.5,8,2,21.0,21,0.0,0,1,2,2,2,0.10491747292689979,0.11324403202161193,0.002380753052420914
150,375,2.5,9,2,28.0,25,0.10714285714285714,4,0,0,2,2,0.045990458922460675,0.05419895704835653,0.002386862994171679
150,375,2.5,10,2,20.0,11,0.45,4,0,0,2,2,0.027068357914686203,0.03526934701949358,0.0023529139580205083
