model_type,problem_type,eval_mode,wood_problem,wood_rows,wood_cols,network_name,graph_seed,n_nodes,n_edges,density,replication,source,sink,source_original,sink_original,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time,candidate_objective,candidate_objective_gap,candidate_pool_size,num_candidates,candidate_search_time,hybrid_total_time,candidate_exact_match,candidate_hamming_distance,candidate_correct_edges
transformer,shortest_path,external,,,,rail_road_transportation_network,,1054,3250,3.0834914611005693,,0,5,1,6,1,789.9782540400003,789.9782540399999,4.3173405270416295e-16,0,1,1,1,1,3.2856314228847623,3.46331733930856,0.1753676077350974,789.9782540399999,4.3173405270416295e-16,5,5,0.04259511083364487,0.21796271856874228,1,0,1
transformer,shortest_path,external,,,,rail_road_transportation_network,,1054,3250,3.0834914611005693,,0,6,1,7,1,280.08370324500004,280.08370324500004,0.0,2,0,0,1,1,3.4002184588462114,3.588171255774796,0.004135110415518284,280.08370324500004,0.0,5,5,0.025449595414102077,0.02958470582962036,0,2,0
transformer,shortest_path,external,,,,rail_road_transportation_network,,1054,3250,3.0834914611005693,,0,7,1,8,1,255.830073369,255.83007336900002,-1.110960453402582e-16,0,1,1,1,1,2.520948332734406,2.720443621277809,0.00393937062472105,255.83007336900002,-1.110960453402582e-16,5,5,0.024778799153864384,0.028718169778585434,1,0,1
transformer,shortest_path,external,,,,rail_road_transportation_network,,1054,3250,3.0834914611005693,,0,8,1,9,1,256.58074938100003,256.58074938100003,0.0,0,1,1,1,1,2.519018031656742,2.710075132548809,0.004177500493824482,256.58074938100003,0.0,5,5,0.025121545419096947,0.02929904591292143,1,0,1
transformer,shortest_path,external,,,,rail_road_transportation_network,,1054,3250,3.0834914611005693,,0,974,1,1077,1,899.1750408960002,899.1750408959999,2.528692024376713e-16,0,1,1,1,1,3.7740632006898522,3.991084043867886,0.004588626325130463,899.1750408959999,2.528692024376713e-16,5,5,0.030402070842683315,0.03499069716781378,1,0,1
transformer,shortest_path,external,,,,rail_road_transportation_network,,1054,3250,3.0834914611005693,,1,5,2,6,1,514.9089634040001,514.908963404,2.2079017030514725e-16,0,1,1,1,1,2.621151080355048,2.8468764405697584,0.004256099462509155,514.908963404,2.2079017030514725e-16,5,5,0.028979146853089333,0.03323524631559849,1,0,1
transformer,shortest_path,external,,,,rail_road_transportation_network,,1054,3250,3.0834914611005693,,1,6,2,7,1,297.811966938,297.811966938,0.0,2,0,0,1,1,3.4107803981751204,3.6135392896831036,0.004265079274773598,297.811966938,0.0,5,5,0.024599168449640274,0.028864247724413872,0,2,0
transformer,shortest_path,external,,,,rail_road_transportation_network,,1054,3250,3.0834914611005693,,1,7,2,8,1,370.4465909210001,370.4465909210001,0.0,0,1,1,1,1,3.0683748209849,3.2832544650882483,0.003934320993721485,370.4465909210001,0.0,5,5,0.026065981946885586,0.03000030294060707,1,0,1
transformer,shortest_path,external,,,,rail_road_transportation_network,,1054,3250,3.0834914611005693,,1,8,2,9,1,370.83665136100007,370.83665136100007,0.0,0,1,1,1,1,3.0899856043979526,3.294588018208742,0.004112730734050274,370.83665136100007,0.0,5,5,0.025860273279249668,0.029973004013299942,1,0,1
transformer,shortest_path,external,,,,rail_road_transportation_network,,1054,3250,3.0834914611005693,,1,974,2,1077,1,670.4066383000004,670.4066382999997,1.0174735561381087e-15,0,1,1,1,1,2.769154582172632,2.9607458505779505,0.004164159297943115,670.4066382999997,1.0174735561381087e-15,5,5,0.030591249465942383,0.0347554087638855,1,0,1
transformer,shortest_path,external,,,,rail_road_transportation_network,,1054,3250,3.0834914611005693,,2,5,3,6,1,428.60041319900006,285.15045583000006,0.3346939315767666,2,0,0,1,1,2.5736003145575523,2.790160669013858,0.0041170790791511536,285.15045583000006,0.3346939315767666,5,5,0.022738228552043438,0.02685530763119459,0,2,0
transformer,shortest_path,external,,,,rail_road_transportation_network,,1054,3250,3.0834914611005693,,2,6,3,7,1,464.7506309100203,464.75063090999987,4.390911171238626e-14,2,0,0,1,1,3.852605825290084,4.053291728720069,0.003951940685510635,464.75063090999987,4.390911171238626e-14,5,5,0.025518464855849743,0.02947040554136038,0,2,0
transformer,shortest_path,external,,,,rail_road_transportation_network,,1054,3250,3.0834914611005693,,2,7,3,8,1,573.7830633230004,573.783063323,7.925423037983131e-16,2,0,0,1,1,2.705403596162796,2.8974162824451923,0.004138089716434479,573.783063323,7.925423037983131e-16,5,5,0.028007332235574722,0.0321454219520092,0,2,0
transformer,shortest_path,external,,,,rail_road_transportation_network,,1054,3250,3.0834914611005693,,2,8,3,9,1,574.173123763,574.173123763,0.0,0,1,1,1,1,3.242641543969512,3.4579085363075137,0.004139089025557041,574.173123763,0.0,5,5,0.02786026243120432,0.03199935145676136,1,0,1
transformer,shortest_path,external,,,,rail_road_transportation_network,,1054,3250,3.0834914611005693,,2,974,3,1077,1,584.0980880950001,440.6481307260001,0.24559223920224288,2,0,0,1,1,2.571729702875018,2.773018823005259,0.003929580561816692,440.6481307260001,0.24559223920224288,5,5,0.02506373729556799,0.02899331785738468,0,2,0
transformer,shortest_path,external,,,,rail_road_transportation_network,,1054,3250,3.0834914611005693,,3,5,4,6,1,630.1002453479999,630.1002453479999,0.0,0,1,1,1,1,2.6266647735610604,2.8189424565061927,0.004083080217242241,630.1002453479999,0.0,5,5,0.030054831877350807,0.03413791209459305,1,0,1
transformer,shortest_path,external,,,,rail_road_transportation_network,,1054,3250,3.0834914611005693,,3,6,4,7,1,153.62551313900002,153.625513139,1.8500644098541176e-16,2,0,0,1,1,2.9201933704316616,3.136010069400072,0.003932351246476173,153.625513139,1.8500644098541176e-16,5,5,0.022462429478764534,0.026394780725240707,0,2,0
transformer,shortest_path,external,,,,rail_road_transportation_network,,1054,3250,3.0834914611005693,,3,7,4,8,1,211.68229524000003,211.68229523999995,4.0279763687624693e-16,0,1,1,1,1,2.517043201252818,2.7116611255332828,0.004135648719966412,211.68229523999995,4.0279763687624693e-16,5,5,0.023757973685860634,0.027893622405827045,1,0,1
