model_type,problem_type,eval_mode,wood_problem,wood_rows,wood_cols,network_name,graph_seed,n_nodes,n_edges,density,replication,source,sink,source_original,sink_original,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time,candidate_objective,candidate_objective_gap,candidate_pool_size,num_candidates,candidate_search_time,hybrid_total_time,candidate_exact_match,candidate_hamming_distance,candidate_correct_edges
transformer,shortest_path,id_new,,,,,3006005,30,60,2.0,0,0,29,,,1,11.0,10,0.09090909090909091,2,0,0,1,1,0.12321574706584215,0.12834736984223127,0.2062393045052886,11,0.0,5,5,0.0015277313068509102,0.2077670358121395,1,0,1
transformer,shortest_path,id_new,,,,,3006006,30,60,2.0,1,0,29,,,1,32.0,22,0.3125,2,0,0,1,1,0.01904384419322014,0.022306685335934162,0.0021631624549627304,32,0.0,5,5,0.0018045417964458466,0.003967704251408577,1,0,1
transformer,shortest_path,id_new,,,,,3006007,30,60,2.0,2,0,29,,,1,35.0,35,0.0,0,1,1,1,1,0.014808250591158867,0.017574621364474297,0.0021799812093377113,35,0.0,5,5,0.0006751008331775665,0.002855082042515278,1,0,1
transformer,shortest_path,id_new,,,,,3006008,30,60,2.0,3,0,29,,,1,36.0,33,0.08333333333333333,2,0,0,1,1,0.015674030408263206,0.018569822423160076,0.0018347213044762611,34,0.05555555555555555,5,5,0.0006873300299048424,0.0025220513343811035,0,2,0
transformer,shortest_path,id_new,,,,,3006009,30,60,2.0,4,0,29,,,1,56.0,47,0.16071428571428573,2,0,0,1,1,0.016823071986436844,0.019730093888938427,0.0018669413402676582,56,0.0,5,5,0.0006838394328951836,0.002550780773162842,1,0,1
transformer,shortest_path,id_new,,,,,3006010,30,60,2.0,5,0,29,,,1,49.0,43,0.12244897959183673,2,0,0,1,1,0.014973331242799759,0.01780716236680746,0.001864762045443058,43,0.12244897959183673,5,5,0.0007387297227978706,0.0026034917682409286,0,2,0
transformer,shortest_path,id_new,,,,,3006011,30,60,2.0,6,0,29,,,1,14.000000000000004,11,0.2142857142857145,2,0,0,1,1,0.019532344304025173,0.022322235628962517,0.001942802220582962,14,2.537652627714643e-16,5,5,0.000545969232916832,0.002488771453499794,1,0,1
transformer,shortest_path,id_new,,,,,3006012,30,60,2.0,7,0,29,,,1,15.000000000000005,13,0.13333333333333364,2,0,0,1,1,0.026614478789269924,0.029457720927894115,0.0018452517688274384,15,3.5527136788004996e-16,5,5,0.0007499698549509048,0.002595221623778343,1,0,1
transformer,shortest_path,id_new,,,,,3006013,30,60,2.0,8,0,29,,,1,11.0,11,0.0,0,1,1,1,1,0.017949363216757774,0.02070129569619894,0.0018273312598466873,11,0.0,5,5,0.0006580892950296402,0.0024854205548763275,1,0,1
transformer,shortest_path,id_new,,,,,3006014,30,60,2.0,9,0,29,,,1,34.0,34,0.0,2,0,0,1,1,0.026623819023370743,0.029428510926663876,0.0018961215391755104,34,0.0,5,5,0.0006872396916151047,0.002583361230790615,0,2,0
transformer,shortest_path,id_new,,,,,3006015,30,60,2.0,10,0,29,,,1,18.0,12,0.3333333333333333,2,0,0,1,1,0.01889877300709486,0.021733494475483894,0.0019246209412813187,18,0.0,5,5,0.0006263405084609985,0.002550961449742317,1,0,1
transformer,shortest_path,id_new,,,,,3006016,30,60,2.0,11,0,29,,,1,19.0,12,0.3684210526315789,2,0,0,1,1,0.018479962833225727,0.0213381452485919,0.0019129309803247452,19,0.0,5,5,0.0005659302696585655,0.0024788612499833107,1,0,1
transformer,shortest_path,id_new,,,,,3006017,30,60,2.0,12,0,29,,,1,30.0,22,0.26666666666666666,2,0,0,1,1,0.016957592219114304,0.01974677387624979,0.0018235808238387108,30,0.0,5,5,0.0006245104596018791,0.00244809128344059,0,2,0
transformer,shortest_path,id_new,,,,,3006018,30,60,2.0,13,0,29,,,1,48.0,38,0.20833333333333334,2,0,0,1,1,0.014522579498589039,0.017352442257106304,0.0018558511510491371,48,0.0,5,5,0.0006782207638025284,0.0025340719148516655,1,0,1
transformer,shortest_path,id_new,,,,,3006019,30,60,2.0,14,0,29,,,1,20.0,12,0.4,2,0,0,1,1,0.01757186185568571,0.02038344368338585,0.001848091371357441,20,0.0,5,5,0.0005995295941829681,0.002447620965540409,1,0,1
