model_type,problem_type,eval_mode,wood_problem,network_name,graph_seed,n_nodes,n_edges,density,replication,source,sink,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time,candidate_objective,candidate_objective_gap,candidate_pool_size,num_candidates,candidate_search_time,hybrid_total_time,candidate_exact_match,candidate_hamming_distance,candidate_correct_edges
transformer,shortest_path,id_new,,,3006005,30,60,2.0,0,0,29,1,11.0,10,0.09090909090909091,2,0,0,1,1,0.14472082071006298,0.14967001229524612,0.1899420004338026,11,0.0,4,4,0.013047919608652592,0.2029899200424552,1,0,1
transformer,shortest_path,id_new,,,3006006,30,60,2.0,1,0,29,1,32.0,22,0.3125,2,0,0,1,1,0.019909524358808994,0.023590979166328907,0.002278672531247139,32,0.0,4,4,0.0017876746132969856,0.004066347144544125,1,0,1
transformer,shortest_path,id_new,,,3006007,30,60,2.0,2,0,29,1,35.0,35,0.0,0,1,1,1,1,0.015280092135071754,0.018171831034123898,0.001989162527024746,35,0.0,4,4,0.0005837474018335342,0.00257290992885828,1,0,1
transformer,shortest_path,id_new,,,3006008,30,60,2.0,3,0,29,1,36.0,33,0.08333333333333333,2,0,0,1,1,0.01592072006314993,0.018765629269182682,0.0018894532695412636,34,0.05555555555555555,4,4,0.00058025773614645,0.0024697110056877136,0,2,0
transformer,shortest_path,id_new,,,3006009,30,60,2.0,4,0,29,1,56.0,47,0.16071428571428573,2,0,0,1,1,0.017209365032613277,0.02020808309316635,0.0018851729109883308,50,0.10714285714285714,4,4,0.0006123166531324387,0.0024974895641207695,0,2,0
transformer,shortest_path,id_new,,,3006010,30,60,2.0,5,0,29,1,49.0,43,0.12244897959183673,2,0,0,1,1,0.015314620919525623,0.01824011094868183,0.0018463125452399254,43,0.12244897959183673,4,4,0.0006336076185107231,0.0024799201637506485,0,2,0
transformer,shortest_path,id_new,,,3006011,30,60,2.0,6,0,29,1,14.000000000000004,14,2.537652627714643e-16,2,0,0,1,1,0.019969873130321503,0.022899972274899483,0.0019297823309898376,14,2.537652627714643e-16,4,4,0.0004698680713772774,0.002399650402367115,0,2,0
transformer,shortest_path,id_new,,,3006012,30,60,2.0,7,0,29,1,15.000000000000005,13,0.13333333333333364,2,0,0,1,1,0.02682170830667019,0.029662616550922394,0.0018979227170348167,14,0.066666666666667,4,4,0.0006399685516953468,0.0025378912687301636,0,2,0
transformer,shortest_path,id_new,,,3006013,30,60,2.0,8,0,29,1,11.0,11,0.0,0,1,1,1,1,0.018366219475865364,0.021165880374610424,0.0018517030403017998,11,0.0,4,4,0.0005001276731491089,0.0023518307134509087,1,0,1
transformer,shortest_path,id_new,,,3006014,30,60,2.0,9,0,29,1,34.0,34,0.0,2,0,0,1,1,0.026968427002429962,0.02988398727029562,0.0018720431253314018,34,0.0,4,4,0.000569378025829792,0.002441421151161194,0,2,0
