model_type,problem_type,eval_mode,wood_problem,network_name,graph_seed,n_nodes,n_edges,density,replication,source,sink,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time,candidate_objective,candidate_objective_gap,candidate_pool_size,num_candidates,candidate_search_time,hybrid_total_time,candidate_exact_match,candidate_hamming_distance,candidate_correct_edges
transformer,shortest_path,id_new,,,3006005,30,60,2.0,0,0,29,1,11.0,10,0.09090909090909091,2,0,0,1,1,0.13672265969216824,0.14161666855216026,0.1762602236121893,11,0.0,5,5,0.012461194768548012,0.1887214183807373,1,0,1
transformer,shortest_path,id_new,,,3006006,30,60,2.0,1,0,29,1,32.0,22,0.3125,2,0,0,1,1,0.01850688736885786,0.02171147335320711,0.0021641897037625313,32,0.0,5,5,0.0016563432291150093,0.0038205329328775406,1,0,1
transformer,shortest_path,id_new,,,3006007,30,60,2.0,2,0,29,1,35.0,35,0.0,0,1,1,1,1,0.014483865350484848,0.017201563343405724,0.0019030207768082619,35,0.0,5,5,0.0006623668596148491,0.002565387636423111,1,0,1
transformer,shortest_path,id_new,,,3006008,30,60,2.0,3,0,29,1,36.0,33,0.08333333333333333,2,0,0,1,1,0.01529077161103487,0.018073229119181633,0.0018282309174537659,36,0.0,5,5,0.0006680069491267204,0.0024962378665804863,1,0,1
transformer,shortest_path,id_new,,,3006009,30,60,2.0,4,0,29,1,56.0,47,0.16071428571428573,2,0,0,1,1,0.016379376873373985,0.019169523380696774,0.001814272254705429,50,0.10714285714285714,5,5,0.0006717164069414139,0.002485988661646843,0,2,0
transformer,shortest_path,id_new,,,3006010,30,60,2.0,5,0,29,1,49.0,43,0.12244897959183673,2,0,0,1,1,0.014457586221396923,0.017228982411324978,0.0018003713339567184,43,0.12244897959183673,5,5,0.0006748475134372711,0.0024752188473939896,0,2,0
transformer,shortest_path,id_new,,,3006011,30,60,2.0,6,0,29,1,14.000000000000004,14,2.537652627714643e-16,2,0,0,1,1,0.018921956419944763,0.021692102774977684,0.0018433015793561935,14,2.537652627714643e-16,5,5,0.0005398876965045929,0.0023831892758607864,0,2,0
transformer,shortest_path,id_new,,,3006012,30,60,2.0,7,0,29,1,15.000000000000005,13,0.13333333333333364,2,0,0,1,1,0.025588735938072205,0.02831733226776123,0.0018293121829628944,15,3.5527136788004996e-16,5,5,0.0006965864449739456,0.00252589862793684,1,0,1
transformer,shortest_path,id_new,,,3006013,30,60,2.0,8,0,29,1,11.0,11,0.0,0,1,1,1,1,0.01736197154968977,0.020032260566949844,0.0018063820898532867,11,0.0,5,5,0.0005800966173410416,0.0023864787071943283,1,0,1
transformer,shortest_path,id_new,,,3006014,30,60,2.0,9,0,29,1,34.0,34,0.0,2,0,0,1,1,0.025483465753495693,0.028253753669559956,0.001838752068579197,34,0.0,5,5,0.0006839968264102936,0.0025227488949894905,0,2,0
transformer,shortest_path,id_new,,,3006015,30,60,2.0,10,0,29,1,18.0,12,0.3333333333333333,2,0,0,1,1,0.018440508283674717,0.02122348640114069,0.0018130522221326828,18,0.0,5,5,0.0006114868447184563,0.002424539066851139,1,0,1
transformer,shortest_path,id_new,,,3006016,30,60,2.0,11,0,29,1,19.0,12,0.3684210526315789,2,0,0,1,1,0.01781340967863798,0.020635228604078293,0.0018610525876283646,19,0.0,5,5,0.0005668364465236664,0.002427889034152031,1,0,1
transformer,shortest_path,id_new,,,3006017,30,60,2.0,12,0,29,1,30.0,30,0.0,2,0,0,1,1,0.01803671009838581,0.02082943730056286,0.001941882073879242,30,0.0,5,5,0.0006234077736735344,0.0025652898475527763,0,2,0
transformer,shortest_path,id_new,,,3006018,30,60,2.0,13,0,29,1,48.0,38,0.20833333333333334,2,0,0,1,1,0.014009816572070122,0.01689304504543543,0.0017914418131113052,48,0.0,5,5,0.0006681866943836212,0.0024596285074949265,1,0,1
transformer,shortest_path,id_new,,,3006019,30,60,2.0,14,0,29,1,20.0,12,0.4,2,0,0,1,1,0.017021344043314457,0.019751341082155704,0.0017932020127773285,20,0.0,5,5,0.0005760565400123596,0.002369258552789688,1,0,1
transformer,shortest_path,id_new,,,3006020,30,60,2.0,15,0,29,1,27.0,24,0.1111111111111111,2,0,0,1,1,0.01826050877571106,0.020990765653550625,0.001799291931092739,24,0.1111111111111111,5,5,0.0007042363286018372,0.0025035282596945763,0,2,0
transformer,shortest_path,id_new,,,3006021,30,60,2.0,16,0,29,1,38.0,31,0.18421052631578946,2,0,0,1,1,0.016926435753703117,0.01966262236237526,0.001803431659936905,34,0.10526315789473684,5,5,0.002647058106958866,0.004450489766895771,0,2,0
transformer,shortest_path,id_new,,,3006022,30,60,2.0,17,0,29,1,15.0,15,0.0,0,1,1,1,1,0.017456501722335815,0.020095880143344402,0.0018791016191244125,15,0.0,5,5,0.0005474574863910675,0.00242655910551548,1,0,1
transformer,shortest_path,id_new,,,3006023,30,60,2.0,18,0,29,1,17.0,11,0.35294117647058826,2,0,0,1,1,0.016988974064588547,0.019706202670931816,0.0018048621714115143,17,0.0,5,5,0.000588906928896904,0.0023937691003084183,0,2,0
transformer,shortest_path,id_new,,,3006024,30,60,2.0,19,0,29,1,18.0,18,0.0,0,1,1,1,1,0.01719504315406084,0.019955351017415524,0.0017970521003007889,18,0.0,5,5,0.000543578527867794,0.002340630628168583,1,0,1
transformer,shortest_path,id_new,,,3009005,30,90,3.0,0,0,29,1,19.0,19,0.0,0,1,1,1,1,0.02193726133555174,0.025548606179654598,0.0018935706466436386,19,0.0,5,5,0.0007530273869633675,0.002646598033607006,1,0,1
transformer,shortest_path,id_new,,,3009006,30,90,3.0,1,0,29,1,20.0,19,0.05,2,0,0,1,1,0.03283893410116434,0.03635334875434637,0.001895751804113388,20,0.0,5,5,0.000828237272799015,0.002723989076912403,1,0,1
transformer,shortest_path,id_new,,,3009007,30,90,3.0,2,0,29,1,26.0,26,0.0,0,1,1,1,1,0.021942762657999992,0.025448176078498363,0.0018432820215821266,26,0.0,5,5,0.0008772360160946846,0.0027205180376768112,1,0,1
transformer,shortest_path,id_new,,,3009008,30,90,3.0,3,0,29,1,17.0,15,0.11764705882352941,2,0,0,1,1,0.03501538373529911,0.03851305786520243,0.001866452395915985,17,0.0,5,5,0.0008814660832285881,0.002747918479144573,1,0,1
transformer,shortest_path,id_new,,,3009009,30,90,3.0,4,0,29,1,17.0,16,0.058823529411764705,2,0,0,1,1,0.02962973713874817,0.03311431221663952,0.0018679313361644745,17,0.0,5,5,0.000815296545624733,0.0026832278817892075,1,0,1
transformer,shortest_path,id_new,,,3009010,30,90,3.0,5,0,29,1,16.0,13,0.1875,2,0,0,1,1,0.02233343943953514,0.027713706716895103,0.0018763812258839607,16,0.0,5,5,0.0008310656994581223,0.002707446925342083,1,0,1
transformer,shortest_path,id_new,,,3009011,30,90,3.0,6,0,29,1,21.0,17,0.19047619047619047,2,0,0,1,1,0.022346979938447475,0.025794564746320248,0.0018380722030997276,19,0.09523809523809523,5,5,0.0007886560633778572,0.002626728266477585,0,2,0
transformer,shortest_path,id_new,,,3009012,30,90,3.0,7,0,29,1,18.000000000000004,14,0.22222222222222238,2,0,0,1,1,0.0223019914701581,0.025854265317320824,0.0018263813108205795,17,0.05555555555555574,5,5,0.0007875673472881317,0.0026139486581087112,0,2,0
transformer,shortest_path,id_new,,,3009013,30,90,3.0,8,0,29,1,12.0,11,0.08333333333333333,2,0,0,1,1,0.023074286989867687,0.026697981171309948,0.0018409322947263718,12,0.0,5,5,0.0008319560438394547,0.0026728883385658264,1,0,1
transformer,shortest_path,id_new,,,3009014,30,90,3.0,9,0,29,1,16.0,16,0.0,0,1,1,1,1,0.022434179671108723,0.027805525809526443,0.001901441253721714,16,0.0,5,5,0.0007473770529031754,0.0026488183066248894,1,0,1
transformer,shortest_path,id_new,,,3009015,30,90,3.0,10,0,29,1,13.0,13,0.0,0,1,1,1,1,0.022627458907663822,0.02617214247584343,0.0018360605463385582,13,0.0,5,5,0.0007584169507026672,0.0025944774970412254,1,0,1
transformer,shortest_path,id_new,,,3009016,30,90,3.0,11,0,29,1,15.0,15,0.0,0,1,1,1,1,0.02093310747295618,0.024381861090660095,0.0018192008137702942,15,0.0,5,5,0.0007718270644545555,0.0025910278782248497,1,0,1
transformer,shortest_path,id_new,,,3009017,30,90,3.0,12,0,29,1,2.0,2,0.0,0,1,1,1,1,0.01969873160123825,0.023246265947818756,0.001807871274650097,2,0.0,5,5,0.0006714062765240669,0.002479277551174164,1,0,1
transformer,shortest_path,id_new,,,3009018,30,90,3.0,13,0,29,1,21.0,21,0.0,0,1,1,1,1,0.02150260377675295,0.026870260015130043,0.001867351122200489,21,0.0,5,5,0.000788666307926178,0.002656017430126667,1,0,1
transformer,shortest_path,id_new,,,3009019,30,90,3.0,14,0,29,1,24.0,24,0.0,2,0,0,1,1,0.02237705048173666,0.025822934694588184,0.0018290923908352852,24,0.0,5,5,0.0008717356249690056,0.0027008280158042908,0,2,0
transformer,shortest_path,id_new,,,3009020,30,90,3.0,15,0,29,1,18.0,16,0.1111111111111111,2,0,0,1,1,0.024248971603810787,0.027709247544407845,0.0018393220379948616,17,0.05555555555555555,5,5,0.0008017765358090401,0.0026410985738039017,0,2,0
transformer,shortest_path,id_new,,,3009021,30,90,3.0,16,0,29,1,18.000000000000025,16,0.11111111111111234,2,0,0,1,1,0.04706303961575031,0.050571355037391186,0.0019012922421097755,17,0.05555555555555686,5,5,0.0008302964270114899,0.0027315886691212654,0,2,0
transformer,shortest_path,id_new,,,3009022,30,90,3.0,17,0,29,1,31.0,24,0.22580645161290322,2,0,0,1,1,0.023846054449677467,0.027374927885830402,0.0018444918096065521,31,0.0,5,5,0.0008214358240365982,0.0026659276336431503,1,0,1
transformer,shortest_path,id_new,,,3009023,30,90,3.0,18,0,29,1,12.0,11,0.08333333333333333,2,0,0,1,1,0.02272218931466341,0.026242053136229515,0.0018334612250328064,12,0.0,5,5,0.0007073376327753067,0.002540798857808113,1,0,1
transformer,shortest_path,id_new,,,3009024,30,90,3.0,19,0,29,1,18.0,15,0.16666666666666666,2,0,0,1,1,0.023852684535086155,0.027344518341124058,0.0018408522009849548,18,0.0,5,5,0.0008007166907191277,0.0026415688917040825,1,0,1
transformer,shortest_path,id_new,,,3012005,30,120,4.0,0,0,29,1,22.0,22,0.0,0,1,1,1,1,0.02525612711906433,0.03143539000302553,0.0019460013136267662,22,0.0,5,5,0.0010594557970762253,0.0030054571107029915,1,0,1
transformer,shortest_path,id_new,,,3012006,30,120,4.0,1,0,29,1,19.000000000000007,19,3.739698609263684e-16,0,1,1,1,1,0.02800831478089094,0.03218607697635889,0.0018960312008857727,19,3.739698609263684e-16,5,5,0.0009892964735627174,0.00288532767444849,1,0,1
transformer,shortest_path,id_new,,,3012007,30,120,4.0,2,0,29,1,11.0,11,0.0,0,1,1,1,1,0.027715586125850677,0.03203448746353388,0.0018602823838591576,11,0.0,5,5,0.0008713165298104286,0.002731598913669586,1,0,1
transformer,shortest_path,id_new,,,3012008,30,120,4.0,3,0,29,1,14.0,14,0.0,0,1,1,1,1,0.027159678749740124,0.03320928197354078,0.0019377907738089561,14,0.0,5,5,0.0009664352983236313,0.0029042260721325874,1,0,1
transformer,shortest_path,id_new,,,3012009,30,120,4.0,4,0,29,1,31.0,26,0.16129032258064516,2,0,0,1,1,0.026021113619208336,0.030221545137465,0.0018726624548435211,26,0.16129032258064516,5,5,0.0010200049728155136,0.0028926674276590347,0,2,0
transformer,shortest_path,id_new,,,3012010,30,120,4.0,5,0,29,1,27.0,27,0.0,0,1,1,1,1,0.025002267211675644,0.029211039654910564,0.0018363213166594505,27,0.0,5,5,0.0009895749390125275,0.002825896255671978,1,0,1
transformer,shortest_path,id_new,,,3012011,30,120,4.0,6,0,29,1,16.0,16,0.0,0,1,1,1,1,0.02438291162252426,0.030383754521608353,0.0018685217946767807,16,0.0,5,5,0.0009291050955653191,0.0027976268902420998,1,0,1
