model_type,problem_type,eval_mode,wood_problem,network_name,graph_seed,n_nodes,n_edges,density,replication,source,sink,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time,candidate_objective,candidate_objective_gap,candidate_pool_size,num_candidates,candidate_search_time,hybrid_total_time,candidate_exact_match,candidate_hamming_distance,candidate_correct_edges
transformer,shortest_path,id_new,,,3006005,30,60,2.0,0,0,29,1,11.0,10,0.09090909090909091,2,0,0,1,1,0.15703803952783346,0.1620182953774929,0.1908040838316083,11,0.0,5,5,0.012470263056457043,0.20327434688806534,1,0,1
transformer,shortest_path,id_new,,,3006006,30,60,2.0,1,0,29,1,32.0,22,0.3125,2,0,0,1,1,0.018674904480576515,0.021964749321341515,0.0021506501361727715,32,0.0,5,5,0.0016817329451441765,0.003832383081316948,1,0,1
transformer,shortest_path,id_new,,,3006007,30,60,2.0,2,0,29,1,35.0,35,0.0,0,1,1,1,1,0.014433643780648708,0.017147021368145943,0.0018713213503360748,35,0.0,5,5,0.000662466511130333,0.0025337878614664078,1,0,1
transformer,shortest_path,id_new,,,3006008,30,60,2.0,3,0,29,1,36.0,33,0.08333333333333333,2,0,0,1,1,0.015400669537484646,0.018175827339291573,0.0017842724919319153,36,0.0,5,5,0.00067873764783144,0.0024630101397633553,1,0,1
transformer,shortest_path,id_new,,,3006009,30,60,2.0,4,0,29,1,56.0,47,0.16071428571428573,2,0,0,1,1,0.0164206949993968,0.019192222505807877,0.0017833122983574867,56,0.0,5,5,0.0006702868267893791,0.002453599125146866,1,0,1
transformer,shortest_path,id_new,,,3006010,30,60,2.0,5,0,29,1,49.0,43,0.12244897959183673,2,0,0,1,1,0.014633863233029842,0.017389249987900257,0.0017774403095245361,43,0.12244897959183673,5,5,0.0006837574765086174,0.0024611977860331535,0,2,0
transformer,shortest_path,id_new,,,3006011,30,60,2.0,6,0,29,1,14.000000000000004,11,0.2142857142857145,2,0,0,1,1,0.019002653658390045,0.02178265992552042,0.0018241014331579208,14,2.537652627714643e-16,5,5,0.0005412986502051353,0.002365400083363056,0,2,0
transformer,shortest_path,id_new,,,3006012,30,60,2.0,7,0,29,1,15.000000000000005,13,0.13333333333333364,2,0,0,1,1,0.025581251829862595,0.0283127399161458,0.0018329806625843048,15,3.5527136788004996e-16,5,5,0.0007125670090317726,0.0025455476716160774,1,0,1
transformer,shortest_path,id_new,,,3006013,30,60,2.0,8,0,29,1,11.0,11,0.0,0,1,1,1,1,0.017592718824744225,0.020272946916520596,0.0018312502652406693,11,0.0,5,5,0.0005941381677985191,0.0024253884330391884,1,0,1
transformer,shortest_path,id_new,,,3006014,30,60,2.0,9,0,29,1,34.0,31,0.08823529411764706,2,0,0,1,1,0.025547032244503498,0.028315549716353416,0.0018276618793606758,34,0.0,5,5,0.0006757574155926704,0.0025034192949533463,0,2,0
