model_type,problem_type,eval_mode,wood_problem,network_name,graph_seed,n_nodes,n_edges,density,replication,source,sink,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time,candidate_objective,candidate_objective_gap,candidate_pool_size,num_candidates,candidate_search_time,hybrid_total_time,candidate_exact_match,candidate_hamming_distance,candidate_correct_edges
transformer,shortest_path,id_new,,,3006005,30,60,2.0,0,0,29,1,11.0,10,0.09090909090909091,2,0,0,1,1,0.14702793955802917,0.1520226150751114,0.19553691055625677,10,0.09090909090909091,4,4,0.012637531384825706,0.20817444194108248,0,2,0
transformer,shortest_path,id_new,,,3006006,30,60,2.0,1,0,29,1,32.0,22,0.3125,2,0,0,1,1,0.019074909389019012,0.0223477054387331,0.0021509602665901184,32,0.0,4,4,0.0015981420874595642,0.0037491023540496826,1,0,1
transformer,shortest_path,id_new,,,3006007,30,60,2.0,2,0,29,1,35.0,35,0.0,0,1,1,1,1,0.014601030386984348,0.017327718436717987,0.0019085723906755447,35,0.0,4,4,0.0005586575716733932,0.002467229962348938,1,0,1
transformer,shortest_path,id_new,,,3006008,30,60,2.0,3,0,29,1,36.0,30,0.16666666666666666,2,0,0,1,1,0.015544457361102104,0.018311084248125553,0.0018647005781531334,34,0.05555555555555555,4,4,0.0005865367129445076,0.002451237291097641,0,2,0
transformer,shortest_path,id_new,,,3006009,30,60,2.0,4,0,29,1,56.0,47,0.16071428571428573,2,0,0,1,1,0.01664323266595602,0.019454327411949635,0.0018575210124254227,50,0.10714285714285714,4,4,0.0005656462162733078,0.0024231672286987305,0,2,0
transformer,shortest_path,id_new,,,3006010,30,60,2.0,5,0,29,1,49.0,43,0.12244897959183673,2,0,0,1,1,0.014813480898737907,0.017590036615729332,0.0018175607547163963,43,0.12244897959183673,4,4,0.0005725184455513954,0.0023900792002677917,0,2,0
transformer,shortest_path,id_new,,,3006011,30,60,2.0,6,0,29,1,14.000000000000004,11,0.2142857142857145,2,0,0,1,1,0.019359678961336613,0.022171716205775738,0.0019165603443980217,14,2.537652627714643e-16,4,4,0.0004792371764779091,0.002395797520875931,0,2,0
transformer,shortest_path,id_new,,,3006012,30,60,2.0,7,0,29,1,15.000000000000005,13,0.13333333333333364,2,0,0,1,1,0.025861399248242378,0.028642884455621243,0.0018635019659996033,14,0.066666666666667,4,4,0.0006038667634129524,0.0024673687294125557,0,2,0
transformer,shortest_path,id_new,,,3006013,30,60,2.0,8,0,29,1,11.0,11,0.0,0,1,1,1,1,0.01799242477864027,0.020680523477494717,0.0018500611186027527,11,0.0,4,4,0.0005080681294202805,0.002358129248023033,1,0,1
transformer,shortest_path,id_new,,,3006014,30,60,2.0,9,0,29,1,34.0,31,0.08823529411764706,2,0,0,1,1,0.02591083850711584,0.028703955002129078,0.001904251053929329,34,0.0,4,4,0.0005905376747250557,0.0024947887286543846,0,2,0
transformer,shortest_path,id_new,,,3006015,30,60,2.0,10,0,29,1,18.0,18,0.0,0,1,1,1,1,0.018805322237312794,0.021641678176820278,0.0018704310059547424,18,0.0,4,4,0.000542348250746727,0.0024127792567014694,1,0,1
transformer,shortest_path,id_new,,,3006016,30,60,2.0,11,0,29,1,19.0,12,0.3684210526315789,2,0,0,1,1,0.018025096505880356,0.020836852490901947,0.0019261110574007034,19,0.0,4,4,0.0004913080483675003,0.0024174191057682037,1,0,1
transformer,shortest_path,id_new,,,3006017,30,60,2.0,12,0,29,1,30.0,22,0.26666666666666666,2,0,0,1,1,0.01702922862023115,0.019854157231748104,0.0018761912360787392,30,0.0,4,4,0.0005331877619028091,0.0024093789979815483,0,2,0
transformer,shortest_path,id_new,,,3006018,30,60,2.0,13,0,29,1,48.0,38,0.20833333333333334,2,0,0,1,1,0.014352211728692055,0.017140168696641922,0.0018403315916657448,41,0.14583333333333334,4,4,0.0005679065361618996,0.0024082381278276443,0,2,0
transformer,shortest_path,id_new,,,3006019,30,60,2.0,14,0,29,1,20.0,12,0.4,2,0,0,1,1,0.017260299064218998,0.020001624710857868,0.0018310807645320892,20,0.0,4,4,0.0004936875775456429,0.002324768342077732,1,0,1
transformer,shortest_path,id_new,,,3006020,30,60,2.0,15,0,29,1,27.0,24,0.1111111111111111,2,0,0,1,1,0.018736951984465122,0.021479029208421707,0.0019281506538391113,24,0.1111111111111111,4,4,0.0006275270134210587,0.00255567766726017,0,2,0
transformer,shortest_path,id_new,,,3006021,30,60,2.0,16,0,29,1,38.0,31,0.18421052631578946,2,0,0,1,1,0.017425077967345715,0.020244034938514233,0.001915079541504383,34,0.10526315789473684,4,4,0.0025836480781435966,0.00449872761964798,0,2,0
transformer,shortest_path,id_new,,,3006022,30,60,2.0,17,0,29,1,15.0,15,0.0,0,1,1,1,1,0.01783632580190897,0.020480144768953323,0.0019014105200767517,15,0.0,4,4,0.00046856794506311417,0.002369978465139866,1,0,1
transformer,shortest_path,id_new,,,3006023,30,60,2.0,18,0,29,1,17.0,11,0.35294117647058826,2,0,0,1,1,0.017185669392347336,0.01995028555393219,0.0018567508086562157,17,0.0,4,4,0.0005050767213106155,0.002361827529966831,1,0,1
transformer,shortest_path,id_new,,,3006024,30,60,2.0,19,0,29,1,18.0,18,0.0,0,1,1,1,1,0.01789513509720564,0.020706702023744583,0.0018403008580207825,18,0.0,4,4,0.00047735869884490967,0.002317659556865692,1,0,1
transformer,shortest_path,id_new,,,3009005,30,90,3.0,0,0,29,1,19.0,12,0.3684210526315789,2,0,0,1,1,0.022525103762745857,0.026023468002676964,0.002006550319492817,19,0.0,4,4,0.0006374968215823174,0.0026440471410751343,1,0,1
transformer,shortest_path,id_new,,,3009006,30,90,3.0,1,0,29,1,20.0,20,0.0,0,1,1,1,1,0.03379551135003567,0.037385533563792706,0.0020124511793255806,20,0.0,4,4,0.0007061762735247612,0.002718627452850342,1,0,1
transformer,shortest_path,id_new,,,3009007,30,90,3.0,2,0,29,1,26.0,26,0.0,0,1,1,1,1,0.022674313746392727,0.026262196712195873,0.00195523165166378,26,0.0,4,4,0.0007650656625628471,0.0027202973142266273,1,0,1
transformer,shortest_path,id_new,,,3009008,30,90,3.0,3,0,29,1,17.0,15,0.11764705882352941,2,0,0,1,1,0.0358861219137907,0.039433255791664124,0.0020090900361537933,17,0.0,4,4,0.0007671266794204712,0.0027762167155742645,1,0,1
transformer,shortest_path,id_new,,,3009009,30,90,3.0,4,0,29,1,17.0,16,0.058823529411764705,2,0,0,1,1,0.03030432853847742,0.03387650102376938,0.0019851503893733025,16,0.058823529411764705,4,4,0.0007079066708683968,0.0026930570602416992,0,2,0
transformer,shortest_path,id_new,,,3009010,30,90,3.0,5,0,29,1,16.0,13,0.1875,2,0,0,1,1,0.023004070855677128,0.028440156020224094,0.0020066509023308754,16,0.0,4,4,0.0007267361506819725,0.002733387053012848,1,0,1
transformer,shortest_path,id_new,,,3009011,30,90,3.0,6,0,29,1,21.0,17,0.19047619047619047,2,0,0,1,1,0.02308553084731102,0.026655465364456177,0.0019652117043733597,19,0.09523809523809523,4,4,0.0006839558482170105,0.00264916755259037,0,2,0
transformer,shortest_path,id_new,,,3009012,30,90,3.0,7,0,29,1,18.000000000000004,14,0.22222222222222238,2,0,0,1,1,0.02320192102342844,0.02675226517021656,0.0019720112904906273,14,0.22222222222222238,4,4,0.0006881868466734886,0.002660198137164116,0,2,0
transformer,shortest_path,id_new,,,3009013,30,90,3.0,8,0,29,1,12.0,12,0.0,0,1,1,1,1,0.02393814641982317,0.02757473010569811,0.001961921341717243,12,0.0,4,4,0.0007289368659257889,0.002690858207643032,1,0,1
transformer,shortest_path,id_new,,,3009014,30,90,3.0,9,0,29,1,16.0,16,0.0,0,1,1,1,1,0.023158591240644455,0.028553124517202377,0.002024620771408081,16,0.0,4,4,0.0006363866850733757,0.0026610074564814568,1,0,1
transformer,shortest_path,id_new,,,3009015,30,90,3.0,10,0,29,1,13.0,13,0.0,0,1,1,1,1,0.023311479948461056,0.02689922321587801,0.0019802413880825043,13,0.0,4,4,0.0006784573197364807,0.002658698707818985,1,0,1
transformer,shortest_path,id_new,,,3009016,30,90,3.0,11,0,29,1,15.0,15,0.0,0,1,1,1,1,0.021468348801136017,0.024983682669699192,0.0018584821373224258,15,0.0,4,4,0.0006845975294709206,0.0025430796667933464,1,0,1
transformer,shortest_path,id_new,,,3009017,30,90,3.0,12,0,29,1,2.0,2,0.0,0,1,1,1,1,0.020007995888590813,0.023571410216391087,0.0018550707027316093,2,0.0,4,4,0.0005832575261592865,0.002438328228890896,1,0,1
transformer,shortest_path,id_new,,,3009018,30,90,3.0,13,0,29,1,21.0,16,0.23809523809523808,2,0,0,1,1,0.022002356126904488,0.02725526224821806,0.0018973909318447113,21,0.0,4,4,0.0006813276559114456,0.002578718587756157,1,0,1
transformer,shortest_path,id_new,,,3009019,30,90,3.0,14,0,29,1,24.0,24,0.0,2,0,0,1,1,0.022949691861867905,0.02642829529941082,0.0019543813541531563,24,0.0,4,4,0.0007544662803411484,0.0027088476344943047,0,2,0
transformer,shortest_path,id_new,,,3009020,30,90,3.0,15,0,29,1,18.0,16,0.1111111111111111,2,0,0,1,1,0.02491804212331772,0.028430266305804253,0.0019621998071670532,16,0.1111111111111111,4,4,0.0007015364244580269,0.00266373623162508,0,2,0
transformer,shortest_path,id_new,,,3009021,30,90,3.0,16,0,29,1,18.000000000000025,16,0.11111111111111234,2,0,0,1,1,0.04808156378567219,0.05166168697178364,0.0020433207973837852,18,1.3816108750890817e-15,4,4,0.0007394161075353622,0.0027827369049191475,0,2,0
transformer,shortest_path,id_new,,,3009022,30,90,3.0,17,0,29,1,31.0,24,0.22580645161290322,2,0,0,1,1,0.024353905580937862,0.027958828955888748,0.001981510780751705,31,0.0,4,4,0.0007096566259860992,0.0026911674067378044,1,0,1
transformer,shortest_path,id_new,,,3009023,30,90,3.0,18,0,29,1,12.0,11,0.08333333333333333,2,0,0,1,1,0.02324289083480835,0.02681074384599924,0.001949060708284378,12,0.0,4,4,0.0006188368424773216,0.0025678975507616997,1,0,1
transformer,shortest_path,id_new,,,3009024,30,90,3.0,19,0,29,1,18.0,15,0.16666666666666666,2,0,0,1,1,0.024426384828984737,0.027985437773168087,0.0019821105524897575,18,0.0,4,4,0.0006836066022515297,0.0026657171547412872,1,0,1
transformer,shortest_path,id_new,,,3012005,30,120,4.0,0,0,29,1,22.0,22,0.0,0,1,1,1,1,0.025909528136253357,0.032059608958661556,0.0020574303343892097,22,0.0,4,4,0.0009238449856638908,0.0029812753200531006,1,0,1
transformer,shortest_path,id_new,,,3012006,30,120,4.0,1,0,29,1,19.000000000000007,19,3.739698609263684e-16,0,1,1,1,1,0.028484316542744637,0.032726566307246685,0.001979251392185688,19,3.739698609263684e-16,4,4,0.0008422760292887688,0.002821527421474457,1,0,1
transformer,shortest_path,id_new,,,3012007,30,120,4.0,2,0,29,1,11.0,6,0.45454545454545453,2,0,0,1,1,0.030298677273094654,0.034723786637187004,0.002123819664120674,11,0.0,4,4,0.0008881250396370888,0.003011944703757763,1,0,1
transformer,shortest_path,id_new,,,3012008,30,120,4.0,3,0,29,1,14.0,14,0.0,0,1,1,1,1,0.02904217317700386,0.03509404510259628,0.002163759432733059,14,0.0,4,4,0.0009895265102386475,0.0031532859429717064,1,0,1
