model_type,problem_type,eval_mode,wood_problem,network_name,graph_seed,n_nodes,n_edges,density,replication,source,sink,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time,candidate_objective,candidate_objective_gap,candidate_pool_size,num_candidates,candidate_search_time,hybrid_total_time,candidate_exact_match,candidate_hamming_distance,candidate_correct_edges
transformer,shortest_path,id_new,,,3006005,30,60,2.0,0,0,29,1,11.0,10,0.09090909090909091,2,0,0,1,1,0.15968661848455667,0.1646701954305172,0.18248051777482033,10,0.09090909090909091,5,5,0.01315082237124443,0.19563134014606476,0,2,0
transformer,shortest_path,id_new,,,3006006,30,60,2.0,1,0,29,1,32.0,22,0.3125,2,0,0,1,1,0.019017964601516724,0.02236879989504814,0.002382720820605755,32,0.0,5,5,0.0019872207194566727,0.0043699415400624275,1,0,1
transformer,shortest_path,id_new,,,3006007,30,60,2.0,2,0,29,1,35.0,35,0.0,0,1,1,1,1,0.014661804772913456,0.017421141266822815,0.002065240405499935,35,0.0,5,5,0.000758967362344265,0.0028242077678442,1,0,1
transformer,shortest_path,id_new,,,3006008,30,60,2.0,3,0,29,1,36.0,30,0.16666666666666666,2,0,0,1,1,0.016342736780643463,0.019454692490398884,0.0019767209887504578,36,0.0,5,5,0.0007847659289836884,0.002761486917734146,1,0,1
transformer,shortest_path,id_new,,,3006009,30,60,2.0,4,0,29,1,56.0,47,0.16071428571428573,2,0,0,1,1,0.016546256840229034,0.019665882922708988,0.00198329146951437,50,0.10714285714285714,5,5,0.0007769372314214706,0.0027602287009358406,0,2,0
transformer,shortest_path,id_new,,,3006010,30,60,2.0,5,0,29,1,49.0,43,0.12244897959183673,2,0,0,1,1,0.014819524250924587,0.01793230138719082,0.001985570415854454,43,0.12244897959183673,5,5,0.0007833261042833328,0.002768896520137787,0,2,0
transformer,shortest_path,id_new,,,3006011,30,60,2.0,6,0,29,1,14.000000000000004,11,0.2142857142857145,2,0,0,1,1,0.019918310455977917,0.023018416948616505,0.002011870965361595,14,2.537652627714643e-16,5,5,0.0006410367786884308,0.002652907744050026,0,2,0
transformer,shortest_path,id_new,,,3006012,30,60,2.0,7,0,29,1,15.000000000000005,13,0.13333333333333364,2,0,0,1,1,0.028156775049865246,0.031262860633432865,0.002009551040828228,14,0.066666666666667,5,5,0.000809977762401104,0.002819528803229332,0,2,0
transformer,shortest_path,id_new,,,3006013,30,60,2.0,8,0,29,1,11.0,11,0.0,0,1,1,1,1,0.018033109605312347,0.020956995896995068,0.00197508092969656,11,0.0,5,5,0.0006755469366908073,0.0026506278663873672,1,0,1
transformer,shortest_path,id_new,,,3006014,30,60,2.0,9,0,29,1,34.0,31,0.08823529411764706,2,0,0,1,1,0.02810725476592779,0.03123946115374565,0.002019241452217102,34,0.0,5,5,0.0007737968116998672,0.0027930382639169693,0,2,0
transformer,shortest_path,id_new,,,3006015,30,60,2.0,10,0,29,1,18.0,18,0.0,0,1,1,1,1,0.01944604329764843,0.022473759949207306,0.001980351284146309,18,0.0,5,5,0.0007151765748858452,0.002695527859032154,1,0,1
transformer,shortest_path,id_new,,,3006016,30,60,2.0,11,0,29,1,19.0,12,0.3684210526315789,2,0,0,1,1,0.018059128895401955,0.021205195225775242,0.002027781680226326,19,0.0,5,5,0.0006534475833177567,0.0026812292635440826,1,0,1
transformer,shortest_path,id_new,,,3006017,30,60,2.0,12,0,29,1,30.0,22,0.26666666666666666,2,0,0,1,1,0.016994094476103783,0.020148400217294693,0.0019654808565974236,30,0.0,5,5,0.0007056267932057381,0.0026711076498031616,0,2,0
transformer,shortest_path,id_new,,,3006018,30,60,2.0,13,0,29,1,48.0,38,0.20833333333333334,2,0,0,1,1,0.01444469578564167,0.017554632388055325,0.0019817110151052475,41,0.14583333333333334,5,5,0.0007675569504499435,0.002749267965555191,0,2,0
transformer,shortest_path,id_new,,,3006019,30,60,2.0,14,0,29,1,20.0,12,0.4,2,0,0,1,1,0.01730202231556177,0.020368268713355064,0.0019809016957879066,20,0.0,5,5,0.0006819572299718857,0.0026628589257597923,1,0,1
transformer,shortest_path,id_new,,,3006020,30,60,2.0,15,0,29,1,27.0,24,0.1111111111111111,2,0,0,1,1,0.01945466361939907,0.02255295030772686,0.001988750882446766,24,0.1111111111111111,5,5,0.0008280770853161812,0.002816827967762947,0,2,0
transformer,shortest_path,id_new,,,3006021,30,60,2.0,16,0,29,1,38.0,31,0.18421052631578946,2,0,0,1,1,0.01744173187762499,0.020552637986838818,0.0019830111414194107,34,0.10526315789473684,5,5,0.003046696074306965,0.005029707215726376,0,2,0
transformer,shortest_path,id_new,,,3006022,30,60,2.0,17,0,29,1,15.0,15,0.0,0,1,1,1,1,0.01792693044990301,0.020555198192596436,0.0020134607329964638,15,0.0,5,5,0.0006336076185107231,0.002647068351507187,1,0,1
transformer,shortest_path,id_new,,,3006023,30,60,2.0,18,0,29,1,17.0,11,0.35294117647058826,2,0,0,1,1,0.018013319931924343,0.021118836477398872,0.001986260525882244,17,0.0,5,5,0.0007005566731095314,0.0026868171989917755,1,0,1
transformer,shortest_path,id_new,,,3006024,30,60,2.0,19,0,29,1,18.0,18,0.0,0,1,1,1,1,0.01765792164951563,0.020773766562342644,0.001973510719835758,18,0.0,5,5,0.0006412379443645477,0.002614748664200306,1,0,1
transformer,shortest_path,id_new,,,3009005,30,90,3.0,0,0,29,1,19.0,12,0.3684210526315789,2,0,0,1,1,0.023415865376591682,0.027296027168631554,0.0020479215309023857,19,0.0,5,5,0.0009077154099941254,0.002955636940896511,1,0,1
transformer,shortest_path,id_new,,,3009006,30,90,3.0,1,0,29,1,20.0,20,0.0,0,1,1,1,1,0.03603335935622454,0.03990121278911829,0.002032950520515442,20,0.0,5,5,0.0009614760056138039,0.0029944265261292458,1,0,1
transformer,shortest_path,id_new,,,3009007,30,90,3.0,2,0,29,1,26.0,26,0.0,0,1,1,1,1,0.024092422798275948,0.02785048633813858,0.0020142309367656708,26,0.0,5,5,0.0010190745815634727,0.0030333055183291435,1,0,1
transformer,shortest_path,id_new,,,3009008,30,90,3.0,3,0,29,1,17.0,15,0.11764705882352941,2,0,0,1,1,0.0399227412417531,0.04366795625537634,0.002026241272687912,17,0.0,5,5,0.0010194247588515282,0.00304566603153944,1,0,1
transformer,shortest_path,id_new,,,3009009,30,90,3.0,4,0,29,1,17.0,16,0.058823529411764705,2,0,0,1,1,0.033317841589450836,0.036823445931077003,0.002032649703323841,17,0.0,5,5,0.0009538857266306877,0.002986535429954529,0,2,0
transformer,shortest_path,id_new,,,3009010,30,90,3.0,5,0,29,1,16.0,13,0.1875,2,0,0,1,1,0.024000752717256546,0.02948123961687088,0.002045581117272377,16,0.0,5,5,0.00097721628844738,0.003022797405719757,1,0,1
transformer,shortest_path,id_new,,,3009011,30,90,3.0,6,0,29,1,21.0,17,0.19047619047619047,2,0,0,1,1,0.023487145081162453,0.02707675937563181,0.0020044613629579544,19,0.09523809523809523,5,5,0.0009008059278130531,0.0029052672907710075,0,2,0
transformer,shortest_path,id_new,,,3009012,30,90,3.0,7,0,29,1,18.000000000000004,14,0.22222222222222238,2,0,0,1,1,0.023560555651783943,0.02735734824091196,0.0020144106820225716,14,0.22222222222222238,5,5,0.0009173257276415825,0.002931736409664154,0,2,0
transformer,shortest_path,id_new,,,3009013,30,90,3.0,8,0,29,1,12.0,12,0.0,0,1,1,1,1,0.025906773284077644,0.029704307205975056,0.002023930661380291,12,0.0,5,5,0.0009849956259131432,0.003008926287293434,1,0,1
transformer,shortest_path,id_new,,,3009014,30,90,3.0,9,0,29,1,16.0,16,0.0,0,1,1,1,1,0.024698670022189617,0.030112985521554947,0.002048620954155922,16,0.0,5,5,0.000861666165292263,0.002910287119448185,1,0,1
