model_type,problem_type,eval_mode,wood_problem,wood_rows,wood_cols,network_name,graph_seed,n_nodes,n_edges,density,replication,source,sink,source_original,sink_original,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time,candidate_objective,candidate_objective_gap,candidate_pool_size,num_candidates,candidate_search_time,hybrid_total_time,candidate_exact_match,candidate_hamming_distance,candidate_correct_edges
transformer,shortest_path,id_new,,,,,3006005,30,60,2.0,0,0,29,,,1,11.0,10,0.09090909090909091,2,0,0,1,1,0.15586811676621437,0.1609038095921278,0.1953873559832573,11,0.0,5,5,0.013338799588382244,0.20872615557163954,1,0,1
transformer,shortest_path,id_new,,,,,3006006,30,60,2.0,1,0,29,,,1,32.0,23,0.28125,2,0,0,1,1,0.01945186499506235,0.022816836833953857,0.002175481989979744,32,0.0,5,5,0.0017163706943392754,0.0038918526843190193,1,0,1
transformer,shortest_path,id_new,,,,,3006007,30,60,2.0,2,0,29,,,1,35.0,35,0.0,0,1,1,1,1,0.015163222327828407,0.01794190425425768,0.001970461569726467,35,0.0,5,5,0.0007182396948337555,0.0026887012645602226,1,0,1
transformer,shortest_path,id_new,,,,,3006008,30,60,2.0,3,0,29,,,1,36.0,30,0.16666666666666666,2,0,0,1,1,0.015682751312851906,0.018555444665253162,0.0019097710028290749,36,0.0,5,5,0.0006842408329248428,0.0025940118357539177,1,0,1
transformer,shortest_path,id_new,,,,,3006009,30,60,2.0,4,0,29,,,1,56.0,47,0.16071428571428573,2,0,0,1,1,0.017325183376669884,0.0201902249827981,0.0018214518204331398,56,0.0,5,5,0.0007423693314194679,0.0025638211518526077,1,0,1
transformer,shortest_path,id_new,,,,,3006010,30,60,2.0,5,0,29,,,1,49.0,43,0.12244897959183673,2,0,0,1,1,0.015176571905612946,0.01800337340682745,0.0018184809014201164,49,0.0,5,5,0.0006782598793506622,0.0024967407807707787,1,0,1
transformer,shortest_path,id_new,,,,,3006011,30,60,2.0,6,0,29,,,1,14.000000000000004,14,2.537652627714643e-16,0,1,1,1,1,0.019334294833242893,0.022146007046103477,0.0018824618309736252,14,2.537652627714643e-16,5,5,0.00054928008466959,0.002431741915643215,1,0,1
transformer,shortest_path,id_new,,,,,3006012,30,60,2.0,7,0,29,,,1,15.000000000000005,13,0.13333333333333364,2,0,0,1,1,0.026967301033437252,0.029712192714214325,0.001840171404182911,15,3.5527136788004996e-16,5,5,0.0007295701652765274,0.0025697415694594383,1,0,1
transformer,shortest_path,id_new,,,,,3006013,30,60,2.0,8,0,29,,,1,11.0,11,0.0,0,1,1,1,1,0.01834107469767332,0.020975575782358646,0.0018146513029932976,11,0.0,5,5,0.000582519918680191,0.0023971712216734886,1,0,1
transformer,shortest_path,id_new,,,,,3006014,30,60,2.0,9,0,29,,,1,34.0,31,0.08823529411764706,2,0,0,1,1,0.025881150737404823,0.02873726189136505,0.001851741224527359,34,0.0,5,5,0.0006859917193651199,0.002537732943892479,0,2,0
transformer,shortest_path,id_new,,,,,3006015,30,60,2.0,10,0,29,,,1,18.0,12,0.3333333333333333,2,0,0,1,1,0.01877595391124487,0.021553886123001575,0.0018552616238594055,18,0.0,5,5,0.0006253104656934738,0.0024805720895528793,1,0,1
transformer,shortest_path,id_new,,,,,3006016,30,60,2.0,11,0,29,,,1,19.0,12,0.3684210526315789,2,0,0,1,1,0.01823695283383131,0.02102572564035654,0.0019241413101553917,19,0.0,5,5,0.0005714409053325653,0.002495582215487957,1,0,1
transformer,shortest_path,id_new,,,,,3006017,30,60,2.0,12,0,29,,,1,30.0,30,0.0,2,0,0,1,1,0.017329882830381393,0.02013692446053028,0.0018760720267891884,30,0.0,5,5,0.0006171697750687599,0.0024932418018579483,0,2,0
transformer,shortest_path,id_new,,,,,3006018,30,60,2.0,13,0,29,,,1,48.0,41,0.14583333333333334,2,0,0,1,1,0.01453878078609705,0.01732232328504324,0.001814921386539936,48,0.0,5,5,0.0006855707615613937,0.00250049214810133,1,0,1
transformer,shortest_path,id_new,,,,,3006019,30,60,2.0,14,0,29,,,1,20.0,20,0.0,0,1,1,1,1,0.017764032818377018,0.020557565614581108,0.0018746322020888329,20,0.0,5,5,0.0006316397339105606,0.0025062719359993935,1,0,1
transformer,shortest_path,id_new,,,,,3006020,30,60,2.0,15,0,29,,,1,27.0,23,0.14814814814814814,2,0,0,1,1,0.01920089405030012,0.021995706483721733,0.0019165324047207832,24,0.1111111111111111,5,5,0.0007783006876707077,0.002694833092391491,0,2,0
transformer,shortest_path,id_new,,,,,3006021,30,60,2.0,16,0,29,,,1,38.0,31,0.18421052631578946,2,0,0,1,1,0.0176209332421422,0.020440544933080673,0.0018068216741085052,34,0.10526315789473684,5,5,0.0027910619974136353,0.0045978836715221405,0,2,0
transformer,shortest_path,id_new,,,,,3006022,30,60,2.0,17,0,29,,,1,15.0,15,0.0,0,1,1,1,1,0.018878893926739693,0.02147139608860016,0.0019016824662685394,15,0.0,5,5,0.000543130561709404,0.0024448130279779434,1,0,1
transformer,shortest_path,id_new,,,,,3006023,30,60,2.0,18,0,29,,,1,17.0,11,0.35294117647058826,2,0,0,1,1,0.01770099438726902,0.020390515215694904,0.0018631620332598686,17,0.0,5,5,0.0005974499508738518,0.0024606119841337204,0,2,0
transformer,shortest_path,id_new,,,,,3006024,30,60,2.0,19,0,29,,,1,18.0,18,0.0,0,1,1,1,1,0.01807616464793682,0.0207975460216403,0.0018362710252404213,18,0.0,5,5,0.000542239286005497,0.0023785103112459183,1,0,1
