model_type,problem_type,eval_mode,graph_seed,n_nodes,n_edges,density,replication,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time
transformer,shortest_path,ood_size,10020005,100,200,2.0,0,1,57.0,47,0.17543859649122806,2,0,0,1,1,0.17944676894694567,0.185792475938797,0.026344113051891327
transformer,shortest_path,ood_size,10020006,100,200,2.0,1,1,18.0,14,0.2222222222222222,2,0,0,1,1,0.0332799069583416,0.038521888200193644,0.002513410057872534
transformer,shortest_path,ood_size,10020007,100,200,2.0,2,1,35.0,34,0.02857142857142857,2,0,0,1,1,0.03804288990795612,0.043095160741358995,0.0022389907389879227
transformer,shortest_path,ood_size,10020008,100,200,2.0,3,1,38.0,36,0.05263157894736842,2,0,0,1,1,0.03577003860846162,0.04106662794947624,0.0020178225822746754
transformer,shortest_path,ood_size,10020009,100,200,2.0,4,1,28.0,28,0.0,0,1,1,1,1,0.03667762503027916,0.04202201496809721,0.0020769815891981125
transformer,shortest_path,ood_size,10020010,100,200,2.0,5,1,34.0,25,0.2647058823529412,2,0,0,1,1,0.046706657856702805,0.051724810153245926,0.0025058011524379253
transformer,shortest_path,ood_size,10020011,100,200,2.0,6,1,33.0,32,0.030303030303030304,2,0,0,1,1,0.032304791267961264,0.0375344417989254,0.0021790419705212116
transformer,shortest_path,ood_size,10020012,100,200,2.0,7,1,19.0,18,0.05263157894736842,2,0,0,1,1,0.03640968585386872,0.04162641568109393,0.002149001695215702
transformer,shortest_path,ood_size,10020013,100,200,2.0,8,1,47.0,47,0.0,2,0,0,1,1,0.03841777890920639,0.043950718361884356,0.0024322010576725006
transformer,shortest_path,ood_size,10020014,100,200,2.0,9,1,29.0,21,0.27586206896551724,2,0,0,1,1,0.03537601977586746,0.040534941013902426,0.002086332067847252
transformer,shortest_path,ood_size,10020015,100,200,2.0,10,1,21.0,21,0.0,0,1,1,1,1,0.035626108292490244,0.04106060927733779,0.0020014233887195587
transformer,shortest_path,ood_size,10020016,100,200,2.0,11,1,41.0,41,0.0,0,1,1,1,1,0.03311000810936093,0.03846498904749751,0.0021833120845258236
transformer,shortest_path,ood_size,10020017,100,200,2.0,12,1,40.0,30,0.25,2,0,0,1,1,0.03606261685490608,0.04136764770373702,0.0020186123438179493
transformer,shortest_path,ood_size,10020018,100,200,2.0,13,1,40.0,40,0.0,0,1,1,1,1,0.037139883264899254,0.042434623930603266,0.0023683509789407253
transformer,shortest_path,ood_size,10020019,100,200,2.0,14,1,31.0,25,0.1935483870967742,2,0,0,1,1,0.03593049803748727,0.041153199039399624,0.0025470899417996407
transformer,shortest_path,ood_size,10020020,100,200,2.0,15,1,52.0,52,0.0,2,0,0,1,1,0.03668194497004151,0.04200667515397072,0.0024959207512438297
transformer,shortest_path,ood_size,10020021,100,200,2.0,16,1,20.0,19,0.05,2,0,0,1,1,0.046898876782506704,0.05212891800329089,0.002480710856616497
transformer,shortest_path,ood_size,10020022,100,200,2.0,17,1,5.0,5,0.0,0,1,1,1,1,0.034712172113358974,0.03996096318587661,0.0024715606123209
transformer,shortest_path,ood_size,10020023,100,200,2.0,18,1,17.0,14,0.17647058823529413,2,0,0,1,1,0.033798905089497566,0.03901972575113177,0.002182431984692812
transformer,shortest_path,ood_size,10020024,100,200,2.0,19,1,40.0,30,0.25,2,0,0,1,1,0.035750767681747675,0.041009399108588696,0.0022635022178292274
transformer,shortest_path,ood_size,10025005,100,250,2.5,0,1,13.0,13,0.0,0,1,1,1,1,0.0388149069622159,0.04489204427227378,0.003337856847792864
