model_type,problem_type,eval_mode,wood_problem,network_name,graph_seed,n_nodes,n_edges,density,replication,source,sink,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time
transformer,shortest_path,ood_size,,,10020005,100,200,2.0,0,0,99,1,57.0,47,0.17543859649122806,2,0,0,1,1,0.1644954364746809,0.17370050586760044,0.19306853879243135
transformer,shortest_path,ood_size,,,10020006,100,200,2.0,1,0,99,1,18.0,14,0.2222222222222222,2,0,0,1,1,0.04268539883196354,0.04968343861401081,0.0023534800857305527
transformer,shortest_path,ood_size,,,10020007,100,200,2.0,2,0,99,1,35.0,34,0.02857142857142857,2,0,0,1,1,0.045331268571317196,0.052367836236953735,0.00210725050419569
transformer,shortest_path,ood_size,,,10020008,100,200,2.0,3,0,99,1,38.0,35,0.07894736842105263,2,0,0,1,1,0.04173772409558296,0.048573343083262444,0.0021547507494688034
transformer,shortest_path,ood_size,,,10020009,100,200,2.0,4,0,99,1,28.0,28,0.0,0,1,1,1,1,0.043000439181923866,0.04997246712446213,0.002067970111966133
transformer,shortest_path,ood_size,,,10020010,100,200,2.0,5,0,99,1,34.0,31,0.08823529411764706,2,0,0,1,1,0.055876340717077255,0.06284308061003685,0.0020739715546369553
transformer,shortest_path,ood_size,,,10020011,100,200,2.0,6,0,99,1,33.0,32,0.030303030303030304,2,0,0,1,1,0.041214946657419205,0.04919547028839588,0.0020553506910800934
transformer,shortest_path,ood_size,,,10020012,100,200,2.0,7,0,99,1,19.0,18,0.05263157894736842,2,0,0,1,1,0.04153977520763874,0.048527373932302,0.0020491210743784904
transformer,shortest_path,ood_size,,,10020013,100,200,2.0,8,0,99,1,47.0,47,0.0,2,0,0,1,1,0.044161722995340824,0.05229965690523386,0.0021148910745978355
transformer,shortest_path,ood_size,,,10020014,100,200,2.0,9,0,99,1,29.0,21,0.27586206896551724,2,0,0,1,1,0.04215139243751764,0.04909868072718382,0.0020658103749156
transformer,shortest_path,ood_size,,,10020015,100,200,2.0,10,0,99,1,21.0,21,0.0,0,1,1,1,1,0.04294278845191002,0.05001825653016567,0.0021412894129753113
transformer,shortest_path,ood_size,,,10020016,100,200,2.0,11,0,99,1,41.0,41,0.0,0,1,1,1,1,0.04052239004522562,0.04845598433166742,0.0020573511719703674
transformer,shortest_path,ood_size,,,10020017,100,200,2.0,12,0,99,1,40.0,30,0.25,2,0,0,1,1,0.043569415807724,0.050592225044965744,0.0020358897745609283
transformer,shortest_path,ood_size,,,10020018,100,200,2.0,13,0,99,1,40.0,40,0.0,0,1,1,1,1,0.0421012919396162,0.05030165612697601,0.002062920480966568
transformer,shortest_path,ood_size,,,10020019,100,200,2.0,14,0,99,1,31.0,25,0.1935483870967742,2,0,0,1,1,0.04410931281745434,0.051126631908118725,0.002120930701494217
transformer,shortest_path,ood_size,,,10020020,100,200,2.0,15,0,99,1,52.0,52,0.0,2,0,0,1,1,0.04728818964213133,0.05439162813127041,0.0025869980454444885
transformer,shortest_path,ood_size,,,10020021,100,200,2.0,16,0,99,1,20.0,17,0.15,2,0,0,1,1,0.053941160440444946,0.06203183438628912,0.002155500464141369
transformer,shortest_path,ood_size,,,10020022,100,200,2.0,17,0,99,1,5.0,5,0.0,0,1,1,1,1,0.04339578654617071,0.050453594885766506,0.002105371095240116
transformer,shortest_path,ood_size,,,10020023,100,200,2.0,18,0,99,1,17.0,14,0.17647058823529413,2,0,0,1,1,0.040523028932511806,0.04875321313738823,0.0020507806912064552
transformer,shortest_path,ood_size,,,10020024,100,200,2.0,19,0,99,1,40.0,30,0.25,2,0,0,1,1,0.04322889819741249,0.05021733604371548,0.002096431329846382
transformer,shortest_path,ood_size,,,10025005,100,250,2.5,0,0,99,1,13.0,13,0.0,0,1,1,1,1,0.048226043581962585,0.05652622785419226,0.002171340398490429
transformer,shortest_path,ood_size,,,10025006,100,250,2.5,1,0,99,1,33.0,31,0.06060606060606061,2,0,0,1,1,0.05288979411125183,0.0619296133518219,0.002157360315322876
transformer,shortest_path,ood_size,,,10025007,100,250,2.5,2,0,99,1,22.0,20,0.09090909090909091,2,0,0,1,1,0.055504633113741875,0.06371536571532488,0.00215362012386322
transformer,shortest_path,ood_size,,,10025008,100,250,2.5,3,0,99,1,20.0,20,0.0,2,0,0,1,1,0.054007068276405334,0.062183452770113945,0.0021911198273301125
transformer,shortest_path,ood_size,,,10025009,100,250,2.5,4,0,99,1,34.0,27,0.20588235294117646,2,0,0,1,1,0.04950251895934343,0.05861235875636339,0.0021603014320135117
transformer,shortest_path,ood_size,,,10025010,100,250,2.5,5,0,99,1,26.0,22,0.15384615384615385,2,0,0,1,1,0.07103395368903875,0.0793128963559866,0.002204720862209797
transformer,shortest_path,ood_size,,,10025011,100,250,2.5,6,0,99,1,15.000000000000002,15,1.1842378929335e-16,0,1,1,1,1,0.05858809966593981,0.06686062179505825,0.0021520107984542847
transformer,shortest_path,ood_size,,,10025012,100,250,2.5,7,0,99,1,11.0,8,0.2727272727272727,2,0,0,1,1,0.055762010626494884,0.06482251081615686,0.0021726395934820175
transformer,shortest_path,ood_size,,,10025013,100,250,2.5,8,0,99,1,22.0,20,0.09090909090909091,2,0,0,1,1,0.059199756011366844,0.06746909860521555,0.002147410064935684
transformer,shortest_path,ood_size,,,10025014,100,250,2.5,9,0,99,1,29.0,26,0.10344827586206896,2,0,0,1,1,0.06336496770381927,0.07154234126210213,0.0021455809473991394
transformer,shortest_path,ood_size,,,10025015,100,250,2.5,10,0,99,1,24.0,22,0.08333333333333333,2,0,0,1,1,0.059145486913621426,0.06830002460628748,0.00215246994048357
transformer,shortest_path,ood_size,,,10025016,100,250,2.5,11,0,99,1,14.0,9,0.35714285714285715,2,0,0,1,1,0.0504238149151206,0.05867327842861414,0.002110689878463745
transformer,shortest_path,ood_size,,,10025017,100,250,2.5,12,0,99,1,38.0,28,0.2631578947368421,2,0,0,1,1,0.06889870297163725,0.07727694511413574,0.0022498201578855515
transformer,shortest_path,ood_size,,,10025018,100,250,2.5,13,0,99,1,30.0,30,0.0,0,1,1,1,1,0.07082701474428177,0.08006828278303146,0.0022078603506088257
transformer,shortest_path,ood_size,,,10025019,100,250,2.5,14,0,99,1,45.0,41,0.08888888888888889,2,0,0,1,1,0.057945131324231625,0.06624102406203747,0.0021743113175034523
transformer,shortest_path,ood_size,,,10025020,100,250,2.5,15,0,99,1,24.0,24,0.0,2,0,0,1,1,0.05773615371435881,0.06595265585929155,0.0021222401410341263
transformer,shortest_path,ood_size,,,10025021,100,250,2.5,16,0,99,1,20.0,17,0.15,2,0,0,1,1,0.05577863194048405,0.0650084801018238,0.0021617701277136803
transformer,shortest_path,ood_size,,,10025022,100,250,2.5,17,0,99,1,43.0,34,0.20930232558139536,2,0,0,1,1,0.05990934278815985,0.06821693666279316,0.0021567009389400482
transformer,shortest_path,ood_size,,,10025023,100,250,2.5,18,0,99,1,36.0,27,0.25,2,0,0,1,1,0.05045321490615606,0.058805047534406185,0.00211161095649004
transformer,shortest_path,ood_size,,,10025024,100,250,2.5,19,0,99,1,31.0,31,0.0,0,1,1,1,1,0.0533315222710371,0.062476170249283314,0.0021542105823755264
transformer,shortest_path,ood_size,,,10030005,100,300,3.0,0,0,99,1,22.0,17,0.22727272727272727,2,0,0,1,1,0.0651469798758626,0.07587823271751404,0.0022502802312374115
transformer,shortest_path,ood_size,,,10030006,100,300,3.0,1,0,99,1,24.0,18,0.25,2,0,0,1,1,0.06345170736312866,0.07291049510240555,0.002193089574575424
transformer,shortest_path,ood_size,,,10030007,100,300,3.0,2,0,99,1,31.0,25,0.1935483870967742,2,0,0,1,1,0.09679328836500645,0.10636128578335047,0.0022198501974344254
transformer,shortest_path,ood_size,,,10030008,100,300,3.0,3,0,99,1,19.0,15,0.21052631578947367,2,0,0,1,1,0.298233631066978,0.3078329972922802,0.0023932885378599167
transformer,shortest_path,ood_size,,,10030009,100,300,3.0,4,0,99,1,50.0,49,0.02,2,0,0,1,1,0.062442260794341564,0.07194728869944811,0.0021560797467827797
transformer,shortest_path,ood_size,,,10030010,100,300,3.0,5,0,99,1,23.0,17,0.2608695652173913,2,0,0,1,1,0.06912514194846153,0.07868486922234297,0.002173980697989464
transformer,shortest_path,ood_size,,,10030011,100,300,3.0,6,0,99,1,18.0,18,0.0,0,1,1,1,1,0.06641529407352209,0.07595908083021641,0.002178431488573551
transformer,shortest_path,ood_size,,,10030012,100,300,3.0,7,0,99,1,26.0,26,0.0,0,1,1,1,1,0.06864142417907715,0.07814376149326563,0.0021840911358594894
transformer,shortest_path,ood_size,,,10030013,100,300,3.0,8,0,99,1,17.0,11,0.35294117647058826,2,0,0,1,1,0.06403100397437811,0.07669018860906363,0.002359159290790558
transformer,shortest_path,ood_size,,,10030014,100,300,3.0,9,0,99,1,40.00000000000001,40,1.77635683940025e-16,2,0,0,1,1,0.10220572538673878,0.11186366248875856,0.00228193961083889
transformer,shortest_path,ood_size,,,10030015,100,300,3.0,10,0,99,1,21.0,21,0.0,2,0,0,1,1,0.06846036482602358,0.07792199309915304,0.002198949456214905
transformer,shortest_path,ood_size,,,10030016,100,300,3.0,11,0,99,1,31.0,31,0.0,0,1,1,1,1,0.07667848747223616,0.08622094430029392,0.0022256309166550636
transformer,shortest_path,ood_size,,,10030017,100,300,3.0,12,0,99,1,25.0,20,0.2,2,0,0,1,1,0.08917020261287689,0.09864949062466621,0.0022210199385881424
transformer,shortest_path,ood_size,,,10030018,100,300,3.0,13,0,99,1,51.0,43,0.1568627450980392,2,0,0,1,1,0.0658535361289978,0.07554289326071739,0.002177390269935131
transformer,shortest_path,ood_size,,,10030019,100,300,3.0,14,0,99,1,18.0,18,0.0,0,1,1,1,1,0.05985679291188717,0.06951589044183493,0.0021764403209090233
transformer,shortest_path,ood_size,,,10030020,100,300,3.0,15,0,99,1,16.0,8,0.5,2,0,0,1,1,0.07126118242740631,0.08065572939813137,0.002259720116853714
transformer,shortest_path,ood_size,,,10030021,100,300,3.0,16,0,99,1,27.0,25,0.07407407407407407,2,0,0,1,1,0.07058082614094019,0.08002045378088951,0.002379189245402813
transformer,shortest_path,ood_size,,,10030022,100,300,3.0,17,0,99,1,24.0,19,0.20833333333333334,2,0,0,1,1,0.09343006368726492,0.10308329109102488,0.0022237608209252357
transformer,shortest_path,ood_size,,,10030023,100,300,3.0,18,0,99,1,20.0,12,0.4,2,0,0,1,1,0.06277709919959307,0.07241939660161734,0.0021568695083260536
transformer,shortest_path,ood_size,,,10030024,100,300,3.0,19,0,99,1,19.0,12,0.3684210526315789,2,0,0,1,1,0.07349790167063475,0.08327957894653082,0.002182701602578163
transformer,shortest_path,ood_size,,,10040005,100,400,4.0,0,0,99,1,22.0,16,0.2727272727272727,2,0,0,1,1,0.1031665988266468,0.11565139424055815,0.002914086915552616
transformer,shortest_path,ood_size,,,10040006,100,400,4.0,1,0,99,1,15.0,15,0.0,2,0,0,1,1,0.08947168104350567,0.10195476561784744,0.0022396305575966835
transformer,shortest_path,ood_size,,,10040007,100,400,4.0,2,0,99,1,19.000000000000004,16,0.15789473684210542,2,0,0,1,1,0.13949203863739967,0.1521057216450572,0.0023114997893571854
transformer,shortest_path,ood_size,,,10040008,100,400,4.0,3,0,99,1,18.0,18,0.0,0,1,1,1,1,0.09252274688333273,0.10454144421964884,0.0022825999185442924
transformer,shortest_path,ood_size,,,10040009,100,400,4.0,4,0,99,1,17.0,12,0.29411764705882354,2,0,0,1,1,0.09929294791072607,0.11170266196131706,0.0022535305470228195
transformer,shortest_path,ood_size,,,10040010,100,400,4.0,5,0,99,1,29.000000000000007,29,2.45014736469e-16,0,1,1,1,1,0.13144796341657639,0.14393404964357615,0.0022770194336771965
transformer,shortest_path,ood_size,,,10040011,100,400,4.0,6,0,99,1,23.0,20,0.13043478260869565,2,0,0,1,1,0.12973103113472462,0.35317947529256344,0.002368140034377575
transformer,shortest_path,ood_size,,,10040012,100,400,4.0,7,0,99,1,21.0,20,0.047619047619047616,2,0,0,1,1,0.0929507464170456,0.10537381004542112,0.0022498099133372307
transformer,shortest_path,ood_size,,,10040013,100,400,4.0,8,0,99,1,26.0,26,0.0,0,1,1,1,1,0.09841571096330881,0.1112368842586875,0.0022877901792526245
transformer,shortest_path,ood_size,,,10040014,100,400,4.0,9,0,99,1,17.0,10,0.4117647058823529,2,0,0,1,1,0.09395282063633204,0.10679949447512627,0.002259358763694763
transformer,shortest_path,ood_size,,,10040015,100,400,4.0,10,0,99,1,34.0,29,0.14705882352941177,2,0,0,1,1,0.08852459583431482,0.10041522234678268,0.0022182296961545944
transformer,shortest_path,ood_size,,,10040016,100,400,4.0,11,0,99,1,10.0,8,0.2,2,0,0,1,1,0.09566041361540556,0.1081364182755351,0.0022504301741719246
transformer,shortest_path,ood_size,,,10040017,100,400,4.0,12,0,99,1,19.0,19,0.0,0,1,1,1,1,0.12916613463312387,0.14191519748419523,0.0027740178629755974
transformer,shortest_path,ood_size,,,10040018,100,400,4.0,13,0,99,1,18.0,18,0.0,0,1,1,1,1,0.08596090693026781,0.09767732489854097,0.002237459644675255
transformer,shortest_path,ood_size,,,10040019,100,400,4.0,14,0,99,1,20.0,18,0.1,2,0,0,1,1,0.09636106994003057,0.10864298604428768,0.002282019704580307
transformer,shortest_path,ood_size,,,10040020,100,400,4.0,15,0,99,1,19.0,18,0.05263157894736842,2,0,0,1,1,0.09497024677693844,0.10781423933804035,0.0023026801645755768
transformer,shortest_path,ood_size,,,10040021,100,400,4.0,16,0,99,1,22.0,22,0.0,2,0,0,1,1,0.11936007719486952,0.13193482160568237,0.0023644492030143738
transformer,shortest_path,ood_size,,,10040022,100,400,4.0,17,0,99,1,20.0,20,0.0,0,1,1,1,1,0.0983509412035346,0.11038421653211117,0.002276000566780567
transformer,shortest_path,ood_size,,,10040023,100,400,4.0,18,0,99,1,28.0,28,0.0,0,1,1,1,1,0.09051272552460432,0.10304544121026993,0.0022666500881314278
transformer,shortest_path,ood_size,,,10040024,100,400,4.0,19,0,99,1,24.0,23,0.041666666666666664,2,0,0,1,1,0.09942316636443138,0.11205554008483887,0.0022453106939792633
transformer,shortest_path,ood_size,,,10050005,100,500,5.0,0,0,99,1,15.000000000000002,13,0.13333333333333344,2,0,0,1,1,0.16332664247602224,0.17776270769536495,0.0024374201893806458
transformer,shortest_path,ood_size,,,10050006,100,500,5.0,1,0,99,1,17.0,17,0.0,2,0,0,1,1,0.17030712123960257,0.18529517389833927,0.002441328950226307
transformer,shortest_path,ood_size,,,10050007,100,500,5.0,2,0,99,1,11.000000000000002,9,0.18181818181818196,2,0,0,1,1,0.15065966825932264,0.16556965187191963,0.002362709492444992
transformer,shortest_path,ood_size,,,10050008,100,500,5.0,3,0,99,1,18.0,16,0.1111111111111111,2,0,0,1,1,0.12116749957203865,0.13595598470419645,0.002323710359632969
transformer,shortest_path,ood_size,,,10050009,100,500,5.0,4,0,99,1,14.0,9,0.35714285714285715,2,0,0,1,1,0.11984865553677082,0.13474357966333628,0.002331598661839962
transformer,shortest_path,ood_size,,,10050010,100,500,5.0,5,0,99,1,20.999999999999996,21,-1.6917684184764294e-16,0,1,1,1,1,0.14198387693613768,0.4035277795046568,0.002689797431230545
transformer,shortest_path,ood_size,,,10050011,100,500,5.0,6,0,99,1,12.0,9,0.25,2,0,0,1,1,0.12184998672455549,0.1373879974707961,0.002318129874765873
transformer,shortest_path,ood_size,,,10050012,100,500,5.0,7,0,99,1,17.000000000000004,17,2.089831575765e-16,0,1,1,1,1,0.12458564434200525,0.1396853569895029,0.00230253953486681
transformer,shortest_path,ood_size,,,10050013,100,500,5.0,8,0,99,1,18.0,18,0.0,1,0,0,1,0,0.13216796051710844,0.14645050652325153,0.0023224297910928726
transformer,shortest_path,ood_size,,,10050014,100,500,5.0,9,0,99,1,18.0,16,0.1111111111111111,2,0,0,1,1,0.1565290717408061,0.17168450448662043,0.002357250079512596
transformer,shortest_path,ood_size,,,10050015,100,500,5.0,10,0,99,1,20.0,20,0.0,2,0,0,1,1,0.12829178757965565,0.14361565001308918,0.0024323193356394768
transformer,shortest_path,ood_size,,,10050016,100,500,5.0,11,0,99,1,10.0,8,0.2,2,0,0,1,1,0.1263994462788105,0.14166984800249338,0.002330370247364044
transformer,shortest_path,ood_size,,,10050017,100,500,5.0,12,0,99,1,10.0,10,0.0,1,0,0,1,0,0.12005210481584072,0.13511496782302856,0.0022965604439377785
transformer,shortest_path,ood_size,,,10050018,100,500,5.0,13,0,99,1,14.000000000000002,14,1.2688263138573217e-16,0,1,1,1,1,0.12003585509955883,0.13478023931384087,0.002354959025979042
transformer,shortest_path,ood_size,,,10050019,100,500,5.0,14,0,99,1,14.0,14,0.0,0,1,1,1,1,0.12155623827129602,0.13648249115794897,0.0022718701511621475
transformer,shortest_path,ood_size,,,10050020,100,500,5.0,15,0,99,1,12.0,11,0.08333333333333333,2,0,0,1,1,0.14891822542995214,0.1638203701004386,0.0023696087300777435
transformer,shortest_path,ood_size,,,10050021,100,500,5.0,16,0,99,1,17.0,16,0.058823529411764705,2,0,0,1,1,0.13768772594630718,0.15242991130799055,0.002342439256608486
