model_type,problem_type,eval_mode,wood_problem,wood_rows,wood_cols,network_name,graph_seed,n_nodes,n_edges,density,replication,source,sink,source_original,sink_original,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time,candidate_objective,candidate_objective_gap,candidate_pool_size,num_candidates,candidate_search_time,hybrid_total_time,candidate_exact_match,candidate_hamming_distance,candidate_correct_edges
transformer,shortest_path,ood_size,,,,,10020005,100,200,2.0,0,0,99,,,1,57.0,47,0.17543859649122806,2,0,0,1,1,0.16389948409050703,0.173470095731318,0.20014281943440437,50,0.12280701754385964,5,5,0.014292491599917412,0.21443531103432178,0,2,0
transformer,shortest_path,ood_size,,,,,10020006,100,200,2.0,1,0,99,,,1,18.0,14,0.2222222222222222,2,0,0,1,1,0.04286721721291542,0.05070124752819538,0.0023998403921723366,18,0.0,5,5,0.0018420414999127388,0.004241881892085075,1,0,1
transformer,shortest_path,ood_size,,,,,10020007,100,200,2.0,2,0,99,,,1,35.0,34,0.02857142857142857,2,0,0,1,1,0.04683033749461174,0.053672208450734615,0.0021571796387434006,34,0.02857142857142857,5,5,0.0023269010707736015,0.004484080709517002,0,2,0
transformer,shortest_path,ood_size,,,,,10020008,100,200,2.0,3,0,99,,,1,38.0,29,0.23684210526315788,2,0,0,1,1,0.04262146633118391,0.04922989662736654,0.002128629945218563,36,0.05263157894736842,5,5,0.002100490964949131,0.004229120910167694,0,2,0
transformer,shortest_path,ood_size,,,,,10020009,100,200,2.0,4,0,99,,,1,28.0,28,0.0,0,1,1,1,1,0.04254215769469738,0.0499753775075078,0.0021199192851781845,28,0.0,5,5,0.0018998701125383377,0.004019789397716522,1,0,1
transformer,shortest_path,ood_size,,,,,10020010,100,200,2.0,5,0,99,,,1,34.0,25,0.2647058823529412,2,0,0,1,1,0.05769725888967514,0.06435475032776594,0.002167380414903164,34,0.0,5,5,0.0021700700744986534,0.004337450489401817,1,0,1
transformer,shortest_path,ood_size,,,,,10020011,100,200,2.0,6,0,99,,,1,33.0,32,0.030303030303030304,2,0,0,1,1,0.042340926826000214,0.0501822279766202,0.0021324697881937027,32,0.030303030303030304,5,5,0.0018256697803735733,0.003958139568567276,0,2,0
transformer,shortest_path,ood_size,,,,,10020012,100,200,2.0,7,0,99,,,1,19.0,18,0.05263157894736842,2,0,0,1,1,0.0431905472651124,0.0498495576903224,0.0021364009007811546,19,0.0,5,5,0.0016719801351428032,0.003808381035923958,1,0,1
transformer,shortest_path,ood_size,,,,,10020013,100,200,2.0,8,0,99,,,1,47.0,39,0.1702127659574468,2,0,0,1,1,0.04525207728147507,0.052087707445025444,0.002162960357964039,47,0.0,5,5,0.0022796913981437683,0.004442651756107807,0,2,0
transformer,shortest_path,ood_size,,,,,10020014,100,200,2.0,9,0,99,,,1,29.0,21,0.27586206896551724,2,0,0,1,1,0.0420306958258152,0.04956421721726656,0.002201319672167301,27,0.06896551724137931,5,5,0.002070210874080658,0.004271530546247959,0,2,0
