model_type,problem_type,eval_mode,wood_problem,network_name,graph_seed,n_nodes,n_edges,density,replication,source,sink,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time,candidate_objective,candidate_objective_gap,candidate_pool_size,num_candidates,candidate_search_time,hybrid_total_time,candidate_exact_match,candidate_hamming_distance,candidate_correct_edges
transformer,shortest_path,ood_size,,,10020005,100,200,2.0,0,0,99,1,57.0,47,0.17543859649122806,2,0,0,1,1,0.1572004295885563,0.1659148596227169,0.18280347250401974,50,0.12280701754385964,4,4,0.013682262971997261,0.196485735476017,0,2,0
transformer,shortest_path,ood_size,,,10020006,100,200,2.0,1,0,99,1,18.0,14,0.2222222222222222,2,0,0,1,1,0.04315920174121857,0.05012574791908264,0.0023346487432718277,18,0.0,4,4,0.001528596505522728,0.0038632452487945557,1,0,1
transformer,shortest_path,ood_size,,,10020007,100,200,2.0,2,0,99,1,35.0,34,0.02857142857142857,2,0,0,1,1,0.047161804512143135,0.053939792327582836,0.0021313996985554695,34,0.02857142857142857,4,4,0.0026878146454691887,0.004819214344024658,0,2,0
transformer,shortest_path,ood_size,,,10020008,100,200,2.0,3,0,99,1,38.0,36,0.05263157894736842,2,0,0,1,1,0.04224316030740738,0.04872987978160381,0.0020874012261629105,36,0.05263157894736842,4,4,0.001658123917877674,0.0037455251440405846,0,2,0
transformer,shortest_path,ood_size,,,10020009,100,200,2.0,4,0,99,1,28.0,28,0.0,0,1,1,1,1,0.04377571772783995,0.050542703829705715,0.002126140519976616,28,0.0,4,4,0.0014533968642354012,0.003579537384212017,1,0,1
transformer,shortest_path,ood_size,,,10020010,100,200,2.0,5,0,99,1,34.0,25,0.2647058823529412,2,0,0,1,1,0.059184334240853786,0.06590712163597345,0.002134869806468487,34,0.0,4,4,0.0017967429012060165,0.003931612707674503,1,0,1
transformer,shortest_path,ood_size,,,10020011,100,200,2.0,6,0,99,1,33.0,32,0.030303030303030304,2,0,0,1,1,0.04159963596612215,0.049326444044709206,0.0021192803978919983,32,0.030303030303030304,4,4,0.0015064859762787819,0.00362576637417078,0,2,0
transformer,shortest_path,ood_size,,,10020012,100,200,2.0,7,0,99,1,19.0,18,0.05263157894736842,2,0,0,1,1,0.04585295729339123,0.052606554701924324,0.0026301955804228783,19,0.0,4,4,0.0014529060572385788,0.004083101637661457,1,0,1
transformer,shortest_path,ood_size,,,10020013,100,200,2.0,8,0,99,1,47.0,47,0.0,2,0,0,1,1,0.04554396867752075,0.05363720469176769,0.0021470608189702034,47,0.0,4,4,0.0018175523728132248,0.003964613191783428,0,2,0
transformer,shortest_path,ood_size,,,10020014,100,200,2.0,9,0,99,1,29.0,21,0.27586206896551724,2,0,0,1,1,0.042722455225884914,0.049642362631857395,0.0021355897188186646,27,0.06896551724137931,4,4,0.0015364950522780418,0.0036720847710967064,0,2,0
transformer,shortest_path,ood_size,,,10020015,100,200,2.0,10,0,99,1,21.0,21,0.0,0,1,1,1,1,0.04357738792896271,0.05036776605993509,0.0020965896546840668,21,0.0,4,4,0.00141837727278471,0.0035149669274687767,1,0,1
transformer,shortest_path,ood_size,,,10020016,100,200,2.0,11,0,99,1,41.0,37,0.0975609756097561,2,0,0,1,1,0.04136828798800707,0.04910201672464609,0.0021323906257748604,41,0.0,4,4,0.0017513539642095566,0.003883744589984417,1,0,1
transformer,shortest_path,ood_size,,,10020017,100,200,2.0,12,0,99,1,40.0,30,0.25,2,0,0,1,1,0.04390478506684303,0.05059462320059538,0.0021123113110661507,37,0.075,4,4,0.00152482558041811,0.0036371368914842606,0,2,0
transformer,shortest_path,ood_size,,,10020018,100,200,2.0,13,0,99,1,40.0,40,0.0,0,1,1,1,1,0.04269942548125982,0.05059996247291565,0.0021276799961924553,40,0.0,4,4,0.0015143966302275658,0.003642076626420021,1,0,1
transformer,shortest_path,ood_size,,,10020019,100,200,2.0,14,0,99,1,31.0,31,0.0,0,1,1,1,1,0.045864847488701344,0.05260786507278681,0.0021510999649763107,31,0.0,4,4,0.001624254509806633,0.0037753544747829437,1,0,1
transformer,shortest_path,ood_size,,,10020020,100,200,2.0,15,0,99,1,52.0,52,0.0,2,0,0,1,1,0.044410389848053455,0.0516485832631588,0.0021370910108089447,52,0.0,4,4,0.0016598934307694435,0.003796984441578388,0,2,0
transformer,shortest_path,ood_size,,,10020021,100,200,2.0,16,0,99,1,20.0,17,0.15,2,0,0,1,1,0.056880335323512554,0.06481526140123606,0.0021778596565127373,20,0.0,4,4,0.0017600441351532936,0.003937903791666031,1,0,1
transformer,shortest_path,ood_size,,,10020022,100,200,2.0,17,0,99,1,5.0,5,0.0,0,1,1,1,1,0.04344537854194641,0.050185807049274445,0.0021083615720272064,5,0.0,4,4,0.0013725468888878822,0.0034809084609150887,1,0,1
transformer,shortest_path,ood_size,,,10020023,100,200,2.0,18,0,99,1,17.0,14,0.17647058823529413,2,0,0,1,1,0.04095118213444948,0.048829859122633934,0.002117769792675972,14,0.17647058823529413,4,4,0.0014791274443268776,0.0035968972370028496,0,2,0
transformer,shortest_path,ood_size,,,10020024,100,200,2.0,19,0,99,1,40.0,30,0.25,2,0,0,1,1,0.04363184701651335,0.050379774533212185,0.002124791033565998,36,0.1,4,4,0.0017467038705945015,0.0038714949041604996,0,2,0
transformer,shortest_path,ood_size,,,10025005,100,250,2.5,0,0,99,1,13.0,13,0.0,0,1,1,1,1,0.04891799855977297,0.056958604604005814,0.0022308295592665672,13,0.0,4,4,0.0015951553359627724,0.0038259848952293396,1,0,1
transformer,shortest_path,ood_size,,,10025006,100,250,2.5,1,0,99,1,33.0,31,0.06060606060606061,2,0,0,1,1,0.05486821290105581,0.06367625296115875,0.0021793199703097343,31,0.06060606060606061,4,4,0.0021567102521657944,0.004336030222475529,0,2,0
transformer,shortest_path,ood_size,,,10025007,100,250,2.5,2,0,99,1,22.0,20,0.09090909090909091,2,0,0,1,1,0.055398168973624706,0.06309231743216515,0.0021750805899500847,22,0.0,4,4,0.0018582828342914581,0.004033363424241543,1,0,1
transformer,shortest_path,ood_size,,,10025008,100,250,2.5,3,0,99,1,20.0,20,0.0,2,0,0,1,1,0.054237100295722485,0.06201943755149841,0.002170359715819359,20,0.0,4,4,0.0019488213583827019,0.004119181074202061,0,2,0
transformer,shortest_path,ood_size,,,10025009,100,250,2.5,4,0,99,1,34.0,30,0.11764705882352941,2,0,0,1,1,0.049363295547664165,0.058127433992922306,0.002171739935874939,31,0.08823529411764706,4,4,0.0018687229603528976,0.004040462896227837,0,2,0
transformer,shortest_path,ood_size,,,10025010,100,250,2.5,5,0,99,1,26.0,26,0.0,2,0,0,1,1,0.0714547298848629,0.07925575785338879,0.0022138990461826324,26,0.0,4,4,0.0018068645149469376,0.00402076356112957,0,2,0
transformer,shortest_path,ood_size,,,10025011,100,250,2.5,6,0,99,1,15.000000000000002,15,1.1842378929335e-16,0,1,1,1,1,0.05868196859955788,0.06646761670708656,0.002182719297707081,15,1.1842378929335e-16,4,4,0.0017425138503313065,0.003925233148038387,1,0,1
transformer,shortest_path,ood_size,,,10025012,100,250,2.5,7,0,99,1,11.0,8,0.2727272727272727,2,0,0,1,1,0.05616050213575363,0.06501101050525904,0.002188469283282757,11,0.0,4,4,0.0018538329750299454,0.004042302258312702,1,0,1
transformer,shortest_path,ood_size,,,10025013,100,250,2.5,8,0,99,1,22.0,20,0.09090909090909091,2,0,0,1,1,0.059435661882162094,0.06725175864994526,0.002197680063545704,22,0.0,4,4,0.0020429110154509544,0.004240591078996658,0,2,0
transformer,shortest_path,ood_size,,,10025014,100,250,2.5,9,0,99,1,29.0,27,0.06896551724137931,2,0,0,1,1,0.06333336420357227,0.07105648517608643,0.0022044796496629715,29,0.0,4,4,0.0019881315529346466,0.004192611202597618,1,0,1
transformer,shortest_path,ood_size,,,10025015,100,250,2.5,10,0,99,1,24.0,24,0.0,0,1,1,1,1,0.05947205051779747,0.06831966992467642,0.002197369933128357,24,0.0,4,4,0.0020613810047507286,0.0042587509378790855,1,0,1
transformer,shortest_path,ood_size,,,10025016,100,250,2.5,11,0,99,1,14.0,9,0.35714285714285715,2,0,0,1,1,0.05038708448410034,0.05817363318055868,0.002174309454858303,11,0.21428571428571427,4,4,0.0016189655289053917,0.0037932749837636948,0,2,0
transformer,shortest_path,ood_size,,,10025017,100,250,2.5,12,0,99,1,38.0,28,0.2631578947368421,2,0,0,1,1,0.06872531492263079,0.0765337236225605,0.002220769412815571,38,0.0,4,4,0.0018644528463482857,0.0040852222591638565,1,0,1
