model_type,problem_type,eval_mode,wood_problem,network_name,graph_seed,n_nodes,n_edges,density,replication,source,sink,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time,candidate_objective,candidate_objective_gap,candidate_pool_size,num_candidates,candidate_search_time,hybrid_total_time,candidate_exact_match,candidate_hamming_distance,candidate_correct_edges
transformer,shortest_path,ood_size,,,10020005,100,200,2.0,0,0,99,1,57.0,47,0.17543859649122806,2,0,0,1,1,0.16173963528126478,0.17078379448503256,0.19298666156828403,50,0.12280701754385964,5,5,0.013866376131772995,0.20685303770005703,0,2,0
transformer,shortest_path,ood_size,,,10020006,100,200,2.0,1,0,99,1,18.0,14,0.2222222222222222,2,0,0,1,1,0.04372621886432171,0.0508804963901639,0.002368459478020668,18,0.0,5,5,0.0018750810995697975,0.0042435405775904655,1,0,1
transformer,shortest_path,ood_size,,,10020007,100,200,2.0,2,0,99,1,35.0,34,0.02857142857142857,2,0,0,1,1,0.0455867201089859,0.05247078835964203,0.0021837707608938217,34,0.02857142857142857,5,5,0.0030872756615281105,0.005271046422421932,0,2,0
transformer,shortest_path,ood_size,,,10020008,100,200,2.0,3,0,99,1,38.0,36,0.05263157894736842,2,0,0,1,1,0.042006686329841614,0.0485887061804533,0.0021230001002550125,36,0.05263157894736842,5,5,0.0020505012944340706,0.004173501394689083,0,2,0
transformer,shortest_path,ood_size,,,10020009,100,200,2.0,4,0,99,1,28.0,28,0.0,0,1,1,1,1,0.04311981238424778,0.04996228963136673,0.002129949629306793,28,0.0,5,5,0.0017752815037965775,0.0039052311331033707,1,0,1
transformer,shortest_path,ood_size,,,10020010,100,200,2.0,5,0,99,1,34.0,25,0.2647058823529412,2,0,0,1,1,0.056215330958366394,0.06300720851868391,0.002156730741262436,34,0.0,5,5,0.00219144020229578,0.004348170943558216,1,0,1
transformer,shortest_path,ood_size,,,10020011,100,200,2.0,6,0,99,1,33.0,32,0.030303030303030304,2,0,0,1,1,0.04189653694629669,0.04966029059141874,0.002128300257027149,32,0.030303030303030304,5,5,0.0018298421055078506,0.003958142362535,0,2,0
transformer,shortest_path,ood_size,,,10020012,100,200,2.0,7,0,99,1,19.0,18,0.05263157894736842,2,0,0,1,1,0.04214433580636978,0.04897154401987791,0.002123970538377762,19,0.0,5,5,0.0017225714400410652,0.003846541978418827,1,0,1
transformer,shortest_path,ood_size,,,10020013,100,200,2.0,8,0,99,1,47.0,47,0.0,2,0,0,1,1,0.04406960681080818,0.052057250402867794,0.002164529636502266,47,0.0,5,5,0.0022032801061868668,0.004367809742689133,0,2,0
transformer,shortest_path,ood_size,,,10020014,100,200,2.0,9,0,99,1,29.0,21,0.27586206896551724,2,0,0,1,1,0.042708324268460274,0.04944034293293953,0.002160141244530678,27,0.06896551724137931,5,5,0.0018929308280348778,0.004053072072565556,0,2,0
