model_type,problem_type,eval_mode,wood_problem,network_name,graph_seed,n_nodes,n_edges,density,replication,source,sink,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time,candidate_objective,candidate_objective_gap,candidate_pool_size,num_candidates,candidate_search_time,hybrid_total_time,candidate_exact_match,candidate_hamming_distance,candidate_correct_edges
transformer,shortest_path,ood_size,,,10020005,100,200,2.0,0,0,99,1,57.0,47,0.17543859649122806,2,0,0,1,1,0.15570557210594416,0.16495844442397356,0.18347257003188133,50,0.12280701754385964,5,5,0.013262702152132988,0.19673527218401432,0,2,0
transformer,shortest_path,ood_size,,,10020006,100,200,2.0,1,0,99,1,18.0,14,0.2222222222222222,2,0,0,1,1,0.04355665668845177,0.05053217150270939,0.002358817495405674,18,0.0,5,5,0.0018700500950217247,0.004228867590427399,1,0,1
transformer,shortest_path,ood_size,,,10020007,100,200,2.0,2,0,99,1,35.0,34,0.02857142857142857,2,0,0,1,1,0.047232077457010746,0.05396941304206848,0.0021286392584443092,34,0.02857142857142857,5,5,0.003045284189283848,0.005173923447728157,0,2,0
transformer,shortest_path,ood_size,,,10020008,100,200,2.0,3,0,99,1,38.0,36,0.05263157894736842,2,0,0,1,1,0.04245421290397644,0.04933158680796623,0.002106359228491783,36,0.05263157894736842,5,5,0.0020309090614318848,0.004137268289923668,0,2,0
transformer,shortest_path,ood_size,,,10020009,100,200,2.0,4,0,99,1,28.0,28,0.0,0,1,1,1,1,0.043731155805289745,0.05046273209154606,0.0020841583609580994,28,0.0,5,5,0.0017595607787370682,0.0038437191396951675,1,0,1
transformer,shortest_path,ood_size,,,10020010,100,200,2.0,5,0,99,1,34.0,25,0.2647058823529412,2,0,0,1,1,0.0596830639988184,0.06634726841002703,0.0021204790100455284,34,0.0,5,5,0.002159847877919674,0.004280326887965202,1,0,1
transformer,shortest_path,ood_size,,,10020011,100,200,2.0,6,0,99,1,33.0,32,0.030303030303030304,2,0,0,1,1,0.04213304445147514,0.049760134890675545,0.002100018784403801,32,0.030303030303030304,5,5,0.001811089925467968,0.003911108709871769,0,2,0
transformer,shortest_path,ood_size,,,10020012,100,200,2.0,7,0,99,1,19.0,18,0.05263157894736842,2,0,0,1,1,0.04273268114775419,0.04954214673489332,0.002141369506716728,19,0.0,5,5,0.0016893018037080765,0.0038306713104248047,1,0,1
transformer,shortest_path,ood_size,,,10020013,100,200,2.0,8,0,99,1,47.0,39,0.1702127659574468,2,0,0,1,1,0.04568006657063961,0.05362245440483093,0.0021573593840003014,47,0.0,5,5,0.0022173989564180374,0.004374758340418339,0,2,0
transformer,shortest_path,ood_size,,,10020014,100,200,2.0,9,0,99,1,29.0,21,0.27586206896551724,2,0,0,1,1,0.04323372803628445,0.050254711881279945,0.0021659787744283676,27,0.06896551724137931,5,5,0.001884440891444683,0.004050419665873051,0,2,0
transformer,shortest_path,ood_size,,,10020015,100,200,2.0,10,0,99,1,21.0,21,0.0,0,1,1,1,1,0.044034955091774464,0.05080251023173332,0.002108929678797722,21,0.0,5,5,0.0017127115279436111,0.003821641206741333,1,0,1
transformer,shortest_path,ood_size,,,10020016,100,200,2.0,11,0,99,1,41.0,41,0.0,0,1,1,1,1,0.04168012645095587,0.04932681657373905,0.0021123187616467476,41,0.0,5,5,0.0021202685311436653,0.004232587292790413,1,0,1
transformer,shortest_path,ood_size,,,10020017,100,200,2.0,12,0,99,1,40.0,30,0.25,2,0,0,1,1,0.0444036815315485,0.05112320836633444,0.0021148594096302986,37,0.075,5,5,0.0018365802243351936,0.003951439633965492,0,2,0
transformer,shortest_path,ood_size,,,10020018,100,200,2.0,13,0,99,1,40.0,38,0.05,2,0,0,1,1,0.04293006006628275,0.0507655693218112,0.0021083587780594826,40,0.0,5,5,0.0018613701686263084,0.003969728946685791,1,0,1
transformer,shortest_path,ood_size,,,10020019,100,200,2.0,14,0,99,1,31.0,31,0.0,0,1,1,1,1,0.045892504043877125,0.05257410183548927,0.0021327687427401543,31,0.0,5,5,0.0019805505871772766,0.004113319329917431,1,0,1
transformer,shortest_path,ood_size,,,10020020,100,200,2.0,15,0,99,1,52.0,52,0.0,2,0,0,1,1,0.04523129854351282,0.05243663117289543,0.0021403394639492035,52,0.0,5,5,0.00208123866468668,0.004221578128635883,0,2,0
transformer,shortest_path,ood_size,,,10020021,100,200,2.0,16,0,99,1,20.0,17,0.15,2,0,0,1,1,0.05748468637466431,0.06537714414298534,0.0021471790969371796,20,0.0,5,5,0.002118089236319065,0.004265268333256245,1,0,1
transformer,shortest_path,ood_size,,,10020022,100,200,2.0,17,0,99,1,5.0,5,0.0,0,1,1,1,1,0.04398672468960285,0.05066332034766674,0.0021591773256659508,5,0.0,5,5,0.0016904007643461227,0.0038495780900120735,1,0,1
transformer,shortest_path,ood_size,,,10020023,100,200,2.0,18,0,99,1,17.0,14,0.17647058823529413,2,0,0,1,1,0.04123984836041927,0.04913840815424919,0.0021165097132325172,17,0.0,5,5,0.001806090585887432,0.003922600299119949,1,0,1
transformer,shortest_path,ood_size,,,10020024,100,200,2.0,19,0,99,1,40.0,30,0.25,2,0,0,1,1,0.043882605619728565,0.05053101200610399,0.002085968852043152,36,0.1,5,5,0.0021311193704605103,0.004217088222503662,0,2,0
transformer,shortest_path,ood_size,,,10025005,100,250,2.5,0,0,99,1,13.0,13,0.0,0,1,1,1,1,0.04931407701224089,0.057214257307350636,0.0021872790530323982,13,0.0,5,5,0.0019333604723215103,0.0041206395253539085,1,0,1
transformer,shortest_path,ood_size,,,10025006,100,250,2.5,1,0,99,1,33.0,31,0.06060606060606061,2,0,0,1,1,0.05535174533724785,0.06403169222176075,0.0021731480956077576,31,0.06060606060606061,5,5,0.0025932257995009422,0.0047663738951087,0,2,0
transformer,shortest_path,ood_size,,,10025007,100,250,2.5,2,0,99,1,22.0,20,0.09090909090909091,2,0,0,1,1,0.05566568486392498,0.06330096628516912,0.0021881386637687683,22,0.0,5,5,0.0022870181128382683,0.004475156776607037,1,0,1
transformer,shortest_path,ood_size,,,10025008,100,250,2.5,3,0,99,1,20.0,20,0.0,2,0,0,1,1,0.05441567115485668,0.06210289057344198,0.0021536685526371002,20,0.0,5,5,0.0023749377578496933,0.0045286063104867935,0,2,0
transformer,shortest_path,ood_size,,,10025009,100,250,2.5,4,0,99,1,34.0,30,0.11764705882352941,2,0,0,1,1,0.04991176538169384,0.05863057915121317,0.002160368487238884,31,0.08823529411764706,5,5,0.0023002279922366142,0.004460596479475498,0,2,0
transformer,shortest_path,ood_size,,,10025010,100,250,2.5,5,0,99,1,26.0,26,0.0,2,0,0,1,1,0.07112529687583447,0.0788742657750845,0.002213778905570507,26,0.0,5,5,0.002221629023551941,0.004435407929122448,0,2,0
transformer,shortest_path,ood_size,,,10025011,100,250,2.5,6,0,99,1,15.000000000000002,15,1.1842378929335e-16,0,1,1,1,1,0.059241246432065964,0.06710221618413925,0.0021842485293745995,15,1.1842378929335e-16,5,5,0.002103789709508419,0.0042880382388830185,1,0,1
transformer,shortest_path,ood_size,,,10025012,100,250,2.5,7,0,99,1,11.0,8,0.2727272727272727,2,0,0,1,1,0.060500260442495346,0.06935640424489975,0.002339237369596958,11,0.0,5,5,0.0023781582713127136,0.004717395640909672,1,0,1
transformer,shortest_path,ood_size,,,10025013,100,250,2.5,8,0,99,1,22.0,20,0.09090909090909091,2,0,0,1,1,0.059643625281751156,0.06751020345836878,0.0022043995559215546,22,0.0,5,5,0.002513537183403969,0.004717936739325523,0,2,0
transformer,shortest_path,ood_size,,,10025014,100,250,2.5,9,0,99,1,29.0,27,0.06896551724137931,2,0,0,1,1,0.06378083303570747,0.07148354314267635,0.0022244490683078766,29,0.0,5,5,0.00248129665851593,0.004705745726823807,1,0,1
transformer,shortest_path,ood_size,,,10025015,100,250,2.5,10,0,99,1,24.0,24,0.0,0,1,1,1,1,0.05974884424358606,0.06850234884768724,0.002276858314871788,24,0.0,5,5,0.002517848275601864,0.004794706590473652,1,0,1
transformer,shortest_path,ood_size,,,10025016,100,250,2.5,11,0,99,1,14.0,11,0.21428571428571427,2,0,0,1,1,0.050838278606534004,0.05860444996505976,0.0021683787927031517,12,0.14285714285714285,5,5,0.0020250706002116203,0.004193449392914772,0,2,0
transformer,shortest_path,ood_size,,,10025017,100,250,2.5,12,0,99,1,38.0,38,0.0,0,1,1,1,1,0.06937770452350378,0.07713597547262907,0.00221868883818388,38,0.0,5,5,0.002356087788939476,0.004574776627123356,1,0,1
transformer,shortest_path,ood_size,,,10025018,100,250,2.5,13,0,99,1,30.0,30,0.0,0,1,1,1,1,0.07090256549417973,0.07970924209803343,0.0022460082545876503,30,0.0,5,5,0.002656686119735241,0.004902694374322891,1,0,1
transformer,shortest_path,ood_size,,,10025019,100,250,2.5,14,0,99,1,45.0,41,0.08888888888888889,2,0,0,1,1,0.059967231936752796,0.06783348135650158,0.0021819286048412323,45,0.0,5,5,0.0026151668280363083,0.004797095432877541,1,0,1
