model_type,problem_type,eval_mode,wood_problem,network_name,graph_seed,n_nodes,n_edges,density,replication,source,sink,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time
transformer,shortest_path,ood_size,,,10020005,100,200,2.0,0,0,99,1,57.0,47,0.17543859649122806,2,0,0,1,1,0.18350050877779722,0.19218810088932514,0.18367981910705566
transformer,shortest_path,ood_size,,,10020006,100,200,2.0,1,0,99,1,18.0,14,0.2222222222222222,2,0,0,1,1,0.042674063704907894,0.04955683369189501,0.0023666396737098694
transformer,shortest_path,ood_size,,,10020007,100,200,2.0,2,0,99,1,35.0,34,0.02857142857142857,2,0,0,1,1,0.04546972177922726,0.05248493980616331,0.0021561505272984505
transformer,shortest_path,ood_size,,,10020008,100,200,2.0,3,0,99,1,38.0,36,0.05263157894736842,2,0,0,1,1,0.04158827941864729,0.04830840788781643,0.0021342402324080467
transformer,shortest_path,ood_size,,,10020009,100,200,2.0,4,0,99,1,28.0,28,0.0,0,1,1,1,1,0.04298403300344944,0.05002884101122618,0.002117500640451908
transformer,shortest_path,ood_size,,,10020010,100,200,2.0,5,0,99,1,34.0,25,0.2647058823529412,2,0,0,1,1,0.05593765340745449,0.06292753200978041,0.0021558301523327827
transformer,shortest_path,ood_size,,,10020011,100,200,2.0,6,0,99,1,33.0,32,0.030303030303030304,2,0,0,1,1,0.04103838186711073,0.049026294611394405,0.0021232198923826218
transformer,shortest_path,ood_size,,,10020012,100,200,2.0,7,0,99,1,19.0,18,0.05263157894736842,2,0,0,1,1,0.04132199101150036,0.04826600942760706,0.002101961523294449
transformer,shortest_path,ood_size,,,10020013,100,200,2.0,8,0,99,1,47.0,47,0.0,2,0,0,1,1,0.04376728925853968,0.05196357145905495,0.0021459506824612617
transformer,shortest_path,ood_size,,,10020014,100,200,2.0,9,0,99,1,29.0,21,0.27586206896551724,2,0,0,1,1,0.042258947156369686,0.049165865406394005,0.002138289622962475
transformer,shortest_path,ood_size,,,10020015,100,200,2.0,10,0,99,1,21.0,21,0.0,0,1,1,1,1,0.04296906292438507,0.050012530758976936,0.0021186796948313713
