model_type,problem_type,eval_mode,wood_problem,network_name,graph_seed,n_nodes,n_edges,density,replication,source,sink,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time,candidate_objective,candidate_objective_gap,candidate_pool_size,num_candidates,candidate_search_time,hybrid_total_time,candidate_exact_match,candidate_hamming_distance,candidate_correct_edges
transformer,shortest_path,ood_size,,,10020005,100,200,2.0,0,0,99,1,57.0,47,0.17543859649122806,2,0,0,1,1,0.2040230929851532,0.212858815677464,0.1819061106070876,50,0.12280701754385964,4,4,0.013082440942525864,0.19498855154961348,0,2,0
transformer,shortest_path,ood_size,,,10020006,100,200,2.0,1,0,99,1,18.0,14,0.2222222222222222,2,0,0,1,1,0.04384608753025532,0.05098334979265928,0.002386797219514847,18,0.0,4,4,0.001550961285829544,0.003937758505344391,1,0,1
transformer,shortest_path,ood_size,,,10020007,100,200,2.0,2,0,99,1,35.0,34,0.02857142857142857,2,0,0,1,1,0.04727520979940891,0.05407863575965166,0.0021531684324145317,34,0.02857142857142857,4,4,0.002700675278902054,0.0048538437113165855,0,2,0
transformer,shortest_path,ood_size,,,10020008,100,200,2.0,3,0,99,1,38.0,29,0.23684210526315788,2,0,0,1,1,0.04267343506217003,0.04957598727196455,0.0021260976791381836,36,0.05263157894736842,4,4,0.0016874615103006363,0.00381355918943882,0,2,0
transformer,shortest_path,ood_size,,,10020009,100,200,2.0,4,0,99,1,28.0,28,0.0,0,1,1,1,1,0.04413472767919302,0.050934371538460255,0.0021537886932492256,28,0.0,4,4,0.0014609619975090027,0.0036147506907582283,1,0,1
transformer,shortest_path,ood_size,,,10020010,100,200,2.0,5,0,99,1,34.0,31,0.08823529411764706,2,0,0,1,1,0.059648734517395496,0.066388089209795,0.0021634986624121666,34,0.0,4,4,0.001797020435333252,0.0039605190977454185,1,0,1
transformer,shortest_path,ood_size,,,10020011,100,200,2.0,6,0,99,1,33.0,32,0.030303030303030304,2,0,0,1,1,0.04213431663811207,0.04983163718134165,0.0021318094804883003,32,0.030303030303030304,4,4,0.0015398021787405014,0.0036716116592288017,0,2,0
transformer,shortest_path,ood_size,,,10020012,100,200,2.0,7,0,99,1,19.0,18,0.05263157894736842,2,0,0,1,1,0.04226287640631199,0.04900789074599743,0.0021217772737145424,19,0.0,4,4,0.0014125918969511986,0.003534369170665741,1,0,1
transformer,shortest_path,ood_size,,,10020013,100,200,2.0,8,0,99,1,47.0,47,0.0,2,0,0,1,1,0.04569531977176666,0.05359893664717674,0.002159099094569683,47,0.0,4,4,0.0018283016979694366,0.00398740079253912,0,2,0
transformer,shortest_path,ood_size,,,10020014,100,200,2.0,9,0,99,1,29.0,21,0.27586206896551724,2,0,0,1,1,0.043085431680083275,0.05010164529085159,0.0021470384672284126,27,0.06896551724137931,4,4,0.0015296023339033127,0.0036766408011317253,0,2,0
