model_type,problem_type,eval_mode,wood_problem,network_name,graph_seed,n_nodes,n_edges,density,replication,source,sink,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time,candidate_objective,candidate_objective_gap,candidate_pool_size,num_candidates,candidate_search_time,hybrid_total_time,candidate_exact_match,candidate_hamming_distance,candidate_correct_edges
transformer,shortest_path,ood_size,,,10020005,100,200,2.0,0,0,99,1,57.0,47,0.17543859649122806,2,0,0,1,1,0.18788710795342922,0.19657815620303154,0.1774977743625641,50,0.12280701754385964,5,5,0.013886735774576664,0.19138451013714075,0,2,0
transformer,shortest_path,ood_size,,,10020006,100,200,2.0,1,0,99,1,18.0,14,0.2222222222222222,2,0,0,1,1,0.043116881512105465,0.05020661931484938,0.002358868718147278,18,0.0,5,5,0.0018705213442444801,0.004229390062391758,1,0,1
transformer,shortest_path,ood_size,,,10020007,100,200,2.0,2,0,99,1,35.0,34,0.02857142857142857,2,0,0,1,1,0.04523855168372393,0.05188489146530628,0.002145159989595413,34,0.02857142857142857,5,5,0.0030716266483068466,0.00521678663790226,0,2,0
transformer,shortest_path,ood_size,,,10020008,100,200,2.0,3,0,99,1,38.0,29,0.23684210526315788,2,0,0,1,1,0.04123933054506779,0.04764504078775644,0.002105661667883396,36,0.05263157894736842,5,5,0.00201577041298151,0.004121432080864906,0,2,0
transformer,shortest_path,ood_size,,,10020009,100,200,2.0,4,0,99,1,28.0,28,0.0,0,1,1,1,1,0.04303404223173857,0.049667022190988064,0.002130330540239811,28,0.0,5,5,0.001765281893312931,0.003895612433552742,1,0,1
transformer,shortest_path,ood_size,,,10020010,100,200,2.0,5,0,99,1,34.0,31,0.08823529411764706,2,0,0,1,1,0.05607414245605469,0.06266420241445303,0.00215745996683836,34,0.0,5,5,0.0021811500191688538,0.004338609986007214,1,0,1
transformer,shortest_path,ood_size,,,10020011,100,200,2.0,6,0,99,1,33.0,32,0.030303030303030304,2,0,0,1,1,0.04127863980829716,0.04883216507732868,0.002117069438099861,32,0.030303030303030304,5,5,0.001841951161623001,0.003959020599722862,0,2,0
transformer,shortest_path,ood_size,,,10020012,100,200,2.0,7,0,99,1,19.0,18,0.05263157894736842,2,0,0,1,1,0.04153983946889639,0.04816465824842453,0.0021115299314260483,19,0.0,5,5,0.0017014918848872185,0.0038130218163132668,1,0,1
transformer,shortest_path,ood_size,,,10020013,100,200,2.0,8,0,99,1,47.0,47,0.0,2,0,0,1,1,0.04408184811472893,0.05185812246054411,0.0021562594920396805,47,0.0,5,5,0.0022370601072907448,0.004393319599330425,0,2,0
transformer,shortest_path,ood_size,,,10020014,100,200,2.0,9,0,99,1,29.0,21,0.27586206896551724,2,0,0,1,1,0.042400156147778034,0.048928805626928806,0.00213633943349123,27,0.06896551724137931,5,5,0.001881851814687252,0.004018191248178482,0,2,0
transformer,shortest_path,ood_size,,,10020015,100,200,2.0,10,0,99,1,21.0,21,0.0,0,1,1,1,1,0.043043422512710094,0.04971736203879118,0.002113630995154381,21,0.0,5,5,0.0017201723530888557,0.0038338033482432365,1,0,1
