model_type,problem_type,eval_mode,wood_problem,wood_rows,wood_cols,network_name,graph_seed,n_nodes,n_edges,density,replication,source,sink,source_original,sink_original,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time,candidate_objective,candidate_objective_gap,candidate_pool_size,num_candidates,candidate_search_time,hybrid_total_time,candidate_exact_match,candidate_hamming_distance,candidate_correct_edges
transformer,shortest_path,ood_size,,,,,10020005,100,200,2.0,0,0,99,,,1,57.0,47,0.17543859649122806,2,0,0,1,1,0.15364194940775633,0.16298361495137215,0.2072089370340109,50,0.12280701754385964,5,5,0.014079446904361248,0.22128838393837214,0,2,0
transformer,shortest_path,ood_size,,,,,10020006,100,200,2.0,1,0,99,,,1,18.0,14,0.2222222222222222,2,0,0,1,1,0.04327102191746235,0.050966196693480015,0.0024576112627983093,18,0.0,5,5,0.0018992116674780846,0.004356822930276394,1,0,1
transformer,shortest_path,ood_size,,,,,10020007,100,200,2.0,2,0,99,,,1,35.0,34,0.02857142857142857,2,0,0,1,1,0.04668113403022289,0.05339372809976339,0.0021946411579847336,34,0.02857142857142857,5,5,0.0022378014400601387,0.004432442598044872,0,2,0
transformer,shortest_path,ood_size,,,,,10020008,100,200,2.0,3,0,99,,,1,38.0,36,0.05263157894736842,2,0,0,1,1,0.042559931986033916,0.0492508364841342,0.002117001451551914,36,0.05263157894736842,5,5,0.002005241811275482,0.004122243262827396,0,2,0
transformer,shortest_path,ood_size,,,,,10020009,100,200,2.0,4,0,99,,,1,28.0,28,0.0,0,1,1,1,1,0.04205031227320433,0.04954872466623783,0.002223570831120014,28,0.0,5,5,0.0017658211290836334,0.003989391960203648,1,0,1
transformer,shortest_path,ood_size,,,,,10020010,100,200,2.0,5,0,99,,,1,34.0,25,0.2647058823529412,2,0,0,1,1,0.05727354995906353,0.06389281246811152,0.0021939510479569435,34,0.0,5,5,0.0021141907200217247,0.004308141767978668,1,0,1
transformer,shortest_path,ood_size,,,,,10020011,100,200,2.0,6,0,99,,,1,33.0,32,0.030303030303030304,2,0,0,1,1,0.04240813199430704,0.050031096674501896,0.0021623410284519196,32,0.030303030303030304,5,5,0.0018179211765527725,0.003980262205004692,0,2,0
transformer,shortest_path,ood_size,,,,,10020012,100,200,2.0,7,0,99,,,1,19.0,18,0.05263157894736842,2,0,0,1,1,0.04283089283853769,0.04937468562275171,0.0021375110372900963,19,0.0,5,5,0.0016777710989117622,0.0038152821362018585,1,0,1
transformer,shortest_path,ood_size,,,,,10020013,100,200,2.0,8,0,99,,,1,47.0,39,0.1702127659574468,2,0,0,1,1,0.04473094455897808,0.05154297687113285,0.002173430286347866,47,0.0,5,5,0.0022055013105273247,0.004378931596875191,0,2,0
transformer,shortest_path,ood_size,,,,,10020014,100,200,2.0,9,0,99,,,1,29.0,21,0.27586206896551724,2,0,0,1,1,0.041656230576336384,0.049169895239174366,0.00222622137516737,27,0.06896551724137931,5,5,0.0019631506875157356,0.0041893720626831055,0,2,0
transformer,shortest_path,ood_size,,,,,10020015,100,200,2.0,10,0,99,,,1,21.0,21,0.0,0,1,1,1,1,0.04390310309827328,0.05050588585436344,0.0022098608314990997,21,0.0,5,5,0.001725860871374607,0.003935721702873707,1,0,1
transformer,shortest_path,ood_size,,,,,10020016,100,200,2.0,11,0,99,,,1,41.0,37,0.0975609756097561,2,0,0,1,1,0.04155861213803291,0.049323986284434795,0.002157251350581646,41,0.0,5,5,0.002103270962834358,0.004260522313416004,1,0,1
transformer,shortest_path,ood_size,,,,,10020017,100,200,2.0,12,0,99,,,1,40.0,35,0.125,2,0,0,1,1,0.04473260324448347,0.05118471663445234,0.0022496413439512253,37,0.075,5,5,0.0018288297578692436,0.004078471101820469,0,2,0
transformer,shortest_path,ood_size,,,,,10020018,100,200,2.0,13,0,99,,,1,40.0,40,0.0,0,1,1,1,1,0.04331318195909262,0.05005969665944576,0.002140951342880726,40,0.0,5,5,0.0018512709066271782,0.003992222249507904,1,0,1
transformer,shortest_path,ood_size,,,,,10020019,100,200,2.0,14,0,99,,,1,31.0,25,0.1935483870967742,2,0,0,1,1,0.04372887313365936,0.051193405874073505,0.0021856408566236496,31,0.0,5,5,0.0020582815632224083,0.004243922419846058,1,0,1
transformer,shortest_path,ood_size,,,,,10020020,100,200,2.0,15,0,99,,,1,52.0,52,0.0,2,0,0,1,1,0.044178723357617855,0.050834476947784424,0.0021759308874607086,52,0.0,5,5,0.002067340537905693,0.004243271425366402,0,2,0
transformer,shortest_path,ood_size,,,,,10020021,100,200,2.0,16,0,99,,,1,20.0,17,0.15,2,0,0,1,1,0.05433411803096533,0.06203586142510176,0.0022146208211779594,20,0.0,5,5,0.0020996807143092155,0.004314301535487175,1,0,1
transformer,shortest_path,ood_size,,,,,10020022,100,200,2.0,17,0,99,,,1,5.0,5,0.0,0,1,1,1,1,0.0445644436404109,0.05104839615523815,0.002140481024980545,5,0.0,5,5,0.001623021438717842,0.003763502463698387,1,0,1
transformer,shortest_path,ood_size,,,,,10020023,100,200,2.0,18,0,99,,,1,17.0,14,0.17647058823529413,2,0,0,1,1,0.04146133083850145,0.048137214966118336,0.0021350914612412453,17,0.0,5,5,0.0017610806971788406,0.003896172158420086,1,0,1
transformer,shortest_path,ood_size,,,,,10020024,100,200,2.0,19,0,99,,,1,40.0,30,0.25,2,0,0,1,1,0.04267375264316797,0.05029980558902025,0.002154070883989334,36,0.1,5,5,0.002237800508737564,0.004391871392726898,0,2,0
transformer,shortest_path,ood_size,,,,,10025005,100,250,2.5,0,0,99,,,1,13.0,13,0.0,0,1,1,1,1,0.050108266063034534,0.05794013012200594,0.0022662412375211716,13,0.0,5,5,0.001970261335372925,0.004236502572894096,1,0,1
transformer,shortest_path,ood_size,,,,,10025006,100,250,2.5,1,0,99,,,1,33.0,31,0.06060606060606061,2,0,0,1,1,0.05409673880785704,0.06195353250950575,0.0022307708859443665,31,0.06060606060606061,5,5,0.0025684507563710213,0.004799221642315388,0,2,0
transformer,shortest_path,ood_size,,,,,10025007,100,250,2.5,2,0,99,,,1,22.0,20,0.09090909090909091,2,0,0,1,1,0.06234851200133562,0.07092826627194881,0.0023169713094830513,22,0.0,5,5,0.002494540996849537,0.004811512306332588,1,0,1
transformer,shortest_path,ood_size,,,,,10025008,100,250,2.5,3,0,99,,,1,20.0,20,0.0,2,0,0,1,1,0.05571766942739487,0.06341378297656775,0.0022110408172011375,20,0.0,5,5,0.002426072023808956,0.004637112841010094,0,2,0
transformer,shortest_path,ood_size,,,,,10025009,100,250,2.5,4,0,99,,,1,34.0,31,0.08823529411764706,2,0,0,1,1,0.051202086731791496,0.05918004084378481,0.0021997904404997826,31,0.08823529411764706,5,5,0.0022820504382252693,0.004481840878725052,0,2,0
transformer,shortest_path,ood_size,,,,,10025010,100,250,2.5,5,0,99,,,1,26.0,26,0.0,2,0,0,1,1,0.07162372767925262,0.07941972184926271,0.0023012207821011543,26,0.0,5,5,0.0022898102179169655,0.00459103100001812,0,2,0
transformer,shortest_path,ood_size,,,,,10025011,100,250,2.5,6,0,99,,,1,15.000000000000002,15,1.1842378929335e-16,0,1,1,1,1,0.05995328165590763,0.06782159674912691,0.002204391174018383,15,1.1842378929335e-16,5,5,0.0021871719509363174,0.0043915631249547005,1,0,1
transformer,shortest_path,ood_size,,,,,10025012,100,250,2.5,7,0,99,,,1,11.0,8,0.2727272727272727,2,0,0,1,1,0.05898374039679766,0.06672380398958921,0.0022711502388119698,11,0.0,5,5,0.003283231519162655,0.005554381757974625,1,0,1
transformer,shortest_path,ood_size,,,,,10025013,100,250,2.5,8,0,99,,,1,22.0,20,0.09090909090909091,2,0,0,1,1,0.05866069998592138,0.06624582409858704,0.002208162099123001,22,0.0,5,5,0.0025276904925704002,0.004735852591693401,0,2,0
transformer,shortest_path,ood_size,,,,,10025014,100,250,2.5,9,0,99,,,1,29.0,29,0.0,0,1,1,1,1,0.06381119322031736,0.0725384084507823,0.002266600728034973,29,0.0,5,5,0.0024653011932969093,0.0047319019213318825,1,0,1
transformer,shortest_path,ood_size,,,,,10025015,100,250,2.5,10,0,99,,,1,24.0,24,0.0,2,0,0,1,1,0.06274905242025852,0.070464376360178,0.002321881242096424,24,0.0,5,5,0.0024834303185343742,0.004805311560630798,0,2,0
transformer,shortest_path,ood_size,,,,,10025016,100,250,2.5,11,0,99,,,1,14.0,9,0.35714285714285715,2,0,0,1,1,0.05096278619021177,0.05903216078877449,0.0022543007507920265,12,0.14285714285714285,5,5,0.0032157516106963158,0.005470052361488342,0,2,0
transformer,shortest_path,ood_size,,,,,10025017,100,250,2.5,12,0,99,,,1,38.0,38,0.0,0,1,1,1,1,0.07346199732273817,0.08114682137966156,0.002617962658405304,38,0.0,5,5,0.0024782707914710045,0.0050962334498763084,1,0,1
transformer,shortest_path,ood_size,,,,,10025018,100,250,2.5,13,0,99,,,1,30.0,30,0.0,0,1,1,1,1,0.07155315671116114,0.08075654227286577,0.0024345815181732178,30,0.0,5,5,0.0025950605049729347,0.0050296420231461525,1,0,1
transformer,shortest_path,ood_size,,,,,10025019,100,250,2.5,14,0,99,,,1,45.0,41,0.08888888888888889,2,0,0,1,1,0.3566004754975438,0.36442706920206547,0.00239351112395525,41,0.08888888888888889,5,5,0.0026126010343432426,0.005006112158298492,0,2,0
transformer,shortest_path,ood_size,,,,,10025020,100,250,2.5,15,0,99,,,1,24.0,22,0.08333333333333333,2,0,0,1,1,0.05975629109889269,0.06738755479454994,0.0021989308297634125,24,0.0,5,5,0.003467261791229248,0.0056661926209926605,1,0,1
transformer,shortest_path,ood_size,,,,,10025021,100,250,2.5,16,0,99,,,1,20.0,17,0.15,2,0,0,1,1,0.056730289943516254,0.06440855469554663,0.002229411154985428,20,0.0,5,5,0.0022753411903977394,0.004504752345383167,1,0,1
transformer,shortest_path,ood_size,,,,,10025022,100,250,2.5,17,0,99,,,1,43.0,38,0.11627906976744186,2,0,0,1,1,0.058954170905053616,0.0678707743063569,0.0022229114547371864,38,0.11627906976744186,5,5,0.0021035922691226006,0.004326503723859787,0,2,0
transformer,shortest_path,ood_size,,,,,10025023,100,250,2.5,18,0,99,,,1,36.0,27,0.25,2,0,0,1,1,0.052535866387188435,0.06033016089349985,0.002256430685520172,31,0.1388888888888889,5,5,0.0023373402655124664,0.0045937709510326385,0,2,0
transformer,shortest_path,ood_size,,,,,10025024,100,250,2.5,19,0,99,,,1,31.0,31,0.0,0,1,1,1,1,0.0542807774618268,0.062042451463639736,0.002228640951216221,31,0.0,5,5,0.0032521719112992287,0.0054808128625154495,1,0,1
transformer,shortest_path,ood_size,,,,,10030005,100,300,3.0,0,0,99,,,1,22.0,17,0.22727272727272727,2,0,0,1,1,0.06565354391932487,0.07433891948312521,0.0023479415103793144,22,0.0,5,5,0.0027735112234950066,0.005121452733874321,1,0,1
transformer,shortest_path,ood_size,,,,,10030006,100,300,3.0,1,0,99,,,1,24.0,18,0.25,2,0,0,1,1,0.06268575321882963,0.07275947835296392,0.0022130105644464493,24,0.0,5,5,0.0029934123158454895,0.005206422880291939,0,2,0
transformer,shortest_path,ood_size,,,,,10030007,100,300,3.0,2,0,99,,,1,31.0,25,0.1935483870967742,2,0,0,1,1,0.09687822964042425,0.10649510473012924,0.002283090725541115,27,0.12903225806451613,5,5,0.0029084915295243263,0.005191582255065441,0,2,0
transformer,shortest_path,ood_size,,,,,10030008,100,300,3.0,3,0,99,,,1,19.0,15,0.21052631578947367,2,0,0,1,1,0.07165598683059216,0.08134033251553774,0.0022596511989831924,15,0.21052631578947367,5,5,0.002575342543423176,0.004834993742406368,0,2,0
transformer,shortest_path,ood_size,,,,,10030009,100,300,3.0,4,0,99,,,1,50.0,49,0.02,2,0,0,1,1,0.06310426164418459,0.07272434793412685,0.0022255703806877136,49,0.02,5,5,0.002849712036550045,0.005075282417237759,0,2,0
transformer,shortest_path,ood_size,,,,,10030010,100,300,3.0,5,0,99,,,1,23.0,17,0.2608695652173913,2,0,0,1,1,0.0695614255964756,0.07905631046742201,0.0022375918924808502,19,0.17391304347826086,5,5,0.0026309909299016,0.00486858282238245,0,2,0
transformer,shortest_path,ood_size,,,,,10030011,100,300,3.0,6,0,99,,,1,18.0,18,0.0,0,1,1,1,1,0.06656669452786446,0.076091050170362,0.002242141403257847,18,0.0,5,5,0.002475440502166748,0.004717581905424595,1,0,1
transformer,shortest_path,ood_size,,,,,10030012,100,300,3.0,7,0,99,,,1,26.0,17,0.34615384615384615,2,0,0,1,1,0.0693319458514452,0.07895519118756056,0.0022393809631466866,26,0.0,5,5,0.002817481756210327,0.005056862719357014,1,0,1
transformer,shortest_path,ood_size,,,,,10030013,100,300,3.0,8,0,99,,,1,17.0,17,0.0,0,1,1,1,1,0.06400297302752733,0.07355640921741724,0.002219230867922306,17,0.0,5,5,0.0025658318772912025,0.004785062745213509,1,0,1
transformer,shortest_path,ood_size,,,,,10030014,100,300,3.0,9,0,99,,,1,40.00000000000001,40,1.77635683940025e-16,2,0,0,1,1,0.1029455428943038,0.11239838786423206,0.0022876905277371407,40,1.77635683940025e-16,5,5,0.002917291596531868,0.005204982124269009,0,2,0
transformer,shortest_path,ood_size,,,,,10030015,100,300,3.0,10,0,99,,,1,21.0,15,0.2857142857142857,2,0,0,1,1,0.06895385589450598,0.07867219112813473,0.0022382913157343864,21,0.0,5,5,0.0027167517691850662,0.004955043084919453,0,2,0
transformer,shortest_path,ood_size,,,,,10030016,100,300,3.0,11,0,99,,,1,31.0,31,0.0,0,1,1,1,1,0.07842317130416632,0.08793002553284168,0.0022545214742422104,31,0.0,5,5,0.0029772408306598663,0.005231762304902077,1,0,1
transformer,shortest_path,ood_size,,,,,10030017,100,300,3.0,12,0,99,,,1,25.0,20,0.2,2,0,0,1,1,0.08960490766912699,0.09918434172868729,0.002272471785545349,25,0.0,5,5,0.0028821807354688644,0.0051546525210142136,0,2,0
transformer,shortest_path,ood_size,,,,,10030018,100,300,3.0,13,0,99,,,1,51.0,48,0.058823529411764705,2,0,0,1,1,0.06661296542733908,0.07612556964159012,0.002228931523859501,48,0.058823529411764705,5,5,0.00277688167989254,0.005005813203752041,0,2,0
transformer,shortest_path,ood_size,,,,,10030019,100,300,3.0,14,0,99,,,1,18.0,18,0.0,0,1,1,1,1,0.06055717170238495,0.06993286591023207,0.002223040908575058,18,0.0,5,5,0.002515101805329323,0.004738142713904381,1,0,1
transformer,shortest_path,ood_size,,,,,10030020,100,300,3.0,15,0,99,,,1,16.0,8,0.5,2,0,0,1,1,0.07138325646519661,0.08083748165518045,0.0023442301899194717,13,0.1875,5,5,0.0024808812886476517,0.004825111478567123,0,2,0
transformer,shortest_path,ood_size,,,,,10030021,100,300,3.0,16,0,99,,,1,27.0,25,0.07407407407407407,2,0,0,1,1,0.06814615614712238,0.07779319118708372,0.0022496208548545837,27,0.0,5,5,0.002779540605843067,0.005029161460697651,1,0,1
transformer,shortest_path,ood_size,,,,,10030022,100,300,3.0,17,0,99,,,1,24.0,19,0.20833333333333334,2,0,0,1,1,0.09227979835122824,0.10183306224644184,0.0023227715864777565,24,0.0,5,5,0.0027136309072375298,0.005036402493715286,0,2,0
transformer,shortest_path,ood_size,,,,,10030023,100,300,3.0,18,0,99,,,1,20.0,15,0.25,2,0,0,1,1,0.0629949327558279,0.07266458868980408,0.002222800627350807,15,0.25,5,5,0.0024889912456274033,0.0047117918729782104,0,2,0
transformer,shortest_path,ood_size,,,,,10030024,100,300,3.0,19,0,99,,,1,19.0,19,0.0,0,1,1,1,1,0.07161905709654093,0.08111989311873913,0.0022598309442400932,19,0.0,5,5,0.00240264181047678,0.004662472754716873,1,0,1
transformer,shortest_path,ood_size,,,,,10040005,100,400,4.0,0,0,99,,,1,22.0,16,0.2727272727272727,2,0,0,1,1,0.1037379838526249,0.11566784046590328,0.002912420779466629,19,0.13636363636363635,5,5,0.004443582147359848,0.007356002926826477,0,2,0
transformer,shortest_path,ood_size,,,,,10040006,100,400,4.0,1,0,99,,,1,15.0,15,0.0,2,0,0,1,1,0.09145192708820105,0.10302176419645548,0.0023154010996222496,15,0.0,5,5,0.003206651657819748,0.0055220527574419975,0,2,0
transformer,shortest_path,ood_size,,,,,10040007,100,400,4.0,2,0,99,,,1,19.000000000000004,16,0.15789473684210542,2,0,0,1,1,0.13867340236902237,0.1505276896059513,0.002333042211830616,18,0.0526315789473686,5,5,0.003727591596543789,0.006060633808374405,0,2,0
transformer,shortest_path,ood_size,,,,,10040008,100,400,4.0,3,0,99,,,1,18.0,18,0.0,0,1,1,1,1,0.09287354815751314,0.10445976443588734,0.0023001311346888542,18,0.0,5,5,0.0040042819455266,0.006304413080215454,1,0,1
transformer,shortest_path,ood_size,,,,,10040009,100,400,4.0,4,0,99,,,1,17.0,12,0.29411764705882354,2,0,0,1,1,0.10413547419011593,0.1156335398554802,0.002758941613137722,17,0.0,5,5,0.0036360519006848335,0.0063949935138225555,1,0,1
