model_type,problem_type,eval_mode,wood_problem,network_name,graph_seed,n_nodes,n_edges,density,replication,source,sink,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time
transformer,shortest_path,ood_size,,,10020005,100,200,2.0,0,0,99,1,57.0,47,0.17543859649122806,2,0,0,1,1,0.18588714208453894,0.19473154097795486,0.1842317683622241
transformer,shortest_path,ood_size,,,10020006,100,200,2.0,1,0,99,1,18.0,14,0.2222222222222222,2,0,0,1,1,0.0437661400064826,0.05073582846671343,0.0023986492305994034
transformer,shortest_path,ood_size,,,10020007,100,200,2.0,2,0,99,1,35.0,34,0.02857142857142857,2,0,0,1,1,0.04546325281262398,0.052463991567492485,0.002200620248913765
transformer,shortest_path,ood_size,,,10020008,100,200,2.0,3,0,99,1,38.0,36,0.05263157894736842,2,0,0,1,1,0.04160024970769882,0.04829991050064564,0.0021516410633921623
transformer,shortest_path,ood_size,,,10020009,100,200,2.0,4,0,99,1,28.0,28,0.0,0,1,1,1,1,0.04317321255803108,0.05015145055949688,0.0021714894101023674
transformer,shortest_path,ood_size,,,10020010,100,200,2.0,5,0,99,1,34.0,25,0.2647058823529412,2,0,0,1,1,0.05627498310059309,0.06317354086786509,0.0021988404914736748
transformer,shortest_path,ood_size,,,10020011,100,200,2.0,6,0,99,1,33.0,32,0.030303030303030304,2,0,0,1,1,0.041444020345807076,0.049373664893209934,0.0021703196689486504
transformer,shortest_path,ood_size,,,10020012,100,200,2.0,7,0,99,1,19.0,18,0.05263157894736842,2,0,0,1,1,0.04155303072184324,0.048434168100357056,0.0021115709096193314
transformer,shortest_path,ood_size,,,10020013,100,200,2.0,8,0,99,1,47.0,47,0.0,2,0,0,1,1,0.04405221901834011,0.05215443205088377,0.0021962393075227737
transformer,shortest_path,ood_size,,,10020014,100,200,2.0,9,0,99,1,29.0,21,0.27586206896551724,2,0,0,1,1,0.04240235686302185,0.0493870647624135,0.002165469340980053
transformer,shortest_path,ood_size,,,10020015,100,200,2.0,10,0,99,1,21.0,21,0.0,0,1,1,1,1,0.04322486370801926,0.050282880663871765,0.002168780192732811
transformer,shortest_path,ood_size,,,10020016,100,200,2.0,11,0,99,1,41.0,41,0.0,0,1,1,1,1,0.040964812971651554,0.04891527723520994,0.0021606599912047386
transformer,shortest_path,ood_size,,,10020017,100,200,2.0,12,0,99,1,40.0,30,0.25,2,0,0,1,1,0.043593451380729675,0.050547958351671696,0.002148590050637722
transformer,shortest_path,ood_size,,,10020018,100,200,2.0,13,0,99,1,40.0,40,0.0,0,1,1,1,1,0.04240870662033558,0.05051236040890217,0.0021772198379039764
transformer,shortest_path,ood_size,,,10020019,100,200,2.0,14,0,99,1,31.0,25,0.1935483870967742,2,0,0,1,1,0.04410024732351303,0.05109912622720003,0.002183840610086918
transformer,shortest_path,ood_size,,,10020020,100,200,2.0,15,0,99,1,52.0,52,0.0,2,0,0,1,1,0.043058362789452076,0.05009415093809366,0.0021727699786424637
transformer,shortest_path,ood_size,,,10020021,100,200,2.0,16,0,99,1,20.0,19,0.05,2,0,0,1,1,0.05383593402802944,0.06179853808134794,0.0022116797044873238
transformer,shortest_path,ood_size,,,10020022,100,200,2.0,17,0,99,1,5.0,5,0.0,0,1,1,1,1,0.043255492113530636,0.050267189741134644,0.002155299298465252
transformer,shortest_path,ood_size,,,10020023,100,200,2.0,18,0,99,1,17.0,14,0.17647058823529413,2,0,0,1,1,0.040597254410386086,0.04865011852234602,0.0021876301616430283
transformer,shortest_path,ood_size,,,10020024,100,200,2.0,19,0,99,1,40.0,30,0.25,2,0,0,1,1,0.0432620020583272,0.05020018946379423,0.0021898197010159492
transformer,shortest_path,ood_size,,,10025005,100,250,2.5,0,0,99,1,13.0,13,0.0,0,1,1,1,1,0.04867522791028023,0.056952349841594696,0.0022648191079497337
transformer,shortest_path,ood_size,,,10025006,100,250,2.5,1,0,99,1,33.0,31,0.06060606060606061,2,0,0,1,1,0.05308172758668661,0.06207932624965906,0.0022614505141973495
transformer,shortest_path,ood_size,,,10025007,100,250,2.5,2,0,99,1,22.0,20,0.09090909090909091,2,0,0,1,1,0.05646389164030552,0.06463447492569685,0.0022441893815994263
transformer,shortest_path,ood_size,,,10025008,100,250,2.5,3,0,99,1,20.0,20,0.0,2,0,0,1,1,0.059869847260415554,0.06811498012393713,0.0026084082201123238
transformer,shortest_path,ood_size,,,10025009,100,250,2.5,4,0,99,1,34.0,27,0.20588235294117646,2,0,0,1,1,0.04974505305290222,0.05921362992376089,0.002202269621193409
transformer,shortest_path,ood_size,,,10025010,100,250,2.5,5,0,99,1,26.0,22,0.15384615384615385,2,0,0,1,1,0.07127668429166079,0.0795533275231719,0.0022817086428403854
transformer,shortest_path,ood_size,,,10025011,100,250,2.5,6,0,99,1,15.000000000000002,15,1.1842378929335e-16,0,1,1,1,1,0.058986091054975986,0.06718067266047001,0.002240248955786228
transformer,shortest_path,ood_size,,,10025012,100,250,2.5,7,0,99,1,11.0,8,0.2727272727272727,2,0,0,1,1,0.05596253462135792,0.0650753928348422,0.0022569289430975914
transformer,shortest_path,ood_size,,,10025013,100,250,2.5,8,0,99,1,22.0,20,0.09090909090909091,2,0,0,1,1,0.05919414013624191,0.06742699258029461,0.0022618984803557396
transformer,shortest_path,ood_size,,,10025014,100,250,2.5,9,0,99,1,29.0,26,0.10344827586206896,2,0,0,1,1,0.06376559939235449,0.07194019202142954,0.0022401195019483566
transformer,shortest_path,ood_size,,,10025015,100,250,2.5,10,0,99,1,24.0,24,0.0,0,1,1,1,1,0.05924376007169485,0.06836445722728968,0.0022628894075751305
transformer,shortest_path,ood_size,,,10025016,100,250,2.5,11,0,99,1,14.0,9,0.35714285714285715,2,0,0,1,1,0.05067241843789816,0.058893960900604725,0.0022145304828882217
transformer,shortest_path,ood_size,,,10025017,100,250,2.5,12,0,99,1,38.0,28,0.2631578947368421,2,0,0,1,1,0.06877198535948992,0.07694373931735754,0.0022518588230013847
transformer,shortest_path,ood_size,,,10025018,100,250,2.5,13,0,99,1,30.0,30,0.0,0,1,1,1,1,0.07208941224962473,0.08127588871866465,0.0024436982348561287
transformer,shortest_path,ood_size,,,10025019,100,250,2.5,14,0,99,1,45.0,41,0.08888888888888889,2,0,0,1,1,0.05819906387478113,0.06648714654147625,0.002225779928267002
