model_type,problem_type,eval_mode,wood_problem,wood_rows,wood_cols,network_name,graph_seed,n_nodes,n_edges,density,replication,source,sink,source_original,sink_original,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time,candidate_objective,candidate_objective_gap,candidate_pool_size,num_candidates,candidate_search_time,hybrid_total_time,candidate_exact_match,candidate_hamming_distance,candidate_correct_edges
transformer,shortest_path,value_ood,,,,,3006005,30,60,2.0,0,0,29,,,1,60.0,57,0.05,2,0,0,1,1,0.16516321618109941,0.1701332489028573,0.20430818106979132,60,0.0,5,5,0.014400378800928593,0.2187085598707199,1,0,1
transformer,shortest_path,value_ood,,,,,3006006,30,60,2.0,1,0,29,,,1,176.0,128,0.2727272727272727,2,0,0,1,1,0.019536341540515423,0.022936164401471615,0.0024170009419322014,142,0.19318181818181818,5,5,0.0019455207511782646,0.004362521693110466,0,2,0
transformer,shortest_path,value_ood,,,,,3006007,30,60,2.0,2,0,29,,,1,214.0,192,0.102803738317757,2,0,0,1,1,0.016782150603830814,0.019691322930157185,0.002130771055817604,214,0.0,5,5,0.0008011497557163239,0.002931920811533928,1,0,1
transformer,shortest_path,value_ood,,,,,3006008,30,60,2.0,3,0,29,,,1,191.0,166,0.13089005235602094,2,0,0,1,1,0.015914619900286198,0.01906985230743885,0.002077951095998287,188,0.015706806282722512,5,5,0.0008040601387619972,0.0028820112347602844,0,2,0
transformer,shortest_path,value_ood,,,,,3006009,30,60,2.0,4,0,29,,,1,291.0,245,0.15807560137457044,2,0,0,1,1,0.015981399454176426,0.019115371629595757,0.0020211422815918922,245,0.15807560137457044,5,5,0.0007826806977391243,0.0028038229793310165,0,2,0
transformer,shortest_path,value_ood,,,,,3006010,30,60,2.0,5,0,29,,,1,275.0,250,0.09090909090909091,2,0,0,1,1,0.017777811735868454,0.020889123901724815,0.0020597409456968307,250,0.09090909090909091,5,5,0.0008056703954935074,0.002865411341190338,0,2,0
transformer,shortest_path,value_ood,,,,,3006011,30,60,2.0,6,0,29,,,1,75.0,75,0.0,2,0,0,1,1,0.020949174650013447,0.024132516235113144,0.0020997710525989532,75,0.0,5,5,0.000638861209154129,0.0027386322617530823,0,2,0
transformer,shortest_path,value_ood,,,,,3006012,30,60,2.0,7,0,29,,,1,84.0,79,0.05952380952380952,2,0,0,1,1,0.029318278655409813,0.0324906911700964,0.002105461433529854,84,0.0,5,5,0.0008105495944619179,0.0029160110279917717,1,0,1
transformer,shortest_path,value_ood,,,,,3006013,30,60,2.0,8,0,29,,,1,62.0,44,0.2903225806451613,2,0,0,1,1,0.018371681682765484,0.021319403313100338,0.0020162612199783325,44,0.2903225806451613,5,5,0.0006725098937749863,0.002688771113753319,0,2,0
transformer,shortest_path,value_ood,,,,,3006014,30,60,2.0,9,0,29,,,1,191.0,191,0.0,0,1,1,1,1,0.021470773965120316,0.02472782600671053,0.0021347207948565483,191,0.0,5,5,0.0008536204695701599,0.0029883412644267082,1,0,1
transformer,shortest_path,value_ood,,,,,3006015,30,60,2.0,10,0,29,,,1,107.0,74,0.308411214953271,2,0,0,1,1,0.020627624355256557,0.023758905939757824,0.002160061150789261,107,0.0,5,5,0.0007571009919047356,0.0029171621426939964,1,0,1
transformer,shortest_path,value_ood,,,,,3006016,30,60,2.0,11,0,29,,,1,101.0,66,0.3465346534653465,2,0,0,1,1,0.019499863497912884,0.02277629543095827,0.0021384814754128456,82,0.18811881188118812,5,5,0.0007214611396193504,0.002859942615032196,0,2,0
transformer,shortest_path,value_ood,,,,,3006017,30,60,2.0,12,0,29,,,1,163.0,136,0.1656441717791411,2,0,0,1,1,0.015690220519900322,0.018961462192237377,0.0019985726103186607,163,0.0,5,5,0.0006224196404218674,0.002620992250740528,1,0,1
transformer,shortest_path,value_ood,,,,,3006018,30,60,2.0,13,0,29,,,1,243.0,196,0.1934156378600823,2,0,0,1,1,0.01738344132900238,0.020292683504521847,0.0019008014351129532,196,0.1934156378600823,5,5,0.0006793905049562454,0.0025801919400691986,0,2,0
transformer,shortest_path,value_ood,,,,,3006019,30,60,2.0,14,0,29,,,1,104.99999999999999,65,0.3809523809523809,2,0,0,1,1,0.01737842056900263,0.020123652182519436,0.0018304018303751945,105,-1.3534147347811433e-16,5,5,0.0005768407136201859,0.0024072425439953804,1,0,1
