model_type,problem_type,eval_mode,wood_problem,network_name,graph_seed,n_nodes,n_edges,density,replication,source,sink,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time,candidate_objective,candidate_objective_gap,candidate_pool_size,num_candidates,candidate_search_time,hybrid_total_time,candidate_exact_match,candidate_hamming_distance,candidate_correct_edges
transformer,shortest_path,value_ood,,,3006005,30,60,2.0,0,0,29,1,60.0,57,0.05,2,0,0,1,1,0.12778898980468512,0.13266321830451488,0.19689460191875696,60,0.0,5,5,0.0016894126310944557,0.19858401454985142,1,0,1
transformer,shortest_path,value_ood,,,3006006,30,60,2.0,1,0,29,1,176.0,128,0.2727272727272727,2,0,0,1,1,0.01847127266228199,0.021784125827252865,0.0022250087931752205,176,0.0,5,5,0.001688571646809578,0.003913580439984798,1,0,1
transformer,shortest_path,value_ood,,,3006007,30,60,2.0,2,0,29,1,214.0,214,0.0,0,1,1,1,1,0.015932763926684856,0.01871584076434374,0.0019881706684827805,214,0.0,5,5,0.0006782365962862968,0.0026664072647690773,1,0,1
transformer,shortest_path,value_ood,,,3006008,30,60,2.0,3,0,29,1,191.0,166,0.13089005235602094,2,0,0,1,1,0.0144979702308774,0.01730532757937908,0.0018804417923092842,183,0.041884816753926704,5,5,0.0006856871768832207,0.002566128969192505,0,2,0
transformer,shortest_path,value_ood,,,3006009,30,60,2.0,4,0,29,1,291.0,245,0.15807560137457044,2,0,0,1,1,0.015274576842784882,0.018077713437378407,0.0018783314153552055,245,0.15807560137457044,5,5,0.0006796466186642647,0.00255797803401947,0,2,0
transformer,shortest_path,value_ood,,,3006010,30,60,2.0,5,0,29,1,275.0,250,0.09090909090909091,2,0,0,1,1,0.017354506999254227,0.020175514742732048,0.0018822113052010536,250,0.09090909090909091,5,5,0.0006841076537966728,0.0025663189589977264,0,2,0
transformer,shortest_path,value_ood,,,3006011,30,60,2.0,6,0,29,1,75.0,59,0.21333333333333335,2,0,0,1,1,0.019572856836020947,0.022341514006257057,0.0019462108612060547,75,0.0,5,5,0.000558897852897644,0.0025051087141036987,0,2,0
transformer,shortest_path,value_ood,,,3006012,30,60,2.0,7,0,29,1,84.0,82,0.023809523809523808,2,0,0,1,1,0.026048596017062664,0.028811893425881863,0.0019691307097673416,82,0.023809523809523808,5,5,0.0006916653364896774,0.002660796046257019,0,2,0
transformer,shortest_path,value_ood,,,3006013,30,60,2.0,8,0,29,1,62.0,44,0.2903225806451613,2,0,0,1,1,0.023276768624782562,0.02603154443204403,0.0018836315721273422,62,0.0,5,5,0.0005797278136014938,0.002463359385728836,1,0,1
transformer,shortest_path,value_ood,,,3006014,30,60,2.0,9,0,29,1,191.0,191,0.0,0,1,1,1,1,0.020268423482775688,0.023061729967594147,0.0019662510603666306,191,0.0,5,5,0.0006916569545865059,0.0026579080149531364,1,0,1
