model_type,problem_type,eval_mode,wood_problem,network_name,graph_seed,n_nodes,n_edges,density,replication,source,sink,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time,candidate_objective,candidate_objective_gap,candidate_pool_size,num_candidates,candidate_search_time,hybrid_total_time,candidate_exact_match,candidate_hamming_distance,candidate_correct_edges
transformer,shortest_path,value_ood,,,3006005,30,60,2.0,0,0,29,1,60.0,57,0.05,2,0,0,1,1,0.14646952226758003,0.15136692952364683,0.19251946359872818,57,0.05,5,5,0.01352772582322359,0.20604718942195177,0,2,0
transformer,shortest_path,value_ood,,,3006006,30,60,2.0,1,0,29,1,176.0,128,0.2727272727272727,2,0,0,1,1,0.018710119649767876,0.02200448513031006,0.002373739145696163,142,0.19318181818181818,5,5,0.0019083311781287193,0.0042820703238248825,0,2,0
transformer,shortest_path,value_ood,,,3006007,30,60,2.0,2,0,29,1,214.0,214,0.0,0,1,1,1,1,0.016199073754251003,0.01898694969713688,0.0021161995828151703,214,0.0,5,5,0.0007930658757686615,0.002909265458583832,1,0,1
transformer,shortest_path,value_ood,,,3006008,30,60,2.0,3,0,29,1,191.0,166,0.13089005235602094,2,0,0,1,1,0.015493915416300297,0.01858815085142851,0.0020421501249074936,188,0.015706806282722512,5,5,0.0007963161915540695,0.002838466316461563,0,2,0
transformer,shortest_path,value_ood,,,3006009,30,60,2.0,4,0,29,1,291.0,245,0.15807560137457044,2,0,0,1,1,0.015726234763860703,0.018854469992220402,0.0020134905353188515,291,0.0,5,5,0.000782206654548645,0.0027956971898674965,1,0,1
transformer,shortest_path,value_ood,,,3006010,30,60,2.0,5,0,29,1,275.0,250,0.09090909090909091,2,0,0,1,1,0.017340936698019505,0.020470001734793186,0.0020076194778084755,250,0.09090909090909091,5,5,0.00078587606549263,0.0027934955433011055,0,2,0
transformer,shortest_path,value_ood,,,3006011,30,60,2.0,6,0,29,1,75.0,75,0.0,2,0,0,1,1,0.0205991817638278,0.023710687644779682,0.0021664202213287354,75,0.0,5,5,0.0006415862590074539,0.0028080064803361893,0,2,0
transformer,shortest_path,value_ood,,,3006012,30,60,2.0,7,0,29,1,84.0,79,0.05952380952380952,2,0,0,1,1,0.028478254564106464,0.03161733876913786,0.0020647598430514336,84,0.0,5,5,0.0008015772327780724,0.002866337075829506,1,0,1
transformer,shortest_path,value_ood,,,3006013,30,60,2.0,8,0,29,1,62.0,44,0.2903225806451613,2,0,0,1,1,0.01792705338448286,0.020825909450650215,0.002023019827902317,44,0.2903225806451613,5,5,0.0006805667653679848,0.002703586593270302,0,2,0
transformer,shortest_path,value_ood,,,3006014,30,60,2.0,9,0,29,1,191.0,191,0.0,0,1,1,1,1,0.02068225108087063,0.0238153962418437,0.0020440900698304176,191,0.0,5,5,0.000797295942902565,0.0028413860127329826,1,0,1
