model_type,problem_type,eval_mode,wood_problem,wood_rows,wood_cols,network_name,graph_seed,n_nodes,n_edges,density,replication,source,sink,source_original,sink_original,attack_limit,optimal_objective,predicted_objective,objective_gap,hamming_distance,exact_match,num_correct_edges,num_predicted_attacks,num_optimal_attacks,mip_solve_time,mip_total_time,inference_time,candidate_objective,candidate_objective_gap,candidate_pool_size,num_candidates,candidate_search_time,hybrid_total_time,candidate_exact_match,candidate_hamming_distance,candidate_correct_edges
transformer,shortest_path,value_ood,,,,,3006005,30,60,2.0,0,0,29,,,1,60.0,57,0.05,2,0,0,1,1,0.15856897924095392,0.16358057036995888,0.23164452984929085,57,0.05,5,5,0.014140196144580841,0.2457847259938717,0,2,0
transformer,shortest_path,value_ood,,,,,3006006,30,60,2.0,1,0,29,,,1,176.0,128,0.2727272727272727,2,0,0,1,1,0.01903526857495308,0.022345210425555706,0.00237463042140007,176,0.0,5,5,0.001937810331583023,0.004312440752983093,1,0,1
transformer,shortest_path,value_ood,,,,,3006007,30,60,2.0,2,0,29,,,1,214.0,214,0.0,0,1,1,1,1,0.016240266151726246,0.019051778130233288,0.0021181507036089897,214,0.0,5,5,0.0007954807952046394,0.002913631498813629,1,0,1
transformer,shortest_path,value_ood,,,,,3006008,30,60,2.0,3,0,29,,,1,191.0,166,0.13089005235602094,2,0,0,1,1,0.01601005718111992,0.01912820804864168,0.00206748116761446,191,0.0,5,5,0.0007907804101705551,0.002858261577785015,1,0,1
transformer,shortest_path,value_ood,,,,,3006009,30,60,2.0,4,0,29,,,1,291.0,245,0.15807560137457044,2,0,0,1,1,0.01553545705974102,0.018705107271671295,0.0020560016855597496,291,0.0,5,5,0.0007968805730342865,0.002852882258594036,1,0,1
transformer,shortest_path,value_ood,,,,,3006010,30,60,2.0,5,0,29,,,1,275.0,250,0.09090909090909091,2,0,0,1,1,0.017186596989631653,0.0203475384041667,0.002073771320283413,250,0.09090909090909091,5,5,0.0008486602455377579,0.002922431565821171,0,2,0
transformer,shortest_path,value_ood,,,,,3006011,30,60,2.0,6,0,29,,,1,75.0,75,0.0,2,0,0,1,1,0.021699720062315464,0.02479516062885523,0.0019232407212257385,75,0.0,5,5,0.0005615800619125366,0.002484820783138275,0,2,0
transformer,shortest_path,value_ood,,,,,3006012,30,60,2.0,7,0,29,,,1,84.0,79,0.05952380952380952,2,0,0,1,1,0.026034041307866573,0.028814032673835754,0.0018908903002738953,84,0.0,5,5,0.0006960704922676086,0.002586960792541504,1,0,1
transformer,shortest_path,value_ood,,,,,3006013,30,60,2.0,8,0,29,,,1,62.0,44,0.2903225806451613,2,0,0,1,1,0.01791014801710844,0.020588848739862442,0.0018539214506745338,62,0.0,5,5,0.0005958499386906624,0.0024497713893651962,1,0,1
transformer,shortest_path,value_ood,,,,,3006014,30,60,2.0,9,0,29,,,1,191.0,191,0.0,0,1,1,1,1,0.019602159038186073,0.02237043995410204,0.0019077807664871216,191,0.0,5,5,0.0006914203986525536,0.002599201165139675,1,0,1
transformer,shortest_path,value_ood,,,,,3006015,30,60,2.0,10,0,29,,,1,107.0,74,0.308411214953271,2,0,0,1,1,0.01904990803450346,0.021911749616265297,0.001889251172542572,107,0.0,5,5,0.0006352094933390617,0.0025244606658816338,1,0,1
